G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4542013	0.7008081	0.2763678	0.4231777	0.4625643	0.2550739	0.5872997	0.3459734	0.0918150	0.1902504	0.4563060	0.0744571	0.0926191	0.1491270	0.0128949	0.5082597	0.4957060	0.6291063	0.3624554	0.3855344	0.5728389	0.0818593	0.4722915	0.3167756	0.4274183	0.6053125	0.2689125	0.4494679	0.2919944	0.4263001	0.1393183	0.0065524	0.0361891	0.0496048	0.6407473	0.7388254	0.2958230	0.0936520	0.2172755	0.6753493	0.5423172	0.8131520	0.6708543	0.4245974	0.4917402	0.7130775	0.4945529	0.4009449	0.6508489	0.1341674	0.4751679	0.4501896	0.7303259	0.5672193	0.7048789	0.5899394	0.1954831	0.4370905	0.3807963	0.4858820	0.2552657	0.6920516	0.4103006	0.3771622	0.0201492	0.6279081	0.2631833	0.0355444	0.5914044	0.6174575	0.4612539	0.0127912	0.3930354	0.0024881	0.5090479	0.4648724	0.0003726	0.5308255	0.5962581	0.0992963	0.5698202	0.3356318	0.6539856	0.5553184	0.3991539	0.0838039	0.3997769	0.3930865	0.6420349	0.7393889	0.4134839	0.1653123	0.6690672	0.6046610	0.4139674	0.7911332	0.1002980	0.6160917	0.4698714	0.7225168
0.3240038	0.7310480	0.2613462	0.2982806	0.8101576	0.3326198	0.6475338	0.2104476	0.3543833	0.1164453	0.4227337	0.1431584	0.1042559	0.0672025	0.0143834	0.4522292	0.5138482	0.6821880	0.4168524	0.7759317	0.6500037	0.0914984	0.3042214	0.1825879	0.3411185	0.8542241	0.4489463	0.3439017	0.3892937	0.4678949	0.1555104	0.0429485	0.0001358	0.0151011	0.7120387	0.5886381	0.4532247	0.0011642	0.0021195	0.4785533	0.3727353	0.6378864	0.7544528	0.2672119	0.4474719	0.6810846	0.5104855	0.6740243	0.3346560	0.0433457	0.6177670	0.3752521	0.6195461	0.2901555	0.7529768	0.4706341	0.2261699	0.5058566	0.6266463	0.5136929	0.5347030	0.3051370	0.1181918	0.1892385	0.0766614	0.3568266	0.2871839	0.2083678	0.5976033	0.1805042	0.1995675	0.0037879	0.1089746	0.0479006	0.2533944	0.6287111	0.0005399	0.4127597	0.5415475	0.3194688	0.1256709	0.7950631	0.5133303	0.3879156	0.3867041	0.2102763	0.2632158	0.5665621	0.2170348	0.6631324	0.6711223	0.4614514	0.7702931	0.4068619	0.3604700	0.8316854	0.0869076	0.7114827	0.4758117	0.6948815
0.4833202	0.7063932	0.2256398	0.2792747	0.4786035	0.3482802	0.5213411	0.2203139	0.0336144	0.1734528	0.4916353	0.0776778	0.1770868	0.1507718	0.0919202	0.5813942	0.5475236	0.5766234	0.5220053	0.5844040	0.6557271	0.0003380	0.3369313	0.1722389	0.3225178	0.4701742	0.2322178	0.3761635	0.2374926	0.2680400	0.0393789	0.0466949	0.0015270	0.0396120	0.7330271	0.7236324	0.4770594	0.0063023	0.0009580	0.4592152	0.3955344	0.6124791	0.5084593	0.2302334	0.2140713	0.5671905	0.4436226	0.5334580	0.5128977	0.0264902	0.2939016	0.4980575	0.5704489	0.5509549	0.6568665	0.3826239	0.2985851	0.6087281	0.2320921	0.3548843	0.1423476	0.4439466	0.4067347	0.0985537	0.0191342	0.6155304	0.2368855	0.1144727	0.6431644	0.3055365	0.2578675	0.0042214	0.1133376	0.0012193	0.3267468	0.6831225	0.0004804	0.5312540	0.5881116	0.1148411	0.2453081	0.3580537	0.6801315	0.4674234	0.3527931	0.1035058	0.6035516	0.5168643	0.2548734	0.7833498	0.7556473	0.4536615	0.6447802	0.4591108	0.5466163	0.7734928	0.2375941	0.7472106	0.6573245	0.6152434
0.3838981	0.6548884	0.1715241	0.2744750	0.5710750	0.3016282	0.5981704	0.1896242	0.4214182	0.1173701	0.4114423	0.1843821	0.0698996	0.1916541	0.0852125	0.4527458	0.4226790	0.7128581	0.3989846	0.4352907	0.6645872	0.3290639	0.4128478	0.1570510	0.3036180	0.5808014	0.4677201	0.1858195	0.2425181	0.6410075	0.2634651	0.0311141	0.0400242	0.0291288	0.6285169	0.6402068	0.4924405	0.0924373	0.2882767	0.6088269	0.4987028	0.5077735	0.7885708	0.4923130	0.4508571	0.7188534	0.6945187	0.4743142	0.5363414	0.0481645	0.4197238	0.5039628	0.6781961	0.6085212	0.6389301	0.4924193	0.2300658	0.6111153	0.0176159	0.4425759	0.1675150	0.4794144	0.5352086	0.7324817	0.1122994	0.3760875	0.5438344	0.2908868	0.7563044	0.3856486	0.2170887	0.0045497	0.1405153	0.0254152	0.3455153	0.7718604	0.0107842	0.3726297	0.5014519	0.0958502	0.3518518	0.5304469	0.5813931	0.3316794	0.3804432	0.0471225	0.3449718	0.1215897	0.3817124	0.1537034	0.6230933	0.3724658	0.4402191	0.6541037	0.3386762	0.6435574	0.3198023	0.6809997	0.6529991	0.6020110
0.4456147	0.7318917	0.5605179	0.5930486	0.5702395	0.1379755	0.7892748	0.2668558	0.3055095	0.0969369	0.4894828	0.1097754	0.0802161	0.1330409	0.0459176	0.4396551	0.6886985	0.2761614	0.2197480	0.5917822	0.5673998	0.3617617	0.3697052	0.3057046	0.4729178	0.5648234	0.3437551	0.2841423	0.1873667	0.3873690	0.0842355	0.0384753	0.0304862	0.0307716	0.6296335	0.6415048	0.2196470	0.1144250	0.0865968	0.5839949	0.6412974	0.6190116	0.7153467	0.3662371	0.4631797	0.6025479	0.3318113	0.4743424	0.4659012	0.1617670	0.6120718	0.3917656	0.7065161	0.6171250	0.7188926	0.3828054	0.2621936	0.7094211	0.2311910	0.2794175	0.1829145	0.7092828	0.4032127	0.4463078	0.0561861	0.6814065	0.3844653	0.2133852	0.5133858	0.3671677	0.2955182	0.0135389	0.2793282	0.0044001	0.5555977	0.6356708	0.1587902	0.5566721	0.6161414	0.0783415	0.5174757	0.2597199	0.5483826	0.4633243	0.5057806	0.1479022	0.3736955	0.2379880	0.7207824	0.8128307	0.7536856	0.5184489	0.7065673	0.6623494	0.6225353	0.7187688	0.3228567	0.6935852	0.5836151	0.7680159
0.4468309	0.6406517	0.3245601	0.2828290	0.6305071	0.2975059	0.7342675	0.2309112	0.1119209	0.1101747	0.5291078	0.1102093	0.1900579	0.1031930	0.0571407	0.5051987	0.7253359	0.5994112	0.4995728	0.6071153	0.5234462	0.5377554	0.4695391	0.1256200	0.5127439	0.3555324	0.2125086	0.5105089	0.4058488	0.2359982	0.1472275	0.0629348	0.0113777	0.0641577	0.8050765	0.7745705	0.3510232	0.0017711	0.0036328	0.6278290	0.2536574	0.7705609	0.7569785	0.2649746	0.3989537	0.5857429	0.4854429	0.3974222	0.7152388	0.0104602	0.4808325	0.3524611	0.6510317	0.4978399	0.8253439	0.3673877	0.3104721	0.5329233	0.4853533	0.4477942	0.6142443	0.2930227	0.1294807	0.1185071	0.0089221	0.7797211	0.3212805	0.1087750	0.4953355	0.5299367	0.4625830	0.0152520	0.4451666	0.0016659	0.1685080	0.5281477	0.4769742	0.6476453	0.6176308	0.2706923	0.1830095	0.5773624	0.6381154	0.3885596	0.4658676	0.2961658	0.1749298	0.4875614	0.7579055	0.4169971	0.6967167	0.3881584	0.6520714	0.4881272	0.5109829	0.7089228	0.2920733	0.4938854	0.5841607	0.5368518
0.0542311	0.7304262	0.2441630	0.3480929	0.6428434	0.2020602	0.5675485	0.3813225	0.1736387	0.1338628	0.3781511	0.1885843	0.1009562	0.0943057	0.0046273	0.4345359	0.5066924	0.3717997	0.1163836	0.7105951	0.6899003	0.4706318	0.6163874	0.0004064	0.5538682	0.7242558	0.4639381	0.3733993	0.2568814	0.3871059	0.5613285	0.0385182	0.0024282	0.0712587	0.6301117	0.6106113	0.2274432	0.0045936	0.0004207	0.7357242	0.4246925	0.6109956	0.7240891	0.3387569	0.5843278	0.6278494	0.7385523	0.4096272	0.6386287	0.4102948	0.5128901	0.4295214	0.6820946	0.4531156	0.6307532	0.4600694	0.3179886	0.5607350	0.1331115	0.3094797	0.1657322	0.6284263	0.5391688	0.2794553	0.1487938	0.4432544	0.4461866	0.0583111	0.6214595	0.6715489	0.2798207	0.0030048	0.4870023	0.0273403	0.2593900	0.6577457	0.0005561	0.4415513	0.4190562	0.0406702	0.1776547	0.4467988	0.6626359	0.4171182	0.5676852	0.2413524	0.2615103	0.1518187	0.6198654	0.5158408	0.8455774	0.3133791	0.7476147	0.7902413	0.4027539	0.6597077	0.1372313	0.5827771	0.5626904	0.5602007
0.3670959	0.6537905	0.4740255	0.4946665	0.7034670	0.1646182	0.2972875	0.1340699	0.0709841	0.2726181	0.2882592	0.1135362	0.0764270	0.0983929	0.0424837	0.6949265	0.4574232	0.5138929	0.3159045	0.2865181	0.6358840	0.5237709	0.3723245	0.1022723	0.2014276	0.7726110	0.3622999	0.3769079	0.2397240	0.4980225	0.2541552	0.0273462	0.0223930	0.0413966	0.7274257	0.6022571	0.5348885	0.0021767	0.0021048	0.4125871	0.6449365	0.6643647	0.6885663	0.5102425	0.5283823	0.7083821	0.4963127	0.6647796	0.6458167	0.1258756	0.4985668	0.4336886	0.6736052	0.6962471	0.7201676	0.3385671	0.2457866	0.6348959	0.1886675	0.2358751	0.1317524	0.5457976	0.4957392	0.4528835	0.0540977	0.3873416	0.3317087	0.1104251	0.6565848	0.2690393	0.2369570	0.0091568	0.0200313	0.0363645	0.5530722	0.5761323	0.0005178	0.4248301	0.4462962	0.1275259	0.3671267	0.2160387	0.6606841	0.4119867	0.4898981	0.1934434	0.2556494	0.3860280	0.2598606	0.6857791	0.6738366	0.3137803	0.7467169	0.6208500	0.4893377	0.6579950	0.2651692	0.2749929	0.5031526	0.3753900
0.5393354	0.7334593	0.4093332	0.3899532	0.6351084	0.1555302	0.7203443	0.2088599	0.2735539	0.2271328	0.3410046	0.1133205	0.0602208	0.1348838	0.0020454	0.7201893	0.4803947	0.6212797	0.3162349	0.3257637	0.6434879	0.0890651	0.5703224	0.3777211	0.4165273	0.6692864	0.4349386	0.1848320	0.2595108	0.7101054	0.1233049	0.0111618	0.0287723	0.0242070	0.5925559	0.6360256	0.3283314	0.1054757	0.0695799	0.3474565	0.4645682	0.6588782	0.6130122	0.3224953	0.4340869	0.6057553	0.6079924	0.3703013	0.5955845	0.3075467	0.6251203	0.6126923	0.7183376	0.5654985	0.6802967	0.6000857	0.3699381	0.4897171	0.1487306	0.3821849	0.2838895	0.5761343	0.4854611	0.2538398	0.0445984	0.7467888	0.5726932	0.0729671	0.7270449	0.5397546	0.4223475	0.0011640	0.3997892	0.0227683	0.2672207	0.6984074	0.0008695	0.3455847	0.3823870	0.1329440	0.5463069	0.2197034	0.7057119	0.4194326	0.4576204	0.1487133	0.4061526	0.4058448	0.7075046	0.6895399	0.6293360	0.4187099	0.5052879	0.6257281	0.3559232	0.8231844	0.1602426	0.4771136	0.3975870	0.5233660
0.3484782	0.6409886	0.1062961	0.2978039	0.4858894	0.3328586	0.6942180	0.2506809	0.3139010	0.1421254	0.5562128	0.1317569	0.1409193	0.1775069	0.0593194	0.2306976	0.7099020	0.4661831	0.5129713	0.4368232	0.7851403	0.5217115	0.4359247	0.3017507	0.6541337	0.6584064	0.4235018	0.0802770	0.0888967	0.4409899	0.0983744	0.0364932	0.0384596	0.0268317	0.6323624	0.4938654	0.2811111	0.0959799	0.1818724	0.5487389	0.3466961	0.6127572	0.6457262	0.2785924	0.4241505	0.8025761	0.6320181	0.2579401	0.6349717	0.1558765	0.5072166	0.4571841	0.6202592	0.5890330	0.6487425	0.3426919	0.4190398	0.5047284	0.4357672	0.4466089	0.4183443	0.6466400	0.2676397	0.6142978	0.1160969	0.3173458	0.4303664	0.0445186	0.6218601	0.5953024	0.4730154	0.0124101	0.4473831	0.0024446	0.3810652	0.4632254	0.0003565	0.4014633	0.6336098	0.1714090	0.2932635	0.3147832	0.5188527	0.5100864	0.5752828	0.1302743	0.3466701	0.4856237	0.6204638	0.4107995	0.6128147	0.1496153	0.7310301	0.4796346	0.3928008	0.5729651	0.3546235	0.6376801	0.5634943	0.7899903
