"Time"	uhpA	uhpT	crp	rhaR	rhaS	zraR	malI	melR	feaR	mtlR	prpR	ascG	marR	rbsR	fucR	chbR	nagC	uxuR	exuR	gutM	srlR	glcC	xylR	idnR	lsrR	galS	galR	dcuR	glpR	dgsA	malT	araC	tdcA	tdcR	hupB	hupA	gntR	cytR	yiaJ	hyfR	caiF	csgD	ompR	bolA	rstA	rob	marA	putA	pdhR	oxyR	rcsB	rcsA	gadE	ydeO	evgA	gadW	rutR	nemR	gadX	torR	soxS	soxR	fhlA	phoP	treR	fruR	glnG	cbl	nac	asnC	cysB	cpxR	baeR	flhC	hdfR	csgG	csgF	csgE	mdtE	mdtF	galK	galT	galM	galE	marB	micF	yhiD	hdeA	hdeB	galP	ygiB	manX	manY	ygiA	ygiC	manZ	tolC	gadA	fumC	gadC	mglB	gadB	mglA	mglC	acrA	acrB	idnD	uxuA	uxuB	nfo	xylA	malS	chbF	ptsI	idnK	gntK	xylB	gntU	acrD	nagA	ppiA	ptsH	idnO	chbC	chbG	crr	idnT	dctR	chbB	nupC	chbA	inaA	slp	zwf	rutB	focB	mtlD	hyfE	srlB	rutE	hyfF	hyfG	srlD	rutF	hyfB	hypF	mtlA	hyfI	hyfC	hyfH

0	0.6758031	0.8025108	0.6966968	0.6691351	0.7240964	0.4869409	0.1370819	0.3365969	0.4046852	0.5273695	0.4370937	0.6520602	0.0981836	0.6124060	0.4144361	0.6463815	0.1939815	0.4505392	0.6849549	0.4898256	0.2613983	0.7681131	0.5917392	0.3400967	0.7054123	0.7101592	0.2924114	0.7989133	0.4812869	0.5390884	0.6570873	0.6114648	0.5765364	0.7085067	0.6653445	0.5859213	0.6026443	0.5290551	0.2702073	0.6513589	0.3881914	0.0373706	0.2056844	0.4651273	0.6421156	0.3713513	0.1955404	0.1004069	0.6752282	0.2997373	0.7011267	0.5741596	0.0291271	0.6211905	0.6682735	0.1710312	0.7410572	0.1466019	0.0885333	0.7355331	0.5546038	0.6723657	0.7492072	0.5565167	0.0717812	0.7487518	0.0690003	0.3201189	0.0521889	0.4964649	0.7431105	0.5963341	0.5435838	0.0000974	0.7614456	0.0401706	0.1581713	0.0473477	0.2921932	0.4155732	0.3900290	0.0339143	0.0744502	0.6879353	0.7419804	0.6746999	0.2947084	0.6050460	0.2842736	0.3448982	0.7254431	0.4168372	0.3284847	0.4919957	0.2947554	0.5176310	0.1031184	0.1117061	0.5422980	0.0331586	0.1975564	0.0103427	0.1397513	0.3650401	0.4003933	0.2466572	0.4646086	0.6315572	0.3263709	0.3236058	0.6181868	0.5425287	0.3914657	0.4584981	0.4192968	0.5513154	0.1753254	0.6163071	0.5960869	0.6634220	0.3598499	0.0288351	0.3919852	0.0175996	0.0418383	0.0980445	0.4325197	0.3182622	0.2542389	0.0035805	0.2622331	0.1743614	0.4475277	0.2464424	0.3015700	0.5713989	0.0158377	0.5418135	0.7841022	0.0586232	0.6196855	0.6296092	0.1115896	0.6168884	0.6613791	0.1934683	0.2447649	0.7321844	0.5502812	0.6311684
100	0.5932912	0.7308550	0.7766918	0.5251015	0.7530047	0.5218959	0.1876944	0.3387762	0.5719914	0.5069499	0.4415092	0.6362808	0.1331929	0.6039191	0.3356351	0.5033753	0.2713100	0.4594787	0.7101150	0.4457085	0.3096566	0.6823784	0.7127214	0.3937025	0.7237007	0.5820593	0.2859903	0.7554683	0.3830891	0.4763574	0.6040564	0.6703228	0.6129337	0.2688877	0.6772406	0.6322733	0.6700101	0.5273430	0.3964713	0.7210690	0.4657957	0.0357568	0.2035384	0.4653093	0.7310960	0.3716482	0.3764913	0.1364323	0.6078589	0.3434776	0.1072957	0.6366772	0.0281208	0.7286821	0.5021997	0.4814971	0.1299425	0.0452373	0.1082421	0.0228006	0.5409592	0.3680087	0.5462451	0.6865762	0.0212956	0.7060743	0.0992597	0.4945276	0.0615051	0.6523588	0.2609948	0.7277171	0.5112333	0.0023354	0.3602743	0.0287106	0.3035594	0.0855136	0.1503400	0.3318102	0.4734445	0.0446272	0.0179383	0.6919874	0.6417102	0.5742642	0.2964905	0.6713707	0.2143974	0.2033550	0.6203384	0.4404406	0.3661624	0.5921138	0.3584343	0.4810627	0.2521466	0.1552897	0.4421656	0.0462552	0.3972386	0.0179481	0.1079605	0.3643044	0.5022485	0.2485817	0.3857819	0.5173961	0.2421721	0.4680815	0.4897612	0.6601948	0.1791306	0.4526983	0.6211601	0.7462810	0.1244697	0.5723799	0.4949786	0.1009922	0.2631132	0.0116316	0.3050812	0.0168098	0.0465422	0.2673765	0.2355451	0.2620055	0.2725269	0.0134207	0.2549483	0.6591961	0.2711276	0.2162325	0.3647860	0.7187842	0.0399939	0.4909332	0.6304749	0.1180729	0.5637055	0.7732004	0.1275783	0.5936660	0.6247656	0.1596368	0.4086664	0.5903652	0.5370269	0.6758203
200	0.6681297	0.6450039	0.5782384	0.6214558	0.7342417	0.4299103	0.2306707	0.3347711	0.5974133	0.4997763	0.4367294	0.5953907	0.0496328	0.5894940	0.3577244	0.5550178	0.2192927	0.4108218	0.7207102	0.3407845	0.2034811	0.5626155	0.6114142	0.3663384	0.6762890	0.6685569	0.2152405	0.7207536	0.3726257	0.4527628	0.6930572	0.7866383	0.6375164	0.2306642	0.5496625	0.6083153	0.6684713	0.3837592	0.3082089	0.7594567	0.4366333	0.0715959	0.2094840	0.5688273	0.5691964	0.3686670	0.4070600	0.1528072	0.7037062	0.3706541	0.0598821	0.5046239	0.0249830	0.6776584	0.6455416	0.5881459	0.0632117	0.1438535	0.3194128	0.0251144	0.4573398	0.4001282	0.5865898	0.6367612	0.0023301	0.7239145	0.1021188	0.4483319	0.0463578	0.7536486	0.1674972	0.5417677	0.5590064	0.0048328	0.3510101	0.0316208	0.3770183	0.1404850	0.2995584	0.4303215	0.3686411	0.0303033	0.0371633	0.6392427	0.6476598	0.5799295	0.2650109	0.4752259	0.0980964	0.2178378	0.7264434	0.4559831	0.4337003	0.6811774	0.3884568	0.3490489	0.0932463	0.1949089	0.4077866	0.0770274	0.4850463	0.0032824	0.1620925	0.2533943	0.4263485	0.1478224	0.4608149	0.5787343	0.2845484	0.4202608	0.5524615	0.5888331	0.2434023	0.5293421	0.7913692	0.7429390	0.1087817	0.5363158	0.5674239	0.0923407	0.3523205	0.0025465	0.2935738	0.0116638	0.0269748	0.3802330	0.2078449	0.3949457	0.2493778	0.0155154	0.2650526	0.5475646	0.2561369	0.2169649	0.3439790	0.4863987	0.0161984	0.4746266	0.5820048	0.1681328	0.7894854	0.6809232	0.1305907	0.6862672	0.5526584	0.1644668	0.3130319	0.6264957	0.4592184	0.6303187
300	0.6373226	0.6175748	0.5927946	0.4410399	0.6374186	0.4117347	0.1914529	0.2432283	0.6091231	0.4452351	0.4378086	0.7137474	0.0622943	0.5939627	0.2909907	0.6009827	0.2827995	0.5906282	0.7342880	0.4031337	0.2124469	0.6552086	0.8112302	0.3116524	0.6598020	0.6903984	0.2113299	0.5511925	0.3736625	0.3683077	0.6244576	0.5680952	0.5149809	0.2252164	0.6440515	0.7939711	0.7252487	0.3749553	0.3584452	0.5670319	0.3953989	0.0698700	0.2830179	0.4021851	0.6705372	0.3012517	0.4140332	0.1407439	0.6467681	0.3348670	0.0568805	0.4068737	0.2623176	0.7440516	0.7133636	0.6335003	0.0497031	0.1771899	0.3324632	0.0202693	0.3691860	0.3441717	0.6440306	0.6178541	0.0015264	0.7085717	0.0633368	0.4107129	0.0528225	0.7216138	0.1979406	0.6440808	0.5909031	0.0111929	0.3143495	0.0304216	0.2934019	0.1503271	0.3605397	0.4903218	0.5178111	0.0064832	0.0219963	0.6194151	0.6418188	0.5761694	0.3199949	0.3842368	0.1267694	0.2029339	0.6018838	0.3944310	0.3555587	0.6317140	0.2094957	0.4085393	0.1132719	0.1400446	0.3821589	0.1287053	0.4257616	0.0120979	0.1653330	0.3530804	0.5210046	0.1917755	0.4890032	0.5406332	0.2387388	0.3598229	0.5341226	0.7118766	0.1788495	0.5272686	0.6213312	0.5523747	0.1606703	0.6477945	0.6915850	0.1212920	0.3788882	0.0003949	0.3779219	0.0304387	0.0255886	0.3523690	0.1933436	0.4812675	0.1917073	0.0063450	0.2581821	0.5547214	0.3184539	0.1782266	0.3736976	0.6170675	0.0095162	0.3959004	0.6185950	0.1170983	0.7368928	0.5831987	0.1396541	0.5578304	0.5461092	0.2148332	0.1762754	0.6296635	0.5150707	0.5601458
400	0.7132289	0.5480832	0.7080783	0.5042618	0.6644784	0.5048376	0.1521195	0.3777845	0.4656453	0.4878146	0.3203471	0.5945742	0.0716978	0.7814916	0.4019634	0.5328330	0.1836500	0.4731276	0.6255221	0.4856395	0.1585287	0.5993078	0.7039555	0.3394771	0.6640057	0.6810894	0.2623053	0.7368714	0.4746944	0.4657169	0.6558521	0.6219726	0.6822654	0.2137700	0.8316276	0.8140648	0.7383890	0.4098978	0.2798967	0.6475369	0.4213557	0.1114956	0.2245816	0.4635118	0.6338047	0.3430056	0.2742931	0.1102524	0.5157009	0.3558426	0.0371248	0.3729242	0.4220516	0.5619949	0.6185972	0.7185012	0.0422452	0.1787427	0.3308880	0.0026166	0.3428367	0.3589580	0.7342424	0.6552329	0.0011940	0.6476017	0.0783844	0.4035018	0.0249859	0.7136021	0.1989977	0.5941541	0.6287536	0.0279633	0.3181071	0.0449896	0.3265763	0.1655186	0.4943180	0.6219622	0.4784535	0.0353207	0.0334340	0.6902084	0.6327990	0.6689274	0.4771946	0.3939405	0.0963382	0.2632356	0.6971227	0.5580353	0.4948828	0.7153926	0.2068590	0.4643079	0.0982679	0.2140781	0.4443920	0.1651815	0.3858124	0.0012708	0.1282392	0.3166114	0.5592962	0.1854138	0.3704746	0.5947912	0.2362996	0.3507904	0.6172639	0.6708923	0.1181788	0.5954287	0.5915767	0.5922644	0.1907347	0.5372709	0.6186672	0.1560590	0.3345509	0.0000434	0.4095945	0.0227862	0.0563625	0.2887226	0.1781822	0.4822031	0.3251893	0.0309572	0.1660960	0.5899814	0.2802194	0.1774014	0.3869212	0.5391582	0.0089340	0.4235586	0.6336521	0.0986973	0.6545856	0.6246995	0.1938404	0.6198996	0.5881606	0.1511571	0.2559056	0.6573087	0.6047555	0.6029845
500	0.6451825	0.6787758	0.6398348	0.5497095	0.7309458	0.4823300	0.1655219	0.3292910	0.5554279	0.4714240	0.3443491	0.6144285	0.0714668	0.6754108	0.3517215	0.5813835	0.1591346	0.4432895	0.6627055	0.4748956	0.3563400	0.7100653	0.7098857	0.3485439	0.6243929	0.6261693	0.2790809	0.5901077	0.4252331	0.4701547	0.8541511	0.6243708	0.6177841	0.2283811	0.6915243	0.6654754	0.6902110	0.5857356	0.2995804	0.6350686	0.3839585	0.1227024	0.3104180	0.4805458	0.7143760	0.3500866	0.4244637	0.1200680	0.6326606	0.3129626	0.0721156	0.3789599	0.3388086	0.6425671	0.6050369	0.6363845	0.0617205	0.2585678	0.4548980	0.0177947	0.4135288	0.4698763	0.6614035	0.6537574	0.0028658	0.7259937	0.0843637	0.4356031	0.0361760	0.6525268	0.2163280	0.5429004	0.6849900	0.0249872	0.3388920	0.0610538	0.3286324	0.1985633	0.5192769	0.5806273	0.4062802	0.0224136	0.0181162	0.6115700	0.6416921	0.5692829	0.5121850	0.4650435	0.0782931	0.2001520	0.6611877	0.4724781	0.3541264	0.5289972	0.2377685	0.4195239	0.1294099	0.2354638	0.4295606	0.2437858	0.5092284	0.0044291	0.1369509	0.3358809	0.5346045	0.2476248	0.3670022	0.3880767	0.2174262	0.3616888	0.6030082	0.6302312	0.1612261	0.6579366	0.7131598	0.5812508	0.1684811	0.5793484	0.5525547	0.0625815	0.3801884	0.0000210	0.3096706	0.0276764	0.0347014	0.3189949	0.2622731	0.5526747	0.1831068	0.0137733	0.2295554	0.5643235	0.3104748	0.2014928	0.2768533	0.5145251	0.0176640	0.4984549	0.6182273	0.1539755	0.5775063	0.7621608	0.1325629	0.6821626	0.5489174	0.1401749	0.2370792	0.5878158	0.6415981	0.6244237
600	0.5932015	0.6793468	0.5559383	0.5727755	0.5616058	0.4419181	0.1478771	0.3501409	0.6255877	0.4477365	0.4342156	0.5644437	0.0977979	0.5498298	0.3335803	0.5920498	0.1925493	0.4036221	0.5941369	0.4502560	0.2387912	0.6558723	0.8252015	0.2964398	0.7198686	0.5760145	0.3022685	0.6547413	0.4447530	0.5028880	0.7248149	0.6167645	0.6640560	0.2170488	0.6546821	0.7947519	0.6152733	0.4570569	0.2918943	0.6387319	0.5089559	0.0688446	0.2498043	0.5135996	0.5832850	0.4427299	0.4487660	0.1869211	0.5968711	0.4515567	0.0734055	0.5233164	0.4963942	0.6153983	0.6654083	0.5671179	0.0555384	0.2310661	0.4035472	0.0095978	0.4380326	0.3393174	0.6777901	0.6838939	0.0015293	0.7164814	0.0573914	0.4644205	0.0547579	0.5489848	0.1584439	0.5884820	0.6633560	0.0105065	0.3421283	0.0665074	0.3622191	0.2238085	0.4835492	0.6004473	0.4363221	0.0240760	0.0443441	0.6397436	0.6592821	0.7232597	0.5500238	0.4205433	0.0816676	0.2622248	0.6111545	0.4652737	0.3389361	0.6901801	0.3263492	0.2647409	0.2492736	0.3392003	0.4666093	0.4078874	0.5066794	0.0075296	0.1128618	0.3446959	0.5219897	0.2477582	0.3563193	0.5615703	0.2767793	0.3453648	0.5538542	0.7461690	0.1836527	0.4987784	0.7564042	0.6499110	0.1445792	0.5643409	0.6156468	0.0793478	0.3192035	0.0000307	0.3950084	0.0362429	0.0883561	0.3750461	0.1748966	0.6116600	0.2685957	0.0092064	0.3312526	0.6878477	0.3133310	0.1850060	0.4583158	0.6191721	0.0115567	0.5172739	0.5955761	0.1331895	0.6050844	0.8544607	0.1661858	0.6859620	0.5994008	0.1324857	0.2957844	0.5954068	0.7648983	0.7078179
700	0.5625652	0.6585879	0.5102207	0.6178824	0.6572182	0.4768297	0.1956247	0.3685976	0.5728237	0.5519972	0.4247727	0.6653673	0.0716216	0.6951356	0.4172946	0.5703058	0.2886025	0.4031452	0.6936410	0.4507385	0.2713410	0.7005070	0.6331878	0.3841298	0.6600620	0.6476645	0.2521173	0.6047956	0.5076356	0.6922483	0.8211452	0.7607723	0.5946344	0.2897850	0.8234204	0.7559751	0.5525476	0.5568968	0.1557273	0.6556364	0.4589711	0.0617984	0.1706801	0.5713200	0.6685649	0.4437790	0.4125413	0.1987900	0.7957817	0.3569547	0.0911685	0.3934541	0.4070400	0.6015281	0.5505205	0.7756809	0.0415370	0.2387267	0.3775826	0.0070366	0.3712454	0.3253818	0.6519577	0.6887957	0.0038854	0.6330493	0.0702606	0.4858976	0.0588316	0.5305905	0.1517210	0.6552140	0.6375296	0.0073398	0.2865929	0.0743681	0.3403608	0.1674913	0.5680148	0.6542386	0.4548763	0.0065058	0.0493813	0.6815082	0.7499563	0.5543219	0.5104751	0.4339278	0.0650390	0.2890154	0.6261004	0.4686756	0.4115703	0.5846012	0.3079539	0.3432582	0.1092069	0.3241766	0.4031170	0.3846474	0.4335134	0.0103502	0.1022795	0.3172819	0.5310283	0.2557628	0.4313059	0.5002997	0.2584103	0.3210266	0.5400085	0.7640623	0.1063558	0.5188703	0.7262760	0.6756027	0.1890394	0.5757874	0.6112055	0.0829632	0.2853755	0.0007584	0.4378500	0.0267765	0.0564939	0.3772916	0.1586863	0.6601842	0.2772580	0.0237360	0.3429714	0.7453651	0.3652621	0.1469121	0.3548273	0.6296477	0.0093385	0.4464798	0.5995620	0.1750719	0.6834780	0.6735485	0.1335863	0.6336507	0.5536562	0.1557263	0.2228352	0.5997409	0.6797686	0.7603568
800	0.7891884	0.6668933	0.6090710	0.7043027	0.5736590	0.4819248	0.1613961	0.3462391	0.4415620	0.5617891	0.4471408	0.6710783	0.0546563	0.5651755	0.3914944	0.5639646	0.2282892	0.5619184	0.7537011	0.4616846	0.1770859	0.6987737	0.6622382	0.3477351	0.5606661	0.7132629	0.2408446	0.6555678	0.4791166	0.4033321	0.6171933	0.5709895	0.7130722	0.1836885	0.7093725	0.7650458	0.6342931	0.3715481	0.3094911	0.6939904	0.4197349	0.0687651	0.2325854	0.4515078	0.6564006	0.5097062	0.4921532	0.1024744	0.6987870	0.3332307	0.1265815	0.3289177	0.3853718	0.5959806	0.6929117	0.6082356	0.0692600	0.2189357	0.4358954	0.0194528	0.3478866	0.3043272	0.6657423	0.6041724	0.0068599	0.6104797	0.0951051	0.4635598	0.0500227	0.5938078	0.1939727	0.6202492	0.6822210	0.0403544	0.3900708	0.0517593	0.3505452	0.1372513	0.4359999	0.6382904	0.3917690	0.0302634	0.0738753	0.5776102	0.6258039	0.5963531	0.6006562	0.4552539	0.0495403	0.2771480	0.6778722	0.4499014	0.3824161	0.6914297	0.2867324	0.4075761	0.1666129	0.3275508	0.3854786	0.3688694	0.3912262	0.0194445	0.1515568	0.3369692	0.5412541	0.1951260	0.2931090	0.5961162	0.2576600	0.3599065	0.6371119	0.8818989	0.1059883	0.5048614	0.5809509	0.6463013	0.1276794	0.4789269	0.6536817	0.0670649	0.3345462	0.0001507	0.4689731	0.0329685	0.0265961	0.3810988	0.2455291	0.6797263	0.2886333	0.0102322	0.2442046	0.6861032	0.2823265	0.1777433	0.4059986	0.6040499	0.0171203	0.6123047	0.6552960	0.2100724	0.6790201	0.6830412	0.1366239	0.6686118	0.6010534	0.1920722	0.2174770	0.5891968	0.5892385	0.7111564
