"Time"	uhpA	uhpT	crp	rhaR	rhaS	zraR	malI	melR	feaR	mtlR	prpR	ascG	marR	rbsR	fucR	chbR	nagC	uxuR	exuR	gutM	srlR	glcC	xylR	idnR	lsrR	galS	galR	dcuR	glpR	dgsA	malT	araC	tdcA	tdcR	hupB	hupA	gntR	cytR	yiaJ	hyfR	caiF	csgD	ompR	bolA	rstA	rob	marA	putA	pdhR	oxyR	rcsB	rcsA	gadE	ydeO	evgA	gadW	rutR	nemR	gadX	torR	soxS	soxR	fhlA	phoP	treR	fruR	glnG	cbl	nac	asnC	cysB	cpxR	baeR	flhC	hdfR	csgG	csgF	csgE	mdtE	mdtF	galK	galT	galM	galE	marB	micF	yhiD	hdeA	hdeB	galP	ygiB	manX	manY	ygiA	ygiC	manZ	tolC	gadA	fumC	gadC	mglB	gadB	mglA	mglC	acrA	acrB	idnD	uxuA	uxuB	nfo	xylA	malS	chbF	ptsI	idnK	gntK	xylB	gntU	acrD	nagA	ppiA	ptsH	idnO	chbC	chbG	crr	idnT	dctR	chbB	nupC	chbA	inaA	slp	zwf	rutB	focB	mtlD	hyfE	srlB	rutE	hyfF	hyfG	srlD	rutF	hyfB	hypF	mtlA	hyfI	hyfC	hyfH

0	1.0592563	1.0170106	1.0354873	0.9245606	1.1245686	0.7437859	0.2259635	0.6525231	0.6558109	0.8203234	0.6969902	1.0161604	0.1591934	0.9531429	0.6055987	0.8828312	0.3142654	0.6188290	1.0962774	0.6301890	0.3918611	1.1110863	1.0448513	0.5679795	1.0005210	1.0719126	0.4403610	0.9640403	0.7778621	0.8163721	1.0454798	0.9288214	0.9376438	1.0784644	0.9551780	0.9613285	0.9730965	0.7554793	0.4198650	0.9000297	0.6548300	0.0666802	0.2675875	0.7869060	0.9751958	0.7181649	0.2955246	0.0853381	1.0299839	0.5460346	1.0252728	1.0308604	0.0619402	0.9836092	1.0082489	0.2920688	1.0012717	0.1726408	0.1327379	1.0662070	0.7192637	1.0291423	1.0023674	1.0163836	0.0971962	1.0365781	0.1140022	0.4788309	0.0759339	0.9280769	1.0209597	0.9735517	0.8401373	0.0002281	1.0618078	0.0510400	0.2136815	0.0623458	0.3913045	0.5492159	0.6083128	0.0629653	0.1020336	0.9332718	0.9811376	0.9321926	0.5004654	0.9424649	0.5259975	0.5807670	0.9994799	0.6909739	0.5530976	0.6719682	0.3534261	0.6474917	0.1721540	0.1385724	0.8303089	0.0697905	0.2749400	0.0233965	0.2640399	0.4522768	0.5470946	0.3986398	0.6162880	0.8155497	0.3823971	0.5861174	0.8843523	0.7071927	0.6483381	0.6726740	0.7421807	0.8871133	0.2336931	0.9448783	0.9786410	1.0004593	0.4900917	0.0709872	0.5999522	0.0360368	0.0999461	0.1367116	0.7656989	0.4727413	0.3702439	0.0151906	0.4306142	0.2681424	0.6809380	0.3279992	0.5161103	0.9755152	0.0423289	0.7474404	0.9683514	0.0890330	0.8828830	0.9701009	0.2107469	0.8992574	0.9423652	0.2657058	0.4388268	0.9954413	0.9046663	0.9962624
100	1.0316323	1.0148569	1.0254715	0.8621957	0.9540569	0.6988410	0.2663456	0.5133876	0.8194037	0.8114544	0.6584237	1.0113026	0.1678210	0.9914629	0.4727893	0.7849829	0.3465979	0.6631202	1.0364416	0.5329102	0.5106089	0.9775154	1.0346659	0.5145914	1.0124540	0.9864975	0.4027967	1.0441791	0.6063946	0.6894899	0.9956405	1.0657051	0.9746974	0.4018952	1.0555371	1.0187159	1.0636087	0.7825784	0.4710020	0.9367099	0.6375480	0.0706148	0.3320706	0.7718061	1.0127183	0.6332628	0.6447460	0.2083765	1.0354736	0.5619249	0.1861661	1.0487846	0.0403588	1.0940757	0.9681984	0.9314727	0.1380562	0.1066966	0.1419077	0.0315877	0.8242662	0.6001627	0.9913804	1.0250475	0.0168725	1.0180153	0.1583259	0.6639532	0.0797886	0.9269679	0.3425445	1.0742643	0.9374280	0.0051607	0.5186896	0.0462447	0.4556007	0.1602251	0.3103741	0.5706008	0.6664405	0.0319480	0.0427611	0.8990590	1.0001147	0.9476158	0.4299000	0.9716222	0.2945982	0.3448540	0.9783485	0.6548360	0.5551502	0.9396643	0.5477959	0.7103433	0.3521483	0.2771236	0.7644685	0.0618977	0.6583383	0.0095715	0.2030475	0.4399059	0.6868055	0.4004205	0.6154275	0.8418540	0.3856065	0.6583747	0.7590470	0.8959424	0.2500634	0.8048577	1.0142366	0.9257678	0.1756521	0.8238221	0.8616796	0.1474355	0.4636798	0.0089450	0.5302414	0.0272860	0.0705648	0.4904143	0.3911804	0.4561654	0.4069733	0.0331743	0.3487107	0.8772777	0.3735254	0.3845955	0.4980636	0.9491102	0.0394082	0.7222742	0.9874542	0.1556199	0.9433084	1.0542216	0.2050678	0.9428884	0.9204589	0.2316327	0.4808679	0.9926037	0.8876836	0.9524834
200	0.9776706	1.0248182	0.9686128	0.9483414	1.0176993	0.6358005	0.2147115	0.4777533	0.8694079	0.8176773	0.5974867	0.9774858	0.1318134	0.9893301	0.5793332	0.8113210	0.3414027	0.5763602	1.0230923	0.6542501	0.3595956	0.9784232	0.9663656	0.5065901	0.9885191	1.0315696	0.3846539	0.9932365	0.6550113	0.7372297	1.0226672	1.0380637	0.9124076	0.3620968	0.9685253	1.0365941	0.9605668	0.6814835	0.4454141	1.0394586	0.6099147	0.1061032	0.3058232	0.8244344	0.9618214	0.5327130	0.5800914	0.2755995	1.0489822	0.6076181	0.0981114	0.8216258	0.0489726	1.0684388	1.0467247	0.9520126	0.0994636	0.2363145	0.4557865	0.0267743	0.6408668	0.5114229	1.0503519	0.9683742	0.0021237	0.9784284	0.1739516	0.6952846	0.0793038	0.9873031	0.2489877	0.9831327	0.9646361	0.0073388	0.5259628	0.0390311	0.5375505	0.2373558	0.3783601	0.7262755	0.5845046	0.0331441	0.0588259	0.8890194	1.0144497	0.9632530	0.4322588	0.6956455	0.1493167	0.3209849	0.9317509	0.6471085	0.5690217	0.9753342	0.4802638	0.5867925	0.1955652	0.1984197	0.6534313	0.1204051	0.7084502	0.0101901	0.2259821	0.4779362	0.6655693	0.2849961	0.6555048	0.8185565	0.3515030	0.5301204	0.8342979	0.9434649	0.2585816	0.7636419	1.0368257	0.9699911	0.2300536	0.8679886	0.9060437	0.1651686	0.5744541	0.0032231	0.5588325	0.0130819	0.0278735	0.5060931	0.3368770	0.6408466	0.3771872	0.0166616	0.3843903	0.9091163	0.3747079	0.2845568	0.5462362	0.8743135	0.0247568	0.7114348	0.9645532	0.2338497	0.9707081	0.9741996	0.2114154	0.9099208	0.8007661	0.2069526	0.4189521	0.9246672	0.8539752	0.9714652
300	0.9968461	0.9773743	1.0537188	0.8485521	0.9750876	0.5819414	0.3038615	0.3774862	0.7514731	0.7915896	0.6049386	1.0008943	0.1043179	0.9238903	0.4787110	0.8354786	0.3813896	0.6547004	1.0308102	0.6272479	0.3875979	0.9854217	1.1674205	0.5059376	0.9910176	1.0158669	0.3489727	0.9745021	0.5690288	0.5887207	0.9729157	0.9374863	0.8316427	0.3567079	0.9956387	1.0575955	1.1027481	0.6900039	0.5322131	0.8831577	0.5743040	0.1295568	0.4227650	0.7344098	1.0601316	0.6009356	0.5954762	0.2195514	1.0297023	0.4871868	0.1011154	0.6883451	0.4081247	1.0293679	0.9022420	1.0324494	0.0741610	0.2926761	0.5837384	0.0261979	0.6230722	0.5483166	1.0205239	0.9590087	0.0016166	1.0090368	0.1193246	0.6415879	0.0739134	0.9808697	0.2817937	0.9430963	0.8634033	0.0178040	0.5433018	0.0491994	0.5011947	0.2558799	0.6334993	0.8041478	0.6851581	0.0160071	0.0404155	0.9444618	1.0103632	1.0052089	0.4957657	0.6151051	0.0988564	0.3319914	0.9802761	0.6422371	0.5473737	0.9205362	0.3481595	0.6110006	0.1510266	0.1628142	0.6406261	0.2034109	0.6836269	0.0095537	0.1728514	0.4722781	0.8295490	0.3458236	0.6061205	0.7778320	0.3620650	0.4866897	0.8831476	0.9348608	0.2352867	0.7926739	0.9621296	0.9412136	0.2445754	0.7614932	0.9650867	0.1438102	0.5207302	0.0003577	0.5760315	0.0446273	0.0360852	0.5609532	0.2784566	0.8088471	0.3315654	0.0118714	0.3825833	0.9917975	0.4505865	0.2945493	0.5422049	0.9029074	0.0151495	0.7035575	0.9479598	0.1928797	1.0822267	1.0237193	0.2212200	0.9058732	0.9267407	0.2978335	0.3662152	1.0672532	0.8186223	0.9161009
400	1.0170092	0.9527067	1.0309946	0.8662085	1.0490841	0.6815726	0.2481467	0.5964283	0.7581842	0.7507988	0.5441375	0.9550570	0.1174422	0.9983400	0.5342201	0.9158571	0.3467893	0.6714616	0.9653888	0.7015118	0.3264265	1.0248278	1.0605723	0.5373102	1.0246331	0.9856739	0.3886065	1.0813659	0.6903916	0.7121296	1.0393999	1.0453114	0.9032891	0.3085772	1.0932568	1.0617303	1.0417917	0.7727854	0.3871657	0.9468988	0.6415580	0.1421571	0.3011088	0.7205393	1.0421213	0.5112446	0.4594969	0.1779942	0.9221617	0.5270347	0.0835149	0.6137828	0.4531527	0.8445073	0.9813156	0.9479693	0.0823326	0.2878062	0.5708772	0.0051211	0.5882702	0.5053368	1.0686128	0.9630000	0.0037230	0.9897372	0.1003687	0.6830855	0.0619875	0.9634996	0.2760591	1.0428809	1.0062581	0.0228536	0.5413241	0.0503486	0.5374152	0.2485246	0.7372462	0.9051787	0.6245053	0.0300286	0.0640043	0.9819298	0.9519750	1.0242982	0.7684949	0.6261597	0.1125677	0.3639636	1.0094597	0.6887314	0.6704455	1.0553682	0.3878264	0.6493979	0.1449250	0.2535584	0.7275768	0.2127249	0.6538020	0.0057997	0.1881961	0.4466458	0.8998172	0.2968224	0.6022690	0.9050397	0.3469532	0.5348027	0.8917408	0.9490702	0.2132042	0.8211568	0.9650983	0.9487763	0.2706376	0.8386988	0.9361075	0.1619029	0.5640418	0.0001259	0.7048628	0.0311495	0.0601810	0.4517443	0.2655019	0.8106603	0.3697043	0.0285626	0.3221724	0.9936033	0.4321129	0.2483759	0.5316809	0.8189309	0.0100302	0.7828021	0.9924376	0.1722474	1.0003045	1.0310314	0.2104017	0.9646044	0.9180931	0.2605470	0.3881237	0.9851733	0.8494506	0.9850313
500	0.8590985	1.0220153	0.9695265	0.8977367	1.0317771	0.6724471	0.2831202	0.5054950	0.8280005	0.7857096	0.5837453	0.9255217	0.1146363	0.9481628	0.5611193	0.9336209	0.2720866	0.6640951	0.9930500	0.6568829	0.5545806	1.0120898	0.9958328	0.5907800	1.0362564	1.0318683	0.3819356	1.0379349	0.6283221	0.5945421	0.9829425	0.9614054	0.8837473	0.3024520	0.9488728	1.0615962	1.0093151	0.7141284	0.4640090	0.9792818	0.6014704	0.1334530	0.3786803	0.7680867	0.9360487	0.6199416	0.4889882	0.2079923	1.0015573	0.5020254	0.1009308	0.5724979	0.5054276	1.0128946	0.9812340	0.9212421	0.0888785	0.3695193	0.6153792	0.0188822	0.6475414	0.5585638	0.9687715	1.0442088	0.0056908	1.0776183	0.1048258	0.6192121	0.0711575	1.0246554	0.2861399	0.9458381	0.9677049	0.0259609	0.5754371	0.0902358	0.5127779	0.3219233	0.8564112	0.8769275	0.5636279	0.0227023	0.0467198	0.8421107	1.0156298	0.9011080	0.8056074	0.6121229	0.1050385	0.3214123	1.0115857	0.6644951	0.5733153	0.9206040	0.3555042	0.6002359	0.1704656	0.3325564	0.6727884	0.4338048	0.7214278	0.0055253	0.1553747	0.4801038	0.8234401	0.3248934	0.5462971	0.7531274	0.3621799	0.4712025	0.9156555	0.9703097	0.2571104	0.8520233	1.1026587	0.9576741	0.2321063	0.7870369	0.8956065	0.1363008	0.4854961	0.0000051	0.5895923	0.0201257	0.0839188	0.5274103	0.3801740	0.8865169	0.3473990	0.0287151	0.4079337	0.9222509	0.4211998	0.2538058	0.4823524	0.8360074	0.0236742	0.7388021	0.9854308	0.1590793	0.9837175	1.0445820	0.2751207	0.9211592	0.7925658	0.2401075	0.3871631	0.9895728	0.9563753	0.9973594
600	0.9459161	0.9491863	0.9511517	0.8834971	1.0041835	0.7041750	0.2509971	0.5623986	0.8666337	0.6386771	0.6685826	0.9195970	0.1431712	0.9664692	0.5278916	0.8527176	0.3186600	0.6023762	0.9486212	0.6222920	0.5100172	1.0228865	1.0917220	0.5025519	1.0057866	0.9192092	0.4150763	1.0340892	0.7030629	0.7100728	1.0210058	0.9735094	0.9109271	0.2916069	1.0382129	1.0342960	1.0661387	0.7162945	0.4353162	1.0123652	0.6682231	0.1069764	0.3518644	0.7466665	0.9486241	0.6179163	0.5798688	0.2704239	0.9641100	0.5303537	0.1293690	0.6124469	0.6360683	0.9864850	1.0118239	0.9253180	0.0908414	0.3589486	0.7236584	0.0132977	0.6189970	0.4907338	0.9917260	1.0880244	0.0048450	1.0545972	0.1108386	0.6855753	0.0948080	0.9508978	0.2366588	0.9553536	1.0026716	0.0161560	0.5741273	0.0962027	0.5031790	0.3467650	0.7220644	0.9367930	0.6309957	0.0465357	0.0554840	0.9276425	0.9287035	0.9832817	0.8469690	0.6228757	0.0937956	0.3732404	0.9871113	0.6547591	0.5575310	1.0021172	0.4701601	0.4892148	0.3163655	0.4933563	0.6905743	0.5692130	0.8152783	0.0039954	0.1741820	0.4561674	0.7963222	0.3581261	0.6002261	0.8859333	0.3542987	0.5286935	0.8632933	0.9769084	0.2272643	0.7791328	1.0284313	0.9601188	0.2215479	0.8238415	0.9898641	0.1253889	0.5148503	0.0000471	0.5860129	0.0386462	0.1161004	0.5008863	0.2780955	0.8496901	0.4014718	0.0251452	0.4577293	0.9587566	0.4757422	0.3099545	0.5866797	0.8741879	0.0194037	0.7249256	0.9380805	0.2110270	0.9988181	1.0405405	0.2124932	0.9528998	0.8691798	0.2202051	0.3880413	0.8634856	0.9710469	0.9822258
700	0.9573394	0.9541858	0.9300562	0.9177788	0.9549283	0.7478936	0.2736132	0.5790679	0.7885727	0.7486454	0.5820418	0.9715692	0.1421861	0.9724529	0.6351180	0.8312836	0.3849310	0.6592353	1.0848503	0.6393471	0.3695155	1.0490461	1.0082327	0.5648587	1.0094459	0.9355538	0.4580569	1.0010624	0.7081241	0.8315170	1.0820826	1.0010008	1.0016830	0.3667604	1.0433572	1.0159848	0.9509114	0.7807716	0.3343160	0.9725277	0.7200230	0.1440959	0.2698983	0.7640044	1.1050575	0.6682678	0.5734796	0.3026797	1.0197046	0.5071218	0.1126744	0.5489860	0.6194296	0.9794376	0.9620551	1.0544459	0.0853614	0.3837094	0.6417892	0.0158541	0.5662006	0.5498698	0.9697706	1.0149519	0.0059161	0.9821140	0.1176283	0.7329353	0.0858895	0.8531881	0.2374935	1.0084965	1.0157467	0.0108042	0.4649488	0.0803694	0.5511849	0.2603697	0.8253629	0.9450136	0.6109704	0.0210644	0.0815213	1.0476455	1.0281611	0.9315385	0.8294237	0.6870658	0.1034475	0.3630641	0.9214107	0.6477035	0.5922010	0.9345416	0.4480181	0.5438808	0.1847930	0.5437522	0.6991644	0.6637173	0.7477233	0.0156812	0.2296921	0.4593512	0.7872613	0.3114606	0.6086873	0.7731318	0.3874419	0.4878426	0.9335601	1.0864035	0.2111774	0.7490390	0.9446500	0.9720828	0.2692135	0.8259289	0.9776799	0.1190159	0.5212237	0.0005857	0.5474558	0.0304253	0.0858680	0.5530231	0.2875348	0.9242220	0.3889775	0.0213752	0.4620167	0.9956867	0.4817661	0.2764850	0.5266126	0.8038765	0.0186145	0.7573711	0.9368228	0.2892834	1.0211827	0.9625079	0.2080818	0.9853718	0.8891305	0.2160183	0.4522326	1.0187974	0.8988955	0.9351262
800	1.0227565	0.9867438	0.9901944	0.9188217	0.8934196	0.6973415	0.2499449	0.5263584	0.7614026	0.7996000	0.6675310	1.0322705	0.1154764	0.9275177	0.5679288	0.8917250	0.3653495	0.6263850	1.0359001	0.6804527	0.3366891	1.0082443	0.9866615	0.5965144	0.9680874	0.9198355	0.3715178	0.9825785	0.6876286	0.5880363	0.9949280	0.9322576	0.9919438	0.3365816	1.0267283	1.0637283	1.0304883	0.6493490	0.4436549	1.0174801	0.6421635	0.1144348	0.3525098	0.7426061	1.0090496	0.6720938	0.6161369	0.1831248	1.0421621	0.5403561	0.1194603	0.5441776	0.6157596	1.0006936	1.0593188	0.9947960	0.1090847	0.3563829	0.6410463	0.0211255	0.5798258	0.4645333	1.0544814	0.9972464	0.0083389	1.0124591	0.1165469	0.7214040	0.0865169	0.8989928	0.2874314	0.9673832	0.9651413	0.0113788	0.5589717	0.0682215	0.4732051	0.2311945	0.6788392	0.9115687	0.5956521	0.0565953	0.0592973	0.8176992	0.9466204	1.0257828	0.9179193	0.7430308	0.0947341	0.4000549	0.9854872	0.6355718	0.5482945	1.0395303	0.4205724	0.6337949	0.2325068	0.4702889	0.6330634	0.5833193	0.7015657	0.0106797	0.2084724	0.4902383	0.7870416	0.3326000	0.5894692	0.7993515	0.3453616	0.5124636	0.8873076	0.9710065	0.1821380	0.7222889	0.8772045	0.9814057	0.2078480	0.8342054	0.9003685	0.1321256	0.5613574	0.0002338	0.6037237	0.0387174	0.0552239	0.5516997	0.3145016	0.9114234	0.3572603	0.0262271	0.3836773	1.1165523	0.4426981	0.3069926	0.5903260	0.8569611	0.0290683	0.7448533	0.9563943	0.2624237	1.0668077	1.0590423	0.2311974	0.8607193	0.8377348	0.2525477	0.3660596	0.9024227	0.8696859	1.0075452
