"Time"	uhpA	uhpT	crp	rhaR	rhaS	zraR	malI	melR	feaR	mtlR	prpR	ascG	marR	rbsR	fucR	chbR	nagC	uxuR	exuR	gutM	srlR	glcC	xylR	idnR	lsrR	galS	galR	dcuR	glpR	dgsA	malT	araC	tdcA	tdcR	hupB	hupA	gntR	cytR	yiaJ	hyfR	caiF	csgD	ompR	bolA	rstA	rob	marA	putA	pdhR	oxyR	rcsB	rcsA	gadE	ydeO	evgA	gadW	rutR	nemR	gadX	torR	soxS	soxR	fhlA	phoP	treR	fruR	glnG	cbl	nac	asnC	cysB	cpxR	baeR	flhC	hdfR	csgG	csgF	csgE	mdtE	mdtF	galK	galT	galM	galE	marB	micF	yhiD	hdeA	hdeB	galP	ygiB	manX	manY	ygiA	ygiC	manZ	tolC	gadA	fumC	gadC	mglB	gadB	mglA	mglC	acrA	acrB	idnD	uxuA	uxuB	nfo	xylA	malS	chbF	ptsI	idnK	gntK	xylB	gntU	acrD	nagA	ppiA	ptsH	idnO	chbC	chbG	crr	idnT	dctR	chbB	nupC	chbA	inaA	slp	zwf	rutB	focB	mtlD	hyfE	srlB	rutE	hyfF	hyfG	srlD	rutF	hyfB	hypF	mtlA	hyfI	hyfC	hyfH

0	1.0652688	1.0321123	1.0593252	0.8975202	0.9544272	0.7197881	0.3089068	0.6378722	0.6264133	0.8009797	0.6176095	0.9811149	0.1547909	0.9392039	0.5782753	0.8489122	0.2499890	0.5886157	1.0474763	0.6473336	0.4143075	1.1109531	0.9659470	0.5128522	1.0062705	0.9637988	0.4677760	0.9483260	0.7382411	0.8142036	1.0273640	0.9046416	0.8282643	0.9522933	0.9394022	0.9676683	0.9618783	0.7738199	0.3921074	0.9506674	0.6736058	0.0827896	0.2871013	0.8248641	0.9554442	0.6862110	0.3131716	0.0791563	1.0575690	0.5672682	0.9670081	0.9183735	0.0470296	0.9835774	0.9159786	0.3125773	1.0460896	0.1924349	0.1659513	0.9608462	0.7066528	1.1691541	1.0882753	1.0346555	0.1047934	0.9922795	0.1008890	0.5242598	0.0726559	0.9249181	1.0381348	1.0105616	0.8751852	0.0025169	0.9515020	0.0504012	0.1843817	0.0637698	0.3969954	0.5714969	0.6376064	0.0609375	0.0638986	0.9188013	1.0456191	0.9878883	0.5238571	0.9825528	0.4890980	0.5763962	1.0113007	0.6959130	0.5541293	0.6678349	0.3061521	0.6655435	0.2024103	0.1498790	0.8338969	0.1108199	0.2746029	0.0095016	0.2428140	0.4711674	0.5639738	0.3917349	0.5923212	0.8814631	0.3480885	0.5982026	0.8551488	0.7732668	0.6739009	0.6768856	0.7544369	0.8332932	0.2373202	0.8746997	0.9456117	1.0143036	0.4727196	0.0716882	0.6314624	0.0220647	0.0891315	0.1339995	0.8198284	0.4714699	0.4450820	0.0174634	0.3561206	0.3380206	0.6828309	0.3823458	0.4668799	0.8693783	0.0357251	0.7543965	1.0179646	0.0832908	0.8300361	0.9630617	0.1863481	0.9648838	0.9094990	0.2431163	0.4276971	0.9885301	0.8962778	1.0458245
100	1.0095196	0.8851019	1.0505378	0.8713316	0.9461204	0.6613937	0.2222592	0.5098926	0.8720754	0.6646445	0.5716312	1.1726072	0.1672278	0.9857790	0.4818978	0.9038556	0.3265693	0.6759067	1.1290917	0.6554079	0.5045497	1.0719585	0.9635582	0.4620211	0.9445182	1.0539346	0.3823056	1.0682770	0.5395159	0.5774961	1.0018616	1.0072987	0.8882810	0.5592759	1.0084350	1.0316718	0.9346932	0.7000879	0.4621294	0.9465240	0.6382308	0.0640089	0.2780023	0.7871896	0.9385675	0.6318870	0.5698882	0.1610754	0.9958491	0.5162554	0.4635525	1.0614840	0.0555068	1.0763097	0.9026509	0.6782160	0.2737878	0.0883211	0.1035655	0.1559906	0.8489632	0.6812229	1.0635596	0.9506224	0.0250651	0.9795626	0.1582871	0.6559025	0.0735501	0.9578284	0.4548488	1.0306071	0.8753974	0.0035387	0.6023044	0.0388312	0.3598914	0.1009222	0.3645314	0.6518698	0.6853026	0.0548600	0.0532025	0.9309535	0.9011056	0.9944397	0.4031866	0.9385729	0.3995784	0.4350102	0.9899930	0.5992637	0.5629328	0.8492307	0.5275854	0.6136251	0.2337701	0.2385618	0.8204264	0.0570349	0.5396208	0.0090325	0.1743538	0.4765990	0.6784821	0.3444216	0.6365186	0.8463797	0.4159764	0.6518434	0.8337086	0.9368780	0.3191006	0.7694832	0.9395009	0.8821548	0.1708068	0.8467848	0.8720908	0.2388835	0.5143234	0.0139981	0.5052513	0.0242154	0.0622332	0.3807250	0.4984455	0.4638473	0.3829098	0.0298009	0.3785032	0.7521645	0.4060876	0.2997043	0.5111952	0.8499884	0.0190573	0.6961629	0.9175227	0.1174293	0.9335935	1.0478137	0.2272400	0.9704148	0.9640248	0.2545562	0.4394787	1.0514742	0.8393479	1.1116911
200	0.9714350	0.9978800	1.0223815	0.9658005	1.1468321	0.7014642	0.2164648	0.4828966	0.8971241	0.7898686	0.6089209	1.0039457	0.1254971	1.0587932	0.6777176	0.8311145	0.3424461	0.5225642	1.1257722	0.6539076	0.3514631	0.9758146	0.9924892	0.4987289	0.9661972	1.1086621	0.3535331	1.0012088	0.7432294	0.7777052	0.9820176	1.0381871	0.8459773	0.3404109	0.9236036	1.0437791	1.1171323	0.7302360	0.4517938	0.9975023	0.5974545	0.0912144	0.2851035	0.7998477	1.1018800	0.5441159	0.5322727	0.2445363	1.0814495	0.5572090	0.1230747	0.7873044	0.0397158	1.1130423	1.0146434	0.9880730	0.1097976	0.1580611	0.3169865	0.0254785	0.6733535	0.4952353	1.1053121	0.9065176	0.0032571	0.9871365	0.1432412	0.6825677	0.0969425	0.8630001	0.2969455	0.9772343	0.9024094	0.0007424	0.5075287	0.0465800	0.5290786	0.2081086	0.3346335	0.7224101	0.5787339	0.0152043	0.0444716	0.8639172	1.0516687	0.9933384	0.4067580	0.8256646	0.1758592	0.3085065	0.9235151	0.6682869	0.5380471	0.8983045	0.5489376	0.7419543	0.2232546	0.2010482	0.7565008	0.1071161	0.6654728	0.0054231	0.1912255	0.4201280	0.7032349	0.3822770	0.5450354	0.7106563	0.3568957	0.6110152	0.8441222	0.9073241	0.2785299	0.7944454	0.9285284	0.9535858	0.2589803	0.8503095	0.8810704	0.1552273	0.4806948	0.0060629	0.5989728	0.0379488	0.0393603	0.4693129	0.3712836	0.5637883	0.3751897	0.0196203	0.4008418	0.9671954	0.3791592	0.3201115	0.5818509	0.8958574	0.0302500	0.5956949	0.9898543	0.1968311	0.8867224	0.9105789	0.1866762	0.9271775	0.8598741	0.1858021	0.3697644	1.0216210	0.7751146	1.0283633
300	0.9735338	1.1102441	0.9559206	0.9055606	1.0266014	0.6099424	0.2497073	0.4624970	0.8412043	0.8108034	0.4904380	0.9801526	0.0655557	0.9958194	0.6048553	0.8726034	0.3747654	0.6053131	1.0493812	0.6778436	0.4460804	0.9883988	1.0558354	0.4881956	1.0346850	1.0741211	0.3407538	0.9289188	0.6218874	0.7026860	0.9795794	0.9780693	0.8332692	0.4050687	1.0335995	1.0149047	1.0670924	0.6707440	0.5182673	1.0280247	0.5712717	0.1285144	0.3527334	0.7299134	1.0643039	0.5693454	0.5432131	0.2370934	1.1074968	0.5476005	0.1001560	0.6341268	0.1667489	1.1167061	0.9657218	1.1274730	0.0974723	0.3034741	0.5771689	0.0251760	0.5597041	0.5676334	0.9970841	0.9777208	0.0031609	0.9022658	0.0846302	0.6554628	0.0894960	1.0029052	0.3145320	0.9000192	0.9543528	0.0113218	0.5300040	0.0350213	0.5220424	0.1805662	0.4792800	0.7285352	0.5970135	0.0337395	0.0404468	0.8781032	0.9278176	0.9664948	0.4259400	0.6388646	0.1367437	0.2978216	1.1013958	0.7766844	0.6222053	0.9748029	0.3712174	0.6995876	0.2003025	0.1484841	0.5924908	0.1914321	0.6805482	0.0141542	0.1931739	0.4909857	0.7428538	0.3290505	0.5804516	0.7017475	0.3898415	0.5009497	0.8307371	1.0039493	0.2116271	0.8140524	0.9839654	0.8736638	0.2196874	0.8549348	0.8679407	0.1470623	0.5751364	0.0004659	0.5063703	0.0120610	0.0542029	0.5556255	0.3090947	0.7784855	0.3687844	0.0331298	0.3930035	1.0312528	0.4522586	0.3492006	0.4902663	0.9023562	0.0275475	0.6477970	0.9765163	0.2063387	1.1100716	1.0703858	0.2536793	0.8258993	0.9280697	0.2451906	0.3608229	1.0032438	0.8113871	0.9480163
400	0.9681928	1.0282659	1.0511450	0.8466089	1.0692347	0.6911263	0.2764960	0.5002831	0.7411390	0.7566813	0.6394317	0.9966327	0.0964386	1.0202923	0.5087796	0.8291760	0.3161662	0.6317513	0.9193714	0.5381079	0.3576729	1.0279840	0.9975006	0.5092022	0.9492730	0.9451273	0.3715416	0.9514083	0.6696613	0.6483275	1.0240658	1.0667225	0.9831572	0.3765232	1.0032185	0.9975316	0.9930922	0.7874049	0.4934548	0.9849724	0.6520517	0.1389272	0.2893442	0.7377632	0.9953344	0.5697825	0.5103242	0.2258766	0.9879037	0.4673959	0.0948172	0.6280453	0.3453626	0.8492872	1.0390926	1.0293211	0.1204249	0.2623281	0.5057918	0.0247190	0.6224158	0.4829917	1.0073769	0.9835221	0.0037731	1.0314755	0.0997531	0.6912785	0.0917842	1.0643817	0.2696220	0.9221156	0.9195116	0.0174876	0.5144110	0.0521175	0.5749474	0.2080202	0.6820658	0.9183617	0.5747140	0.0270359	0.0450243	0.9087103	0.9388628	0.9600145	0.7636891	0.6814287	0.1122631	0.3553244	1.0575712	0.6450948	0.6091487	1.0544878	0.3648252	0.5956662	0.1672419	0.1892817	0.6613190	0.2047166	0.6359943	0.0139918	0.2176785	0.4939111	0.7542051	0.3505510	0.6101363	0.8646985	0.3658930	0.4674056	0.8418329	0.9210573	0.2684269	0.8133188	0.8934815	0.9970416	0.2778903	0.8204809	0.9691005	0.1678894	0.5915697	0.0011247	0.6386271	0.0328423	0.0436950	0.5304586	0.2210905	0.7167684	0.3282104	0.0247642	0.3431631	1.0169995	0.4696912	0.2602939	0.4670062	0.8915798	0.0210444	0.7498366	1.0690222	0.1762955	1.0930000	1.0126185	0.2915807	0.9354350	0.9218450	0.2833336	0.3778753	0.9640048	0.8364355	0.8760298
500	0.9592172	1.1000027	0.9463866	0.9195267	1.0591470	0.7447354	0.2859515	0.5528585	0.8459368	0.7595497	0.6320007	0.9039657	0.1065521	0.9967556	0.5785946	1.0285864	0.2585312	0.6751088	1.0255216	0.7540027	0.4647277	0.9824724	1.0631206	0.5709556	0.9511783	1.0172097	0.3894949	1.0560910	0.6181678	0.6666838	1.0256043	0.9986938	0.8670303	0.2807410	1.1046804	1.0377505	1.0383303	0.7282415	0.4160318	0.9844811	0.6808346	0.1243184	0.3220730	0.7548342	0.9350354	0.6022362	0.5093021	0.1585986	0.9816618	0.5327259	0.1207097	0.6198058	0.4845356	0.9871945	0.9278772	1.0191266	0.0742587	0.3085366	0.6062039	0.0148008	0.6331453	0.5314086	1.0032416	0.9618541	0.0051353	1.0622816	0.1018968	0.6853895	0.0853369	1.0181543	0.2843170	1.0062624	1.0505805	0.0336069	0.5397591	0.0611124	0.4450815	0.2892792	0.7733934	0.8473947	0.5435632	0.0167584	0.0528121	0.8317088	1.0005151	0.9556175	0.8239067	0.6533618	0.0854497	0.3326029	1.0425776	0.7098560	0.6602467	0.9567238	0.3007999	0.5638344	0.1419752	0.2386438	0.7083398	0.3742316	0.7340309	0.0028923	0.2274361	0.4517377	0.8178040	0.2532548	0.5549574	0.7457251	0.3866824	0.4973586	0.8806564	1.0001912	0.2877502	0.7790598	1.0171411	0.8799310	0.2200347	0.8549715	0.9005674	0.1555757	0.5226784	0.0000162	0.6942183	0.0325687	0.0574985	0.5180056	0.3133867	0.8518358	0.3569540	0.0334970	0.4614636	0.9751952	0.3930558	0.2706281	0.4577786	0.8310290	0.0190914	0.7842564	1.0736488	0.1671912	0.9417665	0.9857244	0.2905657	0.9005833	0.7983822	0.2268022	0.3883540	0.9033282	0.8898154	0.8154825
600	0.8600191	0.9919408	0.9946052	0.8551335	1.0934840	0.7005782	0.2593612	0.4842886	0.7327444	0.7137552	0.6538038	0.8915955	0.1099335	0.9041639	0.4847569	0.8418159	0.2995143	0.6492302	0.9439188	0.6572205	0.4378182	0.9796683	1.0058989	0.5314818	0.9233261	0.8908029	0.4064042	1.0432239	0.6326062	0.6892934	0.9326937	0.9875905	0.9661548	0.3395208	1.0738040	1.0136827	1.1080588	0.6632199	0.4284518	1.0755356	0.6443692	0.1340774	0.3038599	0.8101990	0.9319981	0.6987252	0.6050571	0.2025354	0.9765795	0.4803998	0.1100601	0.5628837	0.5424328	0.9134333	0.9574275	0.9773935	0.0756474	0.3164282	0.7067920	0.0252675	0.6129928	0.5486485	0.9925154	0.9710378	0.0000000	1.2634379	0.1141927	0.6933050	0.0828974	0.9692324	0.2776117	1.0110228	1.0069876	0.0367456	0.4842840	0.0703312	0.5248094	0.2963136	0.7886787	0.9419646	0.5629996	0.0357811	0.0395680	0.9495306	1.0139729	0.9488240	0.8668656	0.6303807	0.1186231	0.2534103	1.0126884	0.6640588	0.6021614	0.9349153	0.4367549	0.5980530	0.2559612	0.4224000	0.6678216	0.5410449	0.7681649	0.0102766	0.1615863	0.4353884	0.9527139	0.3424882	0.6305490	0.8624610	0.3123648	0.5999694	0.8664952	0.9944037	0.2401579	0.8308873	1.0037460	0.8879613	0.2039158	0.8844512	0.9594506	0.1455080	0.5482475	0.0004983	0.5722626	0.0193607	0.1215134	0.4747322	0.3469126	0.8320459	0.4172853	0.0246613	0.4949924	0.9693014	0.4054555	0.2714267	0.5106658	0.9564631	0.0267336	0.7056292	0.8931494	0.2068861	0.9659102	1.0003068	0.2133899	0.8830400	0.9633460	0.2288856	0.4015623	0.9617463	0.9751922	0.9719661
700	0.9929080	1.0404207	1.1280836	0.8120182	0.9803114	0.8060828	0.3053946	0.5483049	0.8622278	0.7572808	0.5924218	0.9644905	0.1496644	0.9482167	0.5865008	0.7911414	0.3243546	0.7089063	1.0569569	0.5878505	0.4377676	1.0580603	1.1328674	0.5533314	1.0521426	0.9911538	0.3914068	1.0222667	0.6964673	0.7346331	1.0672951	0.9940542	0.8653487	0.3839421	1.1217851	1.0646796	0.9905684	0.7108356	0.3729520	0.8200836	0.7231668	0.1226933	0.2678658	0.7757035	1.0507232	0.6083729	0.5890178	0.2817160	0.9266556	0.4699728	0.0994788	0.5626185	0.6322094	0.9536261	1.0143856	0.8993509	0.0921411	0.4093224	0.6925589	0.0237188	0.6137678	0.4977374	1.1000931	1.0553974	0.0044654	1.1012373	0.1443544	0.7287926	0.0916321	0.8549124	0.2313473	0.9682545	0.9966677	0.0154716	0.5461561	0.0745384	0.5208482	0.2501528	0.7367944	0.9363227	0.6714608	0.0412535	0.0594114	0.9885093	0.8994489	1.0228595	0.8655577	0.6474910	0.0905668	0.3382686	1.1062520	0.5946772	0.5427708	0.9762564	0.4948953	0.5472449	0.1960939	0.5222511	0.6634629	0.6315820	0.6923086	0.0077303	0.2367169	0.4434128	0.7769088	0.3362154	0.5670760	0.8747637	0.3886532	0.4261356	0.8312827	1.0920248	0.2229319	0.7565759	0.9795570	0.9673277	0.2319399	0.7644033	0.8901812	0.1505822	0.4776388	0.0005914	0.6412962	0.0153892	0.0915618	0.4981121	0.2773006	0.9249380	0.3999504	0.0365598	0.4551123	1.0111583	0.5314001	0.2608326	0.4761734	0.8546632	0.0315216	0.7671044	1.0161841	0.2928129	1.0119634	0.8931002	0.2379229	0.9647543	0.9519199	0.1985280	0.3855297	0.9899368	0.8316982	0.9628715
800	1.0119263	1.0037769	0.9338423	0.9923320	0.9481550	0.6340372	0.2510671	0.5782880	0.8733497	0.8098617	0.6096143	1.0377996	0.0940294	0.9813942	0.6290982	0.7986175	0.3085373	0.7106944	1.0244567	0.6322219	0.3691182	1.0197087	0.9378243	0.5034373	1.0194357	0.8656144	0.3594382	0.9454803	0.6633266	0.7718014	0.9674579	0.9422235	0.9131112	0.3763017	1.0823385	1.0597268	0.9923762	0.6573057	0.4315582	0.9656239	0.6874269	0.1155921	0.3302223	0.7961752	1.0041495	0.7093906	0.4986115	0.2370155	1.0482002	0.5257052	0.1138870	0.6134756	0.5866074	1.0646372	1.0282254	0.8710829	0.0911738	0.3850720	0.6000294	0.0478796	0.5787636	0.5618310	1.0278728	0.9390315	0.0054716	0.9857150	0.1244118	0.6962625	0.0674473	0.8426180	0.2751561	0.9138692	0.9394139	0.0337953	0.5227752	0.0516135	0.4417098	0.2542707	0.7774602	0.9985551	0.5822779	0.0445158	0.0496245	0.8468072	0.9079843	0.9071842	0.9447597	0.7580076	0.1063598	0.3622284	1.0260410	0.6531338	0.5920610	0.9870563	0.4091723	0.6156059	0.2406368	0.4362579	0.6846728	0.6529226	0.6179031	0.0162970	0.1681021	0.4747956	0.8131737	0.3329299	0.5789673	0.7934368	0.4087087	0.5286409	0.8561235	0.9888245	0.2225167	0.7295007	0.9412519	0.9835259	0.2363529	0.8721773	0.8214313	0.1482591	0.5400275	0.0008447	0.5006272	0.0374731	0.0729617	0.4920196	0.3014173	0.9127924	0.3566851	0.0283632	0.4707592	1.0466913	0.5087321	0.3044853	0.5989394	0.9332197	0.0371668	0.6562717	1.0244795	0.2660142	0.9746004	0.8962454	0.2554576	0.9742637	0.8212918	0.2056897	0.3959835	0.9332048	0.8647019	0.8737511
