"Time"	uhpA	uhpT	crp	rhaR	rhaS	zraR	malI	melR	feaR	mtlR	prpR	ascG	marR	rbsR	fucR	chbR	nagC	uxuR	exuR	gutM	srlR	glcC	xylR	idnR	lsrR	galS	galR	dcuR	glpR	dgsA	malT	araC	tdcA	tdcR	hupB	hupA	gntR	cytR	yiaJ	hyfR	caiF	csgD	ompR	bolA	rstA	rob	marA	putA	pdhR	oxyR	rcsB	rcsA	gadE	ydeO	evgA	gadW	rutR	nemR	gadX	torR	soxS	soxR	fhlA	phoP	treR	fruR	glnG	cbl	nac	asnC	cysB	cpxR	baeR	flhC	hdfR	csgG	csgF	csgE	mdtE	mdtF	galK	galT	galM	galE	marB	micF	yhiD	hdeA	hdeB	galP	ygiB	manX	manY	ygiA	ygiC	manZ	tolC	gadA	fumC	gadC	mglB	gadB	mglA	mglC	acrA	acrB	idnD	uxuA	uxuB	nfo	xylA	malS	chbF	ptsI	idnK	gntK	xylB	gntU	acrD	nagA	ppiA	ptsH	idnO	chbC	chbG	crr	idnT	dctR	chbB	nupC	chbA	inaA	slp	zwf	rutB	focB	mtlD	hyfE	srlB	rutE	hyfF	hyfG	srlD	rutF	hyfB	hypF	mtlA	hyfI	hyfC	hyfH

0	1.0000000	0.9997434	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.6496241	0.7907525	0.6215756	1.0000000	0.1357294	0.9693765	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6473322	0.4108081	0.9909645	0.9998468	0.5491636	0.9509323	0.9827837	0.4041777	0.9998835	0.6691390	0.6690913	0.9958048	1.0000000	0.9365489	1.0000000	0.9999966	0.9998182	1.0000000	0.7147837	0.4356412	0.9095231	0.6331676	0.0529712	0.3083911	0.7425957	0.9963637	0.7302834	0.3275644	0.0859739	1.0000000	0.5572601	1.0000000	0.9979005	0.0516685	0.9972331	1.0000000	0.3456845	1.0000000	0.1688814	0.1380544	1.0000000	0.8386501	1.0000000	1.0000000	1.0000000	0.1225641	1.0000000	0.1177502	0.4913159	0.0727734	0.9711691	1.0000000	1.0000000	0.7974869	0.0000069	1.0000000	0.0470119	0.1832815	0.0555832	0.4049404	0.5311037	0.6003869	0.0420042	0.0690444	0.9295784	0.9412536	0.9995410	0.4742852	0.9874140	0.4983337	0.5649495	0.9429843	0.6789089	0.4793591	0.6611244	0.3054073	0.6341533	0.2135979	0.1279037	0.7722359	0.0858008	0.2986940	0.0105169	0.1993809	0.4543638	0.5716566	0.3954754	0.6033814	0.7918040	0.3489212	0.5525528	0.8582966	0.7525819	0.6242018	0.6987126	0.7309060	0.9131423	0.2146632	0.8888730	0.9388079	0.9992184	0.5179208	0.0756200	0.6037378	0.0241960	0.0606859	0.1110256	0.8236835	0.5427302	0.3873033	0.0192531	0.3929653	0.3101547	0.6118466	0.3411748	0.5092960	0.8673857	0.0211279	0.7176050	0.9635695	0.0944685	0.9091174	0.9985401	0.2216039	0.8994693	0.8784174	0.2492673	0.3967190	0.9817045	0.8475477	0.9789103
100	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8069729	0.7907525	0.6215756	1.0000000	0.1486502	0.9847912	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6730710	0.4450079	0.9911366	0.9999047	0.5491636	0.9659390	0.9827837	0.4041777	0.9999138	0.6691390	0.6690913	0.9958048	1.0000000	0.9707081	0.3785157	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9648204	0.6331676	0.0714588	0.2906842	0.7468330	0.9963637	0.6341982	0.5742689	0.1960424	1.0000000	0.5572601	0.1880870	0.9855322	0.0516685	0.9972331	1.0000000	0.8732691	0.1172128	0.1025827	0.1523956	0.0211608	0.7792664	0.5596223	1.0000000	1.0000000	0.0130219	1.0000000	0.1177502	0.6875414	0.0727734	0.9711691	0.3480038	1.0000000	0.9775423	0.0000860	0.5517645	0.0470552	0.4083124	0.1697857	0.3200155	0.6109217	0.6003869	0.0420042	0.0690444	0.9295784	0.9745819	0.9999636	0.4152653	0.9808115	0.2673665	0.3438814	0.9918453	0.6789089	0.5738618	0.9449018	0.5168215	0.6341533	0.2809313	0.2821273	0.7502497	0.0490401	0.6984377	0.0105163	0.1993809	0.4543638	0.7842121	0.3765690	0.6033814	0.7918040	0.3489212	0.6386964	0.8582980	0.9607644	0.2322673	0.7895109	0.9684504	0.9131423	0.2146672	0.8888730	0.9468166	0.1514993	0.5179208	0.0067392	0.6037378	0.0241960	0.0606859	0.4710636	0.3691458	0.4433399	0.3873033	0.0192531	0.3929652	0.9296544	0.3632167	0.3701214	0.5115149	0.8724594	0.0211279	0.7181855	0.9701562	0.1814536	0.9962653	0.9986226	0.2205389	0.9001875	0.8831293	0.2492673	0.4050078	0.9828699	0.8493245	0.9790458
200	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076438	0.7907525	0.6215756	1.0000000	0.1309313	0.9874885	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6588712	0.4543857	0.9911393	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9466605	0.3432234	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9677847	0.6331676	0.1159658	0.2880910	0.7527465	0.9963637	0.6148254	0.5364863	0.2246562	1.0000000	0.5572601	0.1143351	0.7902171	0.0658888	0.9972331	1.0000000	0.9900817	0.0862234	0.2436007	0.5159254	0.0209820	0.6387653	0.5289569	1.0000000	1.0000000	0.0034654	1.0000000	0.1177502	0.6725903	0.0727734	0.9711691	0.2766582	1.0000000	0.9896210	0.0014973	0.5402950	0.0492747	0.5200961	0.2633404	0.4884270	0.6869267	0.6003869	0.0420042	0.0690444	0.9295784	0.9726044	0.9999968	0.4148494	0.6877298	0.1191561	0.3256310	0.9953743	0.6789089	0.5874834	0.9768669	0.4720643	0.6341533	0.2157421	0.2183215	0.6887674	0.0986971	0.7230553	0.0105323	0.1993809	0.4543638	0.8194594	0.3549023	0.6033814	0.7918040	0.3489212	0.5627242	0.8582988	0.9818738	0.2221910	0.7942711	0.9962934	0.9131423	0.2146701	0.8888730	0.9544080	0.1441672	0.5179208	0.0006065	0.6037378	0.0241960	0.0606859	0.5000383	0.3254560	0.6545371	0.3873033	0.0192531	0.3929652	0.9830243	0.4013180	0.3279448	0.5238054	0.8755230	0.0211279	0.7186246	0.9626138	0.2172302	0.9998023	0.9986849	0.2064305	0.9052782	0.8859937	0.2492673	0.4054545	0.9834754	0.8509649	0.9791851
300	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076467	0.7907525	0.6215756	1.0000000	0.1179572	0.9879605	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6617700	0.4432481	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9381802	0.3412192	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679436	0.6331676	0.1229812	0.2877112	0.7552327	0.9963637	0.6197432	0.5353884	0.2127394	1.0000000	0.5572601	0.1076357	0.6415537	0.3861720	0.9972331	1.0000000	0.9989160	0.0851355	0.3218376	0.6116692	0.0209819	0.6089237	0.5268216	1.0000000	1.0000000	0.0026317	1.0000000	0.1177502	0.6706286	0.0727734	0.9711691	0.2688511	1.0000000	0.9904312	0.0051055	0.5400015	0.0581420	0.5320661	0.2725367	0.6968016	0.8152393	0.6003869	0.0420042	0.0690444	0.9295784	0.9681948	0.9999991	0.5483913	0.5618835	0.0984625	0.3241244	0.9950424	0.6789089	0.5894469	0.9800736	0.4155929	0.6341533	0.2040256	0.2048061	0.6692522	0.1790440	0.7245714	0.0105641	0.1993809	0.4543638	0.8253043	0.3551537	0.6033814	0.7918040	0.3489212	0.5151213	0.8582989	0.9840142	0.2219319	0.7945207	0.9995569	0.9131423	0.2146706	0.8888730	0.9565221	0.1441038	0.5179208	0.0000604	0.6037378	0.0241960	0.0606859	0.5023701	0.3212566	0.8126341	0.3873033	0.0192531	0.3929652	0.9862401	0.4352784	0.3048251	0.5333022	0.8760214	0.0211279	0.7187162	0.9641222	0.2226230	0.9999462	0.9986980	0.2063689	0.9076434	0.8864660	0.2492673	0.4054786	0.9835653	0.8513921	0.9792290
400	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076467	0.7907525	0.6215756	1.0000000	0.1142112	0.9880431	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6634549	0.4459391	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9368361	0.3411054	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679521	0.6331676	0.1241842	0.2876556	0.7559552	0.9963637	0.6197684	0.5370777	0.2123963	1.0000000	0.5572601	0.1070272	0.6080428	0.5568398	0.9972331	1.0000000	0.9995408	0.0850973	0.3372210	0.6224683	0.0209819	0.6049572	0.5266729	1.0000000	1.0000000	0.0025590	1.0000000	0.1177502	0.6704162	0.0727734	0.9711691	0.2679968	1.0000000	0.9904856	0.0081377	0.5399940	0.0661513	0.5338616	0.2732397	0.7436058	0.9146235	0.6003869	0.0420042	0.0690444	0.9295784	0.9674720	0.9999993	0.8500667	0.6106401	0.1025251	0.3240000	0.9949588	0.6789089	0.5897299	0.9806150	0.4080598	0.6341533	0.2043766	0.2951301	0.6670313	0.3316304	0.7246639	0.0105640	0.1993809	0.4543638	0.8262735	0.3557299	0.6033814	0.7918040	0.3489212	0.5052946	0.8582989	0.9842312	0.2219252	0.7945338	0.9999395	0.9131423	0.2146707	0.8888730	0.9569413	0.1441032	0.5179208	0.0000118	0.6037378	0.0241960	0.0606859	0.5025577	0.3208530	0.8556393	0.3873033	0.0192531	0.3929652	0.9862593	0.4505419	0.2991564	0.5354456	0.8760804	0.0211279	0.7187296	0.9650934	0.2234328	0.9999521	0.9986999	0.2086873	0.9080078	0.8865227	0.2492673	0.4054799	0.9835756	0.8514693	0.9792390
500	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076467	0.7907525	0.6215756	1.0000000	0.1133130	0.9880575	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6621580	0.4470968	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9366770	0.3410990	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679526	0.6331676	0.1245706	0.2876474	0.7561326	0.9963637	0.6194700	0.5371448	0.2130127	1.0000000	0.5572601	0.1069719	0.6019767	0.5927258	0.9972331	1.0000000	0.9995729	0.0850960	0.3392380	0.6238793	0.0209819	0.6045190	0.5266625	1.0000000	1.0000000	0.0025526	1.0000000	0.1177502	0.6703933	0.0727734	0.9711691	0.2679033	1.0000000	0.9904892	0.0094066	0.5399938	0.0697446	0.5343863	0.2733086	0.7528902	0.9275632	0.6003869	0.0420042	0.0690444	0.9295784	0.9673987	0.9999993	0.8792015	0.6664566	0.1054708	0.3239897	0.9949321	0.6789089	0.5897707	0.9806655	0.4072016	0.6341533	0.2040465	0.3759851	0.6668155	0.5493702	0.7246662	0.0105639	0.1993809	0.4543638	0.8264342	0.3556023	0.6033814	0.7918040	0.3489212	0.5036046	0.8582989	0.9842533	0.2219251	0.7945345	0.9999843	0.9131423	0.2146707	0.8888730	0.9570125	0.1441032	0.5179208	0.0000075	0.6037378	0.0241960	0.0606859	0.5025728	0.3208142	0.8651220	0.3873033	0.0192531	0.3929652	0.9862141	0.4544586	0.2978988	0.5357438	0.8760866	0.0211279	0.7187312	0.9643987	0.2235544	0.9999524	0.9987001	0.2076885	0.9080508	0.8865286	0.2492673	0.4054800	0.9835766	0.8514812	0.9792411
600	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076467	0.7907525	0.6215756	1.0000000	0.1131125	0.9880600	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6623535	0.4460612	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9366605	0.3410986	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679526	0.6331676	0.1246880	0.2876462	0.7561723	0.9963637	0.6194428	0.5371212	0.2130770	1.0000000	0.5572601	0.1069669	0.6009627	0.5994944	0.9972331	1.0000000	0.9995716	0.0850960	0.3394622	0.6242961	0.0209819	0.6044755	0.5266618	1.0000000	1.0000000	0.0025521	1.0000000	0.1177502	0.6703908	0.0727734	0.9711691	0.2678931	1.0000000	0.9904895	0.0097680	0.5399938	0.0708879	0.5345449	0.2733185	0.7547296	0.9294869	0.6003869	0.0420042	0.0690444	0.9295784	0.9673790	0.9999993	0.8827190	0.6851185	0.1061571	0.3239889	0.9949217	0.6789089	0.5897765	0.9806572	0.4069319	0.6341533	0.2038742	0.4079696	0.6667584	0.6352538	0.7246634	0.0105639	0.1993809	0.4543638	0.8264609	0.3555603	0.6033814	0.7918040	0.3489212	0.5033165	0.8582989	0.9842555	0.2219251	0.7945345	0.9999895	0.9131423	0.2146707	0.8888730	0.9570235	0.1441032	0.5179208	0.0000071	0.6037378	0.0241960	0.0606859	0.5025740	0.3208105	0.8670877	0.3873033	0.0192531	0.3929652	0.9862003	0.4552973	0.2976462	0.5357782	0.8760872	0.0211279	0.7187314	0.9644928	0.2235726	0.9999524	0.9987002	0.2076247	0.9080553	0.8865292	0.2492673	0.4054800	0.9835767	0.8514829	0.9792415
700	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076467	0.7907525	0.6215756	1.0000000	0.1130765	0.9880605	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6625378	0.4462555	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9366589	0.3410986	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679526	0.6331676	0.1247177	0.2876461	0.7561807	0.9963637	0.6194424	0.5371267	0.2130787	1.0000000	0.5572601	0.1069664	0.6008014	0.6008246	0.9972331	1.0000000	0.9995706	0.0850960	0.3394852	0.6244344	0.0209819	0.6044715	0.5266617	1.0000000	1.0000000	0.0025520	1.0000000	0.1177502	0.6703905	0.0727734	0.9711691	0.2678920	1.0000000	0.9904895	0.0098528	0.5399938	0.0711892	0.5345857	0.2733203	0.7550940	0.9298865	0.6003869	0.0420042	0.0690444	0.9295784	0.9673762	0.9999993	0.8834527	0.6902018	0.1063127	0.3239888	0.9949197	0.6789089	0.5897774	0.9806546	0.4068929	0.6341533	0.2038538	0.4178366	0.6667510	0.6595664	0.7246621	0.0105639	0.1993809	0.4543638	0.8264653	0.3555578	0.6033814	0.7918040	0.3489212	0.5032793	0.8582989	0.9842557	0.2219251	0.7945345	0.9999902	0.9131423	0.2146707	0.8888730	0.9570252	0.1441032	0.5179208	0.0000071	0.6037378	0.0241960	0.0606859	0.5025741	0.3208101	0.8674990	0.3873033	0.0192531	0.3929652	0.9861978	0.4554796	0.2976095	0.5357818	0.8760873	0.0211279	0.7187314	0.9645970	0.2235754	0.9999524	0.9987002	0.2078551	0.9080558	0.8865293	0.2492673	0.4054800	0.9835768	0.8514831	0.9792415
800	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076467	0.7907525	0.6215756	1.0000000	0.1130710	0.9880606	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6624209	0.4463868	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9366588	0.3410986	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679526	0.6331676	0.1247243	0.2876460	0.7561824	0.9963637	0.6194411	0.5371279	0.2130817	1.0000000	0.5572601	0.1069664	0.6007767	0.6011149	0.9972331	1.0000000	0.9995703	0.0850960	0.3394875	0.6244740	0.0209819	0.6044711	0.5266617	1.0000000	1.0000000	0.0025520	1.0000000	0.1177502	0.6703905	0.0727734	0.9711691	0.2678918	1.0000000	0.9904895	0.0098708	0.5399938	0.0712600	0.5345950	0.2733207	0.7551662	0.9299841	0.6003869	0.0420042	0.0690444	0.9295784	0.9673763	0.9999993	0.8836316	0.6915317	0.1063496	0.3239888	0.9949195	0.6789089	0.5897775	0.9806541	0.4068926	0.6341533	0.2038520	0.4206033	0.6667511	0.6659817	0.7246617	0.0105639	0.1993809	0.4543638	0.8264661	0.3555572	0.6033814	0.7918040	0.3489212	0.5032756	0.8582989	0.9842557	0.2219251	0.7945345	0.9999902	0.9131423	0.2146707	0.8888730	0.9570254	0.1441032	0.5179208	0.0000071	0.6037378	0.0241960	0.0606859	0.5025741	0.3208101	0.8675900	0.3873033	0.0192531	0.3929652	0.9861975	0.4555231	0.2976050	0.5357822	0.8760873	0.0211279	0.7187314	0.9645344	0.2235758	0.9999524	0.9987002	0.2077720	0.9080558	0.8865293	0.2492673	0.4054800	0.9835768	0.8514831	0.9792416
