"Time"	uhpA	uhpT	crp	rhaR	rhaS	zraR	malI	melR	feaR	mtlR	prpR	ascG	marR	rbsR	fucR	chbR	nagC	uxuR	exuR	gutM	srlR	glcC	xylR	idnR	lsrR	galS	galR	dcuR	glpR	dgsA	malT	araC	tdcA	tdcR	hupB	hupA	gntR	cytR	yiaJ	hyfR	caiF	csgD	ompR	bolA	rstA	rob	marA	putA	pdhR	oxyR	rcsB	rcsA	gadE	ydeO	evgA	gadW	rutR	nemR	gadX	torR	soxS	soxR	fhlA	phoP	treR	fruR	glnG	cbl	nac	asnC	cysB	cpxR	baeR	flhC	hdfR	csgG	csgF	csgE	mdtE	mdtF	galK	galT	galM	galE	marB	micF	yhiD	hdeA	hdeB	galP	ygiB	manX	manY	ygiA	ygiC	manZ	tolC	gadA	fumC	gadC	mglB	gadB	mglA	mglC	acrA	acrB	idnD	uxuA	uxuB	nfo	xylA	malS	chbF	ptsI	idnK	gntK	xylB	gntU	acrD	nagA	ppiA	ptsH	idnO	chbC	chbG	crr	idnT	dctR	chbB	nupC	chbA	inaA	slp	zwf	rutB	focB	mtlD	hyfE	srlB	rutE	hyfF	hyfG	srlD	rutF	hyfB	hypF	mtlA	hyfI	hyfC	hyfH

0	1.0000000	0.9997434	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.6496241	0.7907525	0.6215756	1.0000000	0.1357294	0.9693765	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6473334	0.4108754	0.9909645	0.9998468	0.5491636	0.9509323	0.9827837	0.4041777	0.9998835	0.6691390	0.6690913	0.9958048	1.0000000	0.9365489	1.0000000	0.9999966	0.9998182	1.0000000	0.7147837	0.4356412	0.9095231	0.6331676	0.0529712	0.3083911	0.7425957	0.9963637	0.7302834	0.3275644	0.0859739	1.0000000	0.5572601	1.0000000	0.9979005	0.0516686	0.9972331	1.0000000	0.3456834	1.0000000	0.1688814	0.1380547	1.0000000	0.8386501	1.0000000	1.0000000	1.0000000	0.1225641	1.0000000	0.1177502	0.4913159	0.0727734	0.9711690	1.0000000	1.0000000	0.7974869	0.0000069	1.0000000	0.0470119	0.1832815	0.0555832	0.4049405	0.5311031	0.6003869	0.0420042	0.0690444	0.9295784	0.9412536	0.9995410	0.4742852	0.9874140	0.4983369	0.5649495	0.9429843	0.6789089	0.4793591	0.6611244	0.3054073	0.6341533	0.2135979	0.1279042	0.7722359	0.0858016	0.2986939	0.0105169	0.1993809	0.4543638	0.5716566	0.3954753	0.6033814	0.7918040	0.3489212	0.5525528	0.8582966	0.7525819	0.6242018	0.6987126	0.7309060	0.9131423	0.2146632	0.8888730	0.9388079	0.9992184	0.5179208	0.0756200	0.6037378	0.0241960	0.0606859	0.1110256	0.8236835	0.5427316	0.3873033	0.0192531	0.3929653	0.3101547	0.6118446	0.3411748	0.5092960	0.8673857	0.0211279	0.7176050	0.9635593	0.0944685	0.9091174	0.9985401	0.2216139	0.8994693	0.8784174	0.2492673	0.3967190	0.9817045	0.8475477	0.9789103
100	1.0000000	0.9997434	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.7828259	0.7907525	0.6215756	1.0000000	0.1467915	0.9798767	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6682642	0.4346455	0.9911191	0.9998930	0.5491636	0.9648982	0.9827837	0.4041777	0.9999077	0.6691390	0.6690913	0.9958048	1.0000000	0.9680291	0.5112511	0.9999966	0.9998182	1.0000000	0.7147837	0.4356412	0.9526177	0.6331676	0.0551474	0.2972701	0.7451493	0.9963637	0.6611172	0.5693040	0.1357692	1.0000000	0.5572601	0.4038656	0.9946004	0.0516685	0.9972331	1.0000000	0.7136574	0.2970233	0.0985794	0.0934430	0.1437195	0.8302863	0.6462495	1.0000000	1.0000000	0.0277389	1.0000000	0.1177502	0.6692384	0.0727734	0.9711691	0.4730882	1.0000000	0.9355651	0.0000347	0.6347976	0.0470279	0.2954601	0.1113447	0.3510684	0.5883334	0.6003869	0.0420042	0.0690444	0.9295784	0.9669317	0.9998796	0.4355291	0.9858611	0.3824058	0.4014667	0.9737630	0.6789089	0.5526335	0.8756095	0.4643598	0.6341533	0.2677829	0.2340930	0.7626001	0.0619012	0.6122102	0.0105165	0.1993809	0.4543638	0.7236598	0.3873443	0.6033814	0.7918040	0.3489212	0.6149416	0.8582976	0.9286811	0.2957619	0.7664941	0.8992702	0.9131423	0.2146659	0.8888730	0.9439699	0.2166359	0.5179208	0.0238274	0.6037378	0.0241960	0.0606859	0.3856498	0.4503712	0.4848390	0.3873033	0.0192531	0.3929652	0.7636091	0.3973607	0.3638025	0.5103778	0.8695403	0.0211279	0.7178838	0.9706327	0.1382597	0.9814642	0.9985886	0.2220561	0.8996870	0.8822272	0.2492673	0.4025583	0.9824322	0.8484067	0.9789883
200	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8053799	0.7907525	0.6215756	1.0000000	0.1357863	0.9859939	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6637492	0.4555199	0.9911384	0.9999041	0.5491636	0.9659011	0.9827837	0.4041777	0.9999136	0.6691390	0.6690913	0.9958048	1.0000000	0.9548221	0.3621288	0.9999966	0.9998182	1.0000000	0.7147837	0.4356412	0.9659995	0.6331676	0.1032310	0.2902779	0.7513150	0.9963637	0.6162196	0.5422006	0.2095120	1.0000000	0.5572601	0.1579564	0.8970568	0.0538728	0.9972331	1.0000000	0.9650570	0.1088964	0.1938361	0.3612414	0.0320856	0.6835672	0.5408578	1.0000000	1.0000000	0.0051261	1.0000000	0.1177502	0.6748468	0.0727734	0.9711691	0.2968573	1.0000000	0.9827922	0.0008246	0.5494188	0.0482246	0.4755155	0.2352578	0.3843163	0.6788659	0.6003869	0.0420042	0.0690444	0.9295784	0.9739281	0.9999847	0.4132970	0.8156046	0.1747393	0.3367434	0.9906866	0.6789089	0.5830475	0.9637389	0.4928498	0.6341533	0.2350911	0.2383934	0.7054542	0.0744558	0.7104239	0.0105217	0.1993809	0.4543638	0.8031478	0.3620974	0.6033814	0.7918040	0.3489212	0.5920944	0.8582986	0.9775798	0.2280786	0.7903103	0.9796975	0.9131423	0.2146695	0.8888730	0.9528484	0.1464737	0.5179208	0.0038022	0.6037378	0.0241960	0.0606859	0.4852237	0.3371198	0.5554245	0.3873033	0.0192531	0.3929652	0.9504980	0.3904070	0.3437473	0.5195987	0.8736495	0.0211279	0.7184305	0.9642849	0.1998635	0.9982729	0.9986679	0.2108095	0.9028040	0.8857614	0.2492673	0.4049427	0.9833217	0.8502891	0.9791462
300	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8074436	0.7907525	0.6215756	1.0000000	0.1203135	0.9876170	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6607090	0.4449081	0.9911393	0.9999054	0.5491636	0.9659430	0.9827837	0.4041777	0.9999143	0.6691390	0.6690913	0.9958048	1.0000000	0.9412607	0.3432664	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9677431	0.6331676	0.1204233	0.2882584	0.7546861	0.9963637	0.6188877	0.5349786	0.2147432	1.0000000	0.5572601	0.1142721	0.7169757	0.2078926	0.9972331	1.0000000	0.9965061	0.0874201	0.2988172	0.5584178	0.0219859	0.6200903	0.5280479	1.0000000	1.0000000	0.0027862	1.0000000	0.1177502	0.6711842	0.0727734	0.9711691	0.2714004	1.0000000	0.9895895	0.0037340	0.5408249	0.0553642	0.5235355	0.2681378	0.5986299	0.7834382	0.6003869	0.0420042	0.0690444	0.9295784	0.9691126	0.9999979	0.4674335	0.6039958	0.1098034	0.3257438	0.9942594	0.6789089	0.5887183	0.9781699	0.4232666	0.6341533	0.2076538	0.2052822	0.6736704	0.1527772	0.7231719	0.0105547	0.1993809	0.4543638	0.8219501	0.3554676	0.6033814	0.7918040	0.3489212	0.5309734	0.8582989	0.9835450	0.2223684	0.7939835	0.9965705	0.9131423	0.2146705	0.8888730	0.9561217	0.1441704	0.5179208	0.0005090	0.6037378	0.0241960	0.0606859	0.5004396	0.3225608	0.7425717	0.3873033	0.0192531	0.3929652	0.9818179	0.4241956	0.3130416	0.5310423	0.8754354	0.0211279	0.7186604	0.9634468	0.2185235	0.9998258	0.9986942	0.2058700	0.9064345	0.8864341	0.2492673	0.4053921	0.9835395	0.8511759	0.9792168
400	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076285	0.7907525	0.6215756	1.0000000	0.1148402	0.9879724	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6628982	0.4450187	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9374604	0.3413051	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679317	0.6331676	0.1236666	0.2877778	0.7558010	0.9963637	0.6198486	0.5368403	0.2126110	1.0000000	0.5572601	0.1079277	0.6330537	0.4444481	0.9972331	1.0000000	0.9993482	0.0853130	0.3323020	0.6113489	0.0210727	0.6068260	0.5267852	1.0000000	1.0000000	0.0025727	1.0000000	0.1177502	0.6704961	0.0727734	0.9711691	0.2682934	1.0000000	0.9903925	0.0071164	0.5400648	0.0641182	0.5322955	0.2727103	0.7097977	0.9068793	0.6003869	0.0420042	0.0690444	0.9295784	0.9676085	0.9999992	0.7838311	0.5897075	0.1016910	0.3242112	0.9948355	0.6789089	0.5896191	0.9803181	0.4088846	0.6341533	0.2045672	0.2571553	0.6675700	0.2618175	0.7245254	0.0105630	0.1993809	0.4543638	0.8256501	0.3556397	0.6033814	0.7918040	0.3489212	0.5091731	0.8582989	0.9841826	0.2219556	0.7944662	0.9994617	0.9131423	0.2146707	0.8888730	0.9568636	0.1441051	0.5179208	0.0000678	0.6037378	0.0241960	0.0606859	0.5023337	0.3209870	0.8315782	0.3873033	0.0192531	0.3929652	0.9857710	0.4459294	0.3014774	0.5349617	0.8759353	0.0211279	0.7187178	0.9650268	0.2226132	0.9999435	0.9986993	0.2082159	0.9077012	0.8865191	0.2492673	0.4054661	0.9835723	0.8514198	0.9792362
500	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076450	0.7907525	0.6215756	1.0000000	0.1134638	0.9880438	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6626083	0.4471408	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9367733	0.3411175	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679506	0.6331676	0.1244236	0.2876731	0.7560952	0.9963637	0.6195227	0.5371491	0.2128182	1.0000000	0.5572601	0.1070868	0.6083875	0.5530736	0.9972331	1.0000000	0.9995611	0.0851159	0.3384914	0.6217662	0.0209902	0.6047753	0.5266722	1.0000000	1.0000000	0.0025538	1.0000000	0.1177502	0.6704032	0.0727734	0.9711691	0.2679367	1.0000000	0.9904795	0.0089877	0.5399998	0.0689038	0.5340282	0.2732472	0.7437723	0.9265825	0.6003869	0.0420042	0.0690444	0.9295784	0.9674172	0.9999993	0.8703209	0.6468888	0.1044608	0.3240157	0.9949196	0.6789089	0.5897543	0.9806326	0.4073441	0.6341533	0.2041899	0.3464875	0.6668842	0.4797817	0.7246546	0.0105638	0.1993809	0.4543638	0.8263239	0.3556428	0.6033814	0.7918040	0.3489212	0.5043719	0.8582989	0.9842483	0.2219271	0.7945262	0.9999126	0.9131423	0.2146707	0.8888730	0.9569994	0.1441033	0.5179208	0.0000141	0.6037378	0.0241960	0.0606859	0.5025484	0.3208275	0.8587068	0.3873033	0.0192531	0.3929652	0.9861746	0.4532306	0.2984579	0.5356733	0.8760539	0.0211279	0.7187291	0.9645601	0.2234034	0.9999518	0.9987001	0.2080120	0.9079896	0.8865283	0.2492673	0.4054778	0.9835763	0.8514717	0.9792405
600	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076465	0.7907525	0.6215756	1.0000000	0.1131445	0.9880575	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6622799	0.4462317	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9366733	0.3411003	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679524	0.6331676	0.1246455	0.2876515	0.7561640	0.9963637	0.6194463	0.5371229	0.2130264	1.0000000	0.5572601	0.1069810	0.6024073	0.5879718	0.9972331	1.0000000	0.9995716	0.0850978	0.3393674	0.6238317	0.0209827	0.6045066	0.5266626	1.0000000	1.0000000	0.0025522	1.0000000	0.1177502	0.6703919	0.0727734	0.9711691	0.2678968	1.0000000	0.9904885	0.0096451	0.5399943	0.0706290	0.5344515	0.2733108	0.7525158	0.9293170	0.6003869	0.0420042	0.0690444	0.9295784	0.9673834	0.9999993	0.8814811	0.6778622	0.1058390	0.3239920	0.9949235	0.6789089	0.5897742	0.9806573	0.4069709	0.6341533	0.2039294	0.3957740	0.6667730	0.6080818	0.7246634	0.0105639	0.1993809	0.4543638	0.8264419	0.3555754	0.6033814	0.7918040	0.3489212	0.5034536	0.8582989	0.9842550	0.2219252	0.7945335	0.9999792	0.9131423	0.2146707	0.8888730	0.9570215	0.1441032	0.5179208	0.0000079	0.6037378	0.0241960	0.0606859	0.5025715	0.3208117	0.8655671	0.3873033	0.0192531	0.3929652	0.9862001	0.4550212	0.2977630	0.5357697	0.8760801	0.0211279	0.7187311	0.9644382	0.2235461	0.9999523	0.9987002	0.2075890	0.9080445	0.8865292	0.2492673	0.4054796	0.9835767	0.8514812	0.9792414
700	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076467	0.7907525	0.6215756	1.0000000	0.1130820	0.9880600	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6624762	0.4461754	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9366605	0.3410987	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679526	0.6331676	0.1247068	0.2876471	0.7561790	0.9963637	0.6194428	0.5371256	0.2130691	1.0000000	0.5572601	0.1069681	0.6011025	0.5977366	0.9972331	1.0000000	0.9995708	0.0850961	0.3394744	0.6243160	0.0209820	0.6044749	0.5266618	1.0000000	1.0000000	0.0025520	1.0000000	0.1177502	0.6703906	0.0727734	0.9711691	0.2678924	1.0000000	0.9904894	0.0098228	0.5399938	0.0711220	0.5345619	0.2733192	0.7545868	0.9298480	0.6003869	0.0420042	0.0690444	0.9295784	0.9673767	0.9999993	0.8832177	0.6880715	0.1062306	0.3239892	0.9949208	0.6789089	0.5897770	0.9806553	0.4068966	0.6341533	0.2038623	0.4138803	0.6667527	0.6515466	0.7246625	0.0105639	0.1993809	0.4543638	0.8264621	0.3555599	0.6033814	0.7918040	0.3489212	0.5032995	0.8582989	0.9842557	0.2219251	0.7945344	0.9999887	0.9131423	0.2146707	0.8888730	0.9570249	0.1441032	0.5179208	0.0000072	0.6037378	0.0241960	0.0606859	0.5025739	0.3208102	0.8671559	0.3873033	0.0192531	0.3929652	0.9861985	0.4554183	0.2976290	0.5357809	0.8760857	0.0211279	0.7187314	0.9645865	0.2235709	0.9999524	0.9987002	0.2078040	0.9080540	0.8865293	0.2492673	0.4054799	0.9835768	0.8514828	0.9792415
800	1.0000000	0.9997435	1.0000000	0.8820587	0.9944346	0.6819422	0.2771575	0.5366018	0.8076467	0.7907525	0.6215756	1.0000000	0.1130719	0.9880605	0.5685348	0.8276273	0.3227241	0.6416965	1.0000000	0.6624617	0.4463852	0.9911394	0.9999055	0.5491636	0.9659448	0.9827837	0.4041777	0.9999144	0.6691390	0.6690913	0.9958048	1.0000000	0.9366590	0.3410986	0.9999966	0.9998183	1.0000000	0.7147837	0.4356412	0.9679526	0.6331676	0.1247218	0.2876462	0.7561821	0.9963637	0.6194414	0.5371278	0.2130789	1.0000000	0.5572601	0.1069666	0.6008362	0.6003137	0.9972331	1.0000000	0.9995704	0.0850960	0.3394863	0.6244425	0.0209820	0.6044715	0.5266617	1.0000000	1.0000000	0.0025520	1.0000000	0.1177502	0.6703905	0.0727734	0.9711691	0.2678919	1.0000000	0.9904895	0.0098642	0.5399938	0.0712444	0.5345893	0.2733205	0.7550542	0.9299744	0.6003869	0.0420042	0.0690444	0.9295784	0.9673762	0.9999993	0.8835772	0.6909551	0.1063293	0.3239888	0.9949198	0.6789089	0.5897775	0.9806543	0.4068926	0.6341533	0.2038532	0.4194566	0.6667511	0.6638205	0.7246618	0.0105639	0.1993809	0.4543638	0.8264655	0.3555577	0.6033814	0.7918040	0.3489212	0.5032782	0.8582989	0.9842557	0.2219251	0.7945345	0.9999900	0.9131423	0.2146707	0.8888730	0.9570254	0.1441032	0.5179208	0.0000071	0.6037378	0.0241960	0.0606859	0.5025741	0.3208101	0.8675128	0.3873033	0.0192531	0.3929652	0.9861977	0.4555085	0.2976079	0.5357821	0.8760869	0.0211279	0.7187314	0.9645500	0.2235750	0.9999524	0.9987002	0.2078007	0.9080556	0.8865293	0.2492673	0.4054800	0.9835768	0.8514831	0.9792416
