"Time"	uhpA	uhpT	crp	rhaR	rhaS	zraR	malI	melR	feaR	mtlR	prpR	ascG	marR	rbsR	fucR	chbR	nagC	uxuR	exuR	gutM	srlR	glcC	xylR	idnR	lsrR	galS	galR	dcuR	glpR	dgsA	malT	araC	tdcA	tdcR	hupB	hupA	gntR	cytR	yiaJ	hyfR	caiF	csgD	ompR	bolA	rstA	rob	marA	putA	pdhR	oxyR	rcsB	rcsA	gadE	ydeO	evgA	gadW	rutR	nemR	gadX	torR	soxS	soxR	fhlA	phoP	treR	fruR	glnG	cbl	nac	asnC	cysB	cpxR	baeR	flhC	hdfR	csgG	csgF	csgE	mdtE	mdtF	galK	galT	galM	galE	marB	micF	yhiD	hdeA	hdeB	galP	ygiB	manX	manY	ygiA	ygiC	manZ	tolC	gadA	fumC	gadC	mglB	gadB	mglA	mglC	acrA	acrB	idnD	uxuA	uxuB	nfo	xylA	malS	chbF	ptsI	idnK	gntK	xylB	gntU	acrD	nagA	ppiA	ptsH	idnO	chbC	chbG	crr	idnT	dctR	chbB	nupC	chbA	inaA	slp	zwf	rutB	focB	mtlD	hyfE	srlB	rutE	hyfF	hyfG	srlD	rutF	hyfB	hypF	mtlA	hyfI	hyfC	hyfH

0	0.6743861	0.6721178	0.7288604	0.6388045	0.6622668	0.4939614	0.1625382	0.4237464	0.3599795	0.4651963	0.3408148	0.6312433	0.1375108	0.6377176	0.3120049	0.5288024	0.1962857	0.4187221	0.6979948	0.4240063	0.2368561	0.6605739	0.5761514	0.3440953	0.6357976	0.6033064	0.2248412	0.5669519	0.4345435	0.5711577	0.6963155	0.6996843	0.5383811	0.5890150	0.5145527	0.6772183	0.6671274	0.4664363	0.2279913	0.7712455	0.3746584	0.0314026	0.1409591	0.5137461	0.6657811	0.4217048	0.1793576	0.0364592	0.7830629	0.3247134	0.6335790	0.5805263	0.0302830	0.6642285	0.6605787	0.1916602	0.5989406	0.1375294	0.1242084	0.6607452	0.4839557	0.7953180	0.6712763	0.7585372	0.0557422	0.6441626	0.0862227	0.3801655	0.0282535	0.5563004	0.6120690	0.7161606	0.5502875	0.0005016	0.6489547	0.0561527	0.1176995	0.0480235	0.2862666	0.4040692	0.4356399	0.0598877	0.0259313	0.5544196	0.6783425	0.6307431	0.3790137	0.6260093	0.3328753	0.4154407	0.7025773	0.4757985	0.3633005	0.4981166	0.1956366	0.3939491	0.1546564	0.1206072	0.6064050	0.0534811	0.1844764	0.0052988	0.1329621	0.2500391	0.4563622	0.2756064	0.4506388	0.5320237	0.2472088	0.3506776	0.6208957	0.4813865	0.4544812	0.5413705	0.4080304	0.5990982	0.1195575	0.5454513	0.6097754	0.6772810	0.3024815	0.0781490	0.4811256	0.0254882	0.0707100	0.1035560	0.5268225	0.3211526	0.2726072	0.0114041	0.2476703	0.2474046	0.4827665	0.3098180	0.2832683	0.5853152	0.0103275	0.5184379	0.6490550	0.0336942	0.4817885	0.5957507	0.1230714	0.6075444	0.6560017	0.1669252	0.2612896	0.5646320	0.5682390	0.7229434
100	0.6856128	0.6282480	0.7159626	0.4771802	0.7018105	0.3906994	0.1418007	0.2801567	0.5748031	0.4499101	0.4530924	0.7355546	0.0804663	0.5756674	0.2798604	0.5622427	0.2118219	0.4069136	0.7933989	0.4649519	0.4018387	0.7280191	0.6462629	0.2878481	0.6315952	0.7649521	0.3047150	0.6783388	0.3941775	0.4472281	0.6847786	0.6202800	0.5627437	0.3700837	0.6371976	0.6606748	0.6803167	0.5768061	0.2109443	0.7048166	0.4424342	0.0301622	0.2178368	0.5685935	0.6985047	0.4337508	0.3533475	0.1074879	0.6337950	0.3907759	0.3364097	0.7793858	0.0261237	0.7003471	0.6361375	0.3820126	0.1729865	0.0512360	0.0703609	0.1022601	0.4878763	0.4684174	0.6687009	0.7265741	0.0319188	0.7209496	0.1094526	0.3848707	0.0369703	0.6420007	0.3164843	0.6711495	0.6502186	0.0019872	0.4995935	0.0235089	0.2257903	0.0522809	0.1649844	0.4670584	0.4266260	0.0384771	0.0228671	0.7048399	0.5100446	0.6765650	0.2718306	0.6747508	0.2592311	0.3009402	0.6742011	0.4471823	0.4227418	0.5993854	0.3437257	0.3610552	0.1764128	0.1482656	0.4726884	0.0407706	0.3943758	0.0037741	0.1148532	0.2738837	0.5073429	0.2622810	0.4912157	0.5653910	0.2396464	0.4174153	0.5634448	0.6193885	0.2315226	0.5592505	0.6536565	0.6407039	0.1585391	0.5723728	0.5347919	0.2163608	0.4009407	0.0047243	0.3108354	0.0137807	0.0447955	0.2806163	0.2753422	0.3032258	0.2338612	0.0198089	0.2857034	0.4819565	0.2994971	0.2318981	0.3331532	0.5696852	0.0195104	0.4173072	0.6048183	0.1276640	0.5411374	0.6874895	0.1412199	0.6463465	0.7938112	0.1487407	0.3059098	0.6486515	0.4910144	0.6410347
200	0.6921593	0.6530875	0.8023215	0.7403086	0.7429028	0.5018694	0.1959646	0.2991267	0.6067042	0.5271784	0.3600613	0.6656914	0.1205712	0.8851664	0.4416486	0.5781907	0.2345763	0.3512698	0.7506889	0.4812659	0.1964650	0.6496047	0.7151731	0.2883501	0.6347988	0.7202367	0.2435661	0.6631041	0.5539242	0.5460406	0.6194376	0.6426421	0.5281071	0.2712325	0.6297410	0.7668068	0.8241071	0.5173916	0.2899779	0.6330743	0.3917801	0.0630396	0.1943465	0.5520385	0.8174670	0.4281224	0.3071693	0.1074747	0.7910221	0.3474212	0.1108030	0.5233837	0.0339034	0.7672614	0.6866802	0.7412707	0.0827855	0.0829051	0.2138847	0.0101758	0.4063364	0.2978910	0.7424026	0.6239187	0.0009724	0.6671154	0.0809128	0.4674110	0.0552778	0.6066068	0.2241408	0.8136461	0.5915314	0.0009214	0.3008915	0.0362073	0.2866830	0.1140737	0.2294213	0.4401124	0.3597327	0.0073910	0.0320243	0.5290870	0.6359760	0.6849259	0.2405480	0.5815976	0.0990539	0.2440932	0.6249897	0.3776188	0.3336348	0.7062376	0.3590529	0.5400010	0.1222851	0.1171936	0.4487382	0.0868345	0.3853334	0.0021780	0.1066368	0.2661015	0.4359981	0.2773431	0.3417512	0.4494731	0.2115726	0.4391855	0.5326676	0.6875991	0.1676618	0.4787008	0.5721583	0.6210725	0.1917011	0.6577876	0.6476994	0.1315293	0.2915060	0.0019395	0.3780858	0.0651756	0.0215407	0.3288658	0.2245890	0.4011385	0.2419823	0.0111746	0.2996531	0.5242313	0.2668233	0.2068507	0.3597348	0.6727934	0.0123687	0.4006177	0.6756258	0.1250449	0.5178411	0.6010185	0.1479566	0.6981412	0.5656733	0.1261496	0.2694005	0.6878041	0.5180315	0.6549653
300	0.6020532	0.8179417	0.5382169	0.6463910	0.7016152	0.4123356	0.1792697	0.3583963	0.6111163	0.5726324	0.3588357	0.5899239	0.0336208	0.6051749	0.3614729	0.4768985	0.2775005	0.4151189	0.5929008	0.3867024	0.2848905	0.5745575	0.7077086	0.3247622	0.5941670	0.7006192	0.2554011	0.6413185	0.4466001	0.4047532	0.8457853	0.5963131	0.5620560	0.2553587	0.6339384	0.6366480	0.6959899	0.4534498	0.3760919	0.7812483	0.3137088	0.0889724	0.2890055	0.4916569	0.8034471	0.3830736	0.3816915	0.1515984	0.7613468	0.3899197	0.0598026	0.4105194	0.1007594	0.7456125	0.6101781	0.6630570	0.1023865	0.1981740	0.3108962	0.0104564	0.3659250	0.4044325	0.8104001	0.6006674	0.0029972	0.5694874	0.0884615	0.4094770	0.0513333	0.4960404	0.2148448	0.5588921	0.6527925	0.0042803	0.3775067	0.0110378	0.3348346	0.1181516	0.3996217	0.5929699	0.3043674	0.0113827	0.0277073	0.5096690	0.4979799	0.5955590	0.2238080	0.3522756	0.1051679	0.2092047	0.7914944	0.4918864	0.3883153	0.6322169	0.2056867	0.5443564	0.1201681	0.1269915	0.4145020	0.1244106	0.5238384	0.0044929	0.1489275	0.3240422	0.5312882	0.2341017	0.3268801	0.4597881	0.2337193	0.3555014	0.5669862	0.6639351	0.1285444	0.5975023	0.6152477	0.5576675	0.1316582	0.5066298	0.6059532	0.0887092	0.3775916	0.0002801	0.2992940	0.0046392	0.0334658	0.3302064	0.2377324	0.5071395	0.2266328	0.0173906	0.2524720	0.7311978	0.3990594	0.2494881	0.3133352	0.5998182	0.0188388	0.4651833	0.5948075	0.1273322	0.7555056	0.7884205	0.1398599	0.5487643	0.5772514	0.1300977	0.2063676	0.7635338	0.5012438	0.6495585
400	0.6303208	0.6634043	0.6650691	0.5701797	0.8322280	0.4435469	0.1863838	0.3628206	0.5779226	0.4845127	0.3789573	0.5874520	0.0711481	0.6533176	0.3330342	0.4987820	0.1863213	0.3874576	0.6112255	0.3290768	0.2596497	0.6178184	0.7460240	0.3198746	0.5942248	0.6025254	0.1889336	0.6320242	0.4244840	0.3955691	0.7394758	0.6079308	0.7205049	0.2278587	0.6278229	0.6788165	0.6369150	0.4340257	0.4508603	0.7150303	0.4317985	0.0812238	0.2258095	0.4583062	0.6258502	0.4152880	0.3331234	0.1453959	0.8057828	0.3070804	0.0388857	0.4315172	0.2365472	0.5616953	0.7618542	0.7655134	0.1195949	0.2062621	0.3521859	0.0226652	0.4389993	0.3118428	0.7017459	0.6311899	0.0027942	0.6511609	0.0555174	0.4617618	0.0624569	0.7445081	0.1845574	0.6503784	0.6032666	0.0088616	0.2958865	0.0463444	0.3982233	0.1137668	0.4829416	0.5935615	0.3215490	0.0255916	0.0205472	0.6001826	0.6495410	0.5808374	0.5172631	0.5596142	0.0770057	0.2676177	0.6413629	0.4226219	0.5209410	0.7566704	0.2264794	0.3967362	0.1142205	0.1621319	0.4038958	0.1437416	0.4446422	0.0043461	0.1587025	0.3327747	0.4125600	0.2017000	0.3970694	0.5479884	0.2139733	0.3164744	0.4790435	0.5006876	0.2002439	0.5344706	0.6858684	0.7142427	0.1789975	0.4768450	0.5332948	0.1407395	0.3763000	0.0039909	0.4467995	0.0347313	0.0507405	0.3482535	0.1134698	0.5253463	0.1959085	0.0206445	0.2546441	0.5685855	0.4053839	0.1757761	0.2837109	0.5780452	0.0146916	0.5467984	0.6137288	0.1074676	0.6386603	0.7977650	0.2113342	0.6114063	0.6685909	0.1529417	0.2140573	0.5756549	0.5658286	0.5891815
500	0.6100139	0.7848833	0.6349654	0.6178341	0.6733358	0.5577995	0.1529919	0.4470021	0.5086718	0.5056744	0.4321052	0.5770341	0.0902108	0.7014969	0.3790458	0.7361265	0.1881657	0.4712959	0.7442602	0.4842963	0.2626848	0.7321881	0.7435826	0.3022000	0.6416952	0.6130275	0.2429776	0.5972355	0.3705816	0.4083655	0.7455387	0.7041382	0.5727709	0.2027705	0.8236483	0.6942755	0.6155695	0.5261317	0.2944297	0.6276760	0.4000983	0.0610595	0.2599921	0.5410390	0.6797767	0.3785781	0.3625218	0.1021512	0.8603824	0.3121452	0.0747748	0.4631577	0.3177984	0.6812236	0.5730418	0.5640254	0.0587070	0.2175270	0.3260196	0.0067937	0.3370247	0.3193825	0.7338285	0.7408515	0.0031946	0.7610749	0.0760667	0.3883093	0.0687107	0.6562848	0.1746321	0.6712959	0.6309464	0.0249228	0.4460411	0.0431939	0.2870508	0.2060546	0.4909495	0.4605472	0.3443609	0.0068099	0.0369650	0.5914488	0.7010850	0.5777013	0.5756955	0.4451522	0.0487615	0.2116423	0.5507143	0.4906761	0.4621681	0.5976775	0.2004516	0.2643204	0.0885547	0.1258446	0.4298772	0.3170942	0.4751459	0.0029539	0.1752922	0.3690956	0.5383921	0.1919458	0.3654022	0.4619239	0.2506619	0.3224374	0.5256137	0.7189090	0.1450299	0.5520726	0.6959840	0.5641193	0.1766690	0.5752091	0.6392668	0.0787205	0.2929350	0.0000020	0.4428476	0.0508919	0.0267593	0.3755616	0.1823006	0.6656466	0.2427393	0.0269620	0.2214732	0.6868053	0.2765492	0.2049624	0.3558640	0.5094324	0.0080542	0.5268066	0.6519879	0.0966321	0.5901842	0.6649839	0.1722167	0.6262049	0.5362171	0.1680980	0.2729315	0.6752236	0.4928855	0.5553649
600	0.5575225	0.6817021	0.7160854	0.6100916	0.7331554	0.4239980	0.1551430	0.3243664	0.5188251	0.4828146	0.3407160	0.5694336	0.0697229	0.6485112	0.3247143	0.5863956	0.2140599	0.3588058	0.5165674	0.4049778	0.2580669	0.5968917	0.6864869	0.3893337	0.6262033	0.4826553	0.2405896	0.7243154	0.4218061	0.4977583	0.6258051	0.6547206	0.6205252	0.2574108	0.7681999	0.6939605	0.9303851	0.4134994	0.2998923	0.6271486	0.4735943	0.0727389	0.1905633	0.4794668	0.6361090	0.4947243	0.3671624	0.1417109	0.5631940	0.3407539	0.1082216	0.3007900	0.3086369	0.6625248	0.6168507	0.6112477	0.0544830	0.2483403	0.4801953	0.0196106	0.3661820	0.4508689	0.7703683	0.6235103	0.0000000	0.8221118	0.0882983	0.4628981	0.0502515	0.6666739	0.1993412	0.6911043	0.6560268	0.0143045	0.3187432	0.0481911	0.3456318	0.2011327	0.5312522	0.6510815	0.3943132	0.0188684	0.0187402	0.6618839	0.8324518	0.7099544	0.5959107	0.3538622	0.1051753	0.1660858	0.5722996	0.5007608	0.4078985	0.7086211	0.3189373	0.3997084	0.1705738	0.3055083	0.4789889	0.4245660	0.5382495	0.0194741	0.1148440	0.3225418	0.6260227	0.2145985	0.4263166	0.5699446	0.1858947	0.4140048	0.5579975	0.5602064	0.1887057	0.5010980	0.6074243	0.5939872	0.1463068	0.4952389	0.6570692	0.0877709	0.3771534	0.0009619	0.3274958	0.0248286	0.1315969	0.3022111	0.2254445	0.5530634	0.3014288	0.0105588	0.3513577	0.7421432	0.2856627	0.1833242	0.3792478	0.6668136	0.0220762	0.4306446	0.6291209	0.1472769	0.6454037	0.6565201	0.1357922	0.5629868	0.6227950	0.1352355	0.2600095	0.6650145	0.6144811	0.8198502
700	0.6875427	0.7221189	0.7952500	0.5114252	0.5939455	0.6084126	0.1718249	0.3546359	0.5910646	0.4682427	0.3985499	0.7203713	0.0890883	0.6775640	0.4885501	0.5353674	0.1679966	0.4812128	0.5972948	0.3792510	0.2564087	0.7440476	0.6733183	0.3290960	0.5729382	0.6852180	0.2002290	0.7441818	0.3921328	0.5631986	0.6917768	0.6259241	0.6589038	0.2794381	0.7350763	0.6551805	0.5530736	0.4396871	0.2609820	0.5119450	0.5129749	0.1156790	0.1555126	0.5654734	0.6840430	0.3261998	0.3470097	0.1861042	0.5709655	0.2405595	0.0757265	0.3622602	0.4088363	0.5618130	0.6002271	0.5174689	0.0704761	0.2938582	0.4067428	0.0236276	0.3350316	0.3613789	0.7388555	0.7224560	0.0056765	0.7346810	0.0734609	0.4840505	0.0608413	0.5646806	0.1437414	0.6581162	0.6306773	0.0087147	0.3325327	0.0738377	0.3084031	0.1448112	0.4238166	0.6591197	0.4379208	0.0400656	0.0318171	0.6342988	0.4915313	0.6736704	0.5577908	0.4093972	0.0417526	0.2579766	0.8612048	0.4277841	0.3733765	0.6783156	0.2496127	0.3679313	0.1524672	0.3414309	0.4111479	0.4357794	0.5546081	0.0062569	0.1934075	0.3185032	0.5343791	0.1897378	0.3995716	0.6001541	0.3307577	0.3048098	0.5395765	0.7316332	0.1445616	0.5524248	0.5534172	0.7306894	0.1675570	0.5062763	0.5059836	0.0730604	0.2826484	0.0002174	0.4289049	0.0109594	0.0713628	0.3047972	0.1983741	0.7312116	0.2502327	0.0393502	0.3257986	0.7495805	0.3601012	0.1516543	0.3669239	0.5976147	0.0399224	0.4582171	0.6882634	0.2333102	0.7433175	0.5169817	0.1348137	0.7201052	0.6407620	0.1345476	0.2770648	0.6503519	0.5178263	0.6550907
800	0.7449490	0.6420470	0.6762116	0.5536734	0.6462018	0.4489105	0.2218666	0.3028662	0.6278780	0.5319671	0.3693794	0.6590899	0.0661090	0.6144912	0.4164619	0.4557946	0.1929660	0.4483315	0.6926630	0.4279557	0.2597507	0.6974995	0.6754467	0.4129164	0.7200978	0.5181997	0.2769048	0.5680650	0.4433329	0.5524281	0.6075432	0.6489363	0.6252293	0.2928213	0.7548811	0.7215146	0.6061626	0.3726235	0.2527761	0.6869500	0.4816991	0.0652897	0.2702873	0.4842904	0.7088037	0.4257290	0.3360802	0.1509745	0.7680917	0.3352698	0.1172415	0.3933709	0.3570003	0.5671994	0.6703001	0.6575329	0.0541876	0.2474985	0.3863006	0.0366907	0.4111769	0.3995525	0.6496188	0.5736691	0.0024266	0.7014264	0.0822480	0.4394341	0.0339862	0.5997776	0.2224525	0.6284400	0.6089421	0.0212466	0.3267892	0.0260503	0.3171482	0.1928628	0.6466591	0.6830293	0.3166311	0.0297590	0.0303062	0.5710087	0.6979237	0.5740287	0.7157416	0.4455447	0.0682020	0.2247922	0.6613748	0.3830220	0.3239540	0.5635981	0.2421421	0.3925198	0.1872066	0.3572359	0.5233585	0.4161311	0.4080281	0.0061347	0.1088038	0.2903774	0.5231463	0.2544744	0.3800456	0.5167905	0.2519761	0.2878092	0.5622168	0.6114512	0.1481737	0.5100649	0.5790168	0.7714981	0.1693562	0.6064935	0.4900845	0.0819525	0.3610627	0.0005817	0.2935662	0.0150395	0.0481169	0.3980513	0.1857524	0.5603085	0.2682287	0.0183934	0.3188918	0.6275810	0.3347239	0.1561294	0.4306630	0.5419542	0.0228890	0.3861031	0.6646465	0.2531893	0.6657668	0.7173382	0.1956180	0.7226237	0.5219336	0.1120686	0.2961176	0.5418130	0.5594482	0.6782056
