"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0240172	0.7301279	0.0456270	0.1424784	0.5583775	0.1752291	0.2639804	0.8747625	0.6414985	0.7673055
50	0.0482835	0.6412287	0.0287474	0.0367522	0.6024191	0.0523852	0.1379044	0.8075621	0.2725936	0.6985288
100	0.0186568	0.5356318	0.0391023	0.0141930	0.5342386	0.0510401	0.1761632	0.6430455	0.1363533	0.7620961
150	0.0136697	0.5888139	0.0238870	0.0046333	0.7136511	0.0989531	0.1197321	0.6471082	0.0874734	0.7710457
200	0.0427995	0.6272750	0.0134551	0.0250645	0.5546295	0.0409619	0.1472683	0.7397043	0.1409325	0.7911005
250	0.0342034	0.7710673	0.0233940	0.0067586	0.5649030	0.0333640	0.1231187	0.6711260	0.1457399	0.7404969
300	0.0413130	0.6647782	0.0357409	0.0075026	0.4387468	0.0438751	0.1099842	0.7454136	0.1102355	0.7964645
350	0.0910630	0.7951822	0.0697902	0.0130685	0.6148713	0.0205504	0.1151074	0.6277289	0.1414529	0.7714789
400	0.0791739	0.7283413	0.0248239	0.0117797	0.5460295	0.0195561	0.1044630	0.7896102	0.0982493	0.7612111
450	0.0453679	0.6603248	0.0143243	0.0103252	0.4808100	0.0301600	0.1629503	0.5865912	0.0743111	0.6999957
500	0.0313680	0.7771143	0.0363145	0.0118185	0.6492572	0.0403920	0.1161599	0.6944422	0.0809812	0.7985313
550	0.0623354	0.7203742	0.0347102	0.0810827	0.5279599	0.0201724	0.2470975	0.6727695	0.4783264	0.6737267
600	0.0330160	0.5880159	0.0359458	0.0600583	0.6001769	0.0341350	0.3206099	0.5483122	0.5860220	0.8054110
650	0.0336296	0.7283191	0.0365118	0.0685594	0.6816867	0.0503860	0.2680513	0.8502495	0.7535510	0.6582961
700	0.0339472	0.7760348	0.0384196	0.0770329	0.7147537	0.0666904	0.3626640	0.8015000	0.7042435	0.6547436
750	0.0747205	0.6900857	0.0350868	0.1047261	0.6427875	0.0616329	0.3946016	0.7888312	0.7380445	0.6416150
800	0.0511990	0.6455335	0.0325482	0.1335459	0.7536015	0.0802898	0.2936970	0.7109566	0.7822201	0.8170926
850	0.0702021	0.6288416	0.0445714	0.1073336	0.8251566	0.0998550	0.3724292	0.6011688	0.5713582	0.7602958
900	0.0475774	0.7597283	0.0475534	0.0401955	0.6919424	0.0675943	0.1982927	0.6094381	0.8087760	0.6262782
950	0.0423290	0.7114784	0.0214327	0.1072053	0.5499467	0.0514356	0.3333953	0.7233059	0.6261038	0.6525608
1000	0.0641410	0.8150241	0.0374572	0.0824290	0.6727767	0.0555595	0.2980035	0.7390046	0.7220671	0.7788711

0	0.0522399	0.7055442	0.0561030	0.1200751	0.5584846	0.1995255	0.2315861	0.7665312	0.8095060	0.6938919
50	0.0491272	0.5295763	0.0466652	0.1394854	0.6624578	0.1711947	0.2750618	0.6239042	0.8105121	0.8419650
100	0.0602611	0.5842655	0.0931396	0.1913607	0.5822176	0.2520308	0.2510164	0.7370408	0.6339460	0.7188322
150	0.0669241	0.6489310	0.0538929	0.1710338	0.5782526	0.1831612	0.2876743	0.7632422	0.7950195	0.6914310
200	0.0436784	0.5987843	0.0704739	0.1461836	0.6132577	0.0856901	0.3712283	0.8565664	0.7611433	0.7259207
250	0.0281795	0.5409332	0.0806681	0.1506413	0.6253769	0.1477212	0.2585211	0.7392421	0.5770962	0.6589627
300	0.0607198	0.5577331	0.0949978	0.1635084	0.6300844	0.2365885	0.3237104	0.7531089	0.6362619	0.6403407
350	0.0314318	0.5750541	0.0502070	0.1713764	0.6140303	0.3587139	0.3391245	0.6692353	0.8540732	0.7846652
400	0.0774707	0.6083469	0.0573370	0.2116109	0.4849196	0.4072302	0.2040619	0.7551700	0.7610897	0.7564289
450	0.0403444	0.6391927	0.0509268	0.1358792	0.5464390	0.2980553	0.2533327	0.8559113	0.8289261	0.6443407
500	0.0656492	0.6097732	0.0364490	0.1623782	0.7007630	0.2549781	0.3302835	0.7828941	0.7537697	0.6420429
550	0.0686061	0.6899236	0.0606290	0.1258582	0.6631011	0.2402855	0.3007511	0.8200572	0.8022901	0.7766439
600	0.0536132	0.6907096	0.0563936	0.2151831	0.6163102	0.3058482	0.2421631	0.7756323	0.7195203	0.6261790
650	0.0679481	0.7255416	0.0418888	0.1970262	0.5494128	0.2882435	0.2135691	0.7352395	0.7831078	0.9098295
700	0.0225150	0.7267112	0.0622932	0.1391190	0.5483807	0.2207490	0.3164218	0.6756068	0.5499464	0.8126965
750	0.0260358	0.6601661	0.0389567	0.1519026	0.6481419	0.1715290	0.2666109	0.6931815	0.5534947	0.6859968
800	0.0470184	0.6546489	0.0333194	0.1682956	0.6299438	0.1339913	0.2913692	0.7594373	0.6976516	0.6052633
850	0.0500088	0.7341389	0.0185029	0.1130184	0.6231093	0.0540115	0.3851023	0.7842512	0.7305397	0.7692096
900	0.0625534	0.7457320	0.1218285	0.0851965	0.7264504	0.0888724	0.2935935	0.6177472	0.6683159	0.7348305
950	0.0306846	0.8476917	0.0249639	0.1355188	0.5811254	0.1318429	0.2334704	0.6392003	0.6246405	0.8842988
1000	0.0530312	0.8449297	0.0228794	0.0833288	0.7517328	0.1722269	0.3308521	0.6946999	0.7674479	0.5729204

0	0.0357979	0.7396198	0.0686125	0.1515986	0.6297644	0.1911235	0.2428347	0.6772458	0.6109104	0.7388003
50	0.0404397	0.6588601	0.0460752	0.1061062	0.5680730	0.1858229	0.1309516	0.7003273	0.7121076	0.7939289
100	0.0339473	0.8592896	0.0443432	0.0823103	0.5919431	0.1128850	0.1345701	0.5593694	0.6787558	0.6318548
150	0.0827372	0.7452558	0.0321272	0.0908839	0.6194166	0.0994438	0.1305624	0.6958747	0.8081005	0.7732315
200	0.0817095	0.7117443	0.0360207	0.1100623	0.6189194	0.1100276	0.0778928	0.6632571	0.7973886	0.8129364
250	0.0529784	0.7291381	0.0176717	0.1040933	0.5491794	0.1814917	0.0761408	0.7053414	0.7698475	0.9809360
300	0.0508030	0.7079014	0.0244738	0.0932178	0.5746138	0.1156430	0.0877577	0.6395487	0.7312791	0.8126551
350	0.0259573	0.5937706	0.0397029	0.0865570	0.6021471	0.0928032	0.1113933	0.7955339	0.8114980	0.8921328
400	0.0501151	0.7115293	0.0473932	0.0856917	0.6030879	0.0502327	0.1738342	0.7555636	0.6835204	0.6732762
450	0.0150141	0.7139023	0.0747604	0.0756856	0.6681683	0.0859705	0.1322719	0.8037687	0.7865616	0.7117810
500	0.0365726	0.7507023	0.0344327	0.1279452	0.5661708	0.1392923	0.1557588	0.8110672	0.6706644	0.7884224
550	0.0527250	0.8802921	0.0314396	0.0919140	0.8345715	0.0655683	0.1941801	0.6368542	0.8231462	0.7374509
600	0.0147858	0.7343244	0.0193576	0.0937934	0.5989999	0.0324440	0.2552464	0.7573399	0.7306957	0.7839425
650	0.0845932	0.6469462	0.0367012	0.1084473	0.5948259	0.1097632	0.3518729	0.6784179	0.7785305	0.6723380
700	0.0411092	0.6800710	0.0309360	0.0927094	0.6036994	0.0861659	0.3091821	0.7724830	0.6826925	0.8218149
750	0.0641178	0.6463831	0.0511561	0.1154361	0.5548073	0.1359078	0.2965294	0.6400779	0.7602011	0.7028741
800	0.0443979	0.7201169	0.0702322	0.1103347	0.5805757	0.1616415	0.2643895	0.6713962	0.7939917	0.7234742
850	0.0412132	0.7857276	0.0355401	0.1302081	0.6665731	0.1692141	0.3121053	0.7359025	0.6271704	0.6462232
900	0.0498934	0.7064534	0.0503170	0.1145529	0.8797254	0.1042292	0.3288411	0.7347734	0.6994784	0.7280125
950	0.0560207	0.7421468	0.0349233	0.1356379	0.7564669	0.1235144	0.3029489	0.8625074	0.6786788	0.6934855
1000	0.0387313	0.6779591	0.0229464	0.1161607	0.7950379	0.1328467	0.2939631	0.7099837	0.6335053	0.7402742

