G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0244194	0.6811619	0.0253883	0.0961152	0.7400733	0.0738011	0.2752925	0.7473215	0.7559721	0.7682975
0.1044305	0.3427028	0.1132549	0.1648962	0.5102294	0.4894131	0.2410349	0.7047532	0.7207378	0.7513973
0.0528358	0.7464651	0.0263458	0.1352352	0.6171223	0.0890841	0.2823485	0.6894132	0.7617350	0.7923905
0.0239243	0.6757057	0.0446706	0.0556409	0.6485677	0.0675629	0.3119050	0.8364986	0.6985629	0.7289370
0.1259188	0.7124067	0.0239697	0.0711366	0.3180513	0.0985478	0.2713234	0.5838004	0.7304780	0.7582455
0.0813228	0.7791496	0.0395880	0.0723455	0.8625492	0.0262991	0.3392836	0.7539509	0.7217785	0.7114831
0.0651932	0.7195769	0.0285334	0.0713054	0.6639294	0.0488530	0.1844072	0.6635360	0.6557827	0.7184940
0.0327233	0.7254003	0.0341180	0.0907225	0.6011232	0.0591792	0.3558005	0.3297013	0.7033803	0.8168705
0.0670120	0.7734140	0.0303653	0.0829149	0.5292932	0.0525135	0.2788295	0.7850305	0.5089844	0.7096142
0.0314602	0.6689219	0.0503711	0.1224186	0.6530782	0.0642707	0.3496759	0.6616469	0.6355008	0.4014011
