G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.8620689	0.0098101	0.0695995	0.6839472	0.1355379	0.3152459	0.7011072	0.5778575	0.6121381
0.6884989	0.0000000	0.8026049	0.2977969	0.5476161	0.7579001	0.0931458	0.6763922	0.7719834	0.6346700
0.0586283	0.6451687	0.0000000	0.0011199	0.7300129	0.0358586	0.2943507	0.7170163	0.6575035	0.6802883
0.0384939	0.7080561	0.0396379	0.0000000	0.6553707	0.1258643	0.2071379	0.7035296	0.7120064	0.6544381
0.0369147	0.7633311	0.0647464	0.0824456	0.0000000	0.0279973	0.3296447	0.7983817	0.7533841	0.8226538
0.0476052	0.6583614	0.0591760	0.1066325	0.5069101	0.0000000	0.3635594	0.7705621	0.7593870	0.7000747
0.0297666	0.7299863	0.0653272	0.1207405	0.6968713	0.1062812	0.0000000	0.7724851	0.7609322	0.6404984
0.0306725	0.8065717	0.0296407	0.1409155	0.5086348	0.1737702	0.6169291	0.0000000	0.6423641	0.7194337
0.0908589	0.7267559	0.0305684	0.5940123	0.1950383	0.1155499	0.3108116	0.6141988	0.0000000	0.7949492
0.0766915	0.6857047	0.0321354	0.0526407	0.6729086	0.0515343	0.6293699	0.5238896	0.6914955	0.0000000
