G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0020916	0.8115077	0.0084148	0.0109534	0.5416138	0.1278112	0.2786129	0.7870168	0.8291463	0.7973523
0.0445250	0.6318621	0.0124043	0.0201910	0.8288829	0.1177126	0.2370034	0.5520890	0.6936256	0.7980238
0.0012854	0.5911436	0.0543087	0.0389459	0.5972643	0.2020904	0.2695459	0.5955822	0.6410272	0.4924918
0.0115724	0.7358712	0.0452093	0.0220553	0.6851161	0.2948549	0.2603724	0.7830158	0.6826409	0.7297609
0.0009075	0.7535853	0.0381486	0.0292111	0.8332151	0.0077732	0.3755953	0.5711839	0.7724949	0.6182411
0.0656090	0.7215937	0.0387791	0.1075113	0.6520390	0.1148372	0.2993653	0.7437469	0.6725619	0.6838505
0.0863510	0.6912723	0.0232839	0.3465388	0.7261910	0.0071226	0.3367004	0.9742922	0.4161455	0.8006876
0.0190178	0.5351757	0.0345838	0.0001074	0.6292720	0.0744022	0.2641570	0.4828286	0.7943123	0.7121289
0.0015661	0.7539527	0.0488870	0.0022664	0.6842382	0.1305749	0.2415761	0.6456533	0.6480921	0.5472403
0.0370604	0.6828806	0.0255320	0.1037276	0.6423090	0.2236460	0.3558318	0.2686770	0.7447006	0.6456583
