"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0691522	1.0071232	0.0732522	0.2206034	0.8856033	0.2759945	0.3479313	1.0771336	0.9513463	0.9965825
50	0.0527292	0.9271491	0.0403543	0.0521811	0.9329523	0.1040469	0.2170534	1.1304321	0.3644392	1.0856788
100	0.0519408	0.8974420	0.0375821	0.0182819	0.8640820	0.1022569	0.1867616	0.9704784	0.2271543	1.0338419
150	0.0364648	0.8990117	0.0345299	0.0074187	0.8492370	0.1151399	0.1524270	0.9466016	0.1423936	1.0585381
200	0.0565684	0.9550915	0.0354995	0.0248372	0.7260967	0.0878488	0.1812194	0.9760794	0.1403383	1.0744431
250	0.0577244	0.9888413	0.0437682	0.0132240	0.7590142	0.0534641	0.1633551	0.9188991	0.1802768	0.9735797
300	0.0859987	1.0167034	0.0325041	0.0054983	0.7917032	0.0592524	0.1482190	0.9692510	0.1606985	1.0765424
350	0.0866183	1.0388150	0.0340859	0.0047064	0.7987688	0.0409270	0.1733985	0.9243343	0.1249625	0.9872268
400	0.0726564	1.0386185	0.0337256	0.0156676	0.7534930	0.0325357	0.1734544	0.9495336	0.1520254	0.9849689
450	0.0853603	0.9965886	0.0299740	0.0163462	0.7700895	0.0520853	0.1903603	0.9844361	0.1228565	0.9331863
500	0.0851008	1.0060791	0.0268666	0.0218208	0.7044812	0.0613885	0.1914402	0.9564419	0.1449003	1.0401282
550	0.0625167	1.0043447	0.0392388	0.0485566	0.8334296	0.0293666	0.3339974	0.9987679	0.6640061	1.0142403
600	0.0681203	0.9083824	0.0485271	0.0884243	0.9227991	0.0449601	0.4224669	0.9642890	0.7953288	1.0399990
650	0.0606743	0.9731156	0.0570086	0.0781350	0.8256391	0.0721795	0.3994945	1.0685794	0.9372190	0.8473847
700	0.0489898	1.0563766	0.0520387	0.1020824	0.9006718	0.0845155	0.4289717	1.0176548	1.0302394	0.9633542
750	0.0732228	0.9743401	0.0592521	0.1181961	0.9095214	0.0902741	0.4268926	1.0040215	1.0201199	1.0328721
800	0.0726678	1.0247592	0.0489910	0.1631407	0.9312464	0.1244221	0.4033385	0.9357419	0.9977322	1.0545028
850	0.0785196	1.0139468	0.0474056	0.1519859	0.9314692	0.1512970	0.3959768	0.9508940	0.9656799	1.0305104
900	0.0684307	1.0720018	0.0504053	0.1162134	1.0176965	0.0829850	0.3938504	0.9742491	1.0172961	0.9215573
950	0.0720930	0.9790039	0.0546661	0.1391262	0.9013940	0.0794071	0.4063033	0.9549387	0.9271462	0.9733295
1000	0.0905009	1.0026499	0.0533332	0.1089060	0.8345444	0.0796976	0.4321052	1.0212766	0.9325269	1.0411462

0	0.0691522	1.0071232	0.0732522	0.2206034	0.8856033	0.2759945	0.3479313	1.0771336	0.9513463	0.9965825
50	0.0645686	0.8935593	0.0618765	0.2012800	0.8783232	0.1681541	0.3570716	0.9954037	1.0301289	1.0590781
100	0.0733179	0.8156018	0.0857102	0.2646297	0.8909315	0.3374613	0.3587315	0.9999213	1.0079373	0.9580937
150	0.0730026	0.8019115	0.0644311	0.2228472	0.8611517	0.2596526	0.3929424	1.0444595	1.0481651	0.9812098
200	0.0644529	0.7729753	0.0771927	0.1847945	0.9071342	0.1248189	0.4118129	1.0944606	1.0195369	0.9753198
250	0.0680409	0.7912466	0.0926340	0.2246231	0.9873208	0.2029328	0.3884362	1.0561256	0.9636871	1.0089228
300	0.0916280	0.8459876	0.1080415	0.2677210	0.8535166	0.3080882	0.4271583	1.0642160	1.0045533	0.9650349
350	0.0499473	0.8476891	0.1053924	0.3232849	0.8006999	0.5399385	0.3530759	0.9162635	1.0306500	1.0717024
400	0.0667228	0.8181587	0.0998814	0.3051364	0.7638272	0.6329387	0.3416226	0.9738336	1.0645753	1.0569070
450	0.0609453	0.7978652	0.0761409	0.2503442	0.8653927	0.4955562	0.3257221	0.9741584	1.1148870	1.0087530
500	0.0667958	0.8457784	0.0632130	0.2451827	0.8799562	0.3366391	0.4383118	0.9719271	1.1277690	0.9774011
550	0.0769552	0.9417188	0.0770188	0.2118709	0.9108977	0.3924967	0.4144903	0.9973177	1.0079436	0.9655858
600	0.0813770	1.0032683	0.0727382	0.2007872	0.8564942	0.3676763	0.4209520	1.0151070	1.0045165	0.9717040
650	0.0940621	0.9998934	0.0662607	0.2079602	0.8535926	0.3934209	0.3559272	1.0479694	0.9944376	1.0520896
700	0.0607508	1.0292109	0.0589617	0.2175081	0.8177844	0.3524674	0.3750118	0.9444142	0.8769708	0.9292279
750	0.0517776	0.8889323	0.0566374	0.1812581	0.9719604	0.2576063	0.3815580	0.9742560	0.9023789	1.0025605
800	0.0660398	0.9629688	0.0645758	0.1852551	0.9145759	0.1529210	0.4025241	1.0435554	0.8998585	0.9835529
850	0.0797136	0.9317088	0.0382163	0.1703064	0.9460766	0.0783711	0.4237479	1.0621529	1.0253552	1.0498392
900	0.0746953	0.9311512	0.0667649	0.1546093	1.0009200	0.0989201	0.4284643	0.9208988	1.0259953	1.0647941
950	0.0572064	1.0011857	0.0571040	0.1665880	0.9405410	0.2214834	0.3976042	0.9444769	0.9921305	1.0501465
1000	0.0481963	1.0427663	0.0549998	0.1285921	1.0004463	0.1796340	0.4496657	0.9060532	1.0256300	0.8970329

0	0.0691522	1.0071232	0.0732522	0.2206034	0.8856033	0.2759945	0.3479313	1.0771336	0.9513463	0.9965825
50	0.0724910	1.0154914	0.0680654	0.1372273	0.8040483	0.2158343	0.2076567	0.8571877	1.0032546	1.1223291
100	0.0595674	1.0724875	0.0643072	0.1426422	0.8015350	0.1858462	0.1881802	0.8578191	1.0679066	0.9446711
150	0.0570250	1.0164407	0.0595275	0.1151031	0.9138748	0.1370445	0.1797977	0.8374937	1.0911037	0.9781380
