G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0299289	0.9419867	0.0546449	0.1306682	1.0501273	0.0857980	0.3820720	1.0607823	1.0312836	1.0987815
0.1009636	0.5050399	0.1518597	0.2507514	0.7915122	0.8001784	0.3385047	0.9867591	1.0479315	1.0820694
0.0831494	0.9247898	0.0362397	0.1451586	0.9444761	0.1437996	0.3691542	0.9932643	1.0185217	1.0139617
0.0579952	1.0039275	0.0628577	0.0746112	1.0208505	0.1131396	0.4031209	1.0850919	0.9477911	1.1021435
0.0946829	0.9535274	0.0507024	0.1318082	0.4433401	0.1075634	0.4488759	0.9812021	1.0485982	1.0620802
0.0578708	1.0386184	0.0623341	0.1326765	1.0640671	0.0383764	0.4378432	1.0458277	1.0614325	1.0078469
0.0813457	0.9907002	0.0511421	0.1255021	0.9265230	0.1255057	0.2804274	1.0158084	1.0295147	1.0212274
0.0574803	0.9478785	0.0509553	0.1723491	0.9418238	0.1116772	0.4396385	0.4904708	1.0210671	1.0557502
0.0432660	1.0995059	0.0554026	0.1006840	0.8147658	0.1013494	0.4244366	1.0993403	0.5995009	0.9710307
0.0716821	1.0144713	0.0639767	0.1345640	0.8811559	0.1025378	0.4389576	1.0158847	1.0459926	0.5385556
