G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	1.0821514	0.0387458	0.1296977	0.9202314	0.1419447	0.4049604	0.9926860	1.0176148	1.0108010
1.0344418	0.0000000	0.9568804	0.3744564	0.7677331	0.9729331	0.1023684	1.0526802	1.0196860	0.9832926
0.0760444	1.0543837	0.0000000	0.0032612	1.0149147	0.0232238	0.4650099	1.0086454	0.9305871	0.9388307
0.0820593	1.0577194	0.0639615	0.0000000	0.9452118	0.1726277	0.3847541	1.0071256	0.9734051	0.9630494
0.0602017	0.9372903	0.0558921	0.1335930	0.0000000	0.0608709	0.4585620	0.9672421	0.9929020	0.9793307
0.0991287	0.9788391	0.0804389	0.1680992	0.8518658	0.0000000	0.4547906	1.0121387	0.9907711	1.0184606
0.0366863	0.9675197	0.0641358	0.1563513	0.9307062	0.1041112	0.0000000	1.0283327	0.9675497	0.9289161
0.0604590	1.0619783	0.0488561	0.1824056	0.7979846	0.2212898	0.8533826	0.0000000	1.0254611	1.0331173
0.0620396	1.0583952	0.0626266	0.7125352	0.2615145	0.1819023	0.3894551	0.9879606	0.0000000	0.9743575
0.0878516	1.0352368	0.0456007	0.1229603	1.0380393	0.0547823	0.9011791	0.9608450	1.0087758	0.0000000
