G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0011360	1.0601234	0.0114152	0.0227444	0.9386220	0.1793420	0.4732128	1.0293540	1.0760898	0.9914827
0.0567831	0.9956917	0.0191687	0.0416720	1.0001749	0.0968685	0.4147378	0.8378243	0.7957016	1.1146364
0.0014303	0.8088556	0.0642130	0.0290445	0.8893769	0.2965337	0.3491722	0.8717218	0.9271014	0.6619520
0.0035285	1.0774388	0.0452902	0.0462333	0.8406227	0.3692038	0.3834135	1.0073910	1.0148272	0.9442607
0.0010440	0.9568909	0.0256811	0.0393274	1.0779324	0.0079511	0.4856297	0.7505493	1.0401990	0.9508239
0.0825455	1.0465182	0.0502646	0.1666555	0.9040332	0.2436269	0.4252473	1.0599101	1.0494132	1.0069401
0.0635012	0.9927951	0.0336213	0.5174515	1.0104715	0.0143230	0.4710122	1.0098271	0.7008955	1.0649476
0.0538447	0.7170511	0.0570546	0.0003117	0.8128200	0.0811152	0.4096465	0.7441185	1.0097809	0.9911268
0.0009998	1.0745306	0.0526810	0.0023077	0.9996356	0.1929286	0.4472493	0.8131871	1.0088636	0.7795730
0.0579730	1.0329835	0.0202645	0.1580897	0.9297784	0.2779900	0.5520383	0.4088213	0.8691426	0.9972950
