"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0530248	1.1207783	0.0843959	0.2049674	0.8690287	0.1793440	0.3828486	1.1303030	0.9488579	0.9595163
50	0.0694873	0.9236447	0.0494575	0.0998358	0.9890777	0.1398390	0.2632837	1.1176818	0.6891298	1.0383102
100	0.0537691	1.0521125	0.0405940	0.0434562	0.9182088	0.1354201	0.2295808	0.9754267	0.3482163	1.1022234
150	0.0520442	0.9402539	0.0513270	0.0206749	0.8493342	0.0956521	0.1757984	0.9710218	0.2022480	1.0031480
200	0.0374902	0.9394395	0.0440791	0.0050080	0.7477073	0.0844906	0.2105943	0.9184469	0.1649235	1.0592990
250	0.0368068	0.9260572	0.0449383	0.0053257	0.7185624	0.0683066	0.1850601	0.9824076	0.1610324	0.9813760
300	0.0705431	1.0097854	0.0382111	0.0000000	0.7706687	0.0351447	0.1717948	0.9462278	0.1656720	0.9784751
350	0.0829477	1.0661956	0.0246372	0.0167642	0.8335195	0.0369584	0.1578315	0.9957867	0.1556018	0.9272234
400	0.0651692	1.0786745	0.0303577	0.0099834	0.7920237	0.0489665	0.1778394	0.9838450	0.1306836	1.0417012
450	0.0885411	1.0378413	0.0432350	0.0089186	0.6982528	0.0539006	0.1823977	0.9373436	0.1172475	0.9257298
500	0.0862496	0.9693385	0.0288331	0.0206361	0.7484848	0.0572471	0.1924765	0.9689086	0.1321596	0.9392380
550	0.0812839	1.0249958	0.0215559	0.0345070	0.7906034	0.0466466	0.2197280	0.9000345	0.4020186	1.0360888
600	0.0785303	0.9876191	0.0418435	0.0585394	0.8357018	0.0428488	0.3156725	0.9927643	0.6472779	1.0236312
650	0.0692550	0.9358281	0.0444250	0.1093348	0.8742742	0.0447076	0.3671267	0.9463359	0.8882914	1.0131842
700	0.0452234	0.9695271	0.0500073	0.1156742	0.9724514	0.1025580	0.3991255	0.9401027	0.9439097	0.9801857
750	0.0578496	0.9592445	0.0503941	0.0832764	0.9862659	0.0960568	0.4147059	0.8523367	0.9086322	1.0397892
800	0.0624573	0.9813891	0.0524667	0.1134613	0.9507737	0.1113947	0.3640039	0.9336273	0.9648896	1.0496967
850	0.0718035	1.0069444	0.0506187	0.1132429	0.9498404	0.1472477	0.3887131	0.8831275	0.9273531	1.0448234
900	0.0833134	1.0076383	0.0568104	0.1102727	0.8906555	0.1211605	0.3983567	0.9829782	0.9568690	1.0107084
950	0.0618271	1.0325682	0.0317356	0.1292233	0.8783067	0.1303207	0.4209496	0.9835267	0.9205469	0.9847376
