G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0277073	0.9310681	0.0584497	0.1307231	0.9053797	0.0637113	0.3586607	1.0799397	1.1521312	1.0238645
0.0908380	0.5020831	0.1430098	0.2506486	0.7557402	0.8020846	0.2835930	0.9345545	1.1046959	0.9932788
0.0923708	1.0584530	0.0520594	0.1587196	0.9513975	0.1299513	0.4007022	1.0031273	0.9976729	1.0074570
0.0655548	0.9592083	0.0580775	0.0735529	0.9952092	0.0804333	0.3464138	1.0842301	0.9889898	1.1050897
0.0986954	0.9712568	0.0575577	0.1091531	0.4707405	0.0979939	0.4557710	1.0500916	0.9980697	1.0527560
0.0959571	0.9416621	0.0445240	0.1130903	0.9217249	0.0556252	0.3543644	1.0883765	0.9672147	1.0414221
0.0600430	0.9808302	0.0826775	0.1006165	0.9575957	0.0979202	0.2602425	0.9405224	1.1138400	1.0127487
0.0741528	0.9380748	0.0544782	0.1586446	0.9294249	0.1343000	0.4323263	0.5047876	1.1144752	1.0272540
0.0737786	1.0709307	0.0503768	0.1398706	0.8636351	0.1213078	0.3839656	1.0984567	0.5844429	1.0527838
0.0519996	1.1197268	0.0565787	0.1493518	0.8880399	0.1106124	0.4917684	0.9515063	0.9706976	0.4883131
