G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	1.0582683	0.0438808	0.1699412	0.9298252	0.1769420	0.4585607	1.0038012	1.0719775	0.9769281
0.9602050	0.0000000	0.9320965	0.3985275	0.8498089	0.9374946	0.1057667	1.0356734	1.0241749	1.0538177
0.0615117	1.0449231	0.0000000	0.0031335	0.9988604	0.0265538	0.4471482	0.9952208	0.9709351	0.8748425
0.0757422	0.9551491	0.0905729	0.0000000	0.9689089	0.0809244	0.4467167	1.0501043	1.0361536	0.9281823
0.0575336	0.9838884	0.0431876	0.1439224	0.0034740	0.0676236	0.3692599	0.9132273	1.1103228	0.9938582
0.1075828	0.9656905	0.0718848	0.1702752	0.8458548	0.0000000	0.5307628	0.9951425	0.9479593	1.0610060
0.0560052	0.8666093	0.0585779	0.1432269	0.9470125	0.1589660	0.0000000	1.0988220	1.0567681	0.9816464
0.0630108	1.0612293	0.0707925	0.1340478	0.8868524	0.1660325	0.8132273	0.0000000	1.1173954	1.0750140
0.0662067	0.9982747	0.0715928	0.8156079	0.2488660	0.1495078	0.3478652	1.0482666	0.0000000	0.9784661
0.0918307	1.1253300	0.0402414	0.1234198	1.0070342	0.0610223	0.8939873	1.0643340	1.1245016	0.0000000
