G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0004698	1.1618224	0.0260922	0.0136678	0.9467745	0.1848005	0.3973958	1.1302496	1.0690974	1.0879577
0.0629245	1.0025097	0.0096072	0.0466284	0.9258739	0.1015871	0.4098000	0.8628999	0.8217394	1.0819792
0.0039211	0.8394264	0.0844805	0.0107191	0.8853639	0.3836640	0.2833806	0.9049632	0.8760626	0.6353068
0.0094521	1.0427722	0.0440334	0.0290990	0.8549962	0.4486043	0.3777858	1.0919558	0.9570446	0.8435473
0.0061068	0.9352845	0.0133768	0.0590771	1.0314660	0.0082940	0.5597677	0.7134422	1.1001563	0.8609917
0.0700293	1.0754151	0.0701648	0.2273428	0.9419668	0.2383972	0.4128378	0.9922023	1.0245294	0.9685337
0.0706701	1.0516793	0.0395913	0.5907377	1.0004072	0.0177720	0.4500943	0.9779416	0.6949815	0.9336012
0.0550627	0.7509040	0.0635769	0.0001421	0.8756006	0.0585614	0.4015986	0.6685589	1.0978666	1.0173721
0.0060913	1.1009681	0.0377278	0.0038653	0.9590445	0.2224055	0.3658894	0.8077313	0.9055049	0.8807300
0.0638244	1.0875478	0.0242253	0.1996719	0.8930546	0.3001681	0.5592726	0.3741658	0.9433693	0.9671557
