"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0662858	1.0000000	0.0566177	0.1457177	0.9153891	0.1204845	0.4079920	1.0000000	1.0000000	1.0000000
50	0.0662854	1.0000000	0.0399938	0.0542046	0.9190519	0.1027471	0.2395544	1.0000000	0.3986924	1.0000000
100	0.0662853	1.0000000	0.0339940	0.0208105	0.9203036	0.0682001	0.1884138	1.0000000	0.2255056	1.0000000
150	0.0662852	1.0000000	0.0318285	0.0098054	0.8957064	0.0465469	0.1741234	1.0000000	0.1756248	1.0000000
200	0.0662852	1.0000000	0.0310470	0.0078658	0.8495353	0.0363845	0.1705651	1.0000000	0.1612583	1.0000000
250	0.0662852	1.0000000	0.0307649	0.0089587	0.8072369	0.0320522	0.1698593	1.0000000	0.1571205	1.0000000
300	0.0662852	1.0000000	0.0306631	0.0103187	0.7804359	0.0302796	0.1698068	1.0000000	0.1559288	1.0000000
350	0.0662852	1.0000000	0.0306264	0.0112051	0.7665167	0.0295706	0.1698571	1.0000000	0.1555855	1.0000000
400	0.0662852	1.0000000	0.0306131	0.0116678	0.7600657	0.0292915	0.1698986	1.0000000	0.1554867	1.0000000
450	0.0662852	1.0000000	0.0306084	0.0118835	0.7572795	0.0291830	0.1699214	1.0000000	0.1554582	1.0000000
500	0.0662852	1.0000000	0.0306066	0.0119777	0.7561313	0.0291413	0.1699322	1.0000000	0.1554500	1.0000000
550	0.0662852	1.0000000	0.0472298	0.0722026	0.8295359	0.0335814	0.3508332	1.0000000	0.7567553	1.0000000
600	0.0662852	1.0000000	0.0532293	0.1038374	0.8928319	0.0528296	0.4001638	1.0000000	0.9299414	1.0000000
650	0.0662852	1.0000000	0.0553947	0.1239383	0.9123740	0.0781981	0.4101510	1.0000000	0.9798219	1.0000000
700	0.0662852	1.0000000	0.0561762	0.1351536	0.9165102	0.0979537	0.4105929	1.0000000	0.9941884	1.0000000
750	0.0662852	1.0000000	0.0564582	0.1408381	0.9166754	0.1096673	0.4095747	1.0000000	0.9983262	1.0000000
800	0.0662852	1.0000000	0.0565600	0.1435388	0.9161978	0.1156277	0.4087879	1.0000000	0.9995179	1.0000000
850	0.0662852	1.0000000	0.0565967	0.1447650	0.9158175	0.1183920	0.4083587	1.0000000	0.9998611	1.0000000
900	0.0662852	1.0000000	0.0566100	0.1453034	0.9156016	0.1195991	0.4081543	1.0000000	0.9999600	1.0000000
950	0.0662852	1.0000000	0.0566148	0.1455340	0.9154944	0.1201049	0.4080640	1.0000000	0.9999885	1.0000000
1000	0.0662852	1.0000000	0.0566165	0.1456308	0.9154448	0.1203106	0.4080259	1.0000000	0.9999967	1.0000000

0	0.0662858	1.0000000	0.0566177	0.1457177	0.9153891	0.1204845	0.4079920	1.0000000	1.0000000	1.0000000
50	0.0663860	0.8868736	0.0574558	0.1971112	0.9152909	0.1208325	0.4079223	1.0000000	1.0000000	1.0000000
100	0.0667667	0.8464153	0.0603204	0.2173657	0.9138412	0.1258684	0.4069400	1.0000000	1.0000000	1.0000000
150	0.0672843	0.8319459	0.0637741	0.2278079	0.9099146	0.1403088	0.4042983	1.0000000	1.0000000	1.0000000
200	0.0677603	0.8267710	0.0666414	0.2352107	0.9043845	0.1625052	0.4005772	1.0000000	1.0000000	1.0000000
250	0.0681111	0.8249203	0.0685944	0.2409839	0.8988573	0.1867264	0.3968417	1.0000000	1.0000000	1.0000000
300	0.0683358	0.8242585	0.0697713	0.2452680	0.8943703	0.2078108	0.3937961	1.0000000	1.0000000	1.0000000
350	0.0684667	0.8240217	0.0704250	0.2482014	0.8911948	0.2234586	0.3916376	1.0000000	1.0000000	1.0000000
400	0.0685382	0.8239371	0.0707681	0.2500665	0.8891536	0.2338028	0.3902534	1.0000000	1.0000000	1.0000000
450	0.0685754	0.8239068	0.0709408	0.2511813	0.8879316	0.2400801	0.3894294	1.0000000	1.0000000	1.0000000
500	0.0685942	0.8238960	0.0710252	0.2518151	0.8872387	0.2436511	0.3889661	1.0000000	1.0000000	1.0000000
550	0.0683627	0.9370185	0.0697347	0.2007247	0.8870150	0.2446315	0.3888359	1.0000000	1.0000000	1.0000000
600	0.0677268	0.9774754	0.0659938	0.1803302	0.8886768	0.2345630	0.3901178	1.0000000	1.0000000	1.0000000
650	0.0671467	0.9919444	0.0623605	0.1694912	0.8931349	0.2102971	0.3933785	1.0000000	1.0000000	1.0000000
700	0.0667605	0.9971190	0.0598321	0.1618466	0.8989844	0.1821168	0.3974636	1.0000000	1.0000000	1.0000000
750	0.0665349	0.9989696	0.0583161	0.1561061	0.9044622	0.1587649	0.4011361	1.0000000	1.0000000	1.0000000
800	0.0664121	0.9996315	0.0574796	0.1520329	0.9086671	0.1426558	0.4038611	1.0000000	1.0000000	1.0000000
850	0.0663480	0.9998682	0.0570421	0.1493605	0.9115030	0.1326892	0.4056481	1.0000000	1.0000000	1.0000000
900	0.0663157	0.9999529	0.0568218	0.1477256	0.9132514	0.1269425	0.4067240	1.0000000	1.0000000	1.0000000
950	0.0662997	0.9999831	0.0567140	0.1467809	0.9142613	0.1237896	0.4073327	1.0000000	1.0000000	1.0000000
1000	0.0662920	0.9999940	0.0566624	0.1462594	0.9148165	0.1221237	0.4076613	1.0000000	1.0000000	1.0000000

0	0.0662858	1.0000000	0.0566177	0.1457177	0.9153891	0.1204845	0.4079920	1.0000000	1.0000000	1.0000000
50	0.0662854	1.0000000	0.0566176	0.1457059	0.9154000	0.1204593	0.2471681	1.0000000	1.0000000	1.0000000
100	0.0662853	1.0000000	0.0566175	0.1457012	0.9154043	0.1204499	0.1948359	1.0000000	1.0000000	1.0000000
150	0.0662852	1.0000000	0.0566175	0.1456993	0.9154060	0.1204465	0.1778069	1.0000000	1.0000000	1.0000000
200	0.0662852	1.0000000	0.0566175	0.1456986	0.9154066	0.1204452	0.1722657	1.0000000	1.0000000	1.0000000
250	0.0662852	1.0000000	0.0566175	0.1456983	0.9154068	0.1204447	0.1704626	1.0000000	1.0000000	1.0000000
300	0.0662852	1.0000000	0.0566175	0.1456982	0.9154069	0.1204445	0.1698758	1.0000000	1.0000000	1.0000000
350	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204445	0.1696849	1.0000000	1.0000000	1.0000000
400	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.1696228	1.0000000	1.0000000	1.0000000
450	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.1696026	1.0000000	1.0000000	1.0000000
500	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.1695960	1.0000000	1.0000000	1.0000000
550	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.3304230	1.0000000	1.0000000	1.0000000
600	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.3827564	1.0000000	1.0000000	1.0000000
650	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.3997857	1.0000000	1.0000000	1.0000000
700	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4053271	1.0000000	1.0000000	1.0000000
750	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4071303	1.0000000	1.0000000	1.0000000
800	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4077170	1.0000000	1.0000000	1.0000000
850	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4079080	1.0000000	1.0000000	1.0000000
900	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4079701	1.0000000	1.0000000	1.0000000
950	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4079903	1.0000000	1.0000000	1.0000000
1000	0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4079969	1.0000000	1.0000000	1.0000000

0	0.0662858	1.0000000	0.0566177	0.1457177	0.9153891	0.1204845	0.4079920	1.0000000	1.0000000	1.0000000
50	0.0266439	0.4803861	0.0611777	0.1461798	0.9148522	0.5667271	0.4076214	1.0000000	1.0000000	1.0000000
100	0.0141321	0.2945524	0.0856044	0.1538534	0.9058913	0.7193930	0.4013710	1.0000000	1.0000000	1.0000000
150	0.0245712	0.2280912	0.1415934	0.1796713	0.8767439	0.8152351	0.3775082	1.0000000	1.0000000	1.0000000
200	0.0730999	0.2043222	0.2267097	0.2202646	0.8396487	0.9132941	0.3303618	1.0000000	1.0000000	1.0000000
250	0.1508186	0.1958215	0.3175311	0.2593438	0.8145245	0.9674328	0.2722780	1.0000000	1.0000000	1.0000000
300	0.2218240	0.1927813	0.3908901	0.2874580	0.8018863	0.9884356	0.2214891	1.0000000	1.0000000	1.0000000
350	0.2698879	0.1916940	0.4398325	0.3048424	0.7961836	0.9958591	0.1855855	1.0000000	1.0000000	1.0000000
400	0.2978903	0.1913052	0.4686612	0.3148112	0.7936925	0.9984275	0.1631030	1.0000000	1.0000000	1.0000000
450	0.3129373	0.1911661	0.4843083	0.3203055	0.7926051	0.9993184	0.1499869	1.0000000	1.0000000	1.0000000
500	0.3206355	0.1911163	0.4923422	0.3232602	0.7921242	0.9996322	0.1426792	1.0000000	1.0000000	1.0000000
550	0.3779730	0.7107124	0.3904335	0.3242611	0.7919635	0.9992799	0.1406789	1.0000000	1.0000000	1.0000000
600	0.2063934	0.8965398	0.2248364	0.3187495	0.7926412	0.9980291	0.1587358	1.0000000	1.0000000	1.0000000
650	0.1238147	0.9629987	0.1329001	0.3012659	0.7961739	0.9875193	0.2050855	1.0000000	1.0000000	1.0000000
700	0.0895930	0.9867669	0.0903362	0.2708384	0.8075796	0.9167409	0.2665163	1.0000000	1.0000000	1.0000000
750	0.0757114	0.9952673	0.0714548	0.2339805	0.8308417	0.7000193	0.3221003	1.0000000	1.0000000	1.0000000
800	0.0701037	0.9983074	0.0631568	0.2008554	0.8592860	0.4445303	0.3609291	1.0000000	1.0000000	1.0000000
850	0.0678367	0.9993947	0.0595070	0.1770635	0.8827243	0.2777628	0.3839243	1.0000000	1.0000000	1.0000000
900	0.0669178	0.9997835	0.0578965	0.1623789	0.8979355	0.1924769	0.3962298	1.0000000	1.0000000	1.0000000
950	0.0665441	0.9999226	0.0571838	0.1541653	0.9065646	0.1526738	0.4024152	1.0000000	1.0000000	1.0000000
1000	0.0663915	0.9999723	0.0568681	0.1498574	0.9110905	0.1347383	0.4054031	1.0000000	1.0000000	1.0000000

0	0.0662858	1.0000000	0.0566177	0.1457177	0.9153891	0.1204845	0.4079920	1.0000000	1.0000000	1.0000000
50	0.0266236	1.0000000	0.0566176	0.1457765	0.9143713	0.1204593	0.2576254	1.0000000	0.6996699	1.0000000
100	0.0111671	1.0000000	0.0566175	0.1460415	0.9105920	0.1204499	0.2086960	1.0000000	0.6131697	1.0000000
150	0.0051436	1.0000000	0.0566175	0.1463941	0.9058335	0.1204465	0.1927744	1.0000000	0.5882562	1.0000000
200	0.0027962	1.0000000	0.0566175	0.1466835	0.9020772	0.1204452	0.1875935	1.0000000	0.5810807	1.0000000
250	0.0018814	1.0000000	0.0566175	0.1468631	0.8998140	0.1204447	0.1859076	1.0000000	0.5790140	1.0000000
300	0.0015249	1.0000000	0.0566175	0.1469576	0.8986541	0.1204445	0.1853590	1.0000000	0.5784188	1.0000000
350	0.0013860	1.0000000	0.0566175	0.1470024	0.8981165	0.1204445	0.1851805	1.0000000	0.5782473	1.0000000
400	0.0013318	1.0000000	0.0566175	0.1470223	0.8978831	0.1204444	0.1851224	1.0000000	0.5781979	1.0000000
450	0.0013107	1.0000000	0.0566175	0.1470308	0.8977862	0.1204444	0.1851035	1.0000000	0.5781837	1.0000000
500	0.0013025	1.0000000	0.0566175	0.1470343	0.8977473	0.1204444	0.1850974	1.0000000	0.5781796	1.0000000
550	0.0409611	1.0000000	0.0566175	0.1467700	0.9012006	0.1204444	0.3354672	1.0000000	0.8785086	1.0000000
600	0.0564163	1.0000000	0.0566175	0.1462920	0.9075463	0.1204444	0.3843978	1.0000000	0.9650084	1.0000000
650	0.0624392	1.0000000	0.0566175	0.1459834	0.9116618	0.1204444	0.4003198	1.0000000	0.9899218	1.0000000
700	0.0647864	1.0000000	0.0566175	0.1458262	0.9137475	0.1204444	0.4055009	1.0000000	0.9970973	1.0000000
750	0.0657011	1.0000000	0.0566175	0.1457532	0.9147046	0.1204444	0.4071868	1.0000000	0.9991640	1.0000000
800	0.0660575	1.0000000	0.0566175	0.1457211	0.9151194	0.1204444	0.4077354	1.0000000	0.9997592	1.0000000
850	0.0661964	1.0000000	0.0566175	0.1457074	0.9152922	0.1204444	0.4079139	1.0000000	0.9999306	1.0000000
900	0.0662506	1.0000000	0.0566175	0.1457018	0.9153621	0.1204444	0.4079720	1.0000000	0.9999800	1.0000000
950	0.0662717	1.0000000	0.0566175	0.1456996	0.9153897	0.1204444	0.4079909	1.0000000	0.9999942	1.0000000
1000	0.0662799	1.0000000	0.0566175	0.1456987	0.9154004	0.1204444	0.4079971	1.0000000	0.9999983	1.0000000

0	0.0662858	1.0000000	0.0566177	0.1457177	0.9153891	0.1204845	0.4079920	1.0000000	1.0000000	1.0000000
50	0.0668174	0.5456173	0.0255598	0.1349522	0.9266906	0.0785749	0.2754620	1.0000000	0.8839009	1.0000000
100	0.0711143	0.3831128	0.0180773	0.1031932	0.9533274	0.0328633	0.2410194	1.0000000	0.8504624	1.0000000
150	0.0878603	0.3249950	0.0219241	0.0765032	0.9702299	0.0138570	0.2337243	1.0000000	0.8408316	1.0000000
200	0.1276033	0.3042098	0.0309871	0.0696007	0.9746748	0.0082347	0.2305710	1.0000000	0.8380577	1.0000000
250	0.1849610	0.2967763	0.0406476	0.0799289	0.9690517	0.0102793	0.2260991	1.0000000	0.8372588	1.0000000
300	0.2408312	0.2941178	0.0482407	0.0978753	0.9562785	0.0211675	0.2204692	1.0000000	0.8370287	1.0000000
350	0.2827561	0.2931670	0.0532173	0.1154168	0.9413853	0.0408167	0.2150734	1.0000000	0.8369624	1.0000000
400	0.3094916	0.2928269	0.0561200	0.1289768	0.9285694	0.0639535	0.2108212	1.0000000	0.8369433	1.0000000
450	0.3248752	0.2927053	0.0576868	0.1381463	0.9193652	0.0844627	0.2078958	1.0000000	0.8369378	1.0000000
500	0.3331474	0.2926618	0.0584886	0.1438254	0.9134770	0.0994543	0.2060694	1.0000000	0.8369363	1.0000000
