G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0331494	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4080001	1.0000000	1.0000000	1.0000000
0.1000879	0.5000000	0.1418996	0.2455624	0.8175506	0.8582502	0.3072565	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0283089	0.0795993	0.9732240	0.0269292	0.4474077	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.0728586	0.9154070	0.1204444	0.4080001	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.4577454	0.1204444	0.4080001	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.0602290	0.4080000	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.2040027	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9144793	0.1204444	0.4080028	0.5000462	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1477498	0.8891038	0.1204444	0.4080001	1.0000000	0.5000068	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4375937	1.0000000	1.0000000	0.5000000
