G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000021	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4080001	1.0000000	1.0000000	1.0000000
0.9999981	0.0000000	0.9999979	0.3431813	0.7906969	0.9999633	0.0752510	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0000000	0.0004975	0.9923280	0.0214053	0.4802149	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.0000010	0.9154070	0.1204444	0.4080001	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.0000013	0.1204444	0.4080001	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.0000014	0.4080001	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.0000001	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.7904881	0.1204444	0.9103814	0.0000003	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.6966136	0.3203607	0.1204444	0.4080001	1.0000000	0.0000001	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.9103727	1.0000000	1.0000000	0.0000000
