G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0012323	1.0000000	0.0275143	0.0135067	0.9857056	0.1542598	0.4484989	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0199077	0.0439197	0.9812823	0.0884434	0.4593250	0.8582014	0.9075014	0.9805457
0.0030061	0.8051154	0.0731921	0.0177079	0.8260798	0.2485218	0.3010665	0.8531631	0.9998863	0.6091911
0.0016069	1.0000000	0.0566175	0.0442773	0.9108399	0.3527100	0.4113170	1.0000000	1.0000000	0.8969210
0.0017098	1.0000000	0.0242143	0.0381696	0.9838724	0.0028253	0.4565989	0.6518611	1.0000000	0.8910973
0.0662852	1.0000000	0.0566175	0.1485095	0.9659950	0.0990628	0.4080000	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0267564	0.5606672	0.9969547	0.0043373	0.4497375	0.9894414	0.7257247	0.9931889
0.0743870	0.6732032	0.0647378	0.0003341	0.8418102	0.1668049	0.3981793	0.7549603	1.0000000	0.9589835
0.0009802	1.0000000	0.0566175	0.0002251	0.9682049	0.2295441	0.4140507	0.9010544	1.0000000	0.8273582
0.0662852	1.0000000	0.0311085	0.1932165	0.9633825	0.2814434	0.4435435	0.3820519	0.8140093	1.0000000
