"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0662871	1.0000000	0.0566183	0.1457409	0.9153561	0.1205129	0.4079209	1.0000000	1.0000000	1.0000000
50	0.0662859	1.0000000	0.0478823	0.0929749	0.9165955	0.1122384	0.3386379	1.0000000	0.6990916	1.0000000
100	0.0662854	1.0000000	0.0387509	0.0421574	0.9200443	0.0817342	0.2565152	1.0000000	0.3971906	1.0000000
150	0.0662853	1.0000000	0.0340078	0.0182923	0.9107265	0.0550704	0.2086692	1.0000000	0.2492178	1.0000000
200	0.0662852	1.0000000	0.0319455	0.0100646	0.8784702	0.0404969	0.1859217	1.0000000	0.1892995	1.0000000
250	0.0662852	1.0000000	0.0311163	0.0087703	0.8361820	0.0338352	0.1761715	1.0000000	0.1671375	1.0000000
300	0.0662852	1.0000000	0.0307965	0.0096467	0.8009649	0.0310154	0.1722618	1.0000000	0.1593640	1.0000000
350	0.0662852	1.0000000	0.0306761	0.0106814	0.7784095	0.0298662	0.1707703	1.0000000	0.1567309	1.0000000
400	0.0662852	1.0000000	0.0306315	0.0113660	0.7661285	0.0294082	0.1702248	1.0000000	0.1558608	1.0000000
450	0.0662852	1.0000000	0.0306151	0.0117331	0.7601162	0.0292285	0.1700332	1.0000000	0.1555785	1.0000000
500	0.0662852	1.0000000	0.0306091	0.0119088	0.7573806	0.0291588	0.1699687	1.0000000	0.1554882	1.0000000
550	0.0662852	1.0000000	0.0393424	0.0468671	0.7841822	0.0310014	0.2448349	1.0000000	0.4563680	1.0000000
600	0.0662852	1.0000000	0.0484728	0.0845339	0.8515001	0.0443348	0.3308863	1.0000000	0.7582601	1.0000000
650	0.0662852	1.0000000	0.0532156	0.1112362	0.8933084	0.0678546	0.3779033	1.0000000	0.9062301	1.0000000
700	0.0662852	1.0000000	0.0552777	0.1277834	0.9100590	0.0900323	0.3980519	1.0000000	0.9661475	1.0000000
750	0.0662852	1.0000000	0.0561069	0.1369539	0.9150962	0.1049520	0.4054014	1.0000000	0.9883093	1.0000000
800	0.0662852	1.0000000	0.0564266	0.1416302	0.9160700	0.1132078	0.4076665	1.0000000	0.9960827	1.0000000
850	0.0662852	1.0000000	0.0565470	0.1438740	0.9159795	0.1172605	0.4081883	1.0000000	0.9987158	1.0000000
900	0.0662852	1.0000000	0.0565917	0.1449032	0.9157487	0.1191017	0.4082124	1.0000000	0.9995859	1.0000000
950	0.0662852	1.0000000	0.0566081	0.1453594	0.9155832	0.1198954	0.4081409	1.0000000	0.9998682	1.0000000
1000	0.0662852	1.0000000	0.0566141	0.1455563	0.9154908	0.1202250	0.4080784	1.0000000	0.9999585	1.0000000

0	0.0662871	1.0000000	0.0566183	0.1457409	0.9153561	0.1205129	0.4079209	1.0000000	1.0000000	1.0000000
50	0.0663168	0.9576656	0.0568737	0.1753029	0.9153631	0.1205906	0.4079549	1.0000000	1.0000000	1.0000000
100	0.0665356	0.9019078	0.0585634	0.2044835	0.9147770	0.1233538	0.4076634	1.0000000	1.0000000	1.0000000
