G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0331619	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.4080000	1.0000000	1.0000000	1.0000000
0.1000805	0.5000033	0.1418907	0.2455273	0.8175790	0.8581630	0.3073941	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0283092	0.0796177	0.9732093	0.0269315	0.4473727	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.0728724	0.9154070	0.1204444	0.4080000	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.4578572	0.1204444	0.4080000	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.0602353	0.4080000	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204444	0.2040826	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9144907	0.1204445	0.4080027	0.5000891	1.0000000	1.0000000
0.0662852	1.0000000	0.0566175	0.1477384	0.8892841	0.1204444	0.4080000	1.0000000	0.5000780	1.0000000
0.0662852	1.0000000	0.0566175	0.1456981	0.9154070	0.1204445	0.4373516	1.0000000	1.0000000	0.5000002
