G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0012337	1.0000000	0.0275147	0.0135112	0.9856983	0.1542615	0.4484629	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0199079	0.0439281	0.9812770	0.0884438	0.4593058	0.8582015	0.9075015	0.9805457
0.0030058	0.8051183	0.0731900	0.0177061	0.8261068	0.2484614	0.3010993	0.8531631	0.9998863	0.6091911
0.0016106	1.0000000	0.0566175	0.0442799	0.9108400	0.3527092	0.4113155	1.0000000	1.0000000	0.8969210
0.0017112	1.0000000	0.0242147	0.0381825	0.9838622	0.0028270	0.4565586	0.6518614	1.0000000	0.8910973
0.0662852	1.0000000	0.0566175	0.1484992	0.9657406	0.0990843	0.4079997	1.0000000	1.0000000	1.0000000
0.0662852	1.0000000	0.0267567	0.5606821	0.9969535	0.0043394	0.4497006	0.9894414	0.7257260	0.9931889
0.0743865	0.6732041	0.0647366	0.0003341	0.8418284	0.1667764	0.3982071	0.7549603	1.0000000	0.9589835
0.0009816	1.0000000	0.0566175	0.0002265	0.9682043	0.2295440	0.4140496	0.9010545	1.0000000	0.8273582
0.0662852	1.0000000	0.0311093	0.1932523	0.9633574	0.2814477	0.4434719	0.3820535	0.8140120	1.0000000
