"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.0345171	0.7967531	0.0507854	0.1232107	0.7834351	0.1392618	0.2929437	0.9571185	0.6703172	0.7161343
50	0.0381443	0.6742333	0.0244252	0.0720100	0.7880345	0.0988452	0.1391618	0.8144681	0.5364262	0.7230319
100	0.0372707	0.7161230	0.0334725	0.0576799	0.6708080	0.0856005	0.1597299	0.6309606	0.2311847	0.8327494
150	0.0694043	0.6933379	0.0333051	0.0150251	0.5759067	0.0722164	0.1156260	0.5638146	0.1398912	0.6449745
200	0.0469945	0.6745791	0.0214878	0.0059889	0.5109733	0.0691497	0.1051188	0.6899702	0.1248891	0.7607454
250	0.0153677	0.6472956	0.0259381	0.0057782	0.5405812	0.0399868	0.1195000	0.6543793	0.1523071	0.7238648
300	0.0542834	0.8163863	0.0222698	0.0000000	0.5949218	0.0117396	0.1200770	0.6824205	0.1369752	0.7845580
350	0.0488558	0.8089619	0.0113778	0.0108488	0.6310909	0.0539944	0.0857279	0.7515494	0.0732455	0.7438483
400	0.0532259	0.8499238	0.0191904	0.0036026	0.6481160	0.0243525	0.1050982	0.6954441	0.0936005	0.7072140
450	0.0441021	0.8427658	0.0241623	0.0054716	0.5047398	0.0387747	0.1056295	0.6863316	0.0943166	0.6864065
500	0.0485352	0.8215628	0.0193457	0.0070433	0.6310701	0.0410095	0.1519541	0.6215958	0.0982358	0.6959855
550	0.0323649	0.7472438	0.0321672	0.0198288	0.5115168	0.0169202	0.1329716	0.6560199	0.2963203	0.7018384
600	0.0385431	0.7092399	0.0253777	0.0375685	0.6937861	0.0166875	0.2020765	0.8071889	0.5299162	0.7384721
650	0.0894863	0.7181549	0.0378808	0.0795412	0.5586818	0.0317639	0.3292880	0.5988184	0.5463375	0.8034965
700	0.0252457	0.7262144	0.0251289	0.0732117	0.7123071	0.0711589	0.3489980	0.5417986	0.6125430	0.5682817
750	0.0359674	0.6207009	0.0343864	0.0514641	0.6849358	0.0874371	0.2647518	0.6412458	0.6381091	0.7501187
800	0.0437236	0.8704761	0.0446620	0.0757713	0.6791232	0.0651802	0.2175473	0.6030267	0.6949362	0.6944827
850	0.0400860	0.7297360	0.0281766	0.1135495	0.7313034	0.0827646	0.2860466	0.6820713	0.5444258	0.6683775
900	0.0537170	0.6981652	0.0378746	0.1010259	0.5154436	0.0809168	0.2863160	0.7889713	0.6873854	0.6741967
950	0.0475611	0.6732050	0.0218683	0.1281894	0.6244357	0.1010311	0.2175687	0.6238076	0.6251852	0.7042889
1000	0.0443371	0.6642667	0.0663249	0.0909559	0.5166412	0.0705529	0.2472428	0.6868924	0.6445869	0.7245558

0	0.0473265	0.6863885	0.0447897	0.1552315	0.7420635	0.1140309	0.2399502	0.7284543	0.5434268	0.6765950
50	0.0271514	0.6859064	0.0466734	0.1268190	0.6066845	0.0968189	0.2534701	0.7112382	0.8528144	0.6543204
100	0.0469717	0.6533615	0.0872256	0.1267931	0.5889065	0.2101243	0.2649923	0.6964359	0.6919259	0.7677533
150	0.0334051	0.4662533	0.0388322	0.1886259	0.7169000	0.2347584	0.2792442	0.7639365	0.6229833	0.7438122
200	0.0418849	0.5148793	0.0246518	0.1705061	0.7379307	0.1256572	0.3594933	0.6836940	0.7203114	0.7203122
250	0.0550469	0.4916305	0.0386225	0.1267097	0.7488715	0.1132771	0.2549474	0.8196508	0.7595731	0.6348219
300	0.0517808	0.5445320	0.0372012	0.1874924	0.6770212	0.1860406	0.2373566	0.7703345	0.7751497	0.6357032
350	0.0674225	0.6244773	0.1036610	0.2215721	0.6259929	0.3595069	0.3022012	0.6354755	0.6754985	0.7569780
400	0.0579893	0.6478173	0.0498163	0.2422013	0.4942003	0.4015427	0.2434869	0.7564168	0.8069697	0.8386212
450	0.0487742	0.6289546	0.0544328	0.2037382	0.7098069	0.4277256	0.2023670	0.6353875	0.7759192	0.7968599
500	0.0515074	0.5615147	0.0928378	0.1310112	0.5744277	0.2908461	0.2643667	0.7034869	0.7222854	0.8142314
550	0.0628343	0.5993143	0.0843574	0.1427137	0.5974812	0.2136216	0.3039834	0.6991268	0.8309455	0.6832220
600	0.0570123	0.5812997	0.0719070	0.1051642	0.5848270	0.2864126	0.2456388	0.7510021	0.6238353	0.6970940
650	0.0511807	0.8542866	0.0762683	0.1574965	0.6030534	0.1637280	0.2423835	0.8151444	0.6684826	0.7321079
700	0.0390181	0.7087899	0.0693514	0.1443088	0.6630341	0.3081069	0.2875077	0.7141938	0.6903348	0.6459401
750	0.0545204	0.8085300	0.0381131	0.1520560	0.6082089	0.2178733	0.2250583	0.7913148	0.6617418	0.6578739
800	0.0293209	0.7423710	0.0446911	0.1036957	0.6316551	0.1449044	0.2822960	0.7921320	0.6943943	0.8262711
850	0.0382639	0.7391568	0.0340530	0.0906744	0.6913567	0.0619094	0.2308567	0.6932945	0.7330502	0.8592344
900	0.0173586	0.5864876	0.0727401	0.1157083	0.7481679	0.0452289	0.3000594	0.6841848	0.7408658	0.7869149
950	0.0501106	0.7070829	0.0520256	0.1070970	0.7076293	0.1373666	0.3340527	0.5454241	0.5998852	0.7596896
1000	0.0481407	0.8107355	0.0391853	0.0796477	0.6466065	0.1669768	0.3431853	0.6737433	0.5625810	0.7155780

0	0.0352123	0.8040649	0.0449256	0.1199276	0.5738596	0.1135517	0.2055031	0.7962781	0.7066972	0.6114954
50	0.0327895	0.7567836	0.0373123	0.1046307	0.5800476	0.2021084	0.2339982	0.6790637	0.7882712	0.7682784
100	0.0499770	0.7189855	0.0397527	0.0962915	0.5803040	0.1402603	0.1514855	0.7101542	0.7186694	0.6304895
150	0.0218091	0.7146725	0.0372066	0.1027610	0.6213333	0.1306588	0.1077360	0.5060063	0.7970945	0.6686870
200	0.0725020	0.6828601	0.0360209	0.0931765	0.6533693	0.0517049	0.0782616	0.6596898	0.6040950	0.8343857
250	0.0512762	0.7930921	0.0735508	0.1233805	0.5637950	0.1163467	0.1563498	0.5980801	0.7537653	0.6598285
300	0.0583810	0.6716094	0.0448005	0.1084981	0.7575218	0.1349011	0.1182291	0.7987782	0.7328588	0.6507759
350	0.0511683	0.7654159	0.0558882	0.0916987	0.7656405	0.0831808	0.1071581	0.7499798	0.8319852	0.6804634
400	0.0418895	0.8711774	0.0443373	0.0828624	0.5772966	0.0336703	0.1395596	0.7612510	0.7452559	0.7078327
450	0.0470785	0.7400921	0.0451517	0.1117242	0.5530663	0.0431933	0.1049456	0.7978104	0.7029576	0.6283695
500	0.0287750	0.7498632	0.0652341	0.0924180	0.6145146	0.0855816	0.1169004	0.8148329	0.7115713	0.6950353
550	0.0362733	0.7905236	0.0290331	0.1156184	0.7214561	0.0658780	0.2016858	0.6988677	0.6670112	0.6411295
600	0.0149787	0.7158085	0.0335689	0.1068710	0.7233488	0.0619952	0.2583278	0.7566890	0.5928611	0.7518976
650	0.0110212	0.7043536	0.0313053	0.0939240	0.6074945	0.0842282	0.3120961	0.7485509	0.8360477	0.6155798
700	0.0321045	0.8007212	0.0277175	0.0815574	0.6206819	0.0702867	0.2604552	0.7338059	0.7755818	0.7615241
750	0.0479590	0.6803348	0.0632598	0.1208893	0.5223129	0.0836554	0.2587926	0.7913677	0.7090674	0.7105570
800	0.0384072	0.7578137	0.0738260	0.1177893	0.5422248	0.1404196	0.1894577	0.6556075	0.7758500	0.5839008
850	0.0518631	0.7371617	0.0556912	0.1589802	0.6226770	0.1565318	0.3205870	0.7262337	0.6373987	0.8068894
900	0.0556145	0.6693977	0.0368460	0.2122315	0.7410983	0.2604872	0.3310324	0.7949942	0.7257297	0.8349605
950	0.0560703	0.8088960	0.0364380	0.1336580	0.7663979	0.1656213	0.3273112	0.7038682	0.6044651	0.6380542
1000	0.0441028	0.6136992	0.0617545	0.1368080	0.7107799	0.1426668	0.3144889	0.6249722	0.8193722	0.6177312

0	0.0262892	0.8744620	0.1138019	0.2224288	0.6847090	0.1036070	0.2765606	0.8326446	0.7070969	0.6610487
50	0.0434954	0.7216784	0.0290622	0.0873448	0.5972992	0.2781978	0.2592597	0.5940418	0.5928691	0.8503323
100	0.0191836	0.4557798	0.0629538	0.0748034	0.6111955	0.3775060	0.2791598	0.8135020	0.6784872	0.7884060
150	0.0154106	0.2869192	0.0744809	0.1438732	0.6416503	0.3618554	0.2523293	0.6457900	0.7679609	0.7269130
200	0.0311022	0.2230354	0.0809117	0.1471730	0.5902210	0.5138093	0.2956705	0.7556457	0.7061372	0.5974869
250	0.0439087	0.1632454	0.1973631	0.2121206	0.5822971	0.5965016	0.1824032	0.8044156	0.7176841	0.6023434
300	0.0951066	0.1386744	0.1664324	0.1718947	0.6513008	0.6677095	0.1622231	0.6981770	0.6643661	0.6397853
350	0.1676718	0.1303071	0.3104556	0.1839404	0.6423416	0.6742091	0.1341529	0.6652290	0.7586689	0.6515266
400	0.3088131	0.1896785	0.3555221	0.1870722	0.7278104	0.8138456	0.1285719	0.7112594	0.7797730	0.7152232
450	0.1647598	0.1418759	0.3407400	0.1806834	0.6322727	0.7564815	0.1010392	0.7999350	0.7983370	0.6072084
500	0.2958779	0.1169783	0.3011523	0.1662361	0.6040633	0.7318986	0.1864521	0.7208884	0.7140470	0.7903162
550	0.2255838	0.3334962	0.2451481	0.2413549	0.5758466	0.6044684	0.1305111	0.7227107	0.8560398	0.8085619
600	0.0778310	0.5195812	0.2253762	0.1296469	0.5898009	0.6274416	0.0864707	0.8079773	0.8057019	0.7069668
650	0.0808392	0.5641206	0.1025748	0.2514061	0.6327943	0.7122205	0.0879152	0.7824488	0.7621049	0.6341911
700	0.0843522	0.5488417	0.0678148	0.2586827	0.6739176	0.5727695	0.2044577	0.7916850	0.7356553	0.6460013
750	0.1043853	0.6506411	0.0848848	0.1565227	0.5433293	0.4358193	0.2010549	0.6353564	0.7373981	0.7178518
800	0.0829279	0.6145645	0.0623969	0.0966485	0.5581374	0.2916533	0.2318258	0.6949384	0.7586011	0.8099355
850	0.0699201	0.5742151	0.0366298	0.1100332	0.5574269	0.1768077	0.3006480	0.7455780	0.7122224	0.6687345
900	0.0641709	0.6115033	0.0619136	0.0824027	0.6133063	0.1835813	0.2747856	0.9087983	0.6665071	0.6767220
950	0.0336216	0.7411612	0.0176050	0.0908968	0.5568484	0.1362943	0.2748322	0.7151414	0.7737413	0.6944856
1000	0.0402331	0.7082128	0.0252840	0.1246139	0.6436922	0.0741431	0.3068837	0.5977443	0.8217829	0.7059288

0	0.0449531	0.8038640	0.0500766	0.1548537	0.5411790	0.0959302	0.3016515	0.8567875	0.7160680	0.5382483
50	0.0162791	0.7484684	0.0785136	0.0847309	0.5371161	0.1550320	0.2232971	0.6605756	0.6613021	0.8484994
100	0.0241020	0.7016152	0.0522419	0.0697268	0.6691893	0.2687858	0.1696081	0.7087021	0.5115261	0.6998536
