G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0156412	0.5992712	0.0406647	0.0832458	0.5331699	0.0531459	0.3163123	0.7518832	0.7190730	0.7125450
0.0716302	0.3141438	0.1090006	0.1487801	0.6020627	0.6066923	0.2192881	0.6601579	0.8457844	0.7060183
0.1188157	0.8285680	0.0351914	0.1074011	0.7133098	0.1106659	0.3058795	0.7100783	0.7515607	0.6592791
0.0581530	0.6664191	0.0387011	0.0489061	0.6460791	0.0463972	0.2457408	0.7244706	0.8309648	0.9364586
0.0803433	0.7736576	0.0752784	0.0896149	0.3331518	0.0662030	0.4468986	0.7669961	0.8491544	0.6072354
0.0508307	0.7227012	0.0253964	0.0934159	0.7172059	0.0526560	0.2419141	0.8578082	0.7262549	0.6531920
0.0339140	0.6472906	0.0652225	0.0682396	0.6650246	0.0745813	0.1603046	0.6221423	0.8790798	0.6681435
0.0396470	0.5565145	0.0236501	0.1003242	0.5857922	0.1188730	0.2726936	0.4577366	0.7532161	0.8018608
0.0722357	0.6433722	0.0358654	0.0954017	0.6714835	0.0724560	0.3008507	0.7082705	0.4545206	0.8540485
0.0558922	0.8501893	0.0299646	0.1051373	0.5715177	0.0362441	0.2589640	0.6374819	0.7326456	0.2788675
