G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.7043181	0.0219969	0.1666922	0.7583204	0.1509190	0.3546031	0.6644462	0.7175194	0.7416406
0.6389192	0.0000000	0.5726625	0.2894028	0.6916132	0.5640552	0.0662425	0.6887341	0.7467423	0.8268087
0.0437888	0.7660090	0.0000000	0.0015871	0.7621241	0.0795343	0.3151107	0.6328016	0.6758034	0.5875348
0.0736682	0.6916788	0.0787129	0.0000000	0.6823392	0.0733572	0.3466449	0.7722603	0.6758685	0.6531418
0.0330069	0.6402260	0.0279756	0.1750854	0.0018165	0.0479968	0.2476127	0.6148908	0.7156637	0.6177059
0.0537103	0.7390862	0.0651795	0.1103016	0.4778794	0.0000000	0.3685708	0.6647007	0.6502470	0.7125688
0.0471498	0.5502432	0.0418978	0.0836831	0.5605419	0.1445736	0.0000000	0.7198363	0.8580109	0.7001654
0.0499536	0.6397992	0.0834104	0.1225096	0.6542691	0.1398811	0.5857525	0.0000000	0.8998374	0.8734615
0.0373241	0.6843527	0.0710079	0.5333021	0.1888347	0.1059573	0.2670862	0.6676975	0.0000000	0.6789617
0.0483700	0.9111424	0.0193655	0.0618251	0.7394900	0.0382332	0.6168118	0.8152624	0.7885332	0.0000000
