G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0006198	0.7796367	0.0200243	0.0054285	0.6920534	0.1414626	0.2329764	0.7633338	0.8382347	0.7358368
0.0351317	0.7494173	0.0067820	0.0326348	0.7707736	0.1054456	0.3535927	0.6128686	0.7239683	0.7572876
0.0008665	0.5721658	0.0516309	0.0106321	0.7084335	0.2799140	0.1521953	0.7340258	0.6784714	0.4226705
0.0062999	0.8300448	0.0182975	0.0139072	0.6762013	0.2841019	0.2121922	0.7518882	0.6931915	0.7043157
0.0033930	0.6607984	0.0121554	0.0412397	0.6818644	0.0053287	0.3832431	0.5766916	0.7617582	0.6265707
0.0330807	0.6482244	0.0632868	0.1522308	0.6500883	0.1650495	0.3841628	0.6736095	0.7418753	0.7777733
0.0316158	0.7141132	0.0399397	0.4593508	0.7434480	0.0046217	0.2652321	0.7876520	0.6042274	0.7067504
0.0241647	0.5512191	0.0614792	0.0000887	0.5818494	0.0521247	0.2655839	0.5541263	0.8035750	0.6236366
0.0069354	0.7057642	0.0257760	0.0017956	0.6743625	0.1773663	0.3163016	0.5133518	0.6432481	0.6939889
0.0601702	0.8574640	0.0306347	0.1756000	0.5448899	0.2322999	0.4959912	0.2868901	0.7294263	0.6401606
