flhC	hdfR	lrhA	qseB	flhD	ompR	rcsB	rcsA	csgD	bolA	csgE	csgF	csgG	sra	gltK	ygdB	fliM	flgN	fliN	fliL
0.1977308	0.8175325	0.7216461	0.8129515	0.0276675	0.7964070	0.6087684	0.7435648	0.4800930	0.0301885	0.3109602	0.5905988	0.1877409	0.3073484	0.3450000	0.5282482	0.2407121	0.0010555	0.0493079	0.4034398
0.1993690	0.6133820	0.9476159	0.5838976	0.0560422	0.8367098	0.8588045	0.6956906	0.5706596	0.1600385	0.2627969	0.4827198	0.0472177	0.2985242	0.1340389	0.4885939	0.3505789	0.1052537	0.2135331	0.1937583
0.2533396	0.7566688	0.5040610	0.6659903	0.2586747	0.7749958	0.7434935	0.7735994	0.5829884	0.0983549	0.4976878	0.3558040	0.1048147	0.3289340	0.2472598	0.8736129	0.3014566	0.1733927	0.5919269	0.0085781
0.1724773	0.5547316	0.7067113	0.7895822	0.0100744	0.8283518	0.8274941	0.8203959	0.4645148	0.0736302	0.4692774	0.1053183	0.4020757	0.3815652	0.0000498	0.5166324	0.1388703	0.2443860	0.1868491	0.0003504
0.0146513	0.7506636	0.9408354	0.8617630	0.0005952	0.7567340	0.8280502	0.8213116	0.7991392	0.1149179	0.3769129	0.5393860	0.3078991	0.3033253	0.0000006	0.0622929	0.0508021	0.1235298	0.0001685	0.0010841
0.1278817	0.6860817	0.6843822	0.7774385	0.0016217	0.6161299	0.8594660	0.6840054	0.4001724	0.1301858	0.4957877	0.4907621	0.2916763	0.6813167	0.0000512	0.3573080	0.1723915	0.0000076	0.0003078	0.0152948
0.1495995	0.7915602	0.8915050	0.9208608	0.3677158	0.9436205	0.5850035	0.8814074	0.5207552	0.1077950	0.5771768	0.6697778	0.0248108	0.3286661	0.0167484	0.6375774	0.2140008	0.2814393	0.4277568	0.4558045
0.0534994	0.8476711	0.7908993	0.7667854	0.1697895	0.7634956	0.7119553	0.7272853	0.5755000	0.1018730	0.4292690	0.1289059	0.0080882	0.3727657	0.0032498	0.4081653	0.4109643	0.2637212	0.0687232	0.0003709
0.0954663	0.7851988	0.6169560	0.7619058	0.0155227	0.7389165	0.8614130	0.7065285	0.4031290	0.2216340	0.3826670	0.2056214	0.0659212	0.3884488	0.3343534	0.6899643	0.0680177	0.3189246	0.0118881	0.2235644
0.1855945	0.3111265	0.9085878	0.7114102	0.0992980	0.7289337	0.5777916	0.7766215	0.8334434	0.1320132	0.2735624	0.6094505	0.1920209	0.2797461	0.0661948	0.3804335	0.3056775	0.0240829	0.0196082	0.0956812
0.1497517	0.6753514	0.6093207	0.7962418	0.0165797	0.9943868	0.7836122	0.8004576	0.4317434	0.1239521	0.4982583	0.6001376	0.1164691	0.2888571	0.0000001	0.5335586	0.2581566	0.3009012	0.0025431	0.0133071
0.0339332	0.5580688	0.8949122	0.7707764	0.0017512	0.7338684	0.9379260	0.8677377	0.3728759	0.1312409	0.4062359	0.4954870	0.1109199	0.3471294	0.0000572	0.3763984	0.0151838	0.2444598	0.4118011	0.1439526
0.1327145	0.9356818	0.8453187	0.6304176	0.0038032	0.7684184	0.7147592	0.8734355	0.8195672	0.1032681	0.4444932	0.3875843	0.1150486	0.2234425	0.1367983	0.3822478	0.1226387	0.0000941	0.3353327	0.0000375
0.1186547	0.8788305	0.9061394	0.9350347	0.0008068	0.6584123	0.5284657	0.8397882	0.2613122	0.1770764	0.4845432	0.4254327	0.1710220	0.5187339	0.4697313	0.3257048	0.1552924	0.2483688	0.0576997	0.0000555
0.0251490	0.7553576	0.9290396	0.7788054	0.0344993	0.9058423	0.7342774	0.8141779	0.6213162	0.1387558	0.3555963	0.5683671	0.0958219	0.4151197	0.0032946	0.3030587	0.2546169	0.0530551	0.0678636	0.3105274
0.0693017	0.8238416	0.8518784	0.3160831	0.0046030	0.7276805	0.4012106	0.6224806	0.6162426	0.1213699	0.5363246	0.4083411	0.6030514	0.3278328	0.0018839	0.2947903	0.0613708	0.0894636	0.0818722	0.1087853
0.3008879	0.8389002	0.4268000	0.7969502	0.0350712	0.8886080	0.6737738	0.8498118	0.6849877	0.1227839	0.5620871	0.0299311	0.0951183	0.3130925	0.2210290	0.5604692	0.2072202	0.2163011	0.0045152	0.0003897
0.0425383	0.6231972	0.6816564	0.8376455	0.0054660	0.7035128	0.8086898	0.8354183	0.7243578	0.1236473	0.4338576	0.4726908	0.3049780	0.3632777	0.1627692	0.4636202	0.3497304	0.0017809	0.0003922	0.3168741
0.0497589	0.7262774	0.6433062	0.6802825	0.0027671	0.7761548	0.7628942	0.9182343	0.1902728	0.1250130	0.0931946	0.0901472	0.2167378	0.3887332	0.0015474	0.1035399	0.0221533	0.4682075	0.0006365	0.1064419
0.2248173	0.8545180	0.6116544	0.8511014	0.0006799	0.7964306	1.0000000	0.8127846	0.8500900	0.1094500	0.3798404	0.2880237	0.0413099	0.3823558	0.0560435	0.4805789	0.2948257	0.1097253	0.0515004	0.1982790
