flhC	hdfR	lrhA	qseB	flhD	ompR	rcsB	rcsA	csgD	bolA	csgE	csgF	csgG	sra	gltK	ygdB	fliM	flgN	fliN	fliL
0.2889140	0.9808553	0.8301941	0.9937359	0.0230096	1.0850857	0.6643731	0.9556935	0.7237094	0.0790639	0.4157842	0.7001985	0.2458268	0.3396084	0.4680479	0.6555620	0.3176247	0.0005135	0.0679918	0.5081212
0.1775361	0.7992695	1.0397381	0.6881174	0.0507609	1.0124372	0.9604880	0.9096947	0.7716185	0.1842665	0.3119744	0.5216879	0.0946403	0.3574870	0.1260436	0.6399265	0.4310606	0.1126072	0.2485826	0.2289588
0.3315335	0.9694683	0.6102081	0.9425453	0.3229869	1.0128392	0.8987423	1.0530944	0.7039247	0.0933067	0.6756121	0.4251698	0.1265285	0.3037333	0.2547779	0.8879643	0.3184005	0.2387289	0.7945054	0.0065368
0.1941321	0.7511417	1.0253314	0.9980016	0.0113382	1.0308215	0.9920898	0.9532194	0.6894047	0.0863604	0.6297404	0.1591847	0.5771124	0.4474918	0.0000354	0.5734678	0.1748452	0.3889122	0.0950521	0.0005662
0.0195537	0.9231788	1.0160646	0.9476096	0.0029826	0.9618762	1.0295028	0.9397405	0.8240114	0.1395968	0.5526818	0.6626684	0.3723308	0.4158361	0.0000008	0.0297453	0.0668822	0.1372865	0.0003393	0.0011125
0.1539289	0.9559779	1.0602077	0.8774049	0.0045637	0.6422583	1.0283305	0.9091845	0.6127643	0.1819057	0.5957166	0.6122138	0.3576329	0.8485045	0.0000227	0.5010599	0.1539060	0.0000078	0.0005359	0.0266271
0.1738335	1.0642437	1.0681387	1.0502651	0.4620761	1.0354909	0.7935906	1.0435483	0.6187728	0.1453620	0.8391572	0.9289538	0.0160367	0.4102318	0.0461231	0.7497660	0.3167738	0.3224661	0.5371638	0.5477073
0.0805796	1.0215330	0.9107697	0.8866521	0.1728498	0.7998425	0.9730034	0.9591489	0.5530432	0.1281118	0.5589994	0.1738353	0.0137767	0.5039900	0.0010280	0.5619633	0.4190986	0.2807825	0.0833327	0.0004461
0.1477740	0.9538032	0.8580448	1.0580349	0.0237274	0.7661349	1.0330726	0.8761306	0.4929845	0.2446202	0.4341513	0.2386348	0.1077728	0.4675112	0.4593494	0.7565996	0.0994127	0.4024417	0.0346953	0.3155701
0.2015177	0.4125079	1.1071408	0.8726223	0.1751965	0.9938314	0.6813633	0.9380577	0.7994110	0.1528236	0.3204922	0.7807270	0.2303194	0.2933244	0.1357586	0.5277647	0.4240524	0.0507908	0.0471676	0.1435072
0.2160012	0.7908081	0.8257180	0.9689473	0.0118511	1.0635558	0.8519478	1.0139925	0.6061583	0.1963302	0.6503601	0.6948306	0.1828234	0.4044493	0.0000001	0.5421062	0.3527450	0.2583421	0.0020353	0.0441233
0.0505456	0.6903912	1.0849473	0.8226503	0.0058290	1.0003908	0.9646030	1.0008802	0.4769109	0.1138881	0.5707731	0.5480028	0.1284556	0.4759971	0.0000967	0.4599105	0.0294324	0.2656045	0.4780172	0.1707819
0.1651358	1.0108486	0.9943319	0.7988395	0.0022616	1.0003692	0.8889420	1.0113038	0.8963570	0.1323937	0.4689525	0.4101060	0.1537162	0.2826939	0.1645819	0.4190299	0.1220769	0.0000324	0.3924956	0.0000177
0.2138683	1.0885364	0.9884460	1.0598911	0.0011990	0.8447843	0.5794960	0.9167762	0.3254204	0.2243314	0.6203672	0.4383136	0.2037497	0.5489501	0.5489510	0.4231817	0.1877172	0.3135305	0.0846239	0.0000988
0.0348044	0.8890309	1.0864573	0.9677382	0.0590806	1.0667231	0.9748938	0.8673621	0.8319334	0.1520637	0.5513004	0.6346609	0.1402077	0.3560763	0.0019220	0.4070320	0.3260657	0.0637671	0.0806303	0.3896343
0.1070377	0.9955221	1.0584112	0.4602799	0.0044883	0.9432769	0.5282263	0.9129184	0.8739725	0.1786926	0.6355726	0.5390196	0.7348469	0.3633329	0.0012704	0.4394877	0.0806028	0.1568045	0.0448930	0.1827238
0.3317291	1.0144510	0.5777318	1.0648011	0.0476733	0.9815619	0.8027448	0.9469830	0.7202627	0.1766167	0.6965404	0.0644531	0.1204895	0.3221126	0.2650776	0.6458588	0.1977043	0.2181790	0.0091585	0.0004378
0.0463595	0.8103042	0.9120849	1.0252012	0.0092033	0.8383874	1.0034628	0.9243612	0.8388234	0.2077566	0.5102982	0.6077230	0.3625332	0.5301275	0.1387872	0.5234207	0.3437642	0.0070243	0.0005710	0.4273294
0.0507696	0.9702783	0.9383948	1.0007237	0.0044777	1.0167524	1.0458287	1.0952684	0.2151946	0.1810668	0.1784098	0.1225045	0.3051100	0.5056165	0.0010408	0.1223625	0.0228666	0.5933768	0.0003610	0.0939075
0.3077943	1.0758481	0.7479167	0.9786393	0.0027367	1.0000169	1.0470505	0.9235739	0.9879093	0.1521655	0.4997910	0.4432303	0.0401944	0.5138103	0.0798313	0.6212969	0.3558164	0.1422467	0.0570616	0.3004451
