flhC	hdfR	lrhA	qseB	flhD	ompR	rcsB	rcsA	csgD	bolA	csgE	csgF	csgG	sra	gltK	ygdB	fliM	flgN	fliN	fliL
0.2487484	0.9171576	0.8801210	1.0162968	0.0284747	1.0251751	0.6810986	0.9576138	0.7160922	0.0579249	0.3964634	0.7302733	0.1915908	0.3889317	0.4557355	0.6905625	0.2985556	0.0020764	0.0875554	0.4887416
0.1818032	0.8069587	0.8983350	0.5982689	0.0342692	0.8240239	1.0740579	0.9728181	0.8736804	0.1618133	0.2935163	0.5014450	0.0871373	0.3019205	0.1382002	0.6721326	0.5039655	0.0924769	0.2525873	0.2438122
0.3398048	0.9394206	0.5669994	0.9377250	0.2807322	1.0271639	0.8486847	0.9590940	0.7861333	0.0902536	0.6604253	0.4380816	0.1215685	0.3603900	0.2474765	0.8398153	0.3609598	0.2459569	0.7806603	0.0033571
0.1986563	0.7208003	1.0063203	0.8999783	0.0080952	1.0043421	0.9557726	0.9302809	0.6984637	0.0786820	0.5518032	0.1918047	0.5007601	0.3988747	0.0006204	0.6402047	0.1272369	0.3607005	0.1040162	0.0049750
0.0182903	0.9290901	1.1064026	0.9952243	0.0031407	1.1258055	0.9564039	1.0685169	0.7702803	0.1753708	0.5419592	0.6484037	0.3885732	0.4166637	0.0015166	0.0460137	0.0817852	0.1343474	0.0022488	0.0013040
0.2126754	1.0121284	1.0545234	0.8550751	0.0133121	0.6678263	1.0384746	0.9127581	0.5951453	0.2406418	0.5577360	0.6006745	0.3378566	0.7579770	0.0003659	0.4455701	0.1359600	0.0000292	0.0003907	0.0396842
0.1801056	1.0522488	1.1601780	0.9735606	0.5054856	1.0681445	0.8153154	1.0563470	0.6632719	0.1477653	0.7844718	0.9198535	0.0149984	0.4555769	0.0206516	0.7070275	0.3589701	0.3367313	0.5572987	0.4810699
0.0989293	1.0172562	0.9587262	0.9007762	0.1443080	0.9003379	0.9122737	0.9574973	0.5631788	0.1413920	0.6108953	0.1442492	0.0188488	0.6616822	0.0021371	0.5611579	0.4421400	0.3225204	0.0925685	0.0009169
0.1813139	1.0686697	0.9230645	0.9472597	0.0351287	0.7304080	0.9897685	0.9613070	0.5481830	0.2370290	0.4764436	0.2129010	0.1263125	0.5933533	0.4490149	0.7791590	0.1145807	0.4031465	0.0228178	0.2888438
0.2134238	0.4278987	1.1005109	0.9050886	0.1487622	1.0676375	0.7159742	0.9251927	0.7283972	0.1526241	0.3300880	0.7315697	0.2311916	0.2790134	0.1271245	0.5595759	0.4412881	0.0748057	0.0546391	0.1402490
0.1930009	0.7007899	0.8281765	1.0609011	0.0126941	0.9917252	0.7550273	0.9777741	0.5666648	0.1998755	0.6748035	0.6442947	0.1531959	0.3956105	0.0000243	0.5124910	0.3701428	0.2532985	0.0008693	0.0509276
0.0681582	0.7475405	1.0790929	0.7931041	0.0054260	1.0193554	0.9819577	1.0054184	0.4429219	0.1358119	0.5317992	0.5089571	0.1107844	0.4228008	0.0003139	0.4102219	0.0332721	0.2651286	0.4887683	0.1552262
0.1642622	0.8811990	0.9399542	0.8272464	0.0084613	1.0068332	0.9770538	0.9637443	0.8411664	0.1606714	0.4630427	0.4233004	0.1597278	0.3356846	0.1442440	0.3651077	0.0965633	0.0001136	0.3614100	0.0010580
0.1545374	1.1272215	1.0495504	0.9794919	0.0044745	0.9290620	0.6598307	0.9075998	0.3506358	0.2639063	0.6445166	0.3939110	0.2192133	0.5801143	0.5774146	0.3710910	0.1797148	0.3292307	0.1018432	0.0006397
0.0390053	0.8667603	0.9945939	0.9579604	0.0502899	0.9913682	0.9836631	0.9110691	0.7696371	0.1541933	0.5152795	0.6196672	0.1586134	0.3871651	0.0003374	0.3405296	0.3343295	0.0546026	0.0798629	0.3365920
0.1200433	1.0151729	0.8832876	0.5257717	0.0051688	0.8390309	0.4846972	0.8632200	0.8091974	0.1408357	0.6466010	0.5515238	0.7380385	0.3536693	0.0005960	0.3544612	0.0450576	0.1747769	0.0457215	0.2078332
0.2921803	0.9653640	0.6051788	1.0361031	0.0503621	1.0098890	0.7980088	0.9777484	0.6887218	0.1795376	0.6965910	0.0755853	0.1178756	0.4105099	0.2004425	0.7027729	0.2176826	0.1963678	0.0233219	0.0007031
0.0506053	0.7277887	0.9344433	1.0580973	0.0076215	0.8817547	0.9899029	0.9398091	0.8317858	0.1881037	0.5180662	0.6426144	0.3786196	0.4698025	0.1421302	0.4167403	0.3301732	0.0044703	0.0012320	0.4398268
0.0470204	0.9970546	0.8445790	0.9144227	0.0044481	1.0379014	0.9838547	1.0868104	0.2120934	0.1571484	0.1904921	0.1177449	0.2896537	0.4380046	0.0019113	0.1194294	0.0286817	0.5550711	0.0010415	0.0835080
0.3584366	1.0125846	0.7213363	0.9772216	0.0013591	0.9534562	1.0380505	0.9311535	1.0351619	0.1459545	0.5365892	0.3540539	0.0628875	0.5634468	0.1237444	0.6759217	0.3195405	0.1517905	0.0701381	0.2400009
