flhC	hdfR	lrhA	qseB	flhD	ompR	rcsB	rcsA	csgD	bolA	csgE	csgF	csgG	sra	gltK	ygdB	fliM	flgN	fliN	fliL
0.2759228	0.9461616	0.7971783	0.9858510	0.0219365	1.0000000	0.6317328	0.9207862	0.6914065	0.0751654	0.4247392	0.7321596	0.2211503	0.3155277	0.3777764	0.6863863	0.2870122	0.0000003	0.1040745	0.4711936
0.1740182	0.7903430	1.0000000	0.6281317	0.0436998	1.0000000	1.0000000	0.9385118	0.8705139	0.1414778	0.2843786	0.5352245	0.1187768	0.3157621	0.1193449	0.5612304	0.3928926	0.1216666	0.2122964	0.1965653
0.3585519	0.9563805	0.6275296	0.9555097	0.3222323	1.0000000	0.8447783	0.9337297	0.7231702	0.0980121	0.6410959	0.4203352	0.1288724	0.3156765	0.2589486	0.8777513	0.3390244	0.2420673	0.7507314	0.0026819
0.1911395	0.7533007	1.0000000	0.9162832	0.0065526	1.0000000	1.0000000	0.9385047	0.7148389	0.0790611	0.5713275	0.1564020	0.4989051	0.3985683	0.0000000	0.5761415	0.1333949	0.3762316	0.1071385	0.0000001
0.0213294	1.0000000	1.0000000	0.9629841	0.0008662	1.0000000	1.0000000	0.9908623	0.7685036	0.1553016	0.5543152	0.6135610	0.4084058	0.4924350	0.0000000	0.0357949	0.0812394	0.1317839	0.0000010	0.0000000
0.1892695	1.0000000	1.0000000	0.8417829	0.0055860	0.5559095	0.9986609	0.9384725	0.5494135	0.2368537	0.5706777	0.5561324	0.3224892	0.7788937	0.0000000	0.4885437	0.1319572	0.0000004	0.0004759	0.0392498
0.1549094	1.0000000	1.0000000	1.0000000	0.4562676	1.0000000	0.8244923	0.9847163	0.5824332	0.1553016	0.7889120	0.9318695	0.0094989	0.4465955	0.0243164	0.6477000	0.2693139	0.3523976	0.5677612	0.5548507
0.0990086	1.0000000	0.9262638	0.9010776	0.2120575	0.8183134	0.9352090	0.9367954	0.5273101	0.1520538	0.4977689	0.1650391	0.0159400	0.6190130	0.0000821	0.5491264	0.4204768	0.2821192	0.1071166	0.0000443
0.2268316	1.0000000	0.8125344	1.0000000	0.0301942	0.7638789	1.0000000	0.9385045	0.5186064	0.2352453	0.4149980	0.2097655	0.0979550	0.5090726	0.3915271	0.8206849	0.1634530	0.4023569	0.0432308	0.3021565
0.1783834	0.3701288	1.0000000	0.8578884	0.1452098	1.0000000	0.6884027	0.9758842	0.8513467	0.1553016	0.3413332	0.8151080	0.2457001	0.3156046	0.1200830	0.4986374	0.4129297	0.0630001	0.0613325	0.1244992
0.2288316	0.8104057	0.8249185	1.0000000	0.0073180	1.0000000	0.7701473	0.9847004	0.5750320	0.1553016	0.6398026	0.6080517	0.1539582	0.3156611	0.0000000	0.5459825	0.3806962	0.2368973	0.0010754	0.0387854
0.0435877	0.6189619	1.0000000	0.8060650	0.0083817	1.0000000	1.0000000	0.9385045	0.4813189	0.1260694	0.5746417	0.5311276	0.1327885	0.4936059	0.0000000	0.4038209	0.0179104	0.2702850	0.4966991	0.1326941
0.1549149	1.0000000	1.0000000	0.7479904	0.0011012	1.0000000	1.0000000	0.9926331	0.9710445	0.1553016	0.4642805	0.3728904	0.1505909	0.3157530	0.1279326	0.4243870	0.1035805	0.0000020	0.3757447	0.0000003
0.1744637	1.0000000	1.0000000	1.0000000	0.0023568	0.8371999	0.6104914	0.9720019	0.3471615	0.2048714	0.5962046	0.3857129	0.2050987	0.5917809	0.5724040	0.4605156	0.1744779	0.2925468	0.0980034	0.0000007
0.0459942	0.9188862	1.0000000	1.0000000	0.0530464	0.9596919	0.9865087	0.9381765	0.7819908	0.1657641	0.5632238	0.5824096	0.1370824	0.3433573	0.0000000	0.4225365	0.3572274	0.0885774	0.0764653	0.3641222
0.0941209	1.0000000	1.0000000	0.5110854	0.0015598	0.9184319	0.5043686	0.9046390	0.8275127	0.1526035	0.6725922	0.4801338	0.6598847	0.3882294	0.0000000	0.3153623	0.0528937	0.1306761	0.0410240	0.2300051
0.3319782	1.0000000	0.6215196	1.0000000	0.0471503	0.9527995	0.7624208	0.9823131	0.6860635	0.1676675	0.6980991	0.0751935	0.0988569	0.3917798	0.2158142	0.7440152	0.2460980	0.2242345	0.0087338	0.0000001
0.0347942	0.7570988	1.0000000	1.0000000	0.0051566	0.7952392	0.9930152	0.9911318	0.7780485	0.2215455	0.5218529	0.5651478	0.3588912	0.4792638	0.1490036	0.4475438	0.3458831	0.0075331	0.0000195	0.4312466
0.0451800	1.0000000	0.8776510	1.0000000	0.0010507	1.0000000	1.0000000	0.9939694	0.2089760	0.1553016	0.1840594	0.1448883	0.2815556	0.5452985	0.0000000	0.1321820	0.0188682	0.5889756	0.0000032	0.1017352
0.2721086	1.0000000	0.7239216	1.0000000	0.0039365	1.0000000	1.0000000	0.9886229	0.9487527	0.1553016	0.4963499	0.3982531	0.0465589	0.4800720	0.0856622	0.5948833	0.3305382	0.1690924	0.0461287	0.2646817
