flhC	hdfR	lrhA	qseB	flhD	ompR	rcsB	rcsA	csgD	bolA	csgE	csgF	csgG	sra	gltK	ygdB	fliM	flgN	fliN	fliL
0.2753039	0.9461617	0.7971784	0.9858512	0.0219358	1.0000000	0.6317507	0.9208070	0.6913214	0.0751657	0.4247203	0.7321447	0.2210819	0.3155403	0.3777746	0.6857443	0.2858686	0.0000025	0.1039986	0.4711782
0.1736678	0.7904243	1.0000000	0.6285335	0.0435815	1.0000000	1.0000000	0.9385779	0.8684932	0.1414893	0.2842633	0.5350167	0.1186816	0.3162031	0.1192615	0.5605657	0.3920877	0.1216655	0.2114631	0.1961098
0.3578375	0.9563806	0.6275299	0.9555102	0.3222277	1.0000000	0.8447859	0.9337340	0.7231434	0.0980124	0.6410904	0.4203301	0.1288557	0.3156883	0.2580527	0.8773806	0.3376505	0.2420183	0.7503066	0.0026563
0.1908448	0.7533054	1.0000000	0.9162887	0.0065452	1.0000000	1.0000000	0.9385080	0.7148378	0.0790637	0.5713264	0.1564001	0.4988866	0.3985368	0.0000009	0.5755988	0.1328151	0.3762012	0.1071078	0.0000080
0.0213673	1.0000000	1.0000000	0.9629841	0.0008662	1.0000000	1.0000000	0.9908623	0.7685007	0.1553016	0.5543148	0.6135606	0.4084053	0.4924271	0.0000000	0.0359208	0.0813007	0.1317839	0.0000030	0.0000003
0.1890590	1.0000000	1.0000000	0.8417887	0.0055814	0.5559352	0.9986611	0.9384743	0.5525200	0.2366504	0.5712400	0.5567346	0.3227978	0.7768002	0.0000004	0.4881473	0.1315299	0.0000082	0.0004885	0.0392497
0.1548528	1.0000000	1.0000000	1.0000000	0.4562319	1.0000000	0.8245387	0.9847338	0.5827424	0.1553016	0.7889660	0.9319275	0.0095020	0.4465178	0.0241777	0.6476213	0.2689297	0.3523451	0.5664208	0.5547190
0.0989548	1.0000000	0.9262641	0.9010812	0.2120474	0.8183239	0.9352187	0.9368003	0.5277064	0.1520078	0.4978636	0.1650872	0.0159446	0.6183205	0.0000822	0.5490253	0.4204150	0.2821083	0.1067026	0.0000484
0.2265250	1.0000000	0.8125346	1.0000000	0.0301929	0.7638838	1.0000000	0.9385051	0.5188902	0.2352084	0.4150597	0.2098138	0.0979857	0.5085600	0.3915248	0.8203831	0.1627518	0.4023504	0.0432089	0.3021451
0.1782570	0.3701299	1.0000000	0.8578894	0.1451897	1.0000000	0.6884130	0.9758935	0.8512746	0.1553016	0.3413232	0.8151010	0.2456530	0.3156135	0.1200819	0.4984101	0.4126905	0.0629999	0.0610513	0.1244969
0.2279996	0.8104102	0.8249204	1.0000000	0.0073087	1.0000000	0.7702205	0.9847286	0.5753903	0.1553016	0.6398681	0.6081186	0.1538868	0.3157198	0.0000011	0.5448098	0.3791366	0.2368804	0.0010690	0.0387854
0.0436320	0.6189625	1.0000000	0.8060661	0.0083800	1.0000000	1.0000000	0.9385047	0.4814034	0.1260694	0.5746719	0.5311657	0.1328054	0.4935879	0.0000001	0.4039793	0.0180141	0.2702836	0.4966689	0.1326922
0.1551603	1.0000000	1.0000000	0.7480275	0.0011020	1.0000000	1.0000000	0.9926324	0.9702173	0.1553016	0.4642193	0.3728525	0.1505512	0.3158454	0.1279227	0.4249356	0.1040253	0.0000348	0.3754513	0.0000172
0.1736412	1.0000000	1.0000000	1.0000000	0.0023541	0.8372738	0.6108684	0.9722590	0.3493239	0.2045663	0.5969663	0.3865140	0.2052912	0.5892699	0.5723034	0.4593833	0.1737077	0.2924614	0.0979452	0.0000306
0.0462990	0.9188886	1.0000000	1.0000000	0.0530372	0.9596985	0.9865139	0.9381829	0.7818417	0.1657403	0.5631998	0.5823910	0.1370599	0.3431389	0.0000014	0.4235940	0.3578200	0.0885833	0.0764200	0.3640257
0.0938502	1.0000000	1.0000000	0.5111249	0.0015606	0.9184427	0.5045266	0.9048931	0.8268496	0.1525637	0.6724306	0.4799722	0.6593300	0.3877463	0.0000011	0.3151626	0.0530803	0.1306747	0.0410390	0.2299583
0.3317575	1.0000000	0.6215196	1.0000000	0.0471501	0.9527996	0.7624233	0.9823148	0.6860659	0.1676667	0.6980991	0.0751928	0.0988530	0.3917590	0.2158140	0.7438345	0.2456170	0.2242341	0.0086612	0.0000004
0.0350243	0.7571012	1.0000000	1.0000000	0.0051515	0.7952511	0.9930163	0.9911319	0.7782581	0.2214717	0.5218758	0.5651703	0.3589046	0.4783871	0.1490011	0.4482026	0.3462703	0.0075404	0.0000393	0.4312020
0.0452309	1.0000000	0.8776511	1.0000000	0.0010507	1.0000000	1.0000000	0.9939694	0.2092111	0.1553016	0.1842017	0.1451255	0.2817276	0.5452688	0.0000001	0.1324029	0.0189854	0.5889699	0.0000086	0.1017336
0.2714666	1.0000000	0.7239225	1.0000000	0.0039359	1.0000000	1.0000000	0.9886229	0.9485158	0.1553016	0.4963290	0.3982399	0.0465570	0.4800136	0.0856612	0.5941349	0.3291589	0.1690899	0.0460542	0.2646606
