flhC	hdfR	lrhA	qseB	flhD	ompR	rcsB	rcsA	csgD	bolA	csgE	csgF	csgG	sra	gltK	ygdB	fliM	flgN	fliN	fliL
0.2815793	0.7299845	0.6742433	0.8389722	0.0291346	0.8288884	0.5940964	0.8365841	0.6618336	0.0429187	0.2786525	0.5004510	0.2233039	0.3522899	0.3140503	0.6838938	0.3161586	0.0011543	0.1073244	0.4423962
0.1731095	0.7359302	0.7255117	0.4991700	0.0298128	0.5782465	1.0076696	0.7607932	0.8292617	0.1120620	0.1843473	0.4235716	0.0938375	0.2738596	0.1214229	0.5647849	0.4534819	0.0582475	0.1955084	0.1295822
0.3128635	0.7600970	0.5224415	0.7193996	0.2739832	0.7452619	0.7074919	0.7040521	0.6626668	0.0894538	0.5055689	0.3333045	0.1155253	0.2260692	0.2014048	0.6881985	0.3883991	0.2139371	0.6536927	0.0030466
0.2703976	0.5836597	1.0920000	0.7033489	0.0125900	0.8317967	0.8131232	0.6583765	0.5320603	0.0640615	0.4241356	0.1260505	0.3097700	0.2726219	0.0004806	0.5275451	0.0765855	0.3169940	0.0961893	0.0035760
0.0238182	0.6853744	1.0689622	0.7831346	0.0023959	0.9819905	0.7894716	0.8131182	0.6861846	0.0912693	0.4138033	0.5496604	0.3475348	0.3022288	0.0017399	0.0255646	0.0527008	0.1163571	0.0015538	0.0008806
0.2102451	0.8599181	0.9549970	0.6328191	0.0125914	0.4963961	0.9674421	0.6941916	0.5108836	0.1748247	0.4850953	0.4503635	0.2591955	0.6539115	0.0002881	0.4188925	0.1817393	0.0000563	0.0026089	0.0364349
0.1376713	0.8601229	0.9849455	0.8292969	0.4525821	0.8997386	0.6279001	0.7214335	0.5209589	0.1476988	0.6582739	0.6664339	0.0151907	0.3696571	0.0202278	0.6223021	0.3066471	0.2383048	0.5066116	0.3581511
0.0888255	0.7601259	0.7767415	0.7333479	0.1049706	0.9348251	0.6943296	0.7898486	0.4804136	0.1421641	0.4866199	0.1243594	0.0215741	0.5741841	0.0029764	0.4503820	0.4068133	0.2259659	0.0745784	0.0010540
0.1666747	0.7789812	0.7394600	0.6941757	0.0565146	0.6030344	0.8025980	0.9088353	0.4665455	0.1951582	0.4255476	0.1758697	0.1363940	0.5590268	0.2929882	0.5829933	0.0785474	0.3374896	0.0111099	0.2692329
0.1888115	0.3183196	1.0659028	0.8403254	0.2074353	1.0561389	0.5053038	0.7087339	0.6672021	0.1177267	0.1955558	0.6483342	0.1797251	0.1869658	0.1039536	0.4181113	0.3776432	0.0634944	0.0460980	0.1781238
0.1668496	0.4939033	0.5890910	0.7698145	0.0060124	0.9052697	0.6510507	0.7760317	0.4462990	0.1935011	0.4553538	0.4911809	0.1056898	0.3424944	0.0000060	0.4075149	0.2802302	0.2219139	0.0007783	0.0630058
0.0540038	0.6663508	0.9613981	0.6267499	0.0045112	0.7924926	0.7409035	0.8086743	0.3858193	0.1026546	0.4646878	0.4391230	0.0648143	0.3570361	0.0003578	0.3449712	0.0263874	0.2390623	0.3877572	0.1372130
0.1169022	0.7204498	0.7316245	0.6416352	0.0032638	0.8699746	0.6872085	0.7815254	0.7014077	0.1392279	0.4136101	0.2890969	0.1925825	0.3282477	0.1395821	0.3003618	0.0781716	0.0001338	0.3075038	0.0010015
0.1148124	0.8674366	0.8883452	0.9089456	0.0027957	0.7236095	0.5333379	0.7366155	0.2718104	0.2072816	0.5849996	0.3372471	0.1859332	0.4441763	0.4234559	0.3616153	0.1089902	0.2788656	0.0701857	0.0002863
0.0408865	0.7729697	0.8261560	0.7011418	0.0353220	0.8546566	0.8171648	0.7059429	0.7388034	0.1267213	0.4401358	0.4947861	0.1445555	0.3386683	0.0001582	0.2287609	0.2582686	0.0505176	0.0553385	0.2521255
0.0988538	0.7311813	0.6985794	0.4243571	0.0031231	0.7590889	0.3623964	0.6713475	0.5662190	0.1131286	0.4870169	0.5128533	0.6005033	0.3548999	0.0002055	0.2850653	0.0357478	0.1349812	0.0332951	0.1820917
0.2435023	0.8596757	0.4742272	0.8563623	0.0359520	0.7750083	0.7358964	0.8668240	0.6417783	0.1947685	0.4903652	0.0415673	0.0829507	0.3326403	0.1159067	0.5556975	0.1596186	0.1536705	0.0336060	0.0002066
0.0394773	0.5809333	0.6637272	0.6990741	0.0023333	0.8342893	0.7762127	0.6221279	0.6654244	0.1319818	0.3884207	0.6057865	0.3196862	0.3931935	0.0936721	0.3174479	0.2492519	0.0036673	0.0046566	0.4075858
0.0466688	0.7445081	0.7661633	0.7235589	0.0060379	0.8465560	0.9573921	0.8735567	0.1422336	0.1075036	0.1591249	0.0845979	0.1927561	0.4013672	0.0011056	0.0942537	0.0237020	0.3618051	0.0005687	0.0492213
0.3437550	0.7614991	0.5318311	0.8416959	0.0020040	0.7741524	0.7326632	0.6535319	0.9510575	0.1042767	0.3988051	0.3506826	0.0600436	0.5270570	0.0885260	0.5777176	0.2636476	0.1082482	0.0678334	0.1634860
