"Time"	fur	rcnR	metJ	metR	metA	metH

0	0.7482854	0.6892885	0.3699671	0.5223683	0.6991538	0.0453840
50	0.7603701	0.6007112	0.3030640	0.5916031	0.5256107	0.0061538
100	0.7808802	0.6498414	0.2835540	0.4938258	0.5995534	0.0212817
150	0.8441800	0.5456052	0.2146520	0.5949659	0.5396534	0.0203370
200	0.8454935	0.5004656	0.3305040	0.6392332	0.7257919	0.0239829
250	0.7840998	0.6046462	0.3362475	0.6273369	0.6464063	0.0318473
300	0.7558732	0.5642927	0.3853489	0.6681701	0.6053918	0.0360211
350	0.7758914	0.5949772	0.2938774	0.5403777	0.5883183	0.0273916
400	0.8272960	0.5988331	0.2786785	0.5729396	0.6180732	0.0074667
450	0.8316786	0.5084534	0.3101453	0.6666623	0.6780863	0.0184379
500	0.8762941	0.5981859	0.3417190	0.6317132	0.6112056	0.0289302
550	0.8999052	0.5258617	0.2731807	0.6574717	0.6600669	0.0161082
600	0.7320401	0.5562790	0.3538953	0.5190614	0.5980313	0.0529469
650	0.7764623	0.5513109	0.3195455	0.4966148	0.7689536	0.0096444
700	0.7053629	0.5949422	0.3166419	0.6114645	0.6135744	0.0473666
750	0.7392071	0.5301127	0.3555370	0.6115869	0.5702304	0.0200699
800	0.9011734	0.5731360	0.3608622	0.5112131	0.7787008	0.0207742
850	0.9637191	0.7044302	0.3197479	0.6136164	0.5260316	0.0176107
900	0.9171622	0.5859115	0.3650876	0.5577851	0.6585804	0.0193608
950	0.7944835	0.5372888	0.3341330	0.5316975	0.6836812	0.0051959
1000	0.6499725	0.5215350	0.3054643	0.6343932	0.5109374	0.0152444

0	0.6506416	0.5853265	0.3455520	0.6572173	0.6355915	0.0307445
50	0.2162943	0.5853865	0.4960611	0.2435701	0.6049909	0.0079804
100	0.0821306	0.2322862	0.5790205	0.1706920	0.5828058	0.0855626
150	0.0632668	0.0869503	0.7415999	0.1315462	0.3925244	0.1188042
200	0.0740229	0.0643917	0.6436773	0.1029949	0.4731277	0.0735291
250	0.0949618	0.0541696	0.8539360	0.0842740	0.4236084	0.0607220
300	0.0613717	0.0329209	0.7739345	0.0698525	0.4625976	0.0274362
350	0.1019321	0.0227207	0.8139425	0.0615538	0.4742469	0.0244250
400	0.0935917	0.0443266	0.6622849	0.0487703	0.3631212	0.0159193
450	0.0526988	0.0130435	0.7559433	0.0597126	0.4009901	0.0172932
500	0.0858986	0.0463841	0.7875734	0.0759134	0.4011586	0.0498703
550	0.5957133	0.2862085	0.6831567	0.1978481	0.4032040	0.0220255
600	0.9044361	0.5751254	0.6228042	0.2554072	0.3241572	0.0300491
650	0.8035265	0.5493253	0.4695360	0.1924164	0.4342754	0.0156081
700	0.8009083	0.5417609	0.3333788	0.3461899	0.4439968	0.0127640
750	0.6906735	0.5016005	0.4019714	0.3973293	0.5311183	0.0246245
800	0.6588499	0.5258913	0.3365371	0.5316765	0.7023140	0.0178303
850	0.6324760	0.5284636	0.3751303	0.6124895	0.4328728	0.0060149
900	0.6514974	0.5159388	0.3798750	0.4256392	0.5447780	0.0153980
950	0.7316784	0.5680091	0.4777808	0.4509582	0.6541448	0.0067320
1000	0.8310966	0.5582886	0.3475114	0.5160050	0.5618481	0.0067260

0	0.7295264	0.6040293	0.3246024	0.5710272	0.6899419	0.0221943
50	0.8474969	0.6174132	0.4817604	0.5390367	0.5969297	0.0224948
100	0.8034407	0.7286182	0.4275327	0.4973481	0.5623652	0.0195617
150	0.7457757	0.7387646	0.3906410	0.6130177	0.6473746	0.0210382
200	0.7068659	0.6072412	0.4215502	0.5340173	0.5364090	0.0104135
250	0.8269384	0.6612340	0.3395257	0.4804614	0.4932611	0.0189743
300	0.8167150	0.5516724	0.4062061	0.4285111	0.4351264	0.0126773
350	0.7095757	0.6611488	0.4029821	0.4221713	0.5207484	0.0085475
400	0.8563735	0.6492972	0.5898539	0.4833241	0.5036188	0.0024905
450	0.7599816	0.6687605	0.4673980	0.5485505	0.6174488	0.0069075
500	0.7628942	0.5727398	0.4615318	0.4727445	0.5145263	0.0196039
550	0.8159369	0.6009297	0.4333246	0.4394554	0.5923283	0.0116500
600	0.7988021	0.5905431	0.4092840	0.5791627	0.5576625	0.0047166
650	0.7826018	0.6377383	0.3929969	0.5603085	0.5992188	0.0130574
700	0.6287081	0.5184382	0.4756911	0.4711627	0.6374811	0.0087018
750	0.7399521	0.5712581	0.3833345	0.5479308	0.5221861	0.0356811
800	0.7266019	0.5361722	0.2919396	0.6206359	0.5668469	0.0149363
850	0.8603890	0.5665633	0.2877783	0.5868223	0.4791092	0.0084157
900	0.6768136	0.5424977	0.3300634	0.5393806	0.4702140	0.0033420
950	0.8796844	0.4578024	0.2545748	0.6478752	0.7517815	0.0033829
1000	0.8838625	0.6333552	0.3139848	0.5695227	0.6380438	0.0400034

0	0.7622632	0.7470070	0.3459789	0.6538605	0.6060230	0.0161494
50	0.6702493	0.5259413	0.2812962	0.6457961	0.3657472	0.7113838
100	0.7956196	0.4537524	0.4164788	0.6460283	0.2966691	0.8015093
150	0.7718491	0.3930428	0.3996914	0.4484754	0.3020496	0.7008615
200	0.7484204	0.5657473	0.4936898	0.5287444	0.2739741	0.7731810
250	0.8137022	0.5136021	0.3162852	0.5924983	0.2368376	0.7702762
300	0.6863671	0.5966693	0.4159978	0.4686910	0.3323996	0.8380625
350	0.8242900	0.5637843	0.3272832	0.4270424	0.4009002	0.7968434
400	0.8018446	0.6036946	0.4676992	0.3513542	0.3083630	0.6883040
450	0.7561139	0.5815879	0.3243604	0.3324196	0.2635999	0.6356737
500	0.7413358	0.5115131	0.4184720	0.4600918	0.2899859	0.7372266
550	0.8687395	0.5134685	0.3907823	0.4895280	0.5214029	0.1068804
600	0.8484107	0.6844300	0.3242681	0.5815076	0.6392734	0.0288020
650	0.9785934	0.5310090	0.2617757	0.5496327	0.5912347	0.0370476
