"Time"	fur	rcnR	metJ	metR	metA	metH

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	1.0282098	0.6674263	0.3733344	0.6966320	0.7291695	0.0161236
100	0.9603951	0.7831949	0.3595068	0.7549156	0.7770302	0.0252282
150	0.9127656	0.7733566	0.3094171	0.8254788	0.7678603	0.0240750
200	0.9771514	0.6687172	0.3839099	0.8008944	0.8504792	0.0271653
250	1.0868754	0.7437595	0.3497766	0.8124579	0.7767794	0.0272332
300	1.0190085	0.7526069	0.3540538	0.8167076	0.8117781	0.0314734
350	0.9462777	0.7205219	0.3464542	0.7488111	0.8047818	0.0234907
400	0.9925116	0.7191407	0.4250493	0.8693360	0.8164579	0.0209725
450	1.0098863	0.6703706	0.4019184	0.8548977	0.8396359	0.0258060
500	1.0530691	0.7776552	0.4083880	0.7768289	0.7941215	0.0186477
550	1.0578608	0.8124105	0.3759839	0.8019729	0.7504270	0.0228675
600	0.9932171	0.6658644	0.4583000	0.7476835	0.6924176	0.0287925
650	0.9916018	0.6965604	0.4290534	0.7960163	0.7790115	0.0173826
700	0.9946740	0.7926426	0.4249415	0.7488862	0.8600178	0.0221534
750	0.9489810	0.6998445	0.4524060	0.7321219	0.8167788	0.0286264
800	1.0106106	0.6974050	0.4156185	0.7105509	0.7609858	0.0286983
850	1.0728647	0.7967031	0.3732329	0.7624232	0.6949793	0.0207819
900	0.9771576	0.7968716	0.4322595	0.7632335	0.7618677	0.0245072
950	0.9767480	0.7305419	0.4437387	0.6903977	0.8026201	0.0068221
1000	0.9817442	0.7312311	0.4481907	0.8303529	0.7461413	0.0222543

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	0.2578429	0.6219961	0.6668713	0.3277183	0.7902827	0.0104455
100	0.1229502	0.3357422	0.8030519	0.2185475	0.7324621	0.1215303
150	0.0910336	0.1560875	0.8660182	0.1408271	0.5872252	0.1836941
200	0.0973192	0.0930288	0.9588877	0.1592542	0.6287495	0.1117036
250	0.0917739	0.0703197	1.0070873	0.0941821	0.5346143	0.0568869
300	0.1044364	0.0461219	1.0071474	0.0750246	0.5383865	0.0286843
350	0.1171362	0.0290425	1.0446281	0.0794494	0.5154799	0.0193928
400	0.1185898	0.0577854	0.9997059	0.0685229	0.4516475	0.0136570
450	0.0908692	0.0299501	1.0170302	0.0621522	0.5050952	0.0296450
500	0.0896513	0.0627590	1.0003481	0.0780906	0.5104353	0.0333927
550	0.8532124	0.3698638	0.8816895	0.2183408	0.4991824	0.0286894
600	0.9602216	0.6367497	0.8221244	0.2595311	0.5262138	0.0246120
650	1.0180298	0.6755036	0.6518005	0.2936105	0.5233735	0.0176781
700	0.9996657	0.6992852	0.5516278	0.3927537	0.6270829	0.0343590
750	0.9404123	0.6715156	0.5426788	0.4563152	0.6711805	0.0355607
800	0.9227775	0.7440499	0.4911005	0.6024780	0.7128013	0.0216612
850	0.9368010	0.7587617	0.4736595	0.6514912	0.6598103	0.0137135
900	0.9669029	0.6676135	0.5171408	0.5728978	0.7069803	0.0293430
950	1.0143243	0.7262908	0.4837157	0.6307964	0.7755164	0.0167236
1000	0.9574257	0.6953556	0.4796329	0.7062233	0.7562350	0.0058703

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	0.9926342	0.7709401	0.5646320	0.7064920	0.7215803	0.0332069
100	0.9963724	0.8904822	0.4480402	0.6036198	0.7308343	0.0240111
150	1.0036774	0.8917014	0.4860451	0.6928023	0.7711340	0.0319057
200	1.0134048	0.7755097	0.5589120	0.6998638	0.7257725	0.0139345
250	1.0066464	0.8642877	0.5085749	0.5927936	0.7422477	0.0110447
300	0.9404421	0.8345399	0.5018394	0.5324829	0.6592681	0.0208653
350	0.9113370	0.8347207	0.5103583	0.5641607	0.6883614	0.0162392
400	0.9524959	0.8379944	0.6063391	0.6146165	0.7160801	0.0042363
450	0.9295864	0.7791144	0.5492707	0.5984649	0.7558063	0.0163482
500	0.9802024	0.7411655	0.5297052	0.6203551	0.6836420	0.0268081
550	1.0296873	0.7812306	0.4886320	0.6178868	0.6928942	0.0138071
600	0.9991928	0.7686482	0.5063347	0.6936191	0.6591083	0.0132112
650	0.9519120	0.7720335	0.4885092	0.6851526	0.7673080	0.0156119
700	0.9076832	0.7133074	0.5047074	0.6828736	0.7936378	0.0156809
750	0.9137829	0.7238562	0.4421049	0.7101324	0.6747226	0.0219993
800	1.0635458	0.6809619	0.4303358	0.7596980	0.7492648	0.0212501
850	1.0235673	0.7331702	0.4192661	0.7447604	0.6429259	0.0116310
900	0.9601520	0.7221984	0.3743945	0.8723726	0.6614571	0.0044960
950	1.0187673	0.6860105	0.3894761	0.8335423	0.8000293	0.0117199
1000	0.8523985	0.7454763	0.3915762	0.8581530	0.8044585	0.0250450

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	0.9637610	0.6914746	0.4401796	0.7320583	0.4402881	0.8564139
100	0.9827508	0.6312482	0.4429714	0.7471890	0.4298902	0.9421045
150	0.9389473	0.6376146	0.4682163	0.7475907	0.3648629	0.9442122
200	0.9938569	0.6598594	0.5357537	0.6674056	0.3768693	0.8915016
250	0.9995566	0.7082674	0.5021094	0.6640798	0.3743348	0.9413482
300	0.9671000	0.7275194	0.4732087	0.5798544	0.3680393	0.9789622
350	1.0313947	0.7428118	0.4990864	0.6029211	0.3908177	0.9661603
400	0.9641130	0.6949935	0.4906950	0.5985379	0.4034237	0.9089329
450	1.0198070	0.7783732	0.5302960	0.5174054	0.3397789	0.8877154
500	1.0161454	0.6533046	0.5175200	0.5169945	0.3727875	0.9513601
550	1.0504285	0.6654737	0.4757459	0.5229950	0.6832884	0.1608606
600	1.0223579	0.7377567	0.4158544	0.6650477	0.7644306	0.0395679
650	0.9843697	0.6995839	0.4341979	0.6363554	0.7570692	0.0260123
700	0.9479931	0.6685870	0.4811524	0.6502884	0.6679290	0.0126860
750	0.9728334	0.6828702	0.5175714	0.6661919	0.7320351	0.0345366
800	0.9163026	0.7683352	0.5950807	0.7293467	0.7435966	0.0273658
850	0.9487390	0.7214113	0.5481696	0.6340822	0.6734826	0.0091914
900	1.0201752	0.7285910	0.5624960	0.6083303	0.7045293	0.0204791
950	0.9732954	0.7320097	0.5263546	0.5745458	0.8304298	0.0159910
1000	0.9022541	0.6947990	0.5458043	0.5932403	0.7000712	0.0237198

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	0.3580681	0.6720430	0.4673300	0.5695307	0.7066392	0.3620161
100	0.2358962	0.4570246	0.7660237	0.5593669	0.6699866	0.4051157
150	0.1494411	0.3070551	0.9535485	0.4580248	0.6430224	0.4829768
200	0.1833637	0.1703914	0.9534464	0.2940149	0.6441235	0.5578365
250	0.1779009	0.1292851	0.9761902	0.2481494	0.6045100	0.5397214
300	0.1314540	0.1647049	1.0540788	0.2210699	0.5618456	0.4781616
350	0.1287298	0.1329069	0.9944618	0.1900475	0.6020079	0.4608004
400	0.1609866	0.0910456	0.9381454	0.1991381	0.5833812	0.3883051
450	0.1614075	0.1126950	0.9463977	0.1890868	0.5674211	0.4467318
500	0.1649360	0.1178455	1.0111727	0.2104573	0.5669041	0.4918940
550	0.8845278	0.3501227	0.9097960	0.2514779	0.5862460	0.1309939
600	0.9908308	0.5591356	0.7148085	0.2939295	0.6939552	0.0405610
650	1.0297528	0.6483266	0.6181416	0.3482981	0.6295592	0.0310474
700	1.0186683	0.6779553	0.5503014	0.4647654	0.7323713	0.0320580
750	0.9637545	0.7168353	0.4933145	0.5428754	0.6665404	0.0176386
