"Time"	fur	rcnR	metJ	metR	metA	metH

0	1.0004193	0.6846960	0.4598014	0.7283938	0.8044002	0.0180515
50	0.9185339	0.7051909	0.4582858	0.6922613	0.8392891	0.0177798
100	1.0415421	0.6857197	0.4123127	0.7081035	0.7353740	0.0194588
150	0.8808401	0.7333676	0.3643693	0.7646306	0.7463679	0.0357103
200	0.9053312	0.7063387	0.3229397	0.8307452	0.7296037	0.0338048
250	1.0172832	0.7718193	0.3651205	0.8295321	0.7929674	0.0230805
300	1.0389933	0.7202861	0.3787068	0.8315969	0.7546577	0.0464343
350	0.9712325	0.7241757	0.3151528	0.7660131	0.7450446	0.0377374
400	0.9967290	0.7132085	0.3627482	0.7967517	0.8770715	0.0205422
450	0.9882140	0.7199298	0.3824111	0.8407820	0.8314438	0.0324885
500	1.0071264	0.6932543	0.4387558	0.8467735	0.7547220	0.0234222
550	1.0995832	0.8266589	0.4197098	0.7262841	0.7389409	0.0178230
600	0.9029098	0.7590921	0.4259415	0.7608985	0.6980963	0.0146300
650	1.0468779	0.6914649	0.4114628	0.7939816	0.7579512	0.0255146
700	1.0296980	0.7812972	0.3669450	0.7272784	0.7514373	0.0239251
750	0.8506809	0.6907245	0.4190434	0.7662093	0.8441731	0.0186718
800	0.9822629	0.7086670	0.4697814	0.7823024	0.8181966	0.0309088
850	1.1348857	0.7623784	0.4236758	0.8143135	0.7434872	0.0276141
900	0.9870481	0.7853643	0.4216374	0.7889853	0.7531828	0.0140754
950	1.0415409	0.7145825	0.4035992	0.7149166	0.7173697	0.0270233
1000	1.0288337	0.6815184	0.4361838	0.7590020	0.6700233	0.0200320

0	1.0004193	0.6846960	0.4598014	0.7283938	0.8044002	0.0180515
50	0.4717627	0.6746711	0.6335466	0.5143638	0.8054903	0.0261823
100	0.2022381	0.4817337	0.6831248	0.3694922	0.7789789	0.0493730
150	0.0987263	0.2678508	0.8300785	0.2308360	0.7196908	0.1566220
200	0.0877364	0.1349934	0.8295533	0.1552768	0.5904197	0.1343405
250	0.0883201	0.0941980	0.9159883	0.1312177	0.5616008	0.0822945
300	0.1012500	0.0522070	0.9471792	0.1125750	0.5289985	0.0240436
350	0.0686174	0.0432980	0.8882133	0.0651562	0.5228218	0.0277892
400	0.0782340	0.0629027	0.8612030	0.0692872	0.4780966	0.0185117
450	0.0632664	0.0407076	0.9917432	0.0711815	0.4852886	0.0157679
500	0.0882092	0.0544046	1.0663438	0.0890653	0.4647067	0.0341056
550	0.6074816	0.1649494	0.9653465	0.1362533	0.5178324	0.0441064
600	0.9195848	0.3767792	0.9570756	0.2428866	0.5468237	0.0142337
650	0.9182543	0.5441905	0.8529650	0.2720623	0.5114961	0.0074495
700	1.0397242	0.6614995	0.7025081	0.3474312	0.5924444	0.0072946
750	0.9674070	0.7291174	0.5979422	0.3968023	0.6149252	0.0271234
800	0.9344410	0.6784974	0.5458353	0.4883571	0.6972280	0.0285703
850	0.9567844	0.7267758	0.5418349	0.6072602	0.6870768	0.0247496
900	1.0010271	0.8241341	0.5212222	0.6030216	0.7307727	0.0162943
950	1.0029615	0.7354514	0.4490260	0.6056780	0.6840187	0.0218164
1000	0.9064079	0.7495123	0.4694346	0.6666335	0.7374718	0.0055187

0	1.0004193	0.6846960	0.4598014	0.7283938	0.8044002	0.0180515
50	0.9388277	0.7561615	0.5554047	0.6415906	0.7379263	0.0173193
100	1.0520269	0.8884015	0.5124311	0.6276215	0.7521935	0.0266035
150	0.9582146	0.8558270	0.5122293	0.6784908	0.7373271	0.0221921
200	0.9580372	0.8364931	0.5250360	0.6836217	0.7790492	0.0198752
250	0.9923415	0.8854379	0.5942297	0.6705184	0.7784632	0.0099164
300	0.9982549	0.8369006	0.5620768	0.6325656	0.7155978	0.0265966
350	0.8737353	0.8127085	0.5938349	0.4923971	0.6656474	0.0171304
400	0.9394711	0.8328153	0.5084664	0.5137089	0.6806244	0.0085761
450	0.8917853	0.8377346	0.5463447	0.6561235	0.7172515	0.0101817
500	0.9672675	0.8469183	0.5549690	0.6883281	0.7735193	0.0104179
550	0.9276861	0.8294950	0.4039737	0.6228877	0.6909018	0.0122093
600	0.9045456	0.7754559	0.4546767	0.6316928	0.7580502	0.0114330
650	0.9942186	0.7404545	0.5115427	0.6179181	0.8025917	0.0099349
700	1.0134963	0.7165849	0.4485692	0.6400347	0.7818529	0.0069896
750	0.9841675	0.7021212	0.5011810	0.6235142	0.6827679	0.0457934
800	1.0177458	0.7354822	0.5562136	0.7737117	0.7892551	0.0292759
850	1.0380388	0.6956030	0.4685382	0.7369775	0.7758665	0.0188633
900	1.0387866	0.6989889	0.4028833	0.7330869	0.7365988	0.0091058
950	1.0956555	0.7010552	0.4049971	0.8728669	0.8307041	0.0107014
1000	0.9469819	0.6482714	0.4308682	0.8641098	0.7840215	0.0133200

0	1.0004193	0.6846960	0.4598014	0.7283938	0.8044002	0.0180515
50	1.0038515	0.7292188	0.4074432	0.7576298	0.6672693	0.4188693
100	0.9331975	0.6929113	0.4147056	0.8003657	0.5174857	0.7993081
150	0.8277664	0.7106148	0.4026824	0.7070249	0.4277327	0.9410525
200	0.9756123	0.6900684	0.4866346	0.6911073	0.4231481	0.9510084
250	0.9371273	0.7111070	0.5507249	0.6232736	0.3868459	1.0171564
300	0.9444748	0.6665108	0.4896100	0.6401493	0.3730143	0.8906100
350	0.9733451	0.7083120	0.4946117	0.6449394	0.4021118	0.8736717
400	0.9432185	0.7277241	0.5431478	0.6103075	0.4098590	0.8388872
450	1.0119954	0.7487003	0.5350871	0.5993969	0.3527271	0.8823708
500	1.0058745	0.6852347	0.5222422	0.4575261	0.3501688	0.9122061
550	1.0431939	0.6615539	0.5339316	0.4959747	0.5616211	0.4706819
600	1.1007896	0.6976289	0.5151112	0.5303731	0.6821774	0.1541435
650	1.0029817	0.7137271	0.4615039	0.5923225	0.6590878	0.0688310
700	1.0437918	0.6337914	0.4306033	0.6551198	0.6462618	0.0180079
750	0.9474909	0.7129977	0.4820019	0.6629952	0.6744368	0.0234053
800	0.8499004	0.7978633	0.5770018	0.6410359	0.7589956	0.0288664
850	0.8469865	0.7445706	0.5795353	0.7016041	0.7650986	0.0393471
900	0.9702144	0.6976343	0.5901008	0.6216698	0.7061244	0.0356461
950	1.0181405	0.6863861	0.5876407	0.6462977	0.7221697	0.0212053
1000	0.9933614	0.7000763	0.5717181	0.4831097	0.6983668	0.0339991

0	1.0004193	0.6846960	0.4598014	0.7283938	0.8044002	0.0180515
50	0.6517862	0.7088867	0.4507582	0.6983251	0.6826284	0.1898634
100	0.3784924	0.6545737	0.5676610	0.5379065	0.7241722	0.3953025
150	0.1788417	0.5432285	0.8032210	0.5136185	0.6805774	0.4532615
200	0.1836693	0.3276082	0.8666270	0.4284820	0.6390364	0.4886110
250	0.1700189	0.2368496	0.9450533	0.3286388	0.5975652	0.5471947
300	0.1700676	0.2030465	0.9932694	0.2534450	0.5681261	0.5097796
350	0.1187016	0.1565844	1.0819644	0.1949353	0.6143312	0.4541353
400	0.1504556	0.1191216	0.9195974	0.1968040	0.6061420	0.4746201
450	0.1582090	0.1000502	0.9058789	0.2597874	0.6164213	0.5164676
500	0.1822612	0.1042306	0.9664639	0.2634631	0.6279377	0.4817766
550	0.6467567	0.1876324	1.0122949	0.2571769	0.5987069	0.3274420
600	0.9068980	0.4010358	0.8425718	0.2657359	0.5686549	0.1049087
650	0.9061890	0.5865162	0.7073675	0.2892629	0.6382771	0.0357416
700	1.0351443	0.6693012	0.6096404	0.3798953	0.5971957	0.0172552
750	0.9551428	0.7454795	0.5044071	0.4691778	0.6809452	0.0141263
800	0.9706014	0.7649182	0.5199955	0.5641021	0.6991961	0.0211102
850	1.0886867	0.7042336	0.4843109	0.5680081	0.6829836	0.0264047
900	1.0771870	0.7219060	0.4511011	0.6191860	0.6886256	0.0263106
950	1.1146758	0.7361391	0.4611739	0.5918818	0.7196165	0.0147532
1000	0.9823383	0.6983416	0.4624687	0.6284736	0.7764611	0.0098132

0	1.0004193	0.6846960	0.4598014	0.7283938	0.8044002	0.0180515
50	1.0563362	0.7066527	0.4130594	0.5631915	0.7908991	0.0101245
100	1.0984567	0.7778572	0.4396965	0.5403709	0.7802648	0.0169384
150	1.0367575	0.7512462	0.4261756	0.5542022	0.7667259	0.0360940
200	0.9273141	0.8149874	0.4207389	0.6008527	0.7900236	0.0194720
250	0.9279721	0.7016554	0.4456320	0.5102352	0.7404532	0.0215485
300	1.0755771	0.6511368	0.4706743	0.5422626	0.7129335	0.0315549
350	0.9532688	0.6421880	0.3893890	0.4698595	0.7034185	0.0245872
400	0.9996924	0.6234997	0.4702190	0.5143889	0.8298047	0.0228647
450	1.0108250	0.6428061	0.5364484	0.5217905	0.8466920	0.0201903
500	1.0818138	0.7327486	0.5138691	0.4644139	0.7191105	0.0270105
550	1.0831675	0.7044722	0.4696149	0.5072409	0.7264247	0.0178965
600	1.0372249	0.7212983	0.5011387	0.6179051	0.7388489	0.0130199
650	1.0714281	0.6724388	0.4523546	0.6620193	0.7514990	0.0194136
700	1.1764941	0.7841871	0.4413364	0.6561971	0.7028981	0.0151975
750	0.9750444	0.7531853	0.4114662	0.6281174	0.7367535	0.0190488
800	0.9653031	0.7117080	0.4398894	0.7285067	0.7796145	0.0197824
850	0.9970812	0.6383707	0.4658154	0.7277436	0.6905164	0.0145186
900	0.9321500	0.7173391	0.5398418	0.7682416	0.6839782	0.0288078
950	0.9511824	0.8023838	0.5225840	0.6456299	0.6772215	0.0258087
1000	1.0473762	0.8023825	0.5310488	0.6821045	0.7020089	0.0253059

0	1.0004193	0.6846960	0.4598014	0.7283938	0.8044002	0.0180515
50	0.9285363	0.6351749	0.2723987	0.6990928	0.5941829	0.0129608
100	0.7284835	0.6201408	0.2086435	0.4855806	0.5350430	0.0202976
150	0.6086326	0.5673065	0.1290507	0.4374876	0.5369387	0.0166774
200	0.6164238	0.5954662	0.0845020	0.3515238	0.5741998	0.0160744
250	0.6248746	0.6126232	0.0956015	0.3597212	0.5367645	0.0143331
300	0.6431174	0.5854469	0.0905019	0.3739065	0.6191711	0.0125737
350	0.6921759	0.5330508	0.0921745	0.3931129	0.6560074	0.0306169
400	0.7098776	0.5839737	0.0731231	0.4038720	0.7222136	0.0279415
450	0.6056071	0.6092001	0.1085147	0.3627438	0.6052392	0.0121877
500	0.6860720	0.5237580	0.1219355	0.3430358	0.5761008	0.0215247
550	0.9312122	0.6204621	0.2290303	0.5319315	0.6376836	0.0229205
600	1.0444283	0.7350761	0.3658892	0.6515087	0.6829582	0.0227248
650	1.0554257	0.7630075	0.4418579	0.7981849	0.7979756	0.0061856
700	1.1243789	0.7896702	0.4618243	0.7296141	0.7961431	0.0100961
750	0.9801429	0.7572480	0.4152670	0.6167496	0.7072890	0.0197359
800	1.0031399	0.8171777	0.4601148	0.7670495	0.7969924	0.0145330
850	1.0602420	0.8238025	0.4857602	0.7383184	0.8003644	0.0283407
900	1.0149836	0.7387997	0.4818781	0.7381994	0.8141619	0.0140698
950	1.0050750	0.6309224	0.4360480	0.7263387	0.7139600	0.0155097
1000	0.9727286	0.5988897	0.4037118	0.8409782	0.6592376	0.0161384

0	1.0004193	0.6846960	0.4598014	0.7283938	0.8044002	0.0180515
50	1.0037640	0.7791796	0.3256952	0.7562194	0.7664869	0.0174904
100	1.0807739	0.8980484	0.4308417	0.7832539	0.7959027	0.0170563
