"Time"	fur	rcnR	metJ	metR	metA	metH

0	1.0000000	0.7278306	0.4562764	0.7187771	0.7546005	0.0194200
50	1.0000000	0.7278306	0.4019799	0.7275824	0.7599392	0.0194200
100	1.0000000	0.7278306	0.3791209	0.7540755	0.7737647	0.0194200
150	1.0000000	0.7278306	0.3694972	0.7815533	0.7862953	0.0194200
200	1.0000000	0.7278306	0.3654456	0.8015376	0.7944565	0.0194200
250	1.0000000	0.7278306	0.3637399	0.8138068	0.7990169	0.0194200
300	1.0000000	0.7278306	0.3630218	0.8206404	0.8013581	0.0194200
350	1.0000000	0.7278306	0.3627194	0.8242146	0.8024994	0.0194200
400	1.0000000	0.7278306	0.3625921	0.8260038	0.8030373	0.0194200
450	1.0000000	0.7278306	0.3625386	0.8268710	0.8032851	0.0194200
500	1.0000000	0.7278306	0.3625160	0.8272810	0.8033974	0.0194200
550	1.0000000	0.7278306	0.4168012	0.8194885	0.7975394	0.0194200
600	1.0000000	0.7278306	0.4396555	0.7944740	0.7829950	0.0194200
650	1.0000000	0.7278306	0.4492772	0.7672824	0.7705877	0.0194200
700	1.0000000	0.7278306	0.4533280	0.7467683	0.7628760	0.0194200
750	1.0000000	0.7278306	0.4550333	0.7338380	0.7586836	0.0194200
800	1.0000000	0.7278306	0.4557513	0.7265042	0.7565570	0.0194200
850	1.0000000	0.7278306	0.4560536	0.7226207	0.7555223	0.0194200
900	1.0000000	0.7278306	0.4561808	0.7206604	0.7550328	0.0194200
950	1.0000000	0.7278306	0.4562344	0.7197048	0.7548059	0.0194200
1000	1.0000000	0.7278306	0.4562570	0.7192513	0.7547024	0.0194200

0	1.0000000	0.7278306	0.4562764	0.7187771	0.7546005	0.0194200
50	0.2692323	0.6275104	0.5762362	0.4089412	0.7493177	0.0214158
100	0.1278385	0.3498955	0.7965728	0.2749665	0.7066340	0.0911491
150	0.1004807	0.1611097	0.9118835	0.1893289	0.6483139	0.2665398
200	0.0951873	0.0898967	0.9620879	0.1363997	0.6044736	0.1811776
250	0.0941631	0.0684809	0.9834420	0.1072818	0.5741175	0.0843704
300	0.0939649	0.0626802	0.9924728	0.0923224	0.5511202	0.0428297
350	0.0939266	0.0612045	0.9962829	0.0849237	0.5333270	0.0285197
400	0.0939192	0.0608449	0.9978886	0.0813522	0.5207166	0.0237384
450	0.0939177	0.0607600	0.9985650	0.0796592	0.5127926	0.0220549
500	0.0939175	0.0607404	0.9988498	0.0788687	0.5083015	0.0214098
550	0.8246851	0.2914503	0.9599266	0.1892208	0.5273551	0.0229204
600	0.9660789	0.5757368	0.7729625	0.2423265	0.5618395	0.0208379
650	0.9934367	0.6835339	0.6140904	0.3140233	0.6037714	0.0198035
700	0.9987301	0.7159447	0.5281082	0.4159271	0.6511132	0.0195160
750	0.9997543	0.7248088	0.4876660	0.5203282	0.6920669	0.0194431
800	0.9999525	0.7270924	0.4697282	0.6018511	0.7203708	0.0194254
850	0.9999908	0.7276557	0.4619864	0.6549757	0.7371259	0.0194212
900	0.9999982	0.7277901	0.4586883	0.6858301	0.7460945	0.0194203
950	0.9999997	0.7278214	0.4572920	0.7024502	0.7505949	0.0194200
1000	0.9999999	0.7278286	0.4567026	0.7109502	0.7527605	0.0194200

0	1.0000000	0.7278306	0.4562764	0.7187771	0.7546005	0.0194200
50	1.0000000	0.8259513	0.4562746	0.7188268	0.7546107	0.0194200
100	1.0000000	0.8456479	0.4562739	0.7188487	0.7546151	0.0194200
150	1.0000000	0.8496017	0.4562736	0.7188582	0.7546171	0.0194200
200	1.0000000	0.8503954	0.4562735	0.7188624	0.7546179	0.0194200
250	1.0000000	0.8505547	0.4562734	0.7188642	0.7546183	0.0194200
300	1.0000000	0.8505867	0.4562734	0.7188650	0.7546184	0.0194200
350	1.0000000	0.8505932	0.4562734	0.7188653	0.7546185	0.0194200
400	1.0000000	0.8505944	0.4562734	0.7188654	0.7546185	0.0194200
450	1.0000000	0.8505947	0.4562734	0.7188655	0.7546185	0.0194200
500	1.0000000	0.8505947	0.4562734	0.7188655	0.7546185	0.0194200
550	1.0000000	0.7524741	0.4562734	0.7188655	0.7546185	0.0194200
600	1.0000000	0.7327775	0.4562734	0.7188655	0.7546185	0.0194200
650	1.0000000	0.7288236	0.4562734	0.7188655	0.7546185	0.0194200
700	1.0000000	0.7280299	0.4562734	0.7188655	0.7546185	0.0194200
750	1.0000000	0.7278706	0.4562734	0.7188655	0.7546185	0.0194200
800	1.0000000	0.7278386	0.4562734	0.7188655	0.7546185	0.0194200
850	1.0000000	0.7278322	0.4562734	0.7188655	0.7546185	0.0194200
900	1.0000000	0.7278309	0.4562734	0.7188655	0.7546185	0.0194200
950	1.0000000	0.7278307	0.4562734	0.7188655	0.7546185	0.0194200
1000	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200

0	1.0000000	0.7278306	0.4562764	0.7187771	0.7546005	0.0194200
50	1.0000000	0.7278306	0.4562746	0.7188268	0.4474725	0.7932672
100	1.0000000	0.7278306	0.4562739	0.7188487	0.4046631	0.9436924
150	1.0000000	0.7278306	0.4562736	0.7188582	0.3986969	0.9729329
200	1.0000000	0.7278306	0.4562735	0.7188624	0.3978658	0.9786169
