"Time"	fur	rcnR	metJ	metR	metA	metH

0	1.0000000	0.7278304	0.4562909	0.7185472	0.7544754	0.0194200
50	1.0000000	0.7278305	0.4335804	0.7209279	0.7556902	0.0194200
100	1.0000000	0.7278306	0.4037835	0.7351711	0.7625363	0.0194200
150	1.0000000	0.7278306	0.3839639	0.7586811	0.7732715	0.0194200
200	1.0000000	0.7278306	0.3730043	0.7820555	0.7836182	0.0194200
250	1.0000000	0.7278306	0.3674499	0.8000834	0.7914657	0.0194200
300	1.0000000	0.7278306	0.3647734	0.8120516	0.7966415	0.0194200
350	1.0000000	0.7278306	0.3635251	0.8192544	0.7997609	0.0194200
400	1.0000000	0.7278306	0.3629559	0.8233006	0.8015276	0.0194200
450	1.0000000	0.7278306	0.3627005	0.8254609	0.8024841	0.0194200
500	1.0000000	0.7278306	0.3625873	0.8265701	0.8029847	0.0194200
550	1.0000000	0.7278306	0.3852381	0.8251206	0.8019684	0.0194200
600	1.0000000	0.7278306	0.4150091	0.8121757	0.7947454	0.0194200
650	1.0000000	0.7278306	0.4348175	0.7896382	0.7837204	0.0194200
700	1.0000000	0.7278306	0.4457723	0.7664207	0.7734566	0.0194200
750	1.0000000	0.7278306	0.4513246	0.7480179	0.7658849	0.0194200
800	1.0000000	0.7278306	0.4540002	0.7355418	0.7609866	0.0194200
850	1.0000000	0.7278306	0.4552481	0.7279125	0.7580705	0.0194200
900	1.0000000	0.7278306	0.4558172	0.7235745	0.7564306	0.0194200
950	1.0000000	0.7278306	0.4560725	0.7212371	0.7555460	0.0194200
1000	1.0000000	0.7278306	0.4561856	0.7200285	0.7550836	0.0194200

0	1.0000000	0.7278304	0.4562909	0.7185472	0.7544754	0.0194200
50	0.5175426	0.7007869	0.4864105	0.5813469	0.7537420	0.0198558
100	0.2113336	0.5372481	0.6310909	0.4111908	0.7391355	0.0402761
150	0.1216970	0.3217517	0.7849625	0.2857828	0.7010285	0.1665894
200	0.1000149	0.1771135	0.8872072	0.1997886	0.6556340	0.2092764
250	0.0952004	0.1065970	0.9440887	0.1455129	0.6158783	0.1430039
300	0.0941804	0.0774646	0.9730683	0.1138435	0.5841243	0.0800573
350	0.0939704	0.0665354	0.9870893	0.0964408	0.5591178	0.0459946
400	0.0939280	0.0626777	0.9936490	0.0872898	0.5399478	0.0309782
450	0.0939195	0.0613702	0.9966472	0.0826342	0.5261234	0.0249119
500	0.0939178	0.0609391	0.9979946	0.0803258	0.5168749	0.0225305
550	0.5763749	0.1304525	0.9912123	0.1284004	0.5162166	0.0222973
600	0.8825839	0.3707099	0.9042728	0.1896453	0.5337635	0.0218574
650	0.9722204	0.5633408	0.7566111	0.2505135	0.5631296	0.0205981
700	0.9939025	0.6618975	0.6300247	0.3311947	0.6019816	0.0198764
750	0.9987171	0.7035095	0.5479803	0.4286844	0.6441138	0.0195783
800	0.9997370	0.7193299	0.5018797	0.5226400	0.6815115	0.0194714
850	0.9999470	0.7249662	0.4780564	0.5971578	0.7097543	0.0194360
900	0.9999894	0.7268896	0.4663861	0.6483983	0.7286751	0.0194248
950	0.9999979	0.7275270	0.4608722	0.6802120	0.7402943	0.0194214
1000	0.9999996	0.7277339	0.4583328	0.6985488	0.7469896	0.0194204

0	1.0000000	0.7278304	0.4562909	0.7185472	0.7544754	0.0194200
50	1.0000000	0.7764543	0.4562809	0.7187208	0.7545509	0.0194200
100	1.0000000	0.8204060	0.4562766	0.7188004	0.7545869	0.0194200
150	1.0000000	0.8398017	0.4562747	0.7188365	0.7546038	0.0194200
200	1.0000000	0.8469646	0.4562739	0.7188527	0.7546117	0.0194200
250	1.0000000	0.8494135	0.4562736	0.7188599	0.7546154	0.0194200
300	1.0000000	0.8502177	0.4562735	0.7188631	0.7546171	0.0194200
350	1.0000000	0.8504758	0.4562734	0.7188645	0.7546179	0.0194200
400	1.0000000	0.8505575	0.4562734	0.7188651	0.7546182	0.0194200
450	1.0000000	0.8505831	0.4562734	0.7188653	0.7546184	0.0194200
500	1.0000000	0.8505912	0.4562734	0.7188655	0.7546185	0.0194200
