"Time"	fur	rcnR	metJ	metR	metA	metH

0	0.7933334	0.5678378	0.4090255	0.5650157	0.5677745	0.0123163
50	0.6609432	0.6297533	0.2787631	0.4621557	0.7152374	0.0145526
100	0.8012363	0.5741334	0.2712078	0.5609950	0.6266576	0.0081861
150	0.7094213	0.5590432	0.2169399	0.6564710	0.5422330	0.0307238
200	0.7423302	0.5691998	0.2265613	0.6383143	0.5849401	0.0312743
250	0.8408757	0.6260376	0.3119085	0.6007966	0.6079698	0.0205590
300	0.9476987	0.6443576	0.2561439	0.6322789	0.5696299	0.0464980
350	0.7892672	0.6406418	0.2054479	0.5431183	0.5452259	0.0514468
400	0.7187204	0.5839016	0.3369778	0.6637418	0.6669094	0.0236369
450	0.7872268	0.4503956	0.3675912	0.5352778	0.6311828	0.0416226
500	0.7777736	0.5178096	0.3485702	0.5991569	0.5929045	0.0105849
550	0.7658368	0.6385976	0.3093972	0.5475188	0.6762406	0.0256710
600	0.7487323	0.5917050	0.2981401	0.6121254	0.5530261	0.0081115
650	0.9290522	0.5212368	0.3732713	0.6811487	0.5968936	0.0212810
700	0.8321227	0.6018117	0.2631077	0.5066590	0.5838408	0.0280665
750	0.5791840	0.5466396	0.3321665	0.5285744	0.5982058	0.0204286
800	0.6984904	0.5943614	0.3845627	0.6172355	0.6809954	0.0172838
850	0.8277889	0.6169502	0.3802936	0.5944055	0.5886119	0.0231024
900	0.7779417	0.6434033	0.3026702	0.5238395	0.4981477	0.0215288
950	0.7977226	0.5744550	0.3724105	0.6176301	0.4675023	0.0078855
1000	0.7766198	0.5136920	0.2773246	0.6311471	0.4726529	0.0509199

0	0.6370657	0.6026597	0.4152666	0.6012587	0.7700772	0.0386608
50	0.3642065	0.5823799	0.5326477	0.3708438	0.6606376	0.0386105
100	0.2015358	0.3738186	0.6211528	0.3177621	0.6535280	0.0350141
150	0.0874892	0.2434862	0.6427673	0.1854081	0.5733109	0.1615173
200	0.0736580	0.1043062	0.6852273	0.1370530	0.4740002	0.1149304
250	0.0577901	0.1065587	0.7275073	0.0894379	0.4435027	0.0734200
300	0.1218993	0.0492395	0.7727601	0.0937814	0.4206915	0.0133659
350	0.0532085	0.0333173	0.6318925	0.0477644	0.3578851	0.0362567
400	0.0602710	0.1364097	0.7507159	0.0790213	0.3450664	0.0115548
450	0.0394316	0.0496043	0.8318833	0.0696828	0.3168357	0.0100829
500	0.0782281	0.0542550	0.8069254	0.0803058	0.4170666	0.0296214
550	0.4689303	0.1362581	0.9149144	0.0935463	0.3854255	0.0287494
600	0.6827927	0.2215864	0.7522557	0.2280656	0.4165209	0.0087034
650	0.7678031	0.4103329	0.6150027	0.2213836	0.3074939	0.0033755
700	0.6616740	0.4674700	0.5313294	0.2742764	0.4037683	0.0026285
750	0.7709589	0.6355908	0.4856522	0.3116788	0.5132803	0.0174042
800	0.8603333	0.4323495	0.4819679	0.3649529	0.5690100	0.0234821
850	0.6921450	0.5598844	0.4192763	0.4863267	0.5801700	0.0285660
900	0.8251232	0.5982717	0.4771306	0.4517303	0.6533527	0.0112507
950	0.7507040	0.5260436	0.3112143	0.4624241	0.6381720	0.0374381
1000	0.7221640	0.5827721	0.4548251	0.5698127	0.5836762	0.0047569

0	0.6936462	0.5540868	0.4241572	0.5967807	0.6340196	0.0048050
50	0.5561692	0.6490061	0.4751931	0.4679101	0.5816408	0.0115187
100	0.9784412	0.6872579	0.4899457	0.4493433	0.6173478	0.0198397
150	0.7338153	0.6084950	0.3639063	0.5916976	0.5734648	0.0211756
200	0.8978968	0.6096641	0.4459648	0.4576869	0.5823471	0.0099045
250	0.8619655	0.5743726	0.5062071	0.5224899	0.6597825	0.0080783
300	0.6953268	0.6539189	0.3978550	0.5409801	0.5678674	0.0334138
350	0.6741094	0.6183239	0.4684722	0.4158385	0.4888656	0.0212008
400	0.7282889	0.6980331	0.3927551	0.4452943	0.4666754	0.0043301
450	0.7262901	0.5716451	0.4173887	0.5528159	0.5605843	0.0256775
500	0.8229611	0.6979071	0.4310630	0.5488643	0.5843485	0.0028719
550	0.7644651	0.7311163	0.2791246	0.5181511	0.5800267	0.0243424
600	0.6982111	0.7333272	0.3528945	0.5057514	0.5766909	0.0041216
650	0.8547911	0.6733279	0.4367179	0.4159033	0.6752461	0.0155574
700	0.8017085	0.5267885	0.3838226	0.5516483	0.5914035	0.0057040
750	0.7558369	0.5753591	0.3726833	0.5195206	0.6415671	0.0305770
800	0.8619939	0.5538878	0.4505041	0.5657251	0.6023513	0.0314248
850	0.7625007	0.5489873	0.4440736	0.5212469	0.6061436	0.0145959
900	0.6661687	0.6250037	0.3988901	0.5927358	0.6604589	0.0073180
950	0.8260494	0.5202704	0.3246844	0.7492087	0.6991944	0.0077759
1000	0.8922282	0.5180566	0.3282685	0.7919974	0.6647473	0.0110680

0	0.8080737	0.4670770	0.3263013	0.6397529	0.6561127	0.0098711
50	0.7296282	0.5142989	0.2711696	0.5784978	0.5378597	0.3452495
100	0.7307412	0.5438617	0.3465678	0.6149903	0.4456532	0.5728823
150	0.6092995	0.5467418	0.2791972	0.5593667	0.2848740	0.7430183
200	0.7578544	0.5405136	0.3248157	0.5250020	0.4016994	0.7476207
250	0.7457344	0.5422565	0.3620506	0.4675102	0.2417045	0.8731075
300	0.7386589	0.5241354	0.3168687	0.4702228	0.2463886	0.6744008
350	0.7600734	0.5756835	0.3774648	0.4775023	0.3260999	0.5540761
400	0.7116414	0.5716905	0.3722584	0.3591229	0.3054273	0.7641679
450	0.8760432	0.6832294	0.3753217	0.4227314	0.3416238	0.6302873
500	0.8200461	0.5986500	0.4459784	0.3581068	0.2241183	0.7068803
550	0.6942730	0.5552032	0.4123028	0.5322386	0.4776334	0.3590094
600	0.7486995	0.4810457	0.4441865	0.3132608	0.5371445	0.1595994
650	0.8684625	0.5238324	0.3251593	0.4993958	0.6249190	0.0539664
700	0.7564742	0.5495758	0.3244733	0.5342942	0.4520061	0.0136679
750	0.6515708	0.6227006	0.4104454	0.5885383	0.5462808	0.0125201
800	0.5849642	0.6546447	0.4867703	0.5194572	0.6654393	0.0131435
850	0.7524888	0.6073587	0.4649580	0.6220582	0.5598327	0.0378816
900	0.8024723	0.5589722	0.6219435	0.4484514	0.5556385	0.0205800
950	0.8201182	0.4914178	0.4425728	0.6316302	0.6884268	0.0351697
1000	0.7008810	0.6011691	0.4998318	0.4460762	0.6605257	0.0394893

