"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"1"	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9873	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9880	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9733	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9928	9765	4767.5	4767.5	4767.5	4767.5	9954	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9576	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9768	4767.5	9612	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5
"2"	9675	4767.5	4767.5	9841	4767.5	4767.5	4767.5	9854	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9537	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5
"3"	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5
"4"	9666	9872	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9557	9804	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9870	9648	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9585	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5
"5"	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9688	4767.5	4767.5	4767.5	9843	4767.5	4767.5	9719	4767.5	9579	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9727	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9850	9565	4767.5
"6"	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9903	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5
"7"	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5
"8"	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9655	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9721	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9753	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5
"9"	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9875	4767.5	4767.5	9812	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9658	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9858	4767.5	4767.5	4767.5	4767.5	4767.5	9998	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5
"10"	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9816	4767.5	9744	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9972	9863	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	9539	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5	4767.5
