"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	0.5989414	0.6174743	0.1992287	0.3234817	0.2251110	0.6462779	0.7473192	0.0676748	0.7871314	0.0810958	0.6418277	0.5564261	0.6972660	0.1272961	0.2388824	0.6874424	0.2215179	0.2699946	0.8913890	0.6491974	0.6764738	0.4935859	0.0912035	0.5748606	0.0212492	0.4981701	0.5030805	0.6771109	0.6726443	0.5790033	0.0015077	0.1778931	0.2661037	0.3504508	0.3319123	0.4654462	0.7284904	0.3741858	0.6775894	0.5731403	0.1095510	0.5079212	0.5979556	0.7196064	0.7279888	0.5477715	0.4727683	0.5478141	0.7780746	0.1040993	0.6318568	0.0668405	0.4731294	0.5835342	0.8264789	0.1741266	0.1012731	0.0151820	0.7269286	0.0208800	0.0511360	0.8257887	0.2245645	0.5542062	0.3208171	0.5787087	0.6651455	0.0312463	0.3311149	0.5952374	0.6547781	0.5986019	0.6568085	0.7121944	0.8232969	0.6834464	0.4417948	0.1929609	0.7271742	0.6759104	0.7288233	0.0344055	0.0353297	0.7571154	0.5208654	0.6991103	0.2944990	0.7745233	0.4387985	0.1548376	0.6548932	0.0957980	0.3915466	0.1105115	0.3999096	0.5751996	0.6876700	0.2082705	0.7111940	0.8677139
100	0.7516649	0.6534340	0.1318748	0.5019159	0.2846676	0.3375550	0.6410273	0.0181032	0.6813398	0.0487558	0.7886389	0.6668620	0.6220147	0.4739598	0.0514639	0.7137886	0.1347535	0.1002901	0.6668104	0.5988311	0.5049503	0.5730674	0.0049402	0.6468441	0.0267636	0.4385772	0.6926838	0.7016954	0.7087646	0.6719801	0.0021222	0.1793320	0.2287182	0.4009202	0.4324289	0.2806169	0.6322148	0.3388113	0.6208117	0.6100633	0.2592686	0.6822115	0.6976359	0.3542737	0.6475212	0.4993954	0.5715726	0.4495472	0.2207506	0.1016397	0.7541998	0.0334592	0.4889432	0.6015692	0.7434117	0.1802903	0.0852778	0.2474463	0.3928664	0.0359860	0.0231243	0.7384071	0.3179429	0.5489642	0.6176375	0.6426339	0.7250722	0.0379389	0.4776436	0.5275932	0.5698282	0.4052973	0.6458645	0.7879669	0.6510331	0.5332508	0.3496992	0.2001130	0.5540836	0.5928011	0.8069265	0.2188299	0.1853174	0.6263272	0.4724948	0.6430464	0.2430003	0.6455600	0.3414088	0.2422217	0.6275014	0.1405572	0.6150572	0.1553537	0.5995023	0.4963884	0.6518008	0.3029669	0.5868474	0.8271783
200	0.6334723	0.7610150	0.1295799	0.5681628	0.3883094	0.3242166	0.7345572	0.0216339	0.7435035	0.1239735	0.5998655	0.5013873	0.5117156	0.3578216	0.0208260	0.7256857	0.1561881	0.0666785	0.6989343	0.3747851	0.3651883	0.6188153	0.0001204	0.6491920	0.0295405	0.5806692	0.6243430	0.6910727	0.7147429	0.7288642	0.0000675	0.2380014	0.2387367	0.3585500	0.4561350	0.3517644	0.6605228	0.3120780	0.6321723	0.5610894	0.2291541	0.7093374	0.7034456	0.3153235	0.6750698	0.6792885	0.6128556	0.2131525	0.2086920	0.0955542	0.7058459	0.0537539	0.4127760	0.4670389	0.5929863	0.2156221	0.0532639	0.1796936	0.3640807	0.0807520	0.0180531	0.6770846	0.2253312	0.5147649	0.5718639	0.7179118	0.6462154	0.0552023	0.4155685	0.5431365	0.6723133	0.4934107	0.5602635	0.7987246	0.5817998	0.6208452	0.4910755	0.2405646	0.7369829	0.5644811	0.7169407	0.1719619	0.1400968	0.6497131	0.5318605	0.7174708	0.2791035	0.6710076	0.3516806	0.2391149	0.5548267	0.1357212	0.7230963	0.2053480	0.6499951	0.4900140	0.6201601	0.3701089	0.6365246	0.8012753
300	0.6515294	0.6692412	0.1134248	0.4582305	0.2884734	0.3671134	0.7243511	0.2359601	0.7031373	0.0626578	0.6885069	0.6156045	0.4717493	0.4806122	0.0315339	0.7371715	0.1051532	0.0419388	0.9035980	0.3686643	0.3002818	0.6523216	0.0006843	0.6884844	0.0152202	0.5189045	0.5431061	0.7264033	0.6743839	0.6211442	0.0001520	0.2356684	0.2357622	0.3375082	0.4892435	0.2644968	0.6370197	0.3783568	0.5999546	0.6244211	0.2339780	0.6668305	0.8571610	0.3921216	0.6289921	0.4820072	0.5913958	0.2075940	0.0926569	0.1674700	0.7080881	0.0212004	0.4487079	0.5282386	0.7159368	0.2385141	0.0482421	0.2492335	0.3700306	0.1356525	0.0604839	0.8274568	0.2348096	0.6635830	0.6333786	0.7690148	0.6020580	0.0218637	0.3360741	0.4315719	0.7445157	0.5135157	0.5486867	0.7020864	0.7600521	0.5798987	0.5470813	0.2105278	0.6040392	0.8189720	0.6562899	0.1890110	0.1772653	0.6447674	0.6111679	0.5011996	0.3359891	0.5852887	0.3886158	0.2535992	0.5321464	0.2031353	0.6841145	0.1944684	0.5893563	0.3906606	0.7180321	0.3124441	0.5788171	0.6847494
400	0.6481085	0.6321827	0.1855120	0.5065695	0.2827187	0.3153418	0.6734166	0.0956581	0.6608351	0.0780068	0.7239555	0.6512192	0.5326481	0.3936144	0.0256364	0.8042298	0.1102230	0.0459352	0.5781379	0.4131749	0.3082345	0.4125002	0.0100323	0.6450173	0.0172146	0.5243591	0.6338724	0.6441870	0.6814344	0.6364624	0.0036345	0.2429631	0.1958129	0.3392201	0.4114954	0.3079732	0.6668287	0.4020985	0.6837411	0.6223247	0.2070816	0.6679681	0.8567433	0.2743284	0.7830485	0.5525219	0.4705468	0.1664700	0.1476624	0.0939228	0.7890704	0.0931208	0.6097399	0.4380115	0.7451987	0.1936357	0.0898837	0.2633992	0.3694217	0.0954525	0.0604936	0.7354855	0.2232165	0.5485355	0.5331882	0.6638934	0.7298925	0.0128683	0.4587833	0.5152090	0.7324153	0.4050022	0.6053891	0.7860003	0.8069873	0.6712786	0.3034118	0.2887664	0.7254297	0.7743459	0.6077530	0.1401722	0.1626626	0.5853155	0.5526301	0.5850765	0.3232649	0.6959120	0.3436265	0.2925950	0.4548093	0.1666610	0.5808890	0.1436361	0.6192419	0.3737244	0.7653467	0.3303714	0.4926118	0.7344807
500	0.7857589	0.5873423	0.0807984	0.5018544	0.3736145	0.3314501	0.6095569	0.1809285	0.5433137	0.0645615	0.6845803	0.5602887	0.5336705	0.5330100	0.0150429	0.6445589	0.1946221	0.0410497	0.7079372	0.3696831	0.4068075	0.5585383	0.0014129	0.6986296	0.0417717	0.5573450	0.6234605	0.8360911	0.6543419	0.5729612	0.0001863	0.1485136	0.2713611	0.3885028	0.3814007	0.3873684	0.7381729	0.4489721	0.6340546	0.5900665	0.2203239	0.6768848	0.6442278	0.2901606	0.6053414	0.7399593	0.4568472	0.1465530	0.1229686	0.1285741	0.8239454	0.0301336	0.6376783	0.5018806	0.6082430	0.1195505	0.0406712	0.2366735	0.3912675	0.1275004	0.0470088	0.5629730	0.2882122	0.5092931	0.5926566	0.6061184	0.5666193	0.0509824	0.4433190	0.3924093	0.6415975	0.4413254	0.5253002	0.6688967	0.6787042	0.5918658	0.4530791	0.2360468	0.8518421	0.7442350	0.7612716	0.1834806	0.1390495	0.6356945	0.5834715	0.5896317	0.2587084	0.6587260	0.3463084	0.3083982	0.4660441	0.2241361	0.6971125	0.1276853	0.7815909	0.3213090	0.6041797	0.3031190	0.6306811	0.6502460
600	0.6418120	0.6209879	0.0785550	0.4878571	0.3496434	0.6361730	0.7153714	0.1651796	0.7269944	0.0522620	0.5983534	0.5678726	0.7916980	0.0804364	0.2359263	0.6022935	0.2316568	0.2444307	0.6577404	0.5605102	0.7262936	0.4540522	0.0729329	0.7057266	0.0255455	0.5621212	0.4909762	0.6394663	0.7114389	0.5952636	0.0025126	0.1676545	0.2676333	0.3549362	0.3547581	0.4194978	0.6454924	0.3624717	0.6115629	0.5068626	0.1833016	0.5024894	0.6473513	0.7526207	0.7490587	0.6082087	0.5493936	0.3027309	0.4683168	0.1013654	0.7687393	0.0156863	0.4047620	0.6123765	0.7781910	0.1709250	0.0801490	0.0200699	0.7385032	0.0337223	0.0457822	0.7743563	0.2605041	0.4746342	0.3526531	0.7154640	0.6411729	0.0289286	0.3383491	0.5111265	0.6882993	0.4825551	0.5858776	0.6281575	0.7102181	0.6406605	0.3433802	0.2208622	0.7729041	0.8338328	0.7146511	0.0393907	0.0415666	0.7982054	0.5382280	0.5323926	0.3001836	0.6820970	0.3882693	0.1454499	0.6375541	0.1938975	0.4094952	0.1643087	0.4576675	0.3910210	0.7352607	0.1458101	0.6879023	0.8872907
700	0.5789184	0.5959515	0.1075896	0.3683648	0.2512206	0.8598315	0.7372274	0.0641866	0.7341972	0.0685765	0.7565427	0.4733649	0.7102456	0.1047412	0.1339091	0.6165778	0.1800970	0.2220842	0.8285292	0.5331860	0.5768615	0.4266274	0.0651682	0.8922561	0.0172385	0.5728354	0.5924833	0.7333324	0.6555655	0.7518620	0.0035380	0.2074198	0.2902343	0.3797592	0.3316899	0.4579719	0.7142122	0.4436787	0.6319999	0.5088761	0.0999196	0.4194725	0.7073446	0.7632941	0.6991260	0.5879500	0.5223353	0.5523276	0.7627659	0.0875938	0.8288799	0.0436105	0.4171743	0.5881210	0.6739320	0.1730174	0.1127353	0.0128485	0.5918157	0.0306085	0.0086378	0.8199967	0.3526993	0.5345995	0.2995557	0.6370560	0.6857020	0.0429399	0.4049720	0.6230730	0.7291892	0.4902462	0.6289248	0.6135947	0.6659076	0.6834880	0.5254400	0.1939125	0.6978350	0.7532442	0.7152293	0.0561249	0.0354775	0.7116911	0.4705814	0.7177739	0.2484643	0.7195673	0.2689795	0.2124654	0.6124772	0.1080951	0.4163152	0.1464225	0.3202498	0.3980123	0.9050488	0.2543244	0.6752549	0.7444684
800	0.6575911	0.7240068	0.1036257	0.3148603	0.4172628	0.6133244	0.7251905	0.0446947	0.7600989	0.1061812	0.7537750	0.5699038	0.7141501	0.0318020	0.1413055	0.6946003	0.1159741	0.2657602	0.6359464	0.6282170	0.8138977	0.5856474	0.0550232	0.7562862	0.0206701	0.4960195	0.4672086	0.6200293	0.6800087	0.6598951	0.0007797	0.2667538	0.2415931	0.3719547	0.4332159	0.5062170	0.7543191	0.2859726	0.7509626	0.5714343	0.1036843	0.6212198	0.7167475	0.7018533	0.7637777	0.4972485	0.5633314	0.6833653	0.7935427	0.1082598	0.7384063	0.0396804	0.5015946	0.5502713	0.6525728	0.3372312	0.0625806	0.0206988	0.6630071	0.0135121	0.0194175	0.6935820	0.3399928	0.6254827	0.3245563	0.5564615	0.6910338	0.0146603	0.5504080	0.4839170	0.7602792	0.4103884	0.5585859	0.5721672	0.6579625	0.6325305	0.4597316	0.2264557	0.6946886	0.7278625	0.7449816	0.0228354	0.0408187	0.6364934	0.5702378	0.6906100	0.2966537	0.6358805	0.3637790	0.1670581	0.7191910	0.1048603	0.3809148	0.1141848	0.4194669	0.4635961	0.6262412	0.2715410	0.7145128	0.7398095
