YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.6412656	0.5828468	0.1398776	0.4040521	0.3497936	0.6775894	0.6903533	0.0256209	0.7150912	0.0902910	0.7487017	0.4709342	0.6541140	0.0611315	0.2128627	0.9123324	0.1113234	0.2444834	0.7092930	0.3746252	0.7370867	0.3504966	0.0000000	0.7213139	0.0277265	0.4796626	0.5824588	0.8017990	0.8139410	0.6822239	0.0114232	0.2323054	0.2022080	0.4150414	0.4019036	0.4809344	0.6978759	0.0000000	0.7199421	0.6853059	0.1123483	0.4957928	0.6995316	0.6526698	0.6309989	0.5899323	0.4871383	0.7603108	0.6758421	0.1283523	0.5892305	0.0495170	0.5473604	0.3470243	0.6468518	0.2487069	0.1072071	0.0262225	0.7250579	0.0479173	0.0327712	0.7117921	0.1514467	0.6499913	0.3589633	0.7512968	0.6638270	0.0646966	0.4502047	0.6053859	0.6901701	0.5025250	0.6460469	0.6246613	0.7248424	0.6958391	0.3685890	0.3097464	0.7084304	0.7780396	0.6408022	0.3235854	0.0365434	0.6361471	0.6379536	0.4380805	0.2834933	0.7250496	0.3455019	0.1216708	0.5867023	0.1509871	0.4651303	0.1679679	0.2829437	0.4048327	0.7073366	0.1095328	0.6007870	0.7735775
0.7278517	0.6010177	0.1574836	0.4417872	0.3211635	0.7313664	0.6284653	0.0479801	0.5933186	0.0544030	0.7197299	0.2876625	0.6211955	0.7060327	0.1939043	0.6762008	0.1507878	0.3006674	0.8086341	0.8179891	0.5701234	0.5771394	0.3217914	0.6320812	0.0178044	0.5551295	0.6712987	0.6289064	0.6397228	0.7914196	0.0120828	0.2252575	0.0022890	0.0000000	0.0697053	0.4817819	0.7991114	0.0000000	0.7031971	0.5512862	0.1290571	0.6044819	0.6893031	0.7185446	0.7208060	0.4153210	0.5194501	0.7050850	0.7595272	0.0939690	0.7001921	0.0373906	0.4619774	0.4301199	0.7090238	0.2088544	0.1279388	0.0109939	0.5191861	0.0265487	0.0285971	0.8352875	0.2655389	0.6055016	0.3646980	0.6412355	0.7432107	0.0204863	0.5072811	0.5462429	0.6758652	0.5024897	0.6690501	0.7747278	0.5809334	0.6997641	0.4164735	0.2313668	0.6170222	0.6940414	0.7049815	0.6095299	0.2725841	0.6875427	0.6936158	0.7221567	0.3686345	0.7396325	0.3034553	0.0511164	0.7311837	0.4343956	0.4308483	0.0963779	0.4700359	0.3602499	0.6534498	0.0186220	0.4712473	0.6641588
0.6887750	0.5598544	0.1031303	0.4937974	0.3466550	0.7335463	0.6761453	0.0593841	0.7969718	0.0687931	0.6493896	0.3723586	0.6979445	0.6843031	0.0661806	0.7051089	0.4662488	0.2118599	0.7579359	0.6323182	0.6803296	0.5128338	0.1962239	0.6784650	0.1741564	0.3205870	0.3648006	0.8321841	0.6854029	0.6389257	0.1595448	0.2216272	0.0000000	0.3685007	0.0571669	0.4360465	0.5843563	0.3872662	0.7479985	0.6511542	0.0666739	0.5909611	0.7656193	0.7633403	0.6899270	0.5573267	0.5117821	0.5944743	0.7359787	0.1269925	0.7125187	0.0563867	0.3553896	0.5053649	0.6186451	0.2571938	0.0744785	0.0091193	0.6618522	0.0326833	0.0207186	0.5708579	0.1354015	0.6859902	0.3796222	0.8452728	0.8976287	0.0117929	0.4481562	0.5140911	0.7584288	0.5763134	0.7417647	0.7026025	0.6820001	0.5684421	0.4219346	0.1849773	0.0000000	0.7323945	0.7080544	0.0617836	0.2981594	0.6464427	0.6215905	0.7466521	0.3521521	0.5590992	0.2502548	0.2013443	0.5896114	0.3440341	0.4473476	0.3861683	0.4117830	0.4241730	0.6410265	0.1154008	0.5575356	0.7548584
0.7378055	0.7541506	0.2076339	0.3709817	0.2745876	0.8083595	0.7566662	0.0718077	0.5626366	0.0874754	0.7153904	0.4994624	0.7103545	0.6414003	0.2477018	0.6663298	0.1123891	0.3006054	0.7450151	0.4220682	0.7301910	0.4441724	0.0000000	0.8015922	0.0520617	0.4018555	0.5603865	0.6803639	0.7377327	0.6050004	0.0094897	0.1381160	0.0006469	0.0000000	0.0361629	0.4425019	0.5746179	0.5352569	0.7470891	0.6368687	0.0815206	0.5936479	0.6761033	0.7784196	0.7478887	0.6693670	0.4927739	0.7024410	0.7585200	0.1151582	0.7514232	0.0485885	0.6055065	0.5698469	0.6950662	0.1435339	0.0940848	0.0172276	0.8229135	0.0175007	0.0273981	0.6960104	0.2426076	0.7177384	0.4716736	0.7257798	0.7602819	0.0374299	0.4651128	0.4489877	0.6070390	0.5959960	0.6316483	0.7121618	0.6762181	0.5279678	0.4847149	0.3352074	0.7304689	0.7764685	0.6560774	0.1771031	0.3582724	0.6310846	0.4889881	0.5618962	0.3211567	0.6777012	0.4156677	0.2336435	0.8379846	0.2819406	0.3571595	0.1227194	0.4054250	0.4680981	0.6664654	0.0839973	0.5971511	0.6347434
0.6667177	0.7179096	0.1081419	0.3686308	0.3136169	0.6594492	0.7530956	0.7329130	0.7152368	0.1144892	0.7265017	0.4662252	0.6606371	0.0855360	0.1968726	0.7633210	0.1258661	0.2503223	0.6524651	0.3451809	0.6859307	0.4476892	0.0000000	0.7727499	0.0478457	0.4676645	0.6167563	0.6248984	0.7001432	0.7270550	0.0025589	0.2335923	0.3194456	0.3523264	0.2892348	0.5069946	0.7110470	0.3149569	0.6395944	0.5510075	0.2303735	0.6243308	0.7973842	0.6359935	0.8314115	0.5662664	0.5403929	0.6190991	0.6115966	0.1030805	0.7135634	0.0781103	0.4188382	0.6868931	0.7138971	0.1375801	0.0000000	0.0236235	0.5952716	0.0207235	0.0488575	0.7263075	0.2517106	0.5593472	0.3436108	0.7362127	0.7301646	0.0190829	0.4281515	0.4975421	0.7292010	0.3851594	0.5406324	0.6888897	0.8930284	0.6027862	0.3504617	0.2356168	0.6540636	0.7320100	0.6698239	0.0724122	0.0362338	0.4940264	0.6203173	0.5649677	0.2522039	0.7158148	0.4215354	0.3589897	0.6019677	0.1430134	0.3887831	0.1645335	0.2746475	0.5071007	0.5802785	0.2111570	0.6586669	0.8057792
0.6946381	0.5995340	0.1640324	0.3882841	0.2858266	0.5614266	0.7021201	0.0338966	0.7776984	0.1180917	0.6925894	0.6641322	0.6850487	0.0428712	0.3793709	0.7726946	0.1514236	0.2547745	0.6816249	0.0184918	0.8052732	0.3638530	0.0000000	0.7026107	0.0408011	0.5315540	0.0000000	0.6524828	0.7878983	0.5859824	0.0026243	0.2568085	0.2377637	0.3675887	0.3955440	0.5164205	0.8412827	0.4162930	0.7044723	0.6592664	0.0846482	0.5233162	0.6713386	0.7248324	0.7165398	0.5553503	0.4411724	0.6230851	0.7752067	0.1065647	0.8322587	0.0266886	0.6611063	0.4159376	0.8176099	0.1640211	0.1655247	0.0420201	0.6380217	0.0332917	0.0251150	0.6858402	0.1956399	0.5639738	0.3750427	0.7061207	0.7404363	0.0129371	0.3867868	0.5671244	0.7433672	0.4933165	0.5856961	0.6551159	0.6917229	0.7892779	0.4490449	0.2435919	0.7218527	0.6990464	0.7810792	0.0817406	0.0573214	0.6973277	0.7134871	0.5758081	0.2053152	0.6905827	0.3421052	0.2861509	0.5976606	0.2158467	0.3704319	0.1604707	0.4956142	0.5199798	0.6817332	0.4722218	0.6980606	0.6177485
0.7255837	0.6673527	0.1839951	0.4801151	0.3489729	0.7587168	0.7027209	0.0636524	0.6904968	0.0559840	0.6843938	0.5701401	0.5789917	0.0592774	0.2611828	0.6982565	0.1446014	0.2344926	0.7733388	0.0123061	0.0000000	0.0104927	0.0364512	0.7552177	0.0078340	0.5583860	0.0000000	0.6836220	0.7808626	0.6748033	0.0062224	0.1597720	0.2487876	0.3697407	0.4459540	0.4592885	0.7188356	0.2813634	0.7566289	0.6957810	0.1378516	0.5647158	0.5758817	0.7673214	0.5908570	0.5918691	0.5396726	0.7539770	0.6744623	0.0700407	0.6488952	0.0559231	0.6500209	0.5682722	0.7780898	0.1904596	0.0550919	0.0397890	0.7097153	0.0479554	0.0535351	0.6663581	0.2010714	0.7054719	0.3822825	0.6206700	0.8055921	0.0387124	0.4838850	0.4803356	0.7266014	0.4232653	0.8040073	0.6226129	0.9122976	0.6210210	0.3217961	0.3396870	0.6622488	0.7096405	0.7191038	0.0528898	0.0406861	0.7667595	0.5722039	0.5704730	0.3188427	0.6172576	0.3718144	0.1276180	0.6437152	0.6086957	0.3488577	0.1099122	0.3878017	0.3427484	0.7837594	0.6044479	0.7298518	0.7291107
0.7601828	0.5082523	0.1120132	0.3585019	0.3132347	0.8104547	0.7548172	0.0440868	0.6720412	0.0773579	0.8492541	0.6401466	0.6083374	0.0914026	0.1525823	0.7500141	0.1745586	0.2098208	0.7057482	0.4196188	0.0000000	0.0058771	0.0000000	0.7470850	0.0306538	0.4627410	0.5459547	0.7076400	0.6979035	0.6679756	0.0024586	0.2368990	0.2812715	0.3366031	0.3652256	0.5330593	0.6471335	0.4063267	0.7262191	0.6946448	0.1601175	0.4096622	0.6523610	0.6738411	0.6612723	0.4841642	0.4983142	0.5563376	0.8369746	0.0504473	0.6868339	0.1117949	0.3958713	0.5554324	0.7262898	0.2645698	0.1307100	0.0596023	0.7693617	0.0319083	0.0198532	0.7337085	0.2342999	0.5505743	0.4303511	0.7034264	0.6825685	0.0192266	0.3833154	0.5447005	0.6128040	0.5312155	0.6947261	0.7205910	0.6186065	0.8185538	0.3767316	0.2269213	0.7651601	0.7095334	0.7478965	0.0689748	0.0329274	0.6320895	0.6234612	0.6379628	0.3094818	0.7078832	0.4318964	0.3531601	0.5170823	0.2730520	0.3147077	0.1635822	0.4616229	0.5406340	0.7137702	0.5182219	0.6696096	0.6689537
0.7415181	0.5756639	0.2222691	0.3814470	0.2999414	0.7564349	0.6077848	0.0707898	0.7638568	0.0828467	0.6877797	0.3730241	0.6824841	0.7162588	0.0493611	0.6242875	0.0972060	0.3030275	0.5801336	0.7776283	0.8072182	0.4421584	0.2552352	0.7614843	0.0150510	0.4622672	0.5006056	0.7805533	0.7595533	0.7450779	0.1199128	0.1920875	0.0000000	0.4249555	0.0592091	0.4659765	0.6133439	0.3252208	0.6158316	0.6257963	0.1474642	0.4914813	0.7043312	0.7002699	0.6135720	0.5451671	0.4211485	0.8392757	0.7488907	0.1000569	0.7736590	0.0846208	0.5265845	0.4143213	0.6492824	0.1947927	0.0858705	0.0105525	0.6348245	0.0485105	0.0220983	0.7290566	0.3288793	0.5596681	0.0000000	0.7412109	0.8380301	0.0302467	0.4866421	0.5279190	0.6481160	0.4157930	0.6860399	0.6977758	0.6074175	0.6118687	0.3861635	0.2616634	0.6871315	0.7378264	0.7618269	0.1389292	0.3293271	0.7228277	0.4609640	0.7689672	0.3755450	0.6853040	0.3150493	0.3315534	0.6703564	0.3180687	0.3742739	0.0693335	0.3857141	0.5417555	0.6895066	0.0630353	0.5779168	0.7509737
0.6769704	0.6445545	0.1537340	0.2944155	0.3575636	0.8046038	0.7556143	0.0297738	0.6693041	0.0994737	0.7018333	0.5612974	0.0000000	0.0376129	0.2402716	0.7210293	0.1553603	0.2304402	0.7135558	0.2901764	0.6849208	0.4590058	0.0000000	0.7393886	0.0309471	0.5880756	0.4158540	0.6717073	0.6749101	0.6827857	0.0300493	0.1778224	0.2301098	0.3842875	0.4003031	0.4475906	0.7527888	0.4378913	0.7968989	0.6036355	0.1138219	0.4705385	0.6120286	0.9046402	0.6172655	0.5490495	0.4125404	0.6830067	0.7811011	0.0762912	0.6015532	0.0580771	0.6353380	0.4036212	0.6626758	0.1736577	0.1311487	0.0282339	0.6796727	0.0258464	0.0194983	0.7698087	0.2235289	0.5819005	0.4037526	0.5133890	0.6806487	0.0494038	0.3985117	0.4608880	0.6698144	0.5094863	0.6041966	0.5993267	0.6426747	0.6970658	0.5157526	0.2984503	0.6846333	0.7614034	0.6036642	0.0556676	0.0575786	0.6005198	0.5337535	0.5128887	0.3252577	0.7438245	0.3303584	0.3380072	0.6414885	0.1088465	0.3791847	0.1454006	0.4517158	0.5506573	0.7500581	0.2755981	0.6137238	0.6635606
