YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.2959472	0.6694714	0.2517858	0.2751114	0.5414349	0.7595731	0.7918369	0.1131796	0.6602830	0.2538277	0.7409301	0.6148150	0.6997699	0.0927870	0.1626712	0.7314934	0.1372110	0.1703410	0.8004860	0.6840035	0.6934752	0.4606052	0.1000754	0.6376680	0.0131485	0.4414340	0.6162717	0.6749216	0.6959942	0.7645510	0.0042397	0.1860052	0.1808862	0.3991018	0.3597777	0.3664265	0.8223537	0.3245845	0.7401981	0.5089208	0.1063183	0.5166182	0.6672258	0.6277074	0.7148315	0.6004882	0.4542273	0.6391446	0.6567180	0.1005059	0.8726570	0.0514046	0.6863368	0.3065988	0.6678431	0.1876339	0.0677352	0.0086614	0.6835348	0.0596943	0.0667318	0.8833026	0.2884311	0.7235656	0.4549571	0.6172368	0.6585296	0.0209695	0.4893581	0.4902019	0.7852934	0.5788097	0.6324496	0.7781837	0.7672142	0.6043939	0.3745491	0.3349524	0.7674813	0.7043357	0.6512719	0.0586466	0.0390900	0.7684273	0.5657764	0.6311048	0.2562057	0.7493100	0.4256520	0.2067602	0.8044383	0.1481945	0.4463099	0.1297067	0.4994488	0.4556528	0.7460045	0.2038918	0.6417579	0.7989265
0.7020273	0.2857223	0.1721142	0.3827597	0.2816454	0.8370019	0.6989600	0.0258740	0.6929052	0.0898611	0.6122461	0.5448507	0.6432299	0.1189898	0.1753185	0.7229225	0.1453603	0.2750031	0.7003184	0.5901506	0.6751152	0.4991648	0.0756126	0.7427969	0.0294448	0.6064534	0.5320552	0.6940308	0.6514020	0.7638097	0.0061366	0.2134098	0.2411526	0.3268835	0.3941239	0.4534055	0.7248717	0.3800173	0.6430462	0.7407630	0.1552853	0.5940865	0.6465893	0.7108303	0.6283412	0.5814990	0.4780129	0.6864918	0.6127339	0.1171928	0.7718018	0.0781540	0.4371322	0.7072404	0.7848383	0.1862473	0.0680510	0.0675657	0.9166079	0.0453953	0.0207245	0.6859239	0.2282580	0.6333585	0.4719840	0.7227026	0.7698076	0.0306612	0.4438214	0.6199193	0.6595754	0.5125274	0.6424220	0.7213411	0.7373916	0.7029756	0.4573464	0.2176776	0.7565912	0.7060230	0.7490304	0.0822185	0.0591646	0.6637801	0.4927158	0.7085775	0.3158050	0.8331739	0.3398032	0.2293052	0.6939926	0.1512559	0.4233260	0.1742050	0.3753766	0.4154220	0.8153660	0.2355933	0.6154226	0.6558923
0.7321690	0.7021995	0.0553775	0.2701215	0.2982424	0.6906405	0.7078625	0.0695004	0.6545622	0.0768631	0.5091785	0.5254930	0.7489045	0.0593439	0.1198101	0.6816884	0.1705894	0.2246548	0.6268071	0.7223237	0.6111366	0.4012671	0.0951109	0.6900561	0.0228875	0.5031393	0.5934748	0.6301427	0.6840894	0.7043350	0.0015808	0.1493948	0.2784279	0.2607249	0.3301994	0.4194077	0.7999994	0.4229638	0.6198280	0.5582381	0.0673437	0.4076688	0.7602381	0.7934277	0.9050118	0.5315036	0.4656535	0.6374255	0.7188910	0.1028308	0.8000458	0.0454639	0.5858643	0.5228181	0.6856494	0.1633411	0.0567782	0.0232245	0.7573192	0.0351125	0.0127516	0.7627687	0.2206279	0.5948491	0.2650360	0.6113763	0.6453905	0.0123943	0.5537102	0.5211876	0.6890715	0.4883117	0.4980344	0.7014902	0.6748384	0.5808109	0.4254336	0.2121078	0.6415157	0.7226853	0.6914834	0.0741483	0.0187287	0.6045811	0.5374850	0.5814033	0.2633181	0.6245941	0.3200214	0.1671903	0.5732768	0.0881863	0.3500294	0.0961884	0.4075552	0.3691740	0.7052409	0.1991544	0.6836729	0.7281513
0.7796318	0.5344415	0.2478681	0.1848804	0.2636035	0.6125736	0.6313285	0.0477224	0.6725081	0.0753479	0.8225763	0.6003209	0.7822733	0.0542084	0.0897512	0.6956358	0.1622723	0.1516484	0.7387756	0.6808022	0.5583128	0.4472663	0.0825673	0.6837208	0.0315677	0.4928096	0.4241263	0.6914114	0.7976027	0.7594503	0.0188242	0.2711602	0.2042462	0.3568342	0.3342876	0.4727576	0.6185462	0.3816793	0.7178230	0.6548466	0.1399245	0.5009925	0.6593005	0.7581937	0.6219510	0.5548636	0.5731363	0.6569402	0.6337560	0.0702244	0.5972004	0.0270224	0.6032381	0.5861074	0.7289452	0.2181221	0.0515090	0.0581285	0.7427984	0.0533808	0.0380017	0.7574439	0.2014354	0.5685626	0.4307651	0.7203101	0.7560138	0.0105767	0.4369436	0.5534421	0.6746394	0.5153983	0.5531918	0.7130472	0.7348784	0.7213054	0.4102418	0.2513996	0.6364578	0.5177899	0.7943837	0.0511358	0.0556410	0.6407592	0.6146969	0.6222655	0.2972802	0.6321627	0.3566912	0.1965229	0.5434246	0.1443154	0.2782628	0.1167520	0.3830379	0.5112370	0.6495574	0.1406973	0.7985328	0.7220890
0.7686682	0.6083970	0.1602912	0.3926217	0.1583823	0.8174119	0.6456242	0.0327941	0.7638359	0.0929503	0.7034494	0.4839973	0.6147352	0.1114814	0.0975170	0.7022671	0.2089529	0.3341076	0.7537026	0.5614673	0.6080902	0.4786088	0.0787922	0.6998872	0.0364196	0.6159263	0.4418583	0.7402999	0.6714534	0.7729543	0.0212167	0.1570659	0.2489780	0.3178198	0.2953931	0.4693908	0.6538395	0.2956475	0.7315454	0.4926363	0.1350433	0.4987874	0.6744930	0.6292927	0.5910997	0.5411358	0.3787428	0.7756904	0.5355315	0.0977464	0.7104276	0.0417190	0.6995259	0.3160818	0.7095806	0.1659270	0.1374240	0.0339848	0.6175793	0.0334522	0.0165519	0.6948366	0.2287314	0.6691485	0.3114853	0.6374502	0.5907850	0.0227944	0.4927068	0.4410881	0.8149487	0.4739374	0.6233938	0.6533541	0.7745834	0.7025791	0.3311343	0.3020084	0.6562298	0.8476696	0.8098377	0.0485257	0.0545319	0.6692487	0.6416183	0.6375841	0.2956397	0.7040075	0.3065833	0.1411632	0.6566205	0.1646773	0.4048507	0.1999841	0.4551386	0.4309419	0.8003954	0.1729456	0.7839980	0.7093690
0.8987494	0.5779493	0.2025681	0.3550233	0.2571666	0.3510122	0.6595586	0.2234414	0.5855816	0.0580996	0.7859663	0.6152864	0.6329111	0.0913509	0.1917396	0.7150204	0.1192530	0.2926686	0.6785734	0.7413125	0.7232129	0.5231814	0.0569851	0.5987536	0.0283497	0.6295823	0.7148399	0.8160340	0.7451201	0.6364867	0.0005006	0.2172708	0.2199591	0.3639377	0.4692784	0.4670553	0.6754645	0.2840056	0.7437434	0.5492543	0.0949455	0.5075193	0.7570654	0.7440251	0.8391773	0.5139580	0.4883566	0.6373550	0.8823357	0.0534836	0.7091535	0.0688763	0.3884013	0.6169332	0.7256540	0.1203759	0.0336061	0.0181343	0.7767499	0.0208071	0.0226660	0.7572555	0.2748450	0.6672233	0.2962427	0.7152227	0.7792637	0.0152452	0.4148955	0.6498457	0.7044054	0.4997394	0.6476237	0.6500350	0.6593872	0.8489835	0.3265367	0.2420850	0.6314568	0.5810341	0.6624240	0.0484881	0.0225895	0.6248385	0.6345337	0.5706239	0.2985352	0.6273841	0.3637811	0.3091429	0.6593405	0.1464443	0.3766644	0.1445816	0.3780688	0.4443891	0.8068935	0.2304136	0.6079017	0.6950480
0.6448303	0.6148573	0.1161801	0.3419123	0.2836708	0.6643682	0.3384273	0.0888090	0.7613748	0.1100911	0.7271747	0.5616148	0.7283514	0.0473339	0.1717181	0.6925946	0.1796445	0.2691651	0.6886830	0.6665545	0.7329589	0.5103183	0.0540751	0.6753456	0.0175522	0.5316116	0.4830401	0.6369349	0.7748182	0.8228120	0.0030966	0.1557975	0.2418263	0.4560198	0.5221873	0.5287280	0.7149618	0.3998588	0.8548903	0.5271451	0.1279437	0.4836131	0.6042289	0.7221143	0.6318336	0.4773159	0.5119399	0.6982048	0.6969952	0.0708282	0.7322382	0.0459705	0.5363796	0.4128272	0.6744493	0.2218030	0.0888512	0.0484875	0.6210784	0.0450884	0.0144690	0.6510358	0.1868560	0.7222316	0.3742088	0.8047167	0.7822152	0.0236288	0.4709308	0.5897716	0.7193393	0.4963483	0.6207446	0.8208680	0.5917074	0.6713625	0.3191531	0.2075421	0.7197648	0.8150664	0.7248436	0.0646148	0.0431176	0.6818447	0.6738256	0.6180224	0.2624013	0.7537380	0.3530251	0.1307828	0.6741875	0.1204224	0.4201518	0.1436069	0.3852023	0.4406044	0.5287332	0.1707682	0.7742117	0.6106477
0.7154346	0.6058384	0.1558907	0.2858776	0.3070659	0.6732833	0.6872063	0.0217024	0.7185001	0.1177106	0.7736022	0.5501170	0.5017999	0.0561065	0.0670770	0.7197591	0.1182914	0.2550225	0.7516895	0.6873940	0.8023058	0.4740632	0.1059787	0.6170059	0.0251024	0.5195260	0.5626786	0.7156627	0.7939488	0.5851398	0.0031677	0.2649735	0.2555145	0.3945914	0.3096603	0.4834592	0.7506878	0.3839974	0.6490558	0.6599002	0.1059504	0.5923069	0.6988523	0.6329596	0.7514434	0.4813448	0.5896484	0.6787691	0.6027586	0.0756195	0.7466190	0.0308585	0.5146848	0.4822200	0.7287601	0.1594505	0.0521074	0.0207175	0.7220198	0.0220717	0.0185466	0.7314206	0.2552720	0.5870331	0.4659259	0.6802633	0.6756419	0.0608752	0.4255606	0.5818403	0.6893245	0.5242516	0.6411997	0.7196942	0.6912639	0.6666837	0.3691561	0.2720637	0.6714375	0.8444014	0.7918948	0.0338897	0.0304885	0.7095794	0.6606486	0.5939020	0.3125626	0.7038754	0.3492701	0.1340677	0.5568059	0.1874182	0.3215834	0.1712601	0.4124144	0.4653898	0.8020006	0.1824504	0.5992673	0.8726826
0.7884519	0.6650747	0.1153114	0.3847437	0.3928656	0.7631778	0.5992516	0.0578712	0.4050112	0.0809026	0.7316106	0.6261219	0.6495972	0.0758821	0.0993237	0.6222744	0.1366598	0.2975915	0.7864237	0.6698000	0.6517108	0.4525836	0.1430740	0.6841558	0.0337633	0.4840944	0.4853657	0.6143100	0.7208282	0.5852051	0.0027314	0.1711891	0.2554444	0.4102841	0.2322931	0.4612509	0.7634374	0.3628358	0.7321935	0.6265058	0.0793383	0.5733420	0.6928499	0.6999693	0.6246495	0.5244944	0.4718184	0.7394509	0.7914705	0.0433899	0.7654999	0.0570032	0.5533954	0.5020773	0.6935309	0.1947019	0.0699405	0.0174299	0.7129064	0.0262129	0.0178602	0.7960676	0.1970143	0.5279824	0.3774583	0.6337633	0.6517162	0.0188151	0.4685130	0.5853802	0.6520004	0.4733462	0.7364192	0.7449962	0.6730721	0.6444983	0.3614795	0.2874777	0.8575166	0.6772764	0.7513053	0.0601140	0.0512640	0.6638095	0.6062853	0.7023682	0.2651806	0.7586929	0.3351242	0.1869868	0.6329796	0.1357969	0.3790469	0.1218743	0.4449245	0.6174704	0.7837897	0.2937392	0.8165749	0.6262090
0.7178789	0.6504480	0.1384669	0.3444923	0.2523549	0.6549940	0.6744810	0.0851491	0.6950319	0.0288689	0.6408267	0.6851350	0.6488879	0.0381746	0.1252168	0.6522149	0.2135784	0.2643372	0.6998030	0.7305249	0.7015318	0.4705445	0.1348176	0.6905715	0.0265957	0.4487552	0.5912095	0.7435153	0.6082951	0.6265776	0.0088353	0.1771792	0.2703409	0.3753368	0.4720157	0.5189948	0.6733243	0.3738995	0.6155666	0.5540487	0.0776778	0.4396088	0.6099175	0.7888484	0.6717271	0.6605969	0.5518741	0.7161761	0.6302545	0.0898957	0.7810277	0.0370732	0.4669401	0.4922177	0.6781151	0.2407176	0.0735641	0.0200864	0.7061953	0.0361936	0.0182812	0.7029773	0.1997529	0.6919381	0.3141111	0.7622091	0.5652410	0.0109185	0.3620628	0.4936849	0.6664591	0.4901369	0.7268717	0.6398894	0.7433587	0.6945364	0.4072570	0.1571004	0.7085323	0.6814526	0.7098191	0.0495427	0.0273422	0.7054256	0.6124162	0.5876600	0.3168686	0.7227110	0.3176955	0.2351229	0.6493801	0.1039057	0.3559981	0.1121135	0.3425545	0.5230533	0.6773254	0.2224196	0.7132970	0.7248769
