YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.0000000	0.0035320	0.4145122	0.0996481	0.7303632	0.6427761	0.8578377	0.0906414	0.7018605	0.7179813	0.6792002	0.4990873	0.7573196	0.0813760	0.1274824	0.6224720	0.1529520	0.1675800	0.7759651	0.6955622	0.7613955	0.4789995	0.0637684	0.5819790	0.0029417	0.4701636	0.5188097	0.6572162	0.7048745	0.8543782	0.0201949	0.0329118	0.2163785	0.3362067	0.3411096	0.5086372	0.6786013	0.4208011	0.7541001	0.5137943	0.0891214	0.4431020	0.5690375	0.8205572	0.7205525	0.5406500	0.5816912	0.6799677	0.8103844	0.1144005	0.6473012	0.0580296	0.4502378	0.6340115	0.7960563	0.2076484	0.0779733	0.0152087	0.7115564	0.0460581	0.0106746	0.6457674	0.2211670	0.4814175	0.4019754	0.6997456	0.6605789	0.0410586	0.5305087	0.4823388	0.5628031	0.5137973	0.7358253	0.7657360	0.7220590	0.6609988	0.3194540	0.6974997	0.8051251	0.7704932	0.6452772	0.0589780	0.0518349	0.5943432	0.4366370	0.7340942	0.3287520	0.6895587	0.3253310	0.1194329	0.6703392	0.0701514	0.2735524	0.1388741	0.5094670	0.3928431	0.6924048	0.1940495	0.7601031	0.7920118
0.8156678	0.0000000	0.1165244	0.4553094	0.3321568	0.6862175	0.5864194	0.0593917	0.7612787	0.1133169	0.7070065	0.6552045	0.6193669	0.0676024	0.1584347	0.7175756	0.1023729	0.2572039	0.8080411	0.6794749	0.6578886	0.4970282	0.1215965	0.6433851	0.0248371	0.5199250	0.6620077	0.6358728	0.7230936	0.5642632	0.0089230	0.1949011	0.2460891	0.3870747	0.4652271	0.4244000	0.7062278	0.4585662	0.6402379	0.5353235	0.1058961	0.4884345	0.6917754	0.6891221	0.6408571	0.5280711	0.5151779	0.7330286	0.7709711	0.1023218	0.6143850	0.0239107	0.5320994	0.4515817	0.9576900	0.2049599	0.1395683	0.0060417	0.7675187	0.0119922	0.0301612	0.6708053	0.2355657	0.5707337	0.4098497	0.7549134	0.6952372	0.0256981	0.4296182	0.4990532	0.8001891	0.6806983	0.5672181	0.7295148	0.6704356	0.5241771	0.3527744	0.2031443	0.8328642	0.7773855	0.8115195	0.0380729	0.0435454	0.5810445	0.4258828	0.7033681	0.2537784	0.8306285	0.2966406	0.2566323	0.6068201	0.1870163	0.4390098	0.1168198	0.3218342	0.5830272	0.7156259	0.2175538	0.6305366	0.7739656
0.7304518	0.6546226	0.0000000	0.3897762	0.3455876	0.6821632	0.6858126	0.1151771	0.6566937	0.0626107	0.5846166	0.5847063	0.7251510	0.0497887	0.1686286	0.6454471	0.1788918	0.2116236	0.6065245	0.6317141	0.7778815	0.5379029	0.0782974	0.7739224	0.0347084	0.4924548	0.4973786	0.6736223	0.6385020	0.6935793	0.0345070	0.2407888	0.2552424	0.4087707	0.4955667	0.4444964	0.6969030	0.3433575	0.7311776	0.5595561	0.1326871	0.4408806	0.7075813	0.6642946	0.7425169	0.5279795	0.5527298	0.7704596	0.6774165	0.0745678	0.6444678	0.0732021	0.3720164	0.6232064	0.6876904	0.1723541	0.0848435	0.0365945	0.6558737	0.0159283	0.0584037	0.7234755	0.2654145	0.6688067	0.4441265	0.8390651	0.6539574	0.0072590	0.5404468	0.4629844	0.7093641	0.5037030	0.6644661	0.7506754	0.6567532	0.7292978	0.3303569	0.2017663	0.6196025	0.8125476	0.7577461	0.0393722	0.0399283	0.8377915	0.5140213	0.5880204	0.2788384	0.6010835	0.3359555	0.1853385	0.5723892	0.2223161	0.4303775	0.1883858	0.4480875	0.5181099	0.7553000	0.1203289	0.6102701	0.7798266
0.6862433	0.6877756	0.2706819	0.0000000	0.3079165	0.6410421	0.7620603	0.0268284	0.6609912	0.0599637	0.8293048	0.4957234	0.7488229	0.0620022	0.1886017	0.7295314	0.1671923	0.2716754	0.7515532	0.7107153	0.8320611	0.5413987	0.0802401	0.7730590	0.0229180	0.6183262	0.3792271	0.5356364	0.6930700	0.6927631	0.0025288	0.2199069	0.2519310	0.3850693	0.4564639	0.5081847	0.6932637	0.4260867	0.7953913	0.4451541	0.1326329	0.4908823	0.6195344	0.7275322	0.6529033	0.5536419	0.4966182	0.6202642	0.7939060	0.0717482	0.6986828	0.0303335	0.5008372	0.5790885	0.7088723	0.1704846	0.0901001	0.0186501	0.6958148	0.0117092	0.0155669	0.7738679	0.1825892	0.5867400	0.3308706	0.5894386	0.9629812	0.0308009	0.4771798	0.5253891	0.8426767	0.4685866	0.7041061	0.5802537	0.6648376	0.6717881	0.4167206	0.2328468	0.7873129	0.6799006	0.7358249	0.0531013	0.0392636	0.7608103	0.5931886	0.6023391	0.2690840	0.6186217	0.3547855	0.1606336	0.5268554	0.1675560	0.4000603	0.1429442	0.5106616	0.5085090	0.7646134	0.2228042	0.7215721	0.7145829
0.6469336	0.5969260	0.1733523	0.3492109	0.0000000	0.6397016	0.6671617	0.1705500	0.7492915	0.0783666	0.7739577	0.4634285	0.5797279	0.0853681	0.1016806	0.6927352	0.1555284	0.2218268	0.6227480	0.7522229	0.7692099	0.4500241	0.0647222	0.7992808	0.0398031	0.5190757	0.4889910	0.6815752	0.6304288	0.6826158	0.0045874	0.1905737	0.2135368	0.3627512	0.4168854	0.5743269	0.7776231	0.4741274	0.6596302	0.6165559	0.1129658	0.6106526	0.5718502	0.6345171	0.7072855	0.5822915	0.4995934	0.6598350	0.7914108	0.0729203	0.7694390	0.0887446	0.4730731	0.4317411	0.6676588	0.2242858	0.0592470	0.0135203	0.7364876	0.0235706	0.0185903	0.6727205	0.2020393	0.5802884	0.3184662	0.7367123	0.6946199	0.0214174	0.3320495	0.5240216	0.6449176	0.4643373	0.7251546	0.7354598	0.6468723	0.7270756	0.3738239	0.1921994	0.5923112	0.6604729	0.7031159	0.0249264	0.0268712	0.7537020	0.5948861	0.6531249	0.2059481	0.7432226	0.4161523	0.1980549	0.5719334	0.1997236	0.3074668	0.2111872	0.4395469	0.4547583	0.8044722	0.1925739	0.6581721	0.5987706
0.7562606	0.7290445	0.2291984	0.4500524	0.3054604	0.0000000	0.6266577	0.0785480	0.6509014	0.0823125	0.6866124	0.5154025	0.7612194	0.0448613	0.2006135	0.7366987	0.1421449	0.2123883	0.6181127	0.6818381	0.7693812	0.4319190	0.0802491	0.7456320	0.0280730	0.4191176	0.4475732	0.6770985	0.6336526	0.7048071	0.0099798	0.2189272	0.1911802	0.3643563	0.3792705	0.4325179	0.7670348	0.5419532	0.6932239	0.6718728	0.1018594	0.4856028	0.6434722	0.7447406	0.6713833	0.6139444	0.4342020	0.7734114	0.6213450	0.0598172	0.7069064	0.1356587	0.5525206	0.3398831	0.5389046	0.2026932	0.1087902	0.0587133	0.6434782	0.0347585	0.0193995	0.7746008	0.2696637	0.5045228	0.3210294	0.7145011	0.8134441	0.0199081	0.6225706	0.5436487	0.6970590	0.4884944	0.6678803	0.6916500	0.7416775	0.6599813	0.4149791	0.2178158	0.8220864	0.7243459	0.6518143	0.0627973	0.0259596	0.6730778	0.4451532	0.5431371	0.2377384	0.6405302	0.2662699	0.1518035	0.6519431	0.0868447	0.3926925	0.1249398	0.4264369	0.4723914	0.7370390	0.2478296	0.7130542	0.7295432
0.7518605	0.4888941	0.2001926	0.3331303	0.3173031	0.6506651	0.0000000	0.6446335	0.6384099	0.0631653	0.8245567	0.5817611	0.6564878	0.0713510	0.1418684	0.7228703	0.1339531	0.2834785	0.7745138	0.7362931	0.7570159	0.5916109	0.0833385	0.6247075	0.0434519	0.4563108	0.4222094	0.6136460	0.8480753	0.6482664	0.0028895	0.2626543	0.2146614	0.3614843	0.3294463	0.5511775	0.6880562	0.3505557	0.8477415	0.6382044	0.1555623	0.4722427	0.8279570	0.7312191	0.6712994	0.5668410	0.5468463	0.6896232	0.6972213	0.1050370	0.7788243	0.0252059	0.6169024	0.5610059	0.6633224	0.2035559	0.0984180	0.0102530	0.5993088	0.0269457	0.0286275	0.6721631	0.2691229	0.6173371	0.2769954	0.5872019	0.6886755	0.0185830	0.4839194	0.5262250	0.7913515	0.5239939	0.7172954	0.5788587	0.7013204	0.5875521	0.3541547	0.2991309	0.7229782	0.7336730	0.7282968	0.0280350	0.0498572	0.7614936	0.5673490	0.6271782	0.3316976	0.6967222	0.3719147	0.2324312	0.6298874	0.1209741	0.4004498	0.1291752	0.4135069	0.5688748	0.6299557	0.2073537	0.6936741	0.7668506
0.6962380	0.5843894	0.1130320	0.3881820	0.2747146	0.6981533	0.6307999	0.0000000	0.6677691	0.0917399	0.7436829	0.5076624	0.7549283	0.1084515	0.1541929	0.8637859	0.1263002	0.2944095	0.7534654	0.7051992	0.7019062	0.4900346	0.1127211	0.7903815	0.0091913	0.4527317	0.5777385	0.7246071	0.6917309	0.8007730	0.0067199	0.1986706	0.2221486	0.4551720	0.2525274	0.3868716	0.4786647	0.3593032	0.6267429	0.5664519	0.1345204	0.4932312	0.7381343	0.6987795	0.7872995	0.5337531	0.6221149	0.6431149	0.6030687	0.1279388	0.7436127	0.0301894	0.5277216	0.4941935	0.8132277	0.2220287	0.0920448	0.0108000	0.7710682	0.0330468	0.0180046	0.7865079	0.3084635	0.5415563	0.3026648	0.7595542	0.6728012	0.0113666	0.4759505	0.5240480	0.7095899	0.4716433	0.5628653	0.6400486	0.6743292	0.6730103	0.5287635	0.2500763	0.6789250	0.7929783	0.7211462	0.0443981	0.0706492	0.7265708	0.5322913	0.6848952	0.3271385	0.6979759	0.4645851	0.1827569	0.6222025	0.1226722	0.4124910	0.1300680	0.4420749	0.4083296	0.6732878	0.1712774	0.6110294	0.6038858
0.7247890	0.5827567	0.0418728	0.3652940	0.2898388	0.7377185	0.6571818	0.0578984	0.0000000	0.0680905	0.6089961	0.5415329	0.8416283	0.0352663	0.1081855	0.5559702	0.1124291	0.2824497	0.6905221	0.6279790	0.6591783	0.3902908	0.0599838	0.6597532	0.0299747	0.4560244	0.5336605	0.7013656	0.5600034	0.6982067	0.0086325	0.2036901	0.2643206	0.3091595	0.5026461	0.4533728	0.7251987	0.3922755	0.6770176	0.7241472	0.1260478	0.4589179	0.6388197	0.7912720	0.6081279	0.4969682	0.5058155	0.6255182	0.6447692	0.1258146	0.8864103	0.0977667	0.3786270	0.6830215	0.7286406	0.1594782	0.0934105	0.0238213	0.6691998	0.0533158	0.0116657	0.7587693	0.1986500	0.6464532	0.4729724	0.5858290	0.6318078	0.0127661	0.4450079	0.5233758	0.6743150	0.5014929	0.5451229	0.5981819	0.6890669	0.6564117	0.4817343	0.2267810	0.7754794	0.6916054	0.7308659	0.0350344	0.0285733	0.6507977	0.5282400	0.6541402	0.2748708	0.6483806	0.3602786	0.2988637	0.4968731	0.1119640	0.3549916	0.1537333	0.3462763	0.4673715	0.6384704	0.1780714	0.6339215	0.7165720
0.7816016	0.5150021	0.1513186	0.3316140	0.3594286	0.7179973	0.5807881	0.0410336	0.6125063	0.0000000	0.7523187	0.6353124	0.7207484	0.0656235	0.1885494	0.6282252	0.1654485	0.1895585	0.8450529	0.7881517	0.8611336	0.4187190	0.0556232	0.7078327	0.0538401	0.5491725	0.4886267	0.7449746	0.7158148	0.8095259	0.0035414	0.2226851	0.3010322	0.5094078	0.4316299	0.4817550	0.6749322	0.3598242	0.6954371	0.5379791	0.1643571	0.4221545	0.6335192	0.8674215	0.7419950	0.5387165	0.4270881	0.5794479	0.6772462	0.0698911	0.7598582	0.0224303	0.5029235	0.5040570	0.7862212	0.2024481	0.0939803	0.0398982	0.7440456	0.0260715	0.0270943	0.7591046	0.2512919	0.4725398	0.3766268	0.7044103	0.7601757	0.0121440	0.4641421	0.4965673	0.5964324	0.4905741	0.5900932	0.6346722	0.7205604	0.6989299	0.4363603	0.2535019	0.7173790	0.9544898	0.6527243	0.0752331	0.0136868	0.7443928	0.6046260	0.6507962	0.2774249	0.6235962	0.3891901	0.2093099	0.6054895	0.1099597	0.4217255	0.1329496	0.4600181	0.4171425	0.6923444	0.3451162	0.6602949	0.5655847
