YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.6277276	0.6750455	0.0967625	0.3472489	0.2485799	0.5269624	0.7888331	0.5496932	0.6801075	0.0272473	0.7677127	0.5495497	0.6633163	0.5981491	0.2612713	0.6651711	0.0318981	0.3171645	0.6094248	0.6348014	0.9158828	0.4102511	0.3029202	0.6622643	0.0041170	0.5813624	0.3188367	0.5328930	0.5728793	0.7387189	0.0013253	0.2732960	0.0164844	0.3507031	0.0013301	0.2925481	0.6930374	0.4873733	0.7354636	0.5415762	0.2813127	0.3667554	0.5846983	0.6102398	0.5263535	0.4869317	0.7010223	0.5894139	0.7808924	0.0621576	0.6342355	0.0003683	0.4329862	0.5612701	0.5318805	0.2449959	0.0440580	0.0030510	0.2040734	0.2939443	0.3597845	0.7170108	0.3811928	0.5510431	0.5005583	0.5418586	0.6796549	0.0038725	0.5449560	0.3512906	0.6574970	0.5040514	0.3787508	0.6001622	0.7123848	0.6610006	0.3034168	0.1666799	0.7446155	0.8850882	0.4860006	0.0117213	0.0243248	0.4400972	0.5180647	0.5742575	0.2085531	0.7676986	0.1418682	0.0546301	0.2907892	0.1904378	0.3505255	0.0464097	0.3708059	0.4329454	0.5485849	0.6212823	0.4384835	0.7413517
0.6517712	0.6422001	0.2467545	0.4839511	0.2404596	0.7510481	0.6745628	0.0725837	0.5512073	0.0284371	0.6861464	0.3263130	0.6732577	0.5479681	0.0168401	0.6490620	0.1614074	0.3106357	0.6837443	0.7068326	0.7120371	0.7152603	0.1958065	0.6688303	0.0759247	0.1961808	0.6361465	0.8029903	0.6122675	0.7175339	0.3495203	0.0683504	0.1193256	0.3519009	0.3449847	0.5382906	0.6305875	0.3182638	0.7747619	0.5907385	0.3679518	0.4713323	0.6733027	0.5508815	0.5213022	0.4801518	0.4810123	0.7804960	0.7364256	0.0688705	0.2873263	0.0053296	0.5107158	0.4698935	0.7318047	0.1655164	0.0528018	0.0063127	0.6181160	0.0238306	0.0037991	0.7282518	0.3057806	0.4753405	0.5222357	0.6168871	0.7237878	0.0069333	0.5531817	0.5798851	0.6743311	0.5158242	0.5260729	0.7216704	0.8953784	0.5695726	0.4622393	0.2403806	0.6520699	0.4950137	0.6691883	0.2470770	0.2213728	0.7072002	0.7639357	0.2832639	0.0714103	0.5701482	0.1699870	0.2197700	0.5669205	0.3037740	0.3286711	0.2535978	0.6923190	0.2879142	0.5113796	0.1251297	0.7399463	0.6603589
0.6220444	0.7276263	0.1372103	0.3247317	0.3507904	0.6752100	0.6281498	0.2772610	0.5339278	0.0293324	0.6631577	0.6377010	0.7883687	0.1629963	0.3240085	0.4593624	0.1441247	0.2242278	0.6294952	0.4832464	0.5700850	0.5438352	0.0406947	0.3803770	0.2188984	0.0744891	0.4580499	0.7117113	0.5865459	0.3860893	0.3453255	0.1724517	0.2776975	0.6110973	0.4852001	0.5920009	0.4128569	0.4041217	0.4686500	0.2374233	0.0152635	0.5602333	0.6688495	0.6875606	0.7650267	0.4572058	0.4316355	0.6252272	0.6430818	0.0281481	0.5671499	0.1290190	0.2820463	0.5644338	0.6551209	0.1034851	0.0365290	0.0779429	0.4561868	0.0842270	0.0120865	0.6855368	0.4871039	0.4577794	0.2211723	0.6946748	0.7142690	0.0024811	0.4068348	0.3524733	0.7490059	0.4335550	0.6169200	0.7075291	0.6605845	0.5814460	0.3848454	0.1700103	0.7701224	0.7170750	0.6293541	0.0004590	0.4417047	0.6460321	0.3108609	0.6415781	0.0458513	0.5995795	0.2760150	0.1965612	0.4143516	0.3909424	0.4085458	0.2282829	0.3281377	0.5083874	0.4142195	0.1336638	0.7457296	0.6127777
0.6010741	0.6406123	0.0639274	0.4601284	0.3106923	0.6390857	0.5922410	0.0008733	0.4967145	0.1354095	0.6270586	0.4060343	0.6536151	0.2379879	0.1300084	0.6693829	0.0028140	0.2580953	0.6661548	0.6793497	0.7588374	0.1822282	0.0782638	0.7089010	0.0143510	0.3558682	0.3805670	0.4190726	0.6569092	0.6630986	0.2729536	0.2406356	0.0993968	0.5830543	0.0185041	0.3719737	0.5075706	0.3614587	0.7171030	0.5553981	0.3346787	0.2501738	0.3540776	0.6853139	0.6368127	0.5551613	0.8069376	0.7655146	0.6845886	0.0053559	0.5011729	0.0492771	0.5762008	0.4737872	0.3251964	0.4182959	0.4638767	0.3506687	0.7101563	0.0118949	0.0010881	0.7178798	0.1586245	0.6569673	0.2455745	0.7477958	0.6770229	0.0016144	0.3844864	0.4958874	0.5902607	0.4448200	0.3565255	0.7457013	0.6202038	0.5349873	0.4384088	0.3489903	0.6745674	0.6011644	0.7622540	0.0020575	0.2884443	0.6605361	0.5027167	0.6507790	0.2537951	0.5310591	0.4277986	0.2408831	0.6691503	0.2527834	0.7036274	0.2631067	0.2481893	0.3979045	0.5059157	0.2359344	0.7801959	0.5409638
0.7397857	0.7009981	0.1515624	0.4305844	0.3449679	0.7139185	0.5108752	0.0005690	0.5508434	0.0831536	0.5997034	0.6466239	0.6859097	0.0687661	0.2049633	0.7539252	0.1526065	0.2115076	0.8153463	0.5621667	0.5804471	0.2698589	0.0335685	0.7511391	0.3548404	0.2008636	0.3095450	0.6388193	0.6336728	0.6195841	0.0009020	0.2818343	0.2307567	0.3346889	0.4078407	0.5875606	0.5521038	0.4421527	0.6795173	0.5392001	0.1738166	0.5261096	0.7775673	0.7338499	0.7064007	0.6018372	0.8828289	0.4047765	0.6154817	0.0993047	0.4662624	0.0360683	0.4583665	0.2531424	0.3823709	0.4897509	0.3563040	0.1544590	0.3639972	0.1850830	0.0578941	0.6021615	0.1965879	0.2692889	0.5206720	0.7811919	0.6115806	0.0463418	0.4165011	0.3760089	0.6004286	0.3702711	0.6070605	0.6277556	0.6684723	0.6263506	0.4079385	0.1965777	0.7016418	0.8082894	0.6798754	0.1303715	0.1678765	0.6559598	0.6811162	0.7017978	0.6031555	0.6123633	0.0160936	0.3449253	0.5885750	0.2673866	0.4746213	0.4684828	0.3621487	0.5885966	0.7171546	0.1444764	0.4779570	0.6790247
0.4967206	0.5850232	0.3677071	0.3128611	0.3525073	0.6345620	0.6036636	0.1084430	0.6352350	0.0955197	0.2385846	0.5564408	0.5572147	0.2292852	0.4443140	0.7113826	0.0877296	0.1280171	0.7466900	0.6118759	0.5583090	0.3033017	0.1387989	0.6562981	0.0024339	0.5584866	0.4759276	0.7009936	0.7279905	0.6756945	0.2053550	0.0698001	0.0649264	0.3607384	0.2270174	0.2198205	0.7384116	0.3183220	0.7101572	0.6402521	0.2328272	0.5523215	0.7810211	0.6781879	0.6129546	0.4555571	0.5418652	0.4779255	0.8025939	0.0996989	0.9239483	0.0014932	0.6975228	0.1842422	0.6988796	0.1544714	0.0656354	0.0111604	0.6332452	0.0303108	0.0494427	0.7449285	0.1826136	0.6248499	0.3378967	0.7777164	0.6739980	0.0007983	0.5087953	0.5022194	0.6885130	0.5153477	0.5423787	0.6826859	0.2627746	0.1996341	0.2331505	0.2199230	0.6205768	0.7705534	0.4020655	0.0961286	0.3900799	0.7619822	0.6258584	0.5954533	0.4602656	0.6762929	0.0361182	0.1170403	0.5420618	0.1463947	0.4426832	0.0981704	0.1798773	0.3874540	0.6409080	0.3101447	0.5641110	0.5917281
0.5362371	0.6364570	0.3295937	0.3123956	0.3185155	0.6325482	0.7144306	0.4634746	0.8417251	0.2540754	0.6424580	0.5715196	0.6791994	0.1466460	0.1672011	0.7259616	0.0968397	0.2116184	0.6992670	0.6622071	0.7299376	0.4138617	0.0341192	0.5879875	0.0101234	0.5519404	0.5131469	0.6601960	0.6655241	0.6169698	0.2447461	0.1121124	0.2639609	0.4864136	0.6038853	0.5790210	0.7224416	0.3781153	0.7264942	0.5715208	0.2634993	0.6454438	0.5055763	0.6813992	0.5606294	0.5913337	0.4957450	0.6263930	0.6886405	0.0617929	0.6290240	0.0275345	0.4913996	0.5137059	0.8187435	0.0676575	0.0563856	0.0174034	0.8749528	0.0029785	0.1048192	0.6572868	0.3658879	0.5921650	0.4453679	0.6656916	0.5795565	0.0771265	0.3152150	0.4728641	0.6429370	0.5634654	0.5147303	0.6566261	0.6997786	0.6228379	0.5223780	0.2446636	0.4022016	0.7751160	0.5612958	0.3398758	0.0472871	0.4389305	0.5773034	0.5295402	0.4928271	0.6333831	0.1383783	0.2327575	0.5765541	0.0467448	0.4205520	0.1123941	0.6967587	0.3512053	0.7302161	0.4631988	0.6237458	0.4090157
0.6225716	0.6730437	0.0324870	0.2402690	0.4026989	0.6695199	0.5367044	0.0078216	0.7420438	0.1182915	0.6952756	0.5900298	0.8170113	0.0417899	0.6288074	0.5927705	0.1097096	0.0939570	0.5461694	0.4952925	0.5588700	0.2101165	0.0888692	0.5950406	0.0442372	0.7657720	0.0089736	0.7600122	0.6394164	0.6092043	0.1567300	0.5099618	0.1881285	0.3183512	0.4309888	0.5475957	0.3920240	0.3667395	0.6780699	0.5799639	0.0630211	0.6488447	0.6978122	0.6404331	0.6956897	0.6373217	0.5033940	0.5377303	0.6453312	0.0722011	0.7736959	0.0016657	0.5814432	0.2898469	0.7006619	0.2758481	0.2251334	0.1981124	0.7013402	0.0115376	0.0084447	0.7549285	0.1030055	0.7024357	0.3345808	0.6098842	0.4473968	0.0137110	0.2932650	0.1186307	0.4295667	0.5153418	0.4698764	0.7903589	0.7727503	0.6718068	0.4907231	0.1673889	0.6910355	0.7237885	0.6449795	0.0015004	0.0213484	0.6623545	0.6455099	0.6390668	0.6401447	0.6239337	0.4353051	0.0153676	0.4912503	0.0465830	0.4887373	0.0664094	0.0373917	0.6765318	0.6882147	0.5730603	0.4511713	0.7280366
0.6110077	0.6571682	0.5923092	0.3438675	0.2820795	0.4717604	0.6573442	0.4016297	0.7136079	0.0493449	0.5257476	0.5257569	0.7474106	0.0633821	0.0010578	0.7131483	0.0779341	0.2805671	0.7797058	0.5102875	0.1803688	0.1253293	0.0916640	0.6802547	0.0020817	0.7879060	0.3615114	0.7205960	0.4177745	0.7527367	0.6020798	0.0769561	0.2461029	0.3394308	0.4097517	0.6113106	0.5224691	0.3920996	0.8913275	0.6809576	0.2338668	0.2934798	0.6652732	0.5060834	0.6710055	0.6209804	0.5407096	0.5143309	0.7434996	0.0155473	0.6588626	0.0034591	0.6471400	0.3264724	0.7353524	0.3050215	0.0538851	0.2998544	0.5090915	0.0394386	0.0067473	0.6313537	0.1157302	0.6712931	0.2445032	0.6532386	0.8114903	0.0124533	0.4493180	0.1001881	0.8463912	0.2597217	0.5509914	0.6328269	0.6517926	0.5400988	0.3894576	0.2468843	0.6459596	0.7228190	0.7721925	0.0142993	0.0316183	0.6471426	0.2813346	0.6205625	0.5924120	0.5930782	0.4088812	0.0904522	0.5872565	0.1215072	0.4119806	0.1327892	0.2209560	0.5745015	0.4853470	0.4224289	0.7522348	0.4999244
0.4517392	0.7031813	0.5724893	0.4677728	0.4607299	0.7250065	0.7557310	0.0002810	0.6434062	0.2468464	0.6281351	0.4370000	0.4636041	0.1565316	0.0748416	0.6484057	0.1656640	0.2516524	0.6201025	0.6603587	0.7465183	0.4000840	0.0775619	0.5549781	0.1043597	0.3132258	0.6061514	0.7809866	0.7248410	0.6455091	0.0897207	0.0321358	0.1384722	0.4311648	0.1629924	0.6324901	0.6027438	0.4312573	0.7627334	0.6386192	0.1660761	0.5178129	0.6920872	0.5995177	0.6532887	0.5759263	0.5043052	0.6711417	0.6549182	0.0084044	0.6747735	0.0164287	0.5511995	0.4948452	0.6831881	0.2010176	0.0894345	0.1180472	0.7511714	0.0324331	0.1892866	0.7269435	0.2659981	0.5820188	0.3156329	0.7526927	0.7599475	0.0242622	0.3267017	0.5772736	0.7614594	0.5102280	0.7689844	0.5999269	0.5959986	0.5964006	0.3684578	0.3071375	0.5504738	0.6051101	0.7377841	0.2385786	0.2525189	0.5531179	0.5655777	0.6779043	0.4641220	0.6304646	0.3543899	0.1602796	0.3573777	0.2264847	0.3363069	0.0421172	0.6023122	0.5591459	0.7532881	0.4974752	0.7121183	0.5926803
