"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	0.9753982	0.8470585	0.2603518	0.4922078	0.4186618	1.0039670	1.0299954	0.0883700	1.0112157	0.1128411	1.0579946	0.8540180	1.0741394	0.0996012	0.2764559	0.9308298	0.2220271	0.3575380	1.0232837	0.9689939	0.9930132	0.6917308	0.1174891	0.9248711	0.0378952	0.6576839	0.7137074	0.9516755	0.9835110	0.9008992	0.0062215	0.2769541	0.3201635	0.5530681	0.4252462	0.6459158	1.0100326	0.6006095	1.0101445	0.8744676	0.1759000	0.7099713	0.9487010	0.9906096	0.9870070	0.7752048	0.7420569	0.8943381	1.0631392	0.0994059	0.9850629	0.0774311	0.6899726	0.8180237	1.0514336	0.3096938	0.0968217	0.0189018	0.9127693	0.0386589	0.0302987	1.0622660	0.3476587	0.8702304	0.5525674	1.0064371	0.9493756	0.0341831	0.5607145	0.7828074	1.0055414	0.6880019	0.9955439	1.0154575	1.0557931	0.9412523	0.5398387	0.3383371	1.0108650	1.0102038	1.0593837	0.0661747	0.0426732	0.9807429	0.7939561	0.9303481	0.4507842	0.9630472	0.4842820	0.2370881	0.8821018	0.1661327	0.5120422	0.2053987	0.5764544	0.7255589	1.0012414	0.2910950	1.0216911	1.0489730
100	1.0537948	0.8920316	0.1971176	0.6926678	0.4297324	0.4903901	1.0082671	0.0332795	0.9978578	0.1053693	1.0176099	0.8558283	0.8120301	0.5862056	0.0273813	1.1193439	0.1644463	0.1070415	0.9956651	0.7472790	0.6652128	0.8661333	0.0175066	0.9252801	0.0363745	0.8198832	0.8371972	0.9716783	1.0218431	0.9996391	0.0012887	0.2645467	0.3411791	0.5823098	0.5850746	0.4243353	0.9906687	0.5225077	0.9511534	0.8189224	0.2217662	1.0212489	1.0015580	0.4317123	1.0057815	0.8910132	0.8205671	0.6350629	0.3120398	0.1392134	1.0870309	0.0569419	0.6728296	0.6729112	1.0190068	0.3070157	0.1062808	0.3409298	0.5930980	0.0683545	0.0453587	0.9994614	0.4238202	0.8212225	0.7494096	1.0608823	0.9965732	0.0391333	0.6480233	0.6100963	0.9092714	0.6622113	0.9027250	0.9719920	1.0370596	0.8394455	0.5370263	0.3726124	0.8190356	0.9765624	1.0678681	0.2784831	0.1966730	0.8996659	0.7333111	0.8545673	0.4266633	0.9570552	0.5448823	0.2895653	0.9558858	0.2383724	0.8847432	0.1755374	0.8626148	0.6232168	1.0127185	0.4418430	0.9275065	0.9630775
200	1.0008583	0.9205165	0.1902865	0.7927053	0.4491855	0.4229388	1.0265899	0.0532043	0.9999195	0.1258136	1.0065363	0.7214719	0.7204391	0.6114093	0.0361774	1.0416616	0.2251633	0.1059183	1.0288698	0.6063302	0.5646583	0.8263462	0.0008469	0.9628805	0.0402964	0.8358644	0.8625783	1.0797902	0.9370762	0.9489685	0.0001311	0.2522152	0.3284187	0.5284531	0.6170314	0.4392858	1.0298487	0.5181138	0.9096870	0.8872046	0.2726849	1.0276243	1.0251416	0.4929831	0.9440536	1.0137992	0.7805280	0.3105223	0.2277877	0.1401448	0.9440268	0.0632484	0.6465050	0.7109574	1.0453635	0.3229433	0.0700452	0.3695910	0.5749035	0.1327022	0.0262058	1.0186957	0.3309997	0.7649096	0.8489347	1.0123011	0.9672977	0.0425460	0.5810047	0.6484599	0.9669408	0.7034026	0.9363405	1.0187141	0.9568075	0.9635375	0.6947224	0.3223944	0.9445799	0.9034894	1.0028055	0.2695348	0.2341744	0.9216449	0.7763978	0.9644281	0.4456288	0.9917934	0.5292987	0.3277980	0.7419679	0.2218313	1.0312069	0.2450078	0.8763666	0.6977026	0.9740835	0.4328144	1.0776088	1.0513693
300	0.9806484	0.9652885	0.1568174	0.8468790	0.4287410	0.5168684	0.9230133	0.3116395	1.0041925	0.1149082	1.0156666	0.8450124	0.7308931	0.6576581	0.0316399	1.0101886	0.2021052	0.0619972	1.0776212	0.5702589	0.5207243	0.8211787	0.0011900	0.9864719	0.0341553	0.7954878	0.9139698	1.1024716	1.0226846	0.9420105	0.0005660	0.3337532	0.3649985	0.5225039	0.5692365	0.4369683	0.9421186	0.5276457	1.0074666	0.8495440	0.3364828	1.0317081	1.0517390	0.4689256	0.9268472	0.8348647	0.8152894	0.2649779	0.1754797	0.2446215	1.0066756	0.0521311	0.6888554	0.6975668	1.0498767	0.3111204	0.0743838	0.3685548	0.5470416	0.1684512	0.0860920	1.0975126	0.3631718	0.8621635	0.9280172	1.0258741	0.9985521	0.0336654	0.5076064	0.6316497	1.0053901	0.6963963	0.8407212	1.0456676	0.9770698	0.8391381	0.6265287	0.3014688	1.0121054	1.0358590	1.0084396	0.2724820	0.2014673	0.8691773	0.8565984	0.8517236	0.4589664	0.9133783	0.5319571	0.3681316	0.7583433	0.3133935	0.9212974	0.2144173	0.8525951	0.6139118	1.0074746	0.4468624	0.9421514	0.9570480
400	0.9771745	0.9484193	0.1423801	0.7309912	0.4233807	0.4997386	0.9522304	0.1192116	0.9866438	0.1158874	1.0477395	0.8105127	0.7734933	0.6788641	0.0255915	0.9788300	0.2076844	0.0750088	0.9332917	0.6027384	0.5423290	0.7911452	0.0053207	0.9485573	0.0331677	0.8064180	0.9561056	1.0018210	0.9816871	0.9589149	0.0046048	0.2705102	0.3182322	0.5337859	0.6020978	0.3834268	1.0070522	0.5604429	0.9786429	0.8611855	0.3099473	0.8846711	1.0151416	0.4103066	1.0247071	0.8598465	0.8085412	0.2425026	0.2125696	0.1649797	1.1020752	0.0733746	0.7823312	0.5717460	1.0227111	0.2515101	0.0791015	0.3757482	0.5366273	0.1095230	0.0744983	0.9516164	0.3684850	0.8226861	0.7831167	1.0259024	0.9950054	0.0348852	0.5920579	0.6291969	1.0389375	0.6473853	0.8486426	1.0165056	1.0164595	0.9316745	0.5204594	0.3682397	0.9353320	0.9873571	0.9545693	0.2246015	0.2205055	0.9115513	0.8046693	0.8078325	0.4451698	0.9910696	0.5808193	0.3934917	0.6993227	0.2552122	0.8602058	0.2257051	0.8984543	0.5884542	1.0398315	0.4756490	0.8817392	0.9740461
500	1.0481561	0.9050712	0.1474542	0.7860729	0.4189228	0.5046719	0.9054602	0.2889695	0.9397660	0.1083591	0.9448734	0.8172141	0.8442313	0.7297355	0.0230939	1.0156536	0.2459122	0.1132963	0.9880809	0.5182669	0.5256534	0.7547924	0.0010405	0.9695187	0.0367654	0.8063022	0.9196459	0.9779870	0.9994638	0.9357553	0.0002363	0.2298615	0.3527212	0.4545512	0.5324343	0.4355386	1.0249024	0.5012168	0.9883937	0.9680970	0.3083549	0.9661123	0.9807324	0.4392014	0.8996690	1.0025090	0.7797064	0.2136655	0.1655900	0.1549008	1.0362302	0.0530941	0.8715743	0.7716329	0.9665857	0.1872606	0.0505224	0.3220459	0.5045538	0.1838909	0.0590584	0.9350179	0.3710065	0.7615029	0.8482545	0.9378962	0.9366099	0.0387119	0.6170969	0.6421595	0.9264291	0.6572317	0.7917043	1.0107369	1.0217173	0.9991418	0.6233565	0.3209346	1.0322413	0.9727801	1.0427158	0.3055674	0.2264633	0.8744373	0.8503072	0.8591038	0.3984309	0.9739502	0.5951804	0.3119937	0.7000189	0.3514852	0.9897704	0.1987868	1.0340670	0.5474618	0.9834367	0.4681748	0.9012236	0.9874191
600	1.0371623	0.8899460	0.1256183	0.7056796	0.4576198	1.0009623	1.0128414	0.2273533	0.9350408	0.0885169	1.0002716	0.8567639	1.0576890	0.1422716	0.3114628	0.9836090	0.2346893	0.3575709	0.9657682	0.7828042	0.9537680	0.5966241	0.0890764	0.9503132	0.0322901	0.7677682	0.6817203	0.9002761	0.9952344	0.9669052	0.0088469	0.2706472	0.3671664	0.5733931	0.5773359	0.6396213	1.0464919	0.5754266	0.9972377	0.8399703	0.2379688	0.6860350	0.9952366	0.9810444	1.0068846	0.7847189	0.7017789	0.4725682	0.7238521	0.1351291	1.0267060	0.0375163	0.6039865	0.8765241	1.0491195	0.2697675	0.0977485	0.0302831	0.9141461	0.0541446	0.0692018	1.0393496	0.3788702	0.7726848	0.4656830	1.0221366	0.9926161	0.0384650	0.5138699	0.8022887	1.0531418	0.6791164	0.8376142	0.9649474	1.0451722	0.9426802	0.5438071	0.3381673	0.9829523	0.9689272	1.0074421	0.0776078	0.0579869	0.9877599	0.7774484	0.7903704	0.4390267	0.9462233	0.5557973	0.2306215	0.7969357	0.2292191	0.5464550	0.2519868	0.6762493	0.5861507	0.9356439	0.3166938	0.9462331	1.0236301
700	0.9163013	0.8700791	0.1412967	0.5694889	0.3953962	1.0699994	0.9875452	0.0840232	0.9722992	0.1155371	1.0853716	0.7402980	0.9570545	0.1347550	0.2084563	1.0393105	0.2239561	0.2703536	1.0190498	0.9354281	0.9343780	0.7194653	0.1036126	0.9938149	0.0482697	0.7093655	0.8034980	1.0771969	1.0549068	1.0085122	0.0043167	0.2832287	0.3615934	0.5489726	0.5196571	0.6818233	0.9520898	0.6745613	0.8982750	0.7977387	0.1498582	0.6234442	0.9661143	1.0104702	0.9948565	0.8335945	0.7995233	0.8900776	1.0038037	0.1048467	0.9919782	0.0597977	0.6863221	0.6899626	1.0231831	0.2265994	0.0900659	0.0242175	0.9372723	0.0508344	0.0310560	0.9880349	0.3988988	0.8383789	0.4652119	1.0649848	0.9519424	0.0276501	0.6169911	0.7946438	1.0129106	0.7228737	0.9047199	0.9643493	1.0217433	0.9442983	0.5891321	0.3192285	1.0497802	1.0142493	0.9975165	0.0849263	0.0666923	1.1045850	0.7388913	0.9978867	0.3995367	0.9845660	0.5829470	0.2930693	0.7989644	0.1534966	0.5710173	0.1909082	0.5554979	0.6032518	1.0637929	0.3253391	1.0282318	1.0130966
800	0.9578373	0.9288354	0.1784895	0.5221575	0.4736506	0.9935636	0.9997404	0.0720354	1.0035775	0.1576900	1.0539255	0.8198303	0.9954602	0.0663878	0.2003710	0.9669976	0.1959869	0.2735446	1.0402133	0.9409467	0.9787714	0.7471511	0.0795392	1.0348434	0.0305760	0.8075161	0.6977309	0.9723990	0.9453230	0.9751821	0.0059421	0.3421418	0.3512230	0.5655951	0.6116633	0.6944325	0.9926484	0.5386691	1.0866433	0.7554788	0.1247192	0.7075864	0.9961130	1.0402506	1.0302187	0.7603469	0.7455197	1.0295155	1.0140993	0.1121465	1.0174880	0.0625499	0.6871969	0.7548868	1.0076065	0.3122804	0.0938079	0.0421798	0.9905445	0.0236372	0.0309035	0.9327637	0.3838775	0.9394850	0.4863240	0.9798637	1.0586734	0.0231751	0.7114324	0.8208302	1.0087566	0.7263651	0.8828157	0.9551375	1.0228839	0.8764492	0.5880268	0.2697844	1.0350046	1.0411128	0.9748295	0.0600294	0.0599182	0.9758186	0.7553320	0.9385392	0.4077595	0.9406979	0.4804472	0.2198760	0.8978006	0.1736652	0.5210081	0.1768798	0.5188308	0.6169436	0.9696022	0.3333817	1.0034965	0.9627006
