YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.9741311	0.9335189	0.2153933	0.5564536	0.4847555	0.9882311	0.9785928	0.0427218	1.0264637	0.1084196	1.0455560	0.8331687	0.9633772	0.0888629	0.3289562	1.0432984	0.1805805	0.3382558	0.9351939	0.5425012	0.9955483	0.5365972	0.0000000	0.9367753	0.0264985	0.7500822	0.8144270	1.0506692	0.9979432	0.9851595	0.0061672	0.3042633	0.3121087	0.5530642	0.5705515	0.7187005	1.0246293	0.0000000	0.9815706	0.8532288	0.1588143	0.7414065	1.0426483	0.9301121	0.9344308	0.8524702	0.7282766	0.9835871	1.0193684	0.1392902	0.9885887	0.0705670	0.8055497	0.5953544	0.9854665	0.3541439	0.1475272	0.0346278	0.9368715	0.0395561	0.0331069	1.1108478	0.2928753	0.8564884	0.4710434	1.1156648	1.0413613	0.0332147	0.6676494	0.7243670	1.0300053	0.6632246	0.9195676	0.9373323	0.9908024	0.8965509	0.5900564	0.4033114	1.0247903	1.0341243	1.0182707	0.3642260	0.0339563	0.8433159	1.0341489	0.7489013	0.3846600	1.0996737	0.4876845	0.2077318	0.9180727	0.2036393	0.5887343	0.1914491	0.4813035	0.5543759	1.0224963	0.1627964	0.9187371	0.9682852
1.0632700	0.9092580	0.1935372	0.5439154	0.4513255	0.9926979	0.9731673	0.0671488	0.9904707	0.0900354	1.0354463	0.4025820	1.1000644	1.0393999	0.2465870	1.0627824	0.1902063	0.3423462	1.0326667	1.1269999	0.8916964	0.7325479	0.4669235	0.9696459	0.0208558	0.6265515	0.7956363	1.0166761	1.0235648	1.0258134	0.0086567	0.3306518	0.0054782	0.0000000	0.0822225	0.5946280	1.0172430	0.0000000	0.9916930	0.8083946	0.1759461	0.7367869	1.0649460	1.0131256	1.0687193	0.7448409	0.7129875	0.9551915	1.0290311	0.1241037	1.0053712	0.0691244	0.6229390	0.7432660	1.0160915	0.3083796	0.1388630	0.0236494	0.8935432	0.0384722	0.0379041	1.0357179	0.3416141	0.8259997	0.5271156	0.9425219	1.0558617	0.0359102	0.5797047	0.7715086	1.0798691	0.6986587	0.9150386	1.0841046	0.8968635	1.0197054	0.5259831	0.3452740	0.9612084	1.0263736	0.9946183	0.7955607	0.3508113	0.9761561	0.9919697	0.9795916	0.5058610	1.0757325	0.4783046	0.0915805	0.9524205	0.6805712	0.6103093	0.1262896	0.5830076	0.5494789	0.9683535	0.0380744	0.7952787	0.9177574
1.0221056	0.9173935	0.1484131	0.5943870	0.3949147	1.0819314	0.9508754	0.0520605	1.0755442	0.1227734	0.9942959	0.4924079	1.0063921	1.0100967	0.0794342	1.0457524	0.6761789	0.3720367	0.9695811	0.9482105	0.9718972	0.7526507	0.3108672	1.0010264	0.2064548	0.4253441	0.6675896	1.0731681	0.9858869	0.9601371	0.2057613	0.3020252	0.0000000	0.5377281	0.0901777	0.6848994	0.9997999	0.5264832	0.9928388	0.8733883	0.1479928	0.7490144	0.9762442	1.0651048	0.9847005	0.8315244	0.7484104	0.9185708	0.9731348	0.1433406	1.0548502	0.0515306	0.5638742	0.7467788	0.9625684	0.3079980	0.1028389	0.0105336	0.9529249	0.0317126	0.0297329	0.9337440	0.2444127	0.9506153	0.5626698	1.0573692	0.9990079	0.0202703	0.6881130	0.7065420	0.9674612	0.7375487	0.9545485	0.9979489	1.0276839	0.9247551	0.6367131	0.3380914	0.0000000	0.9239029	0.9943663	0.1357886	0.4490965	1.0192280	0.8886777	1.0645098	0.4688437	0.9122061	0.4860025	0.2795827	0.9275718	0.4350648	0.5953335	0.6202233	0.5396020	0.5891444	1.0524550	0.1777894	0.7462405	0.9762551
1.0701824	0.9438607	0.2756214	0.5587029	0.4571530	1.1305282	1.0393284	0.1231039	0.9578955	0.1287364	1.0012322	0.7967102	1.0114271	0.9792166	0.3414647	1.0130605	0.1792846	0.3101869	1.0728654	0.5475005	1.0297343	0.6107463	0.0000000	1.0544076	0.0359831	0.6883671	0.7882170	0.9895994	1.0415481	0.9148304	0.0091261	0.2226631	0.0005074	0.0000000	0.0831665	0.6601564	0.9953293	0.5865390	1.0243227	0.8076229	0.1466517	0.7841320	1.0136485	0.9564110	0.9719992	0.8526748	0.8084593	1.0140963	1.0099302	0.1157088	1.0199885	0.0814427	0.8023924	0.8137595	1.0802984	0.2313921	0.0971792	0.0364357	1.0760554	0.0367339	0.0370029	1.0119186	0.3236268	0.9394890	0.5308031	1.0439517	1.0450816	0.0312577	0.6907274	0.7027838	0.8829704	0.8163908	0.9509592	1.0729849	1.0137181	0.9005758	0.5781568	0.3946190	1.0701476	1.0308419	0.9593514	0.2873641	0.3766707	0.9720904	0.7659310	0.8522356	0.4997378	0.9776158	0.5005443	0.3654555	0.9642253	0.3909447	0.5312489	0.1512737	0.6132426	0.8196520	0.9953640	0.1360768	0.8465529	0.9964653
0.9154553	0.9205031	0.1610542	0.5305428	0.5007277	0.9678165	0.9756816	1.0345950	0.9861094	0.1413790	1.0281257	0.7432916	1.0058002	0.1119130	0.2916337	0.9824586	0.2342577	0.3388406	1.0208790	0.5498936	0.9107949	0.6734772	0.0000000	0.9948051	0.0375006	0.7198298	0.8498810	0.9857954	0.9827034	1.0340155	0.0032652	0.2846418	0.3402862	0.5268208	0.4224270	0.6607891	0.9859069	0.5656346	0.9915965	0.7627103	0.2139967	0.7616139	1.1046673	1.0006712	1.0958537	0.8177897	0.7278738	0.8954032	0.9898170	0.1391896	1.0577116	0.0946679	0.5209794	0.8831058	1.0251705	0.1865871	0.0000000	0.0224130	0.9309147	0.0448286	0.0583492	1.0158253	0.4075868	0.8037574	0.4801532	0.9410874	1.0425444	0.0314306	0.5653389	0.8258463	1.0106683	0.6890450	0.9132340	0.9222002	1.0594567	0.9209078	0.5875724	0.3263809	1.0307932	0.9417955	1.0405711	0.1274005	0.0423929	0.8914485	0.8195053	0.7907155	0.3907644	0.9347933	0.5406162	0.4772734	0.8825110	0.2005422	0.5527659	0.2419213	0.5095479	0.6056813	0.9628923	0.2710577	0.9714225	1.0476896
1.0010191	0.8629931	0.2520209	0.5221001	0.4465276	0.9479901	0.9991048	0.0523758	1.0395165	0.1282642	1.0445098	0.7630037	1.0217580	0.0817919	0.5005523	1.0404653	0.1890391	0.2997118	1.0773890	0.0158971	1.0167365	0.5773219	0.0000000	0.9904769	0.0195241	0.8062108	0.0000000	1.0509112	1.0765000	1.0502566	0.0085963	0.2975827	0.3874969	0.5272566	0.6246824	0.7022582	1.1146657	0.5546090	1.0650463	0.8185198	0.1598683	0.7607141	1.0394808	0.9718428	1.0859710	0.8970582	0.6820164	1.0051201	1.1157704	0.1037691	1.0732920	0.0483644	0.9202155	0.6496396	1.0948199	0.2660817	0.1964391	0.0404037	1.0467353	0.0372858	0.0311319	0.9330125	0.3181643	0.8689671	0.5341850	1.0763551	1.0414857	0.0361271	0.6427796	0.7322509	1.0066066	0.7797932	0.9232129	0.9005892	0.9981673	0.9742060	0.5704362	0.3573247	1.0604120	0.9672616	0.9972138	0.0722515	0.0329156	0.9234913	0.8886188	0.7760499	0.3875990	1.0344944	0.5155270	0.4405840	0.8678204	0.2603148	0.5380059	0.2260631	0.6311617	0.7253881	1.0187250	0.6579073	1.0659654	0.9323438
1.0816120	0.8901139	0.1997571	0.5167391	0.4874953	1.0758475	1.0550081	0.1089635	0.9958798	0.1133387	1.0337807	0.8095151	0.9914985	0.1086462	0.3809238	1.0926559	0.1993731	0.3184903	0.9690071	0.0273893	0.0000000	0.0138045	0.0832641	1.0953336	0.0235364	0.8119049	0.0000000	1.1479888	0.9850762	0.9877486	0.0072980	0.3276870	0.3636936	0.5107242	0.6551790	0.6821028	1.0027522	0.5016932	1.0256005	0.9754089	0.1505313	0.7607245	0.9484229	1.1024701	0.9250610	0.7765136	0.7232157	1.0359978	1.0298530	0.1104330	0.9463523	0.0646013	0.8524635	0.7567417	1.0472486	0.2437427	0.1125239	0.0477007	1.0166983	0.0659057	0.0496087	0.9999480	0.3176878	0.9503188	0.4868897	1.0027498	1.0342425	0.0471138	0.6845158	0.7810875	1.0113089	0.6114557	0.9979272	0.9716634	1.0746616	0.9981605	0.4934552	0.4009166	1.0364959	0.9960865	0.9213615	0.0732651	0.0439790	0.9509156	0.8290108	0.8765750	0.4546035	0.9511527	0.5513235	0.1510668	0.9187616	0.6862896	0.5289796	0.1758138	0.6421657	0.5177544	1.0840097	0.8926345	1.0287837	1.0338566
1.0652970	0.8745141	0.2440068	0.4939405	0.4177557	1.0389579	1.0380588	0.0447278	0.9517414	0.0951253	1.1188451	0.7454132	1.0003022	0.1081397	0.2684516	0.9626532	0.2062152	0.3546315	1.0555542	0.5146136	0.0000000	0.0068719	0.0000000	1.0599105	0.0269250	0.6395162	0.7217526	1.0017923	1.0229718	0.9640943	0.0059603	0.3423042	0.3253433	0.5366550	0.4170488	0.6890287	1.0181786	0.5602782	1.0874756	0.8393410	0.1578255	0.7128369	1.0829741	1.0007756	0.9598849	0.8430044	0.7250707	0.9634273	0.9637617	0.1034887	1.0306502	0.1218886	0.7243319	0.7127811	1.0762169	0.3127040	0.1405598	0.0455294	1.0597874	0.0664538	0.0327498	1.0205202	0.3506189	0.8298282	0.5032370	1.0442369	0.9795698	0.0277330	0.5702879	0.7828990	1.0359226	0.7156356	0.8714353	0.9860564	1.0174822	1.0008922	0.5422622	0.3349600	1.0818324	1.0303220	1.0267388	0.0829045	0.0430940	0.9276490	0.7208916	0.9084563	0.4115884	0.9113089	0.5379064	0.4554173	0.7970657	0.4215896	0.5235016	0.1564777	0.5734968	0.6526794	1.0033583	0.6632110	1.0339283	0.9615744
1.0118077	0.9411749	0.2641024	0.5120153	0.4039929	1.0202680	0.9316462	0.0972715	1.0552411	0.1418957	1.0119159	0.4912437	0.9795345	1.0419531	0.0501716	0.9730681	0.1593563	0.3547705	1.0509677	1.0267308	0.9972185	0.7304286	0.2937213	1.0069439	0.0379936	0.6836913	0.8107693	1.0720143	0.9750941	1.0122302	0.1753379	0.2956853	0.0000000	0.5779804	0.0651908	0.6368511	1.0133286	0.5301113	1.0419548	0.9221361	0.2085474	0.7064921	1.0345108	1.0213603	0.9822061	0.7891404	0.7373313	1.0989547	1.0391155	0.1187330	1.0395732	0.1084903	0.6931707	0.6532170	1.0028787	0.3031099	0.1423715	0.0167608	1.0242967	0.0415483	0.0375719	0.9953472	0.3589312	0.7677243	0.0000000	0.9498681	1.1124974	0.0377549	0.6350547	0.7581995	0.9917089	0.7325802	0.9325668	0.9258168	0.9917505	0.9369436	0.5432235	0.3170701	0.9939598	1.0491225	1.0315039	0.1763725	0.4237137	1.0154962	0.7676284	1.0780980	0.4937777	1.0319016	0.5013042	0.3372996	0.8882972	0.4948990	0.5591109	0.1021709	0.5834411	0.6409612	0.9953961	0.1063772	0.7521367	1.0966715
0.9058991	0.9007843	0.2259839	0.4675651	0.3860597	1.0668523	1.0185626	0.0452518	1.0327986	0.1500803	1.0107255	0.8669715	0.0000000	0.0634616	0.3286500	1.0209866	0.2310522	0.2989258	1.0293302	0.4988909	1.0141956	0.6723840	0.0000000	1.0158423	0.0352477	0.7296174	0.6219311	1.0687657	1.0472859	1.0175980	0.0109538	0.3011290	0.3668586	0.4899500	0.6597020	0.6672838	0.9913004	0.5758104	1.0248890	0.7755375	0.1820629	0.7025848	1.0327273	1.0657815	0.9808578	0.7615819	0.6433646	0.8852242	1.0108961	0.1011390	0.9914255	0.0778960	0.9110037	0.6409962	0.9991433	0.2738923	0.1848945	0.0529316	1.0380829	0.0317621	0.0302031	1.0462173	0.2837563	0.8756595	0.5427179	0.8753740	1.1086070	0.0380540	0.6558220	0.6646136	0.9809077	0.6527986	0.9591210	0.9380067	0.9905872	0.9187972	0.6243535	0.4077696	1.0515904	1.0198942	0.9146498	0.0655066	0.0566188	0.9040393	0.7094353	0.7699329	0.4202548	0.9124638	0.4715051	0.4558205	0.9347361	0.1337081	0.5552069	0.2167571	0.6135047	0.7555555	0.9835662	0.3548190	1.0110999	1.0009641
