YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.5516219	0.8331547	0.3005269	0.4043009	0.6781057	0.9328617	0.9829999	0.1731118	1.0014472	0.3930791	0.9904930	0.7954842	0.9709197	0.1107579	0.2512365	1.0394268	0.2286975	0.3279684	1.1192151	0.9353877	0.9555535	0.6985824	0.1157263	1.0150317	0.0203763	0.7400972	0.8735376	1.0127000	0.9890251	1.0884305	0.0090066	0.1947218	0.3482020	0.5134983	0.5481303	0.7271357	0.9735816	0.4715136	1.0195777	0.7479382	0.1328691	0.7640936	1.0565370	1.0650380	1.1020455	0.8403139	0.6893212	0.9597455	0.9354177	0.1339021	1.1535558	0.0573755	0.8347736	0.5359090	0.9735849	0.2832960	0.1195371	0.0204241	0.9854796	0.0535173	0.0387891	1.1043064	0.3305906	0.9749912	0.6301080	1.0595971	1.0138812	0.0306607	0.6880505	0.7112290	1.0575907	0.7302943	0.9858172	1.0281646	1.0496129	0.8973217	0.4953404	0.5397448	1.0749742	1.0382967	0.9403185	0.0924428	0.0637450	1.0095315	0.9195971	0.9217916	0.4352069	0.9932582	0.5586072	0.2140193	0.9651422	0.2712274	0.5526126	0.2306269	0.6241464	0.5874698	0.9829799	0.2128485	0.9658694	0.9976147
1.0636498	0.4462368	0.2166825	0.5674319	0.4691704	1.0540809	1.0140537	0.0578613	1.1232254	0.1311125	0.9246478	0.7854004	0.9630413	0.0991667	0.1764729	1.0249005	0.2363016	0.3765728	1.0339627	0.9701024	1.0116916	0.6486547	0.0893698	1.0854222	0.0388103	0.7347489	0.7947618	0.9847882	1.0212527	1.0171631	0.0050884	0.3353466	0.3389058	0.5500816	0.6247174	0.7202165	1.0334078	0.6213500	1.0446251	0.9211542	0.1929110	0.7429692	0.8855383	0.9559292	0.9574548	0.7912245	0.7147978	0.9927489	0.9469054	0.1551220	1.0278303	0.0994770	0.7063750	0.8652272	1.0254548	0.2223988	0.1161010	0.0697402	1.0666983	0.0422383	0.0385280	0.9904903	0.2684395	0.9324890	0.6028668	1.0317985	1.0284043	0.0315060	0.6473012	0.7976430	1.0248711	0.7083832	0.9446554	1.0867741	1.0551260	1.0194205	0.5361218	0.3412759	1.0753529	1.0450215	0.9779529	0.0749093	0.0732528	0.9626565	0.6246044	0.9929674	0.3806742	0.9607850	0.4994812	0.2369520	0.9454127	0.1995040	0.5416817	0.2105498	0.6312656	0.6428635	1.0950141	0.2826077	0.9762968	1.0114251
1.0055386	0.9328885	0.0878793	0.5342649	0.4145115	1.0033594	1.0105959	0.0979345	1.0194924	0.0916618	0.9598093	0.8652819	1.0224912	0.1147289	0.1680602	0.9487906	0.1912086	0.3121026	1.0191905	0.9925398	1.0763090	0.6865711	0.1216611	0.9371933	0.0425205	0.6738495	0.8297642	1.0768845	0.9947241	0.9730836	0.0047128	0.2697906	0.3159026	0.4399297	0.4923104	0.7213886	1.0498737	0.5694026	0.9605949	0.8184282	0.1252167	0.7312216	0.9817145	1.1332543	1.0619902	0.8092390	0.6682301	0.9445750	0.9116060	0.1409887	1.0248961	0.0764654	0.8110163	0.7161884	0.9657061	0.2222975	0.0852090	0.0256894	1.1217940	0.0490163	0.0346830	0.9962677	0.3576848	0.8582063	0.4179014	0.8530156	1.0249466	0.0192202	0.6930614	0.7500768	1.0066329	0.7231188	0.8374776	1.0355260	0.9970002	0.9930216	0.6020087	0.3174287	0.9038243	1.0305456	1.0513070	0.0799972	0.0519063	0.9451304	0.7899721	0.9251976	0.4077606	0.9242562	0.5391763	0.2543661	0.8361589	0.1793579	0.5159063	0.1562990	0.5861213	0.6396312	1.0260550	0.2847831	0.9410114	1.0193552
1.0142244	0.8910352	0.3442923	0.2399244	0.4489930	0.9692469	0.9188349	0.0904946	1.0174063	0.1156399	1.0496228	0.7816749	1.0348234	0.0988973	0.1390732	1.0133630	0.2432635	0.2859967	0.9697278	0.9823322	0.9496545	0.6884881	0.0974691	1.0998077	0.0315607	0.6987296	0.7192416	1.0255215	1.1238617	1.0299577	0.0235430	0.3285156	0.3177727	0.5572811	0.5626108	0.7035674	0.9158899	0.5504280	1.0072618	0.9113295	0.1796311	0.7332878	0.9722688	1.0467350	1.0003494	0.8234902	0.8039877	0.9170975	0.9659814	0.1163303	1.0032166	0.0552839	0.7343211	0.7440931	1.0036064	0.2695493	0.1033557	0.0600411	1.0853419	0.0396466	0.0323943	1.0197938	0.3480099	0.8374219	0.5287885	0.9430156	1.0375160	0.0312444	0.6570882	0.8536135	1.0823836	0.7308443	0.9009740	0.9481220	1.1205027	1.0552406	0.5806835	0.3529224	0.9930013	0.9275281	1.0484899	0.0791748	0.0473520	0.9276365	0.7954755	0.9464846	0.4535618	0.9314763	0.5030277	0.2867959	0.9059223	0.1998187	0.4864997	0.1794684	0.5837575	0.6722638	0.9993048	0.2253285	1.0228189	0.9377308
0.9934355	1.0230571	0.2187902	0.5560406	0.2595967	1.0763805	0.9853729	0.0379755	1.0715427	0.1157575	0.9999882	0.7079745	0.9655655	0.1153845	0.1824501	1.0784386	0.2355928	0.4021592	0.9531618	1.0195426	0.9283150	0.6048036	0.1259650	0.9895127	0.0241078	0.7474503	0.6764288	0.9989371	1.0275601	1.0970020	0.0188297	0.3249198	0.3539301	0.4820455	0.5448911	0.7277801	0.9760937	0.5097414	1.0426336	0.7836577	0.1475678	0.7539495	1.0929665	0.9910419	1.0276018	0.8286770	0.6921608	0.9805737	0.9066131	0.1239428	1.1415159	0.0543921	0.9703616	0.5614845	0.9640960	0.2951527	0.1656587	0.0821427	0.9401169	0.0380324	0.0498612	0.9900566	0.2990891	0.9074551	0.4692759	0.9693090	0.9841680	0.0362204	0.6519942	0.7005352	1.0616767	0.6783156	0.8899801	0.9957037	1.0967538	0.9254609	0.5405344	0.3049306	1.0365771	1.0612279	0.9919211	0.0572174	0.0483156	1.0319031	0.7124584	0.9808888	0.4584489	0.9886873	0.5139451	0.2403531	0.9036686	0.3100732	0.6071893	0.2651148	0.5391277	0.7080126	0.9729596	0.2664274	1.1503818	1.0020999
1.0547525	0.8655573	0.2893181	0.4864882	0.3684915	0.5318930	0.9812121	0.2759590	0.9478004	0.1056731	1.0945185	0.8637318	0.9640736	0.0937981	0.2567118	0.9436098	0.1625404	0.3980476	1.0050424	0.9982217	0.9950118	0.6537839	0.0703403	0.9115999	0.0216774	0.6925483	0.8581206	1.0234200	0.9565972	0.9859378	0.0008346	0.3091762	0.3553228	0.5970573	0.5807016	0.6590513	0.9496599	0.5158922	1.0491446	0.8171257	0.1185081	0.7940291	0.9641196	1.0429351	0.9877734	0.8254510	0.7199136	0.9015034	1.0918808	0.0969945	0.9952187	0.0818062	0.6757487	0.8645233	1.0203099	0.2092871	0.0566895	0.0333490	1.0534067	0.0427429	0.0303131	1.0290091	0.4272223	0.8763094	0.5252572	1.0251161	1.0211492	0.0271350	0.6511334	0.8268267	0.9445072	0.7109857	0.9061656	0.9920651	1.0248558	1.0143321	0.4848579	0.3475642	0.9772946	0.9711188	1.0262238	0.0856467	0.0339163	0.9718848	0.7823638	0.8454441	0.4423828	0.8887629	0.5298797	0.3734965	0.9767907	0.2095485	0.5643166	0.2233065	0.6138588	0.6258337	0.9604428	0.3093815	0.9446040	1.0488334
1.0285910	0.8973802	0.1796008	0.5656237	0.3826418	0.9778390	0.4983480	0.0848938	1.0403136	0.1143381	1.0226263	0.8423259	1.0643095	0.0899281	0.2107786	0.9581651	0.1966812	0.3330985	0.9740077	1.0174399	1.0557152	0.6729224	0.1025635	0.9439941	0.0234776	0.7416771	0.7537156	0.9821667	1.0088380	1.0765462	0.0020708	0.2859602	0.3583408	0.5432927	0.6530126	0.7197036	1.0084082	0.5777211	1.1128816	0.8438815	0.1848643	0.6690318	1.0429951	1.0373315	0.9676888	0.8037881	0.7935768	1.0014852	0.9380209	0.1182004	1.0536492	0.0655241	0.7831529	0.6694772	1.0222980	0.3201051	0.1358646	0.0420224	0.9974742	0.0649201	0.0338455	0.9966320	0.3196990	0.9514268	0.5504630	1.0016464	1.0215961	0.0253343	0.6315689	0.7707445	0.9937756	0.7051536	0.9965346	1.0677484	0.9593844	1.0060101	0.5811064	0.3401100	1.0008428	1.0361378	0.9598878	0.0835442	0.0688256	1.0013482	0.7958822	0.9007128	0.3853014	1.0318184	0.4811567	0.2256902	0.9596501	0.2149525	0.5571089	0.2229562	0.6067046	0.6702061	0.9351526	0.2702668	1.0456909	1.0571115
0.9474670	0.9062176	0.2094501	0.5232944	0.4247465	1.0509909	0.9902520	0.0355773	1.0559735	0.1545115	1.0689214	0.7993007	0.9654948	0.1047316	0.1339570	1.0223208	0.1878791	0.3188382	1.0542143	1.0355167	1.0264597	0.6669527	0.1351262	0.8669266	0.0359328	0.7277987	0.7530968	0.9579651	1.0710393	0.9212661	0.0155205	0.2791479	0.3877558	0.5011577	0.4912066	0.7548765	1.0635280	0.5754519	1.0039449	0.8967889	0.1522566	0.7004455	0.9947799	0.9620817	0.9515895	0.8062878	0.8360783	0.9974552	0.9942176	0.1269738	1.0516623	0.0588602	0.7715837	0.7138658	1.0809746	0.2639378	0.0964756	0.0336638	0.9802597	0.0451633	0.0437385	1.0358817	0.3391483	0.8565841	0.4751597	0.9823823	1.0546051	0.0367103	0.6175638	0.7898126	1.0286101	0.7468915	0.9067580	0.9971657	0.9667619	0.9291293	0.5578035	0.3427566	1.0042885	1.0325157	0.9525055	0.0739436	0.0527319	0.9681071	0.8910271	0.9089220	0.4438430	0.9785528	0.4973487	0.2271839	0.8421685	0.2820187	0.5044760	0.2358170	0.6090432	0.6135828	1.0059519	0.2533792	0.9513112	1.0767117
1.0612107	0.8451015	0.1745586	0.4698013	0.5639633	1.0790656	0.9541232	0.0514293	0.4877270	0.1283628	1.0195890	0.7885796	1.0173366	0.0877908	0.1813294	0.9620302	0.1966902	0.3436048	1.0853660	0.9871111	0.9531120	0.6640112	0.1420907	0.9371564	0.0271799	0.7818786	0.7361367	0.9835482	0.9490803	0.9575964	0.0042678	0.2565695	0.3180956	0.5502969	0.4080462	0.7535009	1.0530127	0.6078385	1.0218202	0.8435200	0.1550023	0.7670561	0.9421067	1.0437798	0.9436576	0.7732952	0.7396081	0.9973312	1.0711572	0.1122252	1.0738063	0.0783173	0.7982789	0.7490724	1.1082710	0.3173051	0.1301598	0.0326758	1.0693359	0.0349766	0.0246296	1.0280031	0.2622399	0.9093624	0.4862999	0.9825857	1.0857050	0.0351579	0.6146795	0.6866320	0.9044155	0.7306169	0.9675954	1.0099772	0.9867142	0.9750568	0.6013234	0.3762104	1.0456048	1.0614331	1.0195733	0.0774369	0.0673442	0.9388279	0.7994734	1.0081876	0.4160149	1.0200306	0.5309178	0.2752430	0.8017835	0.2115825	0.5075272	0.2000882	0.5590748	0.6641602	0.9947621	0.2884229	1.0713596	1.0008815
1.0558650	0.9225223	0.1747682	0.5338879	0.4008500	0.9506736	0.9624995	0.0832953	1.0253372	0.0487892	1.0204634	0.8425250	0.9810590	0.0731496	0.2080140	0.9704052	0.2083261	0.3517046	0.9816461	1.0481960	0.9896036	0.7191957	0.1129070	0.9986512	0.0365006	0.7790109	0.8215311	1.0759531	1.0269098	0.9200923	0.0075288	0.3059628	0.3635596	0.5660690	0.6273128	0.6620962	0.9190370	0.5452804	0.9823342	0.7986894	0.1023614	0.6977371	0.9742086	1.1006383	0.9585192	0.8938401	0.7568139	1.0225343	0.9727195	0.1292269	1.0641796	0.0396255	0.6770089	0.7594240	1.0724706	0.3140871	0.1245019	0.0247578	1.0892747	0.0505233	0.0437780	1.0488027	0.3257550	0.8543429	0.5054044	1.0391569	0.8981658	0.0309297	0.5666989	0.7803704	1.0006006	0.7087728	1.0322401	1.0327042	0.9813608	0.9753828	0.5196910	0.2802832	1.0591290	1.0119805	1.0413372	0.0818234	0.0557337	1.0340305	0.6724545	0.9205379	0.4102966	0.9859853	0.4801409	0.3200808	0.9412158	0.2216586	0.6006015	0.2112832	0.6093383	0.6965259	0.9666734	0.2840576	1.0574302	1.0319000
