YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.0000000	0.0030764	0.5919509	0.1839926	1.0440542	0.9904316	0.9467252	0.1628844	0.9532055	1.0070677	0.9627862	0.7199710	1.1011848	0.0993011	0.2558418	0.9663893	0.2177134	0.2108350	1.0222735	0.9890762	1.0298393	0.6776407	0.0980613	0.9829706	0.0066920	0.6900293	0.8249737	0.9356455	0.9755609	1.0375433	0.0188104	0.0588932	0.3174536	0.5607128	0.4733737	0.7452575	1.0420429	0.5250671	0.9995411	0.7770350	0.1913468	0.7238266	0.9732764	1.1295528	1.1031728	0.8185440	0.7391113	0.9839373	1.0319250	0.1157749	1.0285073	0.0783581	0.5895823	0.9122886	1.0304642	0.2347803	0.1117381	0.0189527	1.0576931	0.0367845	0.0266776	1.0069162	0.3736700	0.7975788	0.5409232	1.0886024	1.0583226	0.0448899	0.6726357	0.7732390	0.9538131	0.7481130	0.8594910	1.1271917	1.0538752	0.9408304	0.5130730	1.0347629	1.0950421	1.0367502	0.9491103	0.0964029	0.0562476	0.8133161	0.5111481	0.9456293	0.4357149	0.9188310	0.5042093	0.2203843	0.9840807	0.1357487	0.5349512	0.2015700	0.6898067	0.6375813	1.0401560	0.2890554	1.0299648	0.9807892
1.0684105	0.0000000	0.1653018	0.5358479	0.4819006	1.0250591	0.9814299	0.0902354	1.0684570	0.1299709	0.9707144	0.8161673	0.9409137	0.1002571	0.1807657	1.0492203	0.1660177	0.3413395	1.0645468	0.9618981	1.0062145	0.7260366	0.1483741	0.9891229	0.0175761	0.7999578	0.7814518	1.0001319	1.0447901	0.9859006	0.0055611	0.3101913	0.3182176	0.5850046	0.5481583	0.6988168	0.9839315	0.5625706	1.0198518	0.8242257	0.1774925	0.6926134	1.0032324	1.0342722	1.0346332	0.7772642	0.7992631	0.9647239	1.0460235	0.1499006	0.9795376	0.0498401	0.8391311	0.5593983	1.1079145	0.2962945	0.1657957	0.0139970	1.0582837	0.0377912	0.0492176	0.9660766	0.2816436	0.8983023	0.6202250	1.0846173	0.9690059	0.0587058	0.6121379	0.7450891	1.0520358	0.7106351	0.9459545	1.0956772	0.9886578	0.9232366	0.5788669	0.3265519	0.9988249	1.0545151	1.0241108	0.0673397	0.0404824	0.8068549	0.6001838	0.9838110	0.3888601	0.9583662	0.5327406	0.2516326	0.8721374	0.2325020	0.5846358	0.1970437	0.5844552	0.6578707	1.0028890	0.2411509	1.0021146	1.0262552
1.0462772	0.9666400	0.0000000	0.5717641	0.4781337	1.1062617	1.0356507	0.1634804	0.9986887	0.0879312	0.8272526	0.7461454	1.0528327	0.1116777	0.2054456	0.9983730	0.2137482	0.3728120	0.9982396	0.9664508	1.0360678	0.7387683	0.1116257	1.0106225	0.0318207	0.6987180	0.7618891	0.9608247	0.9689735	0.8951350	0.0280661	0.3207144	0.3175049	0.4898322	0.6358938	0.6740263	1.0338089	0.5013648	0.9799421	0.8400373	0.1848989	0.6709804	1.0342195	1.0391999	0.9518297	0.8618151	0.7127544	0.9708333	0.9094209	0.1133420	1.0570931	0.1261990	0.6006379	0.7373558	0.9929280	0.3267071	0.1274569	0.0220423	0.9873454	0.0382199	0.0464096	0.9746367	0.3320369	0.9012928	0.5733083	1.1010551	0.9692762	0.0287779	0.7126568	0.8035798	1.0098426	0.6826889	0.9685703	1.0249287	0.9062388	1.0658064	0.5169444	0.3290423	0.9643487	1.0588977	1.1377814	0.0916755	0.0537951	1.0169698	0.7612188	0.9067520	0.4238124	0.9344227	0.4332031	0.2993853	0.8897460	0.2783723	0.5926786	0.2061547	0.5718848	0.6952611	1.0523126	0.2246056	0.9881982	1.0598689
0.9843441	0.8705652	0.3360665	0.0000000	0.4395846	0.9695042	1.0375038	0.0450195	0.9633191	0.1084025	1.1121434	0.7900133	1.0547498	0.1014554	0.2624521	1.0621481	0.2456136	0.3450997	1.0092407	0.9824344	1.0451904	0.6806179	0.0845979	0.9845250	0.0353475	0.7833074	0.7000516	0.9725229	0.9869857	1.0205606	0.0063369	0.3247902	0.3691553	0.5433271	0.5929802	0.7518575	1.0354132	0.5766496	1.0495423	0.7896326	0.1482027	0.7360446	0.9707474	1.0558556	1.0354218	0.8085290	0.6763897	0.9097288	1.0503924	0.1088314	1.0311466	0.0622255	0.7246442	0.7329676	0.9568379	0.3238425	0.1242513	0.0257887	0.9941461	0.0221251	0.0258986	0.9944718	0.2714424	0.8809292	0.4887389	0.9652820	0.9642722	0.0253870	0.6192250	0.7718196	1.0847789	0.6972531	1.0085252	0.9328578	1.0069422	0.9731975	0.5733422	0.3759644	1.0147909	1.1236003	1.0157538	0.0635042	0.0547470	0.9622884	0.8098415	0.8039941	0.4421401	0.9591166	0.5402914	0.2904508	0.8089279	0.1612204	0.5496102	0.1903686	0.5799803	0.7293383	1.0521523	0.3349603	0.9379824	0.9249341
1.0729947	0.9189808	0.2054372	0.5697788	0.0000000	1.0063606	0.9917596	0.1494193	0.9856436	0.1193904	1.0159408	0.7430003	0.9642589	0.0951819	0.2050304	1.0088846	0.2046980	0.3186389	0.9709889	0.9498489	1.0209072	0.7028399	0.1035986	1.0080798	0.0418560	0.7504834	0.7761330	1.0221952	1.0228934	1.0620800	0.0164972	0.3044993	0.3742337	0.4744518	0.6199320	0.7273141	1.1509468	0.5687279	1.0372407	0.8100549	0.1604046	0.7459391	0.9470147	1.0351211	1.0342919	0.7807836	0.7446157	1.0163531	0.9950116	0.1108115	1.0435331	0.0997509	0.5830034	0.7284130	0.9697854	0.2790139	0.0913148	0.0232136	1.0616541	0.0419533	0.0326795	0.9881476	0.3147806	0.9301477	0.5130416	0.9971348	0.9977214	0.0340575	0.6127381	0.7154729	1.0167875	0.6785426	0.9603441	1.0469495	0.9967363	0.8824557	0.6474181	0.3185458	0.9291513	0.9941895	1.0244070	0.0490951	0.0673816	1.0530789	0.8134646	0.8910446	0.3870558	1.0359251	0.4596718	0.2526911	0.8924459	0.2520889	0.4725011	0.2046595	0.5834395	0.5985930	1.0540515	0.2776749	1.0179958	0.9887606
1.0499465	0.9500047	0.3260851	0.5463466	0.4591906	0.0000000	1.0067292	0.0584979	1.0158906	0.1221607	1.0107141	0.7943567	1.0426074	0.0747042	0.2366748	1.0892557	0.2044972	0.3040345	1.0213839	0.9810855	1.0228306	0.6314156	0.0887128	0.9892632	0.0368897	0.7724462	0.7028858	0.9903467	1.0150642	1.0294962	0.0056207	0.2953040	0.3256341	0.5810133	0.6216559	0.6799338	1.0185735	0.5973293	1.0394997	0.8233270	0.1398917	0.7696999	0.9159386	0.9704247	0.9428987	0.8305265	0.7039555	0.9990494	1.0061885	0.1065892	0.9920898	0.0751863	0.7665324	0.6086514	0.8924485	0.3620051	0.2119503	0.0402448	0.9963282	0.0535982	0.0436842	1.0773797	0.3719006	0.8781065	0.5107428	1.0162598	1.0521828	0.0369141	0.7110824	0.6853507	1.0740661	0.6729363	0.9611131	0.9509043	0.9929117	1.0271364	0.5561087	0.3546314	1.0097161	1.0846591	0.9790037	0.0738624	0.0514053	1.0307394	0.6674887	0.9237774	0.4399923	0.9392853	0.4258974	0.2197606	0.9139146	0.1642212	0.5122200	0.1891967	0.5770814	0.7038748	1.0151507	0.3355660	0.9512383	0.9608330
0.9508380	0.8033496	0.1877492	0.4712344	0.4099570	0.9401243	0.0000000	1.0354868	0.9932576	0.1248988	1.0311718	0.7931471	0.9883459	0.0961766	0.1918257	1.0128615	0.2317904	0.3448822	0.9890005	1.0107754	1.0599892	0.7929290	0.1153946	1.0065875	0.0499668	0.7695853	0.7397307	1.0641229	1.1241784	0.9832039	0.0081255	0.3247547	0.3351410	0.4742228	0.5325229	0.7357593	1.0085120	0.5599686	1.0561213	0.8904082	0.2091742	0.7418977	0.9716143	1.0591433	0.9589271	0.8605267	0.7344629	0.9477699	0.9434652	0.1360533	1.0672121	0.0622265	0.8305422	0.6792744	1.0434007	0.2665669	0.1183198	0.0152125	0.9936471	0.0418853	0.0346029	1.0268991	0.3408873	0.8650239	0.4760356	0.8720283	1.0110868	0.0233720	0.7276574	0.7455584	1.0404997	0.7373155	1.0233656	0.9891879	0.9861223	0.9182074	0.5635697	0.3456723	1.0118196	1.0272798	1.0422552	0.0716721	0.0535977	1.1144823	0.6958564	0.9649470	0.4400341	0.8410544	0.5364654	0.2228544	0.9460402	0.1668820	0.5070603	0.2359577	0.6030957	0.7045187	0.9633543	0.3040937	0.9893181	1.0509847
1.0381145	0.9306321	0.1784341	0.5436838	0.4313001	1.0482821	1.0336074	0.0000000	1.0173501	0.1210952	1.0606974	0.8150075	0.9932352	0.1181043	0.2061640	1.0977605	0.1655744	0.3566613	1.0614160	1.0049139	1.0033442	0.6410829	0.1103893	1.0169886	0.0239192	0.7147749	0.7501413	1.0522138	1.0199750	1.0206159	0.0036573	0.3042871	0.3457984	0.6170550	0.3368799	0.5736021	0.9561747	0.5627001	0.9515206	0.8311841	0.2045829	0.6553129	0.9732344	1.0109177	0.9974422	0.8225186	0.8164173	0.9548225	0.9436697	0.1353169	0.9891841	0.0691329	0.6952859	0.7963898	1.0096547	0.2888495	0.1208615	0.0428169	0.9755548	0.0566878	0.0261758	0.9829200	0.4125159	0.8739790	0.5254955	0.9311734	0.9580233	0.0248225	0.6644608	0.7811935	1.1043695	0.7021766	0.8895939	0.9726806	1.0697103	0.9534623	0.5835272	0.3645290	1.0387101	1.0588809	1.0645790	0.0779102	0.0458407	1.0127563	0.7804234	1.0107374	0.4266661	1.0078952	0.5502433	0.3068487	0.8693288	0.1773880	0.5629648	0.2139607	0.5993814	0.6619303	0.9758294	0.2626009	0.8727896	0.8930373
1.0382941	0.9181615	0.0751626	0.5669686	0.4208568	1.0336639	0.9303906	0.0907264	0.0000000	0.1216352	0.9859721	0.7633175	1.0043257	0.0918792	0.1892872	0.9565196	0.2195340	0.3513016	1.0079986	0.9654962	0.9969351	0.7015981	0.0781663	0.9691572	0.0274378	0.6874570	0.8262652	1.0118359	1.0357437	1.0300620	0.0061047	0.2990664	0.3939057	0.5171606	0.6298083	0.6367802	1.1072652	0.6079708	0.9738053	0.9238414	0.1646508	0.7413653	0.9469510	0.9499563	0.9894221	0.8383654	0.7614894	0.9139582	0.9407525	0.1354315	1.1250433	0.0829791	0.6181553	0.9557865	1.0586380	0.2673648	0.1036255	0.0309265	0.9608868	0.0462245	0.0320744	1.0365208	0.3085175	0.8927385	0.5746125	1.0352324	1.0114416	0.0239914	0.6976265	0.8145954	1.0124946	0.6952899	0.9196547	0.9593240	1.0492412	0.9961518	0.5989749	0.3299912	1.0647938	1.0077917	1.0702436	0.0416886	0.0514921	1.0062931	0.7604744	1.0236185	0.3601275	0.9520806	0.5076075	0.3176995	0.6057094	0.1906446	0.4700260	0.2192813	0.5688953	0.6655890	0.9569889	0.2953237	0.9955935	1.0616333
1.0580452	0.8642316	0.2003694	0.4692382	0.4723037	1.0095588	1.0190269	0.0819760	0.9451007	0.0000000	1.0443599	0.8964412	0.9349577	0.1006454	0.2521833	0.9688213	0.2078882	0.3509624	0.9873366	0.9478194	0.9734512	0.7017971	0.0941956	1.0523997	0.0397787	0.7377638	0.7212217	0.9689855	1.0053031	1.0993601	0.0058073	0.3392367	0.3618048	0.5852962	0.5520902	0.6581421	1.0226359	0.6266938	1.0583652	0.8036341	0.1568646	0.6742497	1.0685431	1.0172162	1.1055520	0.7572611	0.6721106	0.8818877	1.0522124	0.1005418	1.0579980	0.0496957	0.7613592	0.6994867	1.0086638	0.3494476	0.1163704	0.0476247	1.0357857	0.0352787	0.0537909	1.0810501	0.3743793	0.8125941	0.5391986	0.9872518	1.0741854	0.0183948	0.6241069	0.7964392	1.0730978	0.6975276	0.9228493	0.9855080	0.9513246	0.9534224	0.5823455	0.3578335	1.0195913	1.0757297	0.9656465	0.0926941	0.0338597	0.9830737	0.7661065	0.9330572	0.4200703	0.9797936	0.5846921	0.2920169	0.9630820	0.1444011	0.5869997	0.2206150	0.6379188	0.6421363	0.9837526	0.4027348	0.9743396	0.9770727
