YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0568860	1.0056904	0.1554904	0.4950199	0.3592964	0.9024345	1.0846031	0.9077481	0.8838744	0.0527669	0.9058569	0.7915818	0.9779719	0.8697523	0.3835008	1.0970857	0.0615642	0.4052974	0.8620355	0.9409079	0.9854388	0.6363144	0.3397474	0.9277823	0.0019475	0.8451605	0.3750707	0.7032336	0.9216052	1.0235441	0.0004327	0.4519167	0.0535944	0.5693530	0.0019566	0.4512132	0.9693166	0.8081790	1.0154754	0.8744893	0.4628524	0.5811283	0.9648429	0.8997905	0.8712963	0.7633304	0.9859313	0.7876291	0.9869538	0.1425449	0.9414961	0.0009285	0.6126148	0.7646220	0.8899839	0.3238521	0.0906390	0.0089035	0.3479950	0.3862327	0.5128053	1.1240645	0.4216002	0.8408903	0.5720255	0.7433139	1.0237686	0.0041201	0.6925616	0.4659320	1.0712902	0.6572531	0.6237041	0.9923726	0.9682629	0.8901105	0.5384476	0.2319347	1.0223280	1.1136098	0.7055164	0.0171275	0.0698262	0.7417470	0.8280851	0.8180547	0.3446491	0.9869713	0.1857639	0.1008277	0.4448022	0.2980526	0.5430639	0.1014370	0.6349479	0.6210639	0.6855960	0.8919574	0.5824841	0.9929583
0.9832378	0.9667113	0.3003139	0.8216469	0.3898696	1.0097763	0.9465620	0.1338988	0.8977818	0.0522405	0.9412932	0.5314941	0.9829958	0.7027073	0.0279358	0.9147993	0.2162941	0.3588428	0.9852314	0.9659508	0.9818468	1.0149713	0.2562432	1.0809792	0.0833999	0.3115658	0.8388146	1.0109910	0.9762656	1.0424422	0.3188129	0.1206780	0.1385982	0.4911897	0.4969492	0.9993492	1.0843248	0.4440881	1.0168704	0.8747756	0.5464815	0.7436629	0.9487120	0.8330967	0.9721903	0.7785289	0.7352650	1.0217807	0.9657231	0.1264132	0.4466840	0.0081428	0.7722863	0.7000011	1.0645586	0.2515455	0.0936412	0.0105339	0.9504892	0.0241118	0.0046073	1.0471558	0.3232924	0.7523943	0.6776962	0.9286847	1.0256471	0.0131710	0.7543084	0.8940556	0.9603129	0.8069904	0.6416812	0.9116347	1.0740069	0.8015781	0.7738496	0.3314243	1.0268223	0.7662056	0.9298780	0.3018430	0.2808487	0.9854880	0.9999320	0.5104864	0.1403932	0.7248890	0.2157429	0.3038983	0.9199894	0.4384253	0.5262057	0.3641555	1.0654905	0.4524419	0.8183662	0.1792506	1.0240035	0.9712003
1.0950545	1.0364172	0.2642226	0.5439509	0.4305935	1.0169908	0.8480367	0.3690836	0.7201895	0.0755481	1.0214633	0.7757324	1.0502467	0.1765798	0.4445070	0.7713808	0.2249439	0.3406680	0.9475601	0.8308147	0.9758627	0.6768842	0.0850065	0.5398096	0.3451987	0.1119617	0.6489189	0.9149198	0.9124866	0.6261570	0.4588522	0.2145549	0.3765288	0.7873346	0.5212165	0.8624593	0.6432672	0.5289150	0.6415250	0.4100087	0.0446444	0.7494048	0.9724789	0.9557762	0.9375720	0.7165533	0.6706165	0.9498085	0.9621298	0.0579593	0.8678581	0.2120856	0.4646112	0.8530063	1.0605959	0.1585237	0.0285792	0.1041523	0.6391991	0.1131228	0.0221039	0.9635392	0.6878967	0.6221839	0.3541028	0.9599888	1.0122355	0.0040578	0.6159778	0.5440074	0.9787146	0.6603163	0.9673323	1.0546239	0.8840091	0.8731177	0.5948272	0.2615063	0.9789633	1.0400046	0.9660749	0.0017125	0.6285805	1.0279604	0.3598220	0.9577678	0.0939669	0.9705165	0.4821394	0.2615732	0.4621833	0.3899305	0.5862827	0.3520545	0.5317995	0.8681396	0.5900546	0.1626381	1.0116696	0.9505036
0.8219258	0.9105037	0.0742621	0.6303776	0.5483336	0.9416974	0.9321480	0.0005379	0.8438705	0.1759550	0.9209378	0.5170554	0.8598643	0.3651226	0.1873248	0.9870892	0.0014856	0.3568119	0.9830904	1.0094896	1.0502681	0.2639543	0.1034315	0.9621532	0.0165983	0.5457318	0.5898037	0.6004367	0.9289730	0.7530460	0.3746867	0.3275945	0.1666969	0.7208999	0.0263605	0.5332082	0.8611998	0.5050758	1.0989371	0.9050116	0.5064803	0.4571285	0.5323414	1.0506795	0.9256156	0.8542833	0.9412819	0.9720009	1.0184187	0.0141980	0.7700713	0.0699557	0.9038217	0.6983850	0.4814668	0.6021795	0.7225428	0.5993273	1.0398532	0.0249515	0.0047159	0.9891048	0.2346253	0.9309437	0.3321049	1.0938706	1.0154642	0.0026604	0.6409547	0.7722579	1.0143447	0.6857215	0.4644945	1.0445099	0.9397027	0.7846417	0.6573723	0.3943745	1.0788404	0.9068956	1.0286123	0.0033130	0.4026192	0.8299687	0.9068400	0.9245860	0.3894519	0.8544263	0.5472428	0.2779187	0.9076309	0.3921186	1.0412670	0.4533210	0.2812202	0.6034546	0.6925009	0.3657657	1.0712184	0.9106345
1.0406413	0.9060667	0.2757523	0.5238899	0.4276934	0.9807528	0.7752558	0.0007568	0.9332351	0.0926434	0.9373061	0.7495867	1.0265331	0.0519382	0.2836436	1.0337367	0.2229917	0.3121967	1.0505278	0.8858954	0.7658731	0.3670196	0.0725369	1.0076731	0.4579610	0.2401255	0.5078564	0.9196631	0.9990227	0.8582154	0.0007389	0.4194789	0.3928506	0.5646117	0.5388785	0.6649685	0.9511354	0.5175351	1.1023880	0.8237014	0.2591675	0.7599336	0.9966535	1.0424789	1.0542410	0.7536033	1.1173520	0.5990480	0.9221757	0.1779247	0.6122156	0.0681969	0.8358423	0.3193911	0.5881211	0.7344899	0.5292915	0.2685402	0.4899342	0.1852007	0.0664612	0.9512145	0.2812422	0.4111026	0.7614200	1.0457664	0.7812751	0.0411808	0.5111120	0.5477104	0.8982651	0.5109416	0.8052245	0.9661207	1.0526896	0.9355311	0.5179956	0.3070585	0.9785166	1.1029201	0.9701579	0.0999652	0.2718873	0.9663426	0.8513760	0.9757892	0.9621966	1.0015838	0.0179170	0.4882914	0.8488593	0.3260136	0.6961163	0.6231808	0.5920245	0.7166574	1.0186320	0.2308484	0.8734033	0.9223048
0.7592852	0.8708649	0.5297842	0.5652445	0.5075966	0.9588630	0.9612639	0.1613218	0.9241166	0.1193753	0.3124572	0.7997744	0.7890874	0.3159590	0.6125423	1.0305771	0.1467452	0.2043669	1.0636433	0.9158946	0.7551456	0.5595629	0.1548232	1.0241157	0.0074318	0.8197566	0.5848936	0.8909074	0.8809129	0.9833957	0.2814202	0.1582345	0.1551944	0.5239657	0.2561951	0.2772538	1.0143510	0.5237538	1.0710019	0.9238482	0.3690495	0.6558506	1.0344374	1.0313050	0.9953688	0.7227334	0.7250008	0.7275437	1.0019541	0.1204968	1.0645053	0.0014455	1.0725194	0.3167716	1.0114081	0.2453296	0.1431447	0.0183518	0.9850485	0.0405647	0.0866893	1.0760429	0.1666420	0.9816015	0.4999348	1.0002582	0.9896401	0.0028919	0.7586698	0.7134388	1.0077721	0.6145662	0.7299048	1.0288705	0.3490613	0.2889134	0.2493892	0.3967291	0.9373988	1.0091056	0.6242228	0.1219710	0.4723554	1.0940400	0.9675008	0.8969182	0.6558551	0.9991262	0.0593953	0.1709055	0.6319153	0.1758858	0.6108471	0.0731006	0.2168285	0.6165134	0.8929991	0.4624397	0.9208880	0.9405606
0.7626616	0.8664794	0.4410575	0.4674355	0.4190958	1.0232618	0.9902256	0.6144762	0.9983743	0.2798384	0.9475850	0.8441234	0.9251666	0.2369062	0.1999755	1.0427502	0.2047319	0.2696301	0.9650729	0.8871331	1.0527783	0.6683213	0.0359845	0.8505974	0.0162439	0.7435715	0.7282610	0.8995376	0.9862471	1.0732229	0.4082519	0.1303098	0.3789241	0.7117918	0.8133367	0.8584211	1.0179772	0.5403115	0.9691290	0.8260480	0.3791636	0.8868268	0.7406867	0.9791374	0.9113149	0.9112319	0.6823088	0.8380645	0.9328975	0.0992169	0.8513872	0.0482801	0.6806173	0.7718106	1.0105324	0.1180035	0.0642758	0.0375137	1.1115832	0.0046597	0.1090953	0.9386744	0.4123932	0.8492870	0.6511589	0.9529006	0.5785765	0.0820032	0.3930949	0.7178624	0.9913263	0.7991533	0.7070002	0.9991500	1.0070328	0.8150009	0.6605938	0.3763002	0.5390935	0.9485154	0.8088913	0.3910008	0.0337093	0.7458633	0.8179825	0.7898426	0.6149897	0.8441737	0.2301853	0.3200777	0.9367250	0.0787223	0.6583142	0.1715768	1.0345306	0.5212709	1.0697940	0.7002964	0.9296087	0.5909673
0.8891061	0.9076764	0.0578505	0.3989972	0.4824077	1.0183952	0.7208304	0.0055183	1.0355183	0.1496740	1.0342322	0.8339712	1.0183194	0.0220919	0.8735252	0.8069577	0.1947640	0.1447589	0.8529740	0.7334809	0.8017641	0.3897643	0.1230333	0.9251575	0.0908159	1.0531804	0.0059466	1.0536085	1.0219018	0.8156641	0.1963552	0.8022498	0.3694726	0.5316302	0.5791104	0.8124154	0.5339787	0.4839460	1.0003222	0.7979585	0.1218817	0.9379780	0.9824744	1.0289929	1.0160328	0.9664240	0.7435750	0.7934805	0.8857437	0.1132818	1.1069700	0.0032610	0.9184904	0.4060887	0.9142057	0.4194927	0.3073793	0.3268908	0.9960342	0.0207296	0.0135139	1.0500346	0.2286103	0.7907192	0.5094918	1.0189467	0.6118151	0.0166306	0.4065464	0.1491232	0.5948183	0.7396045	0.7165708	1.0044546	1.0392066	0.9183183	0.5314161	0.2742580	1.0359869	1.0596646	0.9649876	0.0037740	0.0135599	0.9772205	0.9180960	0.9388572	0.9417980	0.9686825	0.5230961	0.0093778	0.7971844	0.0777667	0.6484089	0.0821540	0.0438933	0.8477765	0.9769309	0.7587398	0.7107763	0.8620109
0.9791590	0.9816861	0.7415058	0.4551487	0.4260058	0.6514846	0.9777130	0.5133683	1.0166463	0.0645564	0.7612991	0.8055128	1.0283299	0.0556384	0.0010029	1.0516060	0.1088603	0.3347566	1.0250464	0.7965708	0.2282852	0.1849376	0.1389758	0.9970928	0.0029037	0.9232425	0.4605574	0.9737574	0.6789836	1.0121753	0.8870268	0.1217953	0.3430962	0.5249601	0.6823759	0.9134423	0.7310459	0.5543768	1.0778355	0.9168646	0.3480627	0.5041660	0.9561750	0.7752850	1.0028991	0.8908843	0.7209865	0.7507597	1.0107054	0.0302442	0.9584704	0.0063381	0.9259398	0.6118402	0.9970724	0.2954241	0.0733923	0.3793727	0.7712568	0.0556961	0.0088420	0.8938360	0.2236419	0.8199362	0.2991081	0.9950925	1.0153454	0.0220456	0.7010568	0.2402433	1.0306223	0.3538850	0.8071125	0.9608127	0.8807030	0.8618934	0.4845190	0.3336947	0.8844463	0.9858791	1.0121836	0.0084583	0.0470333	1.0216864	0.4362727	0.9741226	0.8613639	0.8285562	0.5990592	0.1602700	0.8698280	0.1446629	0.5363779	0.1498004	0.3676546	0.7093105	0.7482331	0.4566988	0.9364012	0.6311800
0.5745736	0.8754566	0.6500581	0.5692130	0.6003604	0.8349676	1.0605578	0.0008753	0.9611126	0.3271294	0.9816606	0.7129283	0.6705817	0.1349644	0.1270877	0.9005674	0.2040266	0.3863470	0.8688288	0.9954007	0.9775753	0.5939285	0.0962999	0.9909205	0.1616361	0.5375693	0.7827696	0.9910361	1.0570341	0.9770651	0.1117011	0.0509731	0.2241215	0.5156946	0.2395883	0.8776411	0.8626403	0.7095550	1.0123903	0.8561588	0.1711911	0.5751860	0.9850831	0.8577855	0.9515454	0.8813675	0.6693796	0.9391398	0.9882682	0.0188385	0.9906384	0.0083230	0.8154281	0.6071583	1.0064965	0.3109038	0.1262117	0.1568231	1.0383202	0.0452203	0.2870548	0.9563777	0.3426235	0.8786320	0.4745623	1.0184532	0.9816381	0.0341819	0.4888474	0.8438317	1.0439207	0.6960078	0.9266826	0.9842244	0.8821328	0.8810608	0.5241483	0.5000691	0.7165448	0.9442580	1.0248169	0.3472601	0.3698512	0.7661888	0.8914023	0.8584942	0.5603756	1.0200306	0.4647428	0.2083170	0.5893834	0.3310079	0.4662455	0.0788113	0.8805264	0.7702527	1.0105316	0.8456265	0.9512289	0.9041688
