"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	1.0196057	0.8873837	0.2204611	0.5377277	0.4557510	1.0335368	1.0692037	0.0833881	0.8958962	0.1241751	1.0026389	0.8624398	1.0246329	0.1115075	0.2434843	0.9613112	0.2330198	0.3600390	0.9838378	0.9453111	1.0034624	0.7350081	0.0963691	0.9437859	0.0375407	0.6225321	0.7242315	1.0357758	1.0907542	0.9374689	0.0055187	0.2669316	0.2906618	0.5303188	0.4961147	0.6699012	0.9757227	0.5578652	0.9948622	0.9275874	0.1449302	0.8013831	0.9876990	0.9202934	0.9636161	0.7856097	0.8427424	0.9330595	1.0554779	0.0769571	0.9707387	0.0713913	0.7483207	0.7867607	0.9965143	0.2567844	0.0782809	0.0237718	1.0871374	0.0418330	0.0151036	1.1525696	0.3516926	0.8724459	0.5065442	1.0088140	0.9936346	0.0413670	0.5612725	0.7328345	0.9196745	0.7783233	0.8759868	0.9737923	0.9933229	0.9606545	0.6083419	0.3886487	1.0617319	1.0221878	1.1330912	0.0578701	0.0358558	1.0401274	0.8255542	0.9537560	0.4990175	1.0436817	0.4682154	0.2430566	0.8458063	0.2351545	0.5209528	0.2201683	0.6187095	0.6779769	0.9166337	0.2845320	0.9466531	1.0918578
100	0.9282597	0.8264321	0.2235383	0.6220002	0.4066117	0.5419540	0.8944764	0.0559059	0.9139969	0.0916645	1.0004844	0.8385970	0.7791326	0.5315117	0.0584897	1.0283493	0.1932876	0.1987451	1.0883546	0.8277822	0.6795383	0.8127554	0.0327668	0.8933138	0.0315932	0.8636900	0.8338600	0.9313133	0.9186107	0.9911724	0.0031392	0.3392799	0.3447597	0.5969713	0.6363970	0.5080249	0.9206843	0.6106377	0.9307203	0.8708613	0.2421232	0.9257645	1.0038254	0.4764734	0.9514986	0.8597420	0.8328839	0.7179401	0.5030982	0.1505177	1.0190554	0.0470260	0.6450137	0.7348138	1.0220108	0.2751469	0.1016234	0.2469658	0.6749813	0.0463023	0.0484403	1.0127740	0.3687122	0.8744965	0.7937477	1.0187377	1.0377176	0.0320001	0.7129498	0.6037189	0.8856004	0.7093429	0.9246140	1.0560267	1.0893089	0.9028095	0.5819793	0.3052420	0.9004199	1.0228044	1.1440269	0.2614473	0.2010247	1.0288270	0.7039915	0.8531899	0.4244924	1.0126096	0.5089788	0.2721384	0.9577141	0.2051912	0.7846927	0.2490014	0.7400744	0.5930178	1.0539909	0.3603980	0.8768160	0.8722000
200	0.9416754	0.8258869	0.2125991	0.7600231	0.4424112	0.4313761	1.0878396	0.0695154	0.9220085	0.0701952	0.9753299	0.7492453	0.7898934	0.6190105	0.0187309	1.0731655	0.2379712	0.1174781	1.0614876	0.6587837	0.6055507	0.8568809	0.0023520	0.9131813	0.0493342	0.8144960	0.8821493	1.0399142	0.9326023	0.9212181	0.0001226	0.3006363	0.3418036	0.5674746	0.6527134	0.4095564	0.9833776	0.5657021	0.9744041	0.8062340	0.2694521	1.0748409	1.0382266	0.4629104	0.9796311	0.9023222	0.7827868	0.3525951	0.3303506	0.1082824	1.0462471	0.0636192	0.6277687	0.8407115	0.9658429	0.2909239	0.0918454	0.3879579	0.6127599	0.0640200	0.0306244	0.9723835	0.3266553	0.8311514	0.8727800	0.9861853	0.9655726	0.0227317	0.5818738	0.6460010	1.0001261	0.6735228	0.8706240	1.0727531	0.9804081	0.9298781	0.6209825	0.3536524	0.9105442	0.8462394	1.0654538	0.2697416	0.2050908	0.7907674	0.6986784	0.8939739	0.4127938	0.8841860	0.5048157	0.2861640	0.8600932	0.2161062	0.9058432	0.2463695	0.8301892	0.6222587	1.1038510	0.4240397	1.0126666	1.0143727
300	0.9588040	0.8174515	0.1596269	0.8564921	0.4799162	0.5158342	0.9962365	0.1787753	0.9321838	0.1177004	1.0185306	0.8036883	0.6960520	0.6149310	0.0271887	1.0958225	0.2507596	0.0722386	1.0857913	0.5849741	0.5457718	0.8425429	0.0057611	0.8975363	0.0334094	0.8789001	0.9219105	1.0184936	1.0091423	0.9039825	0.0002081	0.3162791	0.3673157	0.4991864	0.5053491	0.4582422	1.0153022	0.5373388	1.0261951	0.8064130	0.3554757	0.9108534	0.9058109	0.4000408	0.9553943	0.8296981	0.7562319	0.2663304	0.1858977	0.2090442	1.0099671	0.0624837	0.8401169	0.7020290	0.9895276	0.3263624	0.0764023	0.3688129	0.5200889	0.1873642	0.0719582	1.0905851	0.3683817	0.8905025	0.8091767	1.0097335	0.8170758	0.0262437	0.5732546	0.7584490	0.9995218	0.6491151	0.8460436	0.9375135	1.0928528	0.9325878	0.6547537	0.3304792	1.1216676	1.0430510	0.9799101	0.2624565	0.2468008	0.8431950	0.8401055	0.8619961	0.5594272	1.0091517	0.5829018	0.3502654	0.7539356	0.3155763	1.0347989	0.2492694	0.8560996	0.6233543	0.9876440	0.3636788	1.0372902	0.9886461
400	0.8483638	0.8844748	0.1187956	0.7147098	0.4694451	0.4318736	0.9333826	0.1508279	0.9892623	0.1125943	0.9519841	0.8246537	0.7333702	0.5778392	0.0221746	0.9934427	0.1974970	0.0657046	1.0780264	0.4910813	0.5433584	0.8004994	0.0017135	0.8544348	0.0321782	0.7446863	0.9318416	1.0414309	0.9784000	0.9158182	0.0023125	0.3120030	0.3492710	0.5288233	0.5599211	0.4188109	0.9913226	0.5962042	1.0035661	0.9038074	0.3102743	0.9744612	0.9539043	0.4130128	1.0330297	0.8545497	0.8075885	0.2341402	0.2000422	0.1615447	1.0355198	0.0742948	0.7103554	0.6454754	1.0728474	0.3347888	0.0928261	0.3802028	0.6108372	0.1242399	0.1327651	0.9614167	0.3734383	0.8400827	0.8329179	0.8887465	0.9564121	0.0448554	0.6333236	0.6340460	1.0221990	0.6612244	0.7626989	1.0074454	1.0531267	0.9435437	0.5916304	0.3449556	0.9158208	1.0094706	0.9630949	0.2342386	0.2322322	0.8952657	0.7182757	0.8641771	0.5095704	1.0008708	0.5667814	0.3571791	0.6843971	0.3146979	0.9233890	0.2440208	0.8913371	0.6055714	1.0078611	0.3941701	0.9056633	0.9963406
500	0.9391333	0.9358925	0.1239488	0.7224926	0.3575928	0.4867870	0.9447556	0.2940416	0.9476953	0.0973573	0.9459217	0.8171113	0.8207915	0.6953274	0.0289129	1.0172785	0.1891474	0.0975004	0.9482082	0.4756763	0.5140370	0.7660179	0.0093755	0.8945657	0.0537039	0.7921966	0.9141903	1.0060923	0.9690906	0.8651763	0.0026816	0.2409830	0.3254483	0.4176485	0.6685082	0.3531279	1.0478078	0.4800135	0.9089212	0.9127359	0.3331966	0.9747305	1.0048558	0.4864746	1.0061071	0.9641477	0.7757671	0.2247861	0.1777325	0.1612789	1.0755640	0.0557606	0.8971885	0.7126766	1.1184152	0.2224647	0.0669652	0.3330939	0.5639512	0.1697362	0.0791166	0.9500876	0.3818016	0.8000724	0.8427074	0.9639676	0.9913963	0.0353975	0.5987814	0.5800060	0.9200417	0.6084879	0.8349436	0.9674630	1.0150562	0.8689197	0.5963911	0.3446835	1.0402825	0.9986825	1.0196407	0.2791641	0.2318303	0.9167049	0.7934252	0.9077558	0.4434126	0.9711886	0.5917145	0.3499329	0.7132498	0.2078133	0.9688982	0.2343787	0.9606879	0.5907460	1.0956179	0.3980017	0.9912993	0.9620447
600	1.0075660	0.9920303	0.1139916	0.7462969	0.4110455	0.9098690	0.9822213	0.3800464	1.0116450	0.1144213	0.9939978	0.9912664	1.0033355	0.2480007	0.3152670	1.0964188	0.2806119	0.3236640	1.0856007	0.7379956	0.9338050	0.6462364	0.0760142	0.9357303	0.0438182	0.8089785	0.6836461	0.8622604	0.9524299	0.9363174	0.0033322	0.2742958	0.3755874	0.5349569	0.5277479	0.6083390	1.1630287	0.5147281	0.9465005	0.9001018	0.2815992	0.8244292	1.0991459	0.9462871	1.0538023	0.7569652	0.8134952	0.4116816	0.5685088	0.1770350	0.9984075	0.0329674	0.7682670	0.8327327	1.0217841	0.2336756	0.0920324	0.0847411	0.8125988	0.1043126	0.0750398	0.9741507	0.4206966	0.7801043	0.5373099	1.0487119	0.8683032	0.0263743	0.5534353	0.7772151	1.0263782	0.6768655	0.8934026	1.0305641	0.9910719	0.9027206	0.5979333	0.3202294	0.8942289	0.9960891	1.0340351	0.1277403	0.0714826	0.8573855	0.7896127	0.7269348	0.4208079	0.9678723	0.5679655	0.2344690	0.7121095	0.2445728	0.6144622	0.2356683	0.7031178	0.5406875	0.9510867	0.4038811	0.8954627	1.0153537
700	0.9405377	0.8273193	0.1303899	0.6149828	0.3943296	1.0616801	0.9521682	0.1605191	1.0096896	0.1041740	1.0071524	0.7826401	1.0237558	0.0974973	0.2298317	1.0161566	0.2436334	0.3393003	0.9826816	0.8765593	1.0623893	0.6977977	0.1103608	0.9577278	0.0332249	0.7005999	0.7937603	1.0499583	0.9254756	1.0441637	0.0022531	0.2943857	0.3604955	0.5599457	0.5556915	0.7004721	1.0869329	0.6584825	0.8717590	0.9098518	0.2209759	0.6978742	1.0615317	0.9541169	1.0625626	0.8345598	0.7855517	0.7761504	0.8201273	0.0753543	0.9637758	0.0395904	0.6370350	0.7152457	0.9480272	0.2460406	0.0924260	0.0346311	0.9193870	0.0430502	0.0251829	0.9809388	0.4098469	0.8037592	0.5217669	1.0842025	1.0378338	0.0225666	0.5593402	0.7948581	0.9980981	0.6416623	0.8724404	1.0386688	1.0712545	0.8919117	0.5798051	0.2905211	1.0957499	1.0389461	0.9011701	0.1127893	0.0482475	1.1298858	0.7629031	0.9845204	0.4287999	1.0260643	0.5339762	0.3060747	0.8053924	0.1677583	0.5374573	0.1716614	0.6206796	0.6532104	1.1161011	0.3286578	1.0453572	1.0489168
800	0.9813319	0.8345000	0.1809545	0.6042702	0.4091693	1.0661674	1.0379521	0.0838178	1.0605867	0.1365220	1.1125608	0.7140953	1.0394729	0.0816840	0.2606074	0.8881542	0.2171222	0.2676032	1.0417280	0.9675755	0.9278626	0.7283959	0.1114098	0.9649685	0.0319061	0.8325490	0.7089427	1.0122053	0.9013909	1.0161515	0.0101460	0.3334017	0.3975743	0.5813083	0.6141599	0.6860715	1.2072136	0.5767613	1.0086546	0.8734628	0.1489299	0.6554120	1.0385987	1.0950308	1.1160352	0.7294158	0.7654621	0.9922084	1.0476467	0.0805276	0.9962063	0.0644153	0.8125796	0.8534668	0.9961509	0.2830270	0.0988378	0.0356481	1.0901790	0.0364491	0.0385178	0.8733426	0.3743341	0.8266422	0.5372066	0.9069652	1.0666898	0.0328999	0.5596914	0.7714214	0.9872405	0.6711797	0.9117983	0.8534058	0.9801761	0.8814274	0.5681991	0.2896486	1.0024299	0.9206296	1.0198122	0.0722595	0.0618702	1.0542367	0.7193729	0.9294370	0.4125267	0.9504879	0.5584362	0.2544650	0.8157055	0.1552180	0.5230672	0.1563892	0.5075045	0.6721112	1.0097734	0.3902750	1.0173500	0.9848268
