YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0162201	0.9208198	0.2168545	0.5749218	0.4938892	0.9879467	1.0383875	0.0564106	1.0402130	0.1239081	1.0372374	0.8456295	0.9935314	0.0883509	0.3695060	1.0916599	0.2000080	0.3276944	1.0545237	0.6050907	1.1155230	0.5552628	0.0000000	1.0243026	0.0167426	0.7712037	0.7942165	1.0865005	1.0271676	0.9619553	0.0061951	0.2449044	0.3188509	0.5476075	0.6418900	0.6560794	1.0986700	0.0000000	0.9657195	0.8525148	0.1223788	0.7056812	1.0463826	1.0116952	1.0498059	0.8972192	0.6701093	0.9358905	1.0118530	0.1353365	1.1134676	0.0671771	0.7561064	0.5791737	0.9801143	0.3689669	0.1554679	0.0345058	0.9493267	0.0239809	0.0203505	1.0651622	0.3188997	0.8354618	0.5529050	1.1081628	1.0335331	0.0483073	0.6532108	0.7465341	1.0953438	0.6213237	0.8666582	1.1231114	1.0504311	0.8990203	0.6165313	0.3882458	1.0484971	1.1266922	1.0538911	0.4099406	0.0458378	0.8513111	1.0316086	0.7255113	0.4053954	0.9833700	0.5353290	0.1743727	0.8903149	0.2418526	0.5945793	0.2105739	0.4590705	0.4993791	1.1166488	0.2041851	1.0027450	1.0721205
1.0609359	0.9666457	0.1752057	0.5547387	0.4086173	0.9618814	1.0647969	0.0620689	1.0195048	0.0764813	0.9420532	0.4064475	1.0449720	0.9908117	0.2673578	0.9783450	0.1808525	0.3095548	0.9458507	1.2039918	0.9672525	0.7461592	0.4358340	0.9530153	0.0325922	0.6551518	0.8450654	0.9793172	0.9935021	1.0246659	0.0043084	0.2822627	0.0040909	0.0000000	0.0432727	0.6217389	1.1051757	0.0000000	1.0391825	0.8887995	0.1785150	0.6813874	1.0269862	1.0183520	1.0469844	0.7483808	0.7249578	0.9327742	1.1476998	0.1421297	0.9957385	0.0685724	0.7013031	0.8175374	0.9456910	0.3017224	0.1264647	0.0307738	1.0171831	0.0350773	0.0230188	0.8896949	0.3484345	0.8654845	0.4692329	1.0185419	0.9446724	0.0335793	0.6760077	0.8116880	1.1105050	0.6620267	0.8883833	1.0630683	0.9753037	1.0787730	0.4938657	0.3845102	1.0040933	1.0123325	0.9656072	0.8202973	0.4441822	1.0133693	1.0103683	1.0766060	0.4899445	1.1317031	0.4606569	0.0947451	0.9023630	0.6172872	0.6442735	0.1575991	0.6120174	0.5512166	0.9660235	0.0819188	0.7954221	0.9307817
1.0427988	0.9036171	0.1337726	0.5971504	0.4176500	0.9891335	0.9382412	0.0646918	1.0400419	0.1179218	1.0825793	0.4804587	1.0880013	1.0143470	0.0646084	1.0648639	0.6362812	0.3627654	0.9894551	1.0056627	0.9453928	0.8406591	0.3240905	1.0611168	0.2075137	0.3491655	0.6974288	1.0208789	1.0002667	0.9014443	0.2024540	0.2955352	0.0000000	0.5585676	0.0703219	0.5790486	1.0667116	0.5543893	0.9640192	0.8364942	0.1510861	0.7258108	0.9965311	1.0292002	1.0247369	0.7588881	0.7288567	0.8947424	0.9811841	0.1665179	1.0469581	0.0798926	0.6564018	0.8925331	1.0507607	0.2914463	0.0864777	0.0224274	0.9406120	0.0456877	0.0403026	0.9694423	0.2575371	1.0255129	0.5330028	1.0560108	0.9968029	0.0363671	0.6070758	0.6894377	1.0373977	0.7347557	0.9200406	0.9829435	1.1444318	0.8935323	0.6394998	0.3393610	0.0000000	0.8591349	0.9531378	0.1378591	0.4151992	1.0388758	0.9041269	1.0319597	0.4822416	0.9247416	0.5040595	0.2014382	0.8562023	0.4485204	0.5444766	0.5953233	0.5621173	0.5793503	0.9312459	0.2101514	0.8219005	0.9803591
0.9392779	0.8256045	0.2334781	0.5029673	0.4016969	1.1194238	1.0011498	0.1832751	0.9913557	0.1510151	1.0305971	0.8087623	1.0729115	1.0405178	0.3126272	1.0457671	0.2297749	0.3864316	1.1114478	0.5236676	1.0659785	0.6333414	0.0000000	1.1098529	0.0378408	0.6517634	0.7516496	0.8841756	0.9821858	0.9864707	0.0170891	0.2569353	0.0078318	0.0000000	0.1082508	0.7490800	1.0297910	0.6054724	1.1510173	0.8255999	0.1720712	0.7406210	0.9574318	0.9837654	1.0123091	0.8531701	0.6667140	1.0289488	1.0953150	0.1251107	1.0123994	0.0779832	0.8031977	0.6960928	1.1186536	0.2620108	0.1226207	0.0240429	0.9804024	0.0337803	0.0408774	1.0637724	0.3311982	0.8593854	0.5569008	1.0826403	0.9991556	0.0340079	0.7222841	0.7413542	0.8500871	0.7125016	1.0263891	1.0973093	0.9498529	0.9205208	0.5383358	0.4214795	1.1494742	1.0287349	1.0093274	0.2889851	0.3989618	0.9122165	0.7888531	0.8004258	0.4734126	0.9872796	0.5612055	0.3875108	0.8955899	0.3432434	0.5327936	0.1379141	0.5841217	0.7715910	0.9388699	0.1493310	0.6898938	1.0067988
0.9012806	0.8643657	0.1396504	0.6170058	0.5022870	0.9414715	0.9484541	0.9872690	1.0010756	0.1441702	0.8881703	0.7542940	1.0703093	0.0877405	0.3353105	1.0477016	0.1694930	0.3724215	0.9749828	0.6053035	0.9723272	0.7123233	0.0000000	0.9745909	0.0468714	0.7003104	0.7717294	1.0628342	0.8821035	1.0435692	0.0032844	0.2842355	0.3598928	0.5622413	0.4876712	0.6637116	0.9841493	0.5458651	1.0436107	0.7519880	0.1686969	0.7803984	1.0732277	1.1046314	1.0014960	0.8295573	0.8078714	0.9545181	0.9766280	0.1447971	1.0784410	0.0995817	0.5915279	0.8773248	1.0855669	0.1891929	0.0000000	0.0178377	0.9462859	0.0419256	0.0453525	1.0157249	0.3638342	0.8372392	0.5096614	0.8806265	0.9905795	0.0244283	0.6523373	0.8215839	1.0360364	0.7180118	0.8779230	0.9717291	1.0468188	0.8916314	0.5309420	0.3396206	1.1039281	0.8897084	0.9420870	0.1263984	0.0523210	0.9332154	0.7924713	0.8045408	0.4517987	0.9273644	0.5764085	0.4605016	0.9391915	0.2126771	0.5869846	0.2320776	0.5503080	0.6301320	0.9954193	0.2240936	0.9660978	1.0598282
0.9845755	0.9969720	0.2373935	0.4786912	0.4841726	0.9659449	0.9353587	0.0556187	1.0457613	0.1518690	1.0688217	0.8196566	1.0035704	0.0986544	0.5253836	1.0304290	0.2500080	0.3692909	1.1533959	0.0181538	1.0271628	0.6203664	0.0000000	1.1882226	0.0170278	0.7979381	0.0000000	1.0581935	1.1037958	0.9078499	0.0078946	0.3026530	0.3966697	0.4440089	0.6188320	0.6988013	1.0983223	0.6405390	0.9432563	0.8592612	0.1411047	0.7996465	0.9722546	0.9005502	1.0330488	0.7719808	0.7227530	1.0296838	0.9558547	0.1137950	1.0234236	0.0416530	0.8083868	0.6250091	1.0774168	0.2968019	0.1430718	0.0491544	0.9911088	0.0485330	0.0514114	1.0365978	0.2627215	0.9899552	0.5517240	1.1099093	1.0367411	0.0302811	0.5921743	0.7640604	1.0203427	0.7692051	0.9355272	0.9657841	1.0043456	0.9946831	0.5049049	0.2914714	1.1114055	0.9622295	0.9951427	0.0795821	0.0372785	0.8905355	0.7715445	0.8583065	0.3089137	1.0304631	0.4945706	0.4823626	0.9201925	0.2144009	0.5473676	0.2393336	0.6355137	0.7047826	0.9614190	0.6226919	0.9925402	0.9263089
0.9983835	0.8609273	0.2392049	0.5797636	0.4365624	1.0029742	1.0324786	0.1182713	0.9553753	0.1079367	1.0386844	0.7835728	0.9538668	0.1092453	0.4589387	0.9939462	0.2195731	0.3723124	1.0067684	0.0376332	0.0000000	0.0136294	0.0939861	1.0357891	0.0214347	0.7733328	0.0000000	1.1439865	1.0015704	0.9718744	0.0164349	0.3756650	0.3945459	0.6225080	0.6099014	0.7056947	1.1095705	0.4836853	1.0281995	0.8824613	0.1620533	0.7910234	1.0526493	1.0374674	0.9133614	0.8480792	0.7284469	0.8884201	1.0300248	0.1501005	0.9229766	0.0482211	0.7860837	0.7174216	1.0111394	0.2534333	0.1424206	0.0309278	0.9819770	0.0564547	0.0383882	1.0237123	0.2934762	0.9664555	0.5022483	0.9736503	1.0741973	0.0303685	0.6537316	0.7259823	1.0632115	0.5763469	0.9472583	0.9666152	1.1220503	1.0381850	0.4607581	0.3559185	1.0093587	0.9181070	0.9640436	0.0717088	0.0566485	0.9686249	0.8149849	0.8824199	0.4650388	0.9047939	0.5840531	0.2055737	0.8472117	0.6151578	0.5501190	0.2073383	0.5742577	0.5183187	0.9935304	0.8934134	1.0090505	0.9727874
1.0568985	0.8914640	0.2069292	0.5171306	0.3807465	1.0769901	0.9834288	0.0774314	0.9018724	0.1326019	1.0543889	0.7896407	1.0210253	0.1442146	0.2849079	0.9046472	0.1675218	0.3299447	1.0078678	0.5453639	0.0000000	0.0055624	0.0000000	1.0615697	0.0208852	0.6865184	0.7475335	1.0448487	0.9708418	1.0600319	0.0067577	0.3057763	0.2909164	0.5090491	0.4215487	0.6516266	1.0127683	0.5939972	0.9786760	0.9206005	0.1742505	0.7829936	1.0229347	1.0070416	0.9877617	0.8056944	0.7860085	0.9439015	0.9807883	0.0844862	1.0510750	0.1349795	0.5405792	0.7383179	0.9793389	0.3030354	0.1758581	0.0443623	0.8947306	0.0539269	0.0678046	1.0834304	0.3306148	0.9228211	0.4574133	1.0208012	1.0152525	0.0258165	0.6273952	0.7999782	1.0618548	0.7218905	0.7804799	0.9811072	0.9889919	0.9663464	0.5712120	0.3406942	1.0241181	1.0066333	0.9873265	0.0582579	0.0385715	0.9018141	0.7302561	0.8573886	0.3680957	0.8872248	0.5408310	0.4127787	0.8980425	0.4538087	0.4301891	0.1943613	0.5650071	0.6044475	0.9962250	0.5433080	0.9766674	0.9509978
1.0081849	0.9117400	0.2759798	0.4444408	0.4606350	0.9925502	1.0010344	0.1793162	1.0251108	0.1557399	1.0644446	0.4816313	0.9695495	1.0816211	0.0567138	1.0157155	0.1919673	0.3909181	0.9717735	1.0719471	1.0742203	0.6867174	0.3361912	0.9420229	0.0489290	0.7560358	0.8518188	1.0094246	1.0418607	1.0409439	0.2219008	0.2985261	0.0000000	0.5760100	0.0795405	0.6103595	0.9510205	0.5359482	1.0083800	0.8784412	0.1812028	0.7114422	1.0258455	1.0459053	0.9575659	0.7981279	0.6839289	0.9861125	1.0470095	0.1043380	0.9921350	0.1084631	0.5864501	0.6883772	1.0461982	0.2869345	0.1164329	0.0140578	1.0511293	0.0379305	0.0317169	1.0974394	0.3869216	0.8443021	0.0000000	0.9660380	1.0352603	0.0377937	0.6037230	0.8704138	1.0053459	0.7476837	0.9411107	1.0812970	0.9631849	0.9246673	0.5320387	0.3999062	1.0014496	1.0092009	0.9457318	0.1762416	0.4016498	1.0439406	0.7304202	1.1147446	0.4042886	1.0440780	0.5452039	0.2472310	0.9286531	0.4953367	0.6075944	0.1271244	0.5380869	0.6944031	1.1210707	0.1470013	0.7054178	1.1528206
0.9686140	0.8785771	0.2161443	0.5221171	0.4207065	0.9776512	0.9953310	0.0596788	1.0567156	0.1368912	0.9816306	0.8759542	0.0000000	0.0936933	0.2948553	0.9993892	0.2264056	0.3170045	1.0875814	0.5840778	1.0925822	0.6760483	0.0000000	0.9644210	0.0298197	0.7299489	0.6328357	1.0408940	0.9953397	0.9823131	0.0151647	0.2321487	0.3589888	0.4100921	0.6701067	0.8337727	0.9284281	0.6758465	0.9941482	0.7911430	0.1444934	0.6703148	1.0109222	1.0808395	0.9921024	0.7472973	0.7677877	0.8023060	0.8330576	0.1112651	0.9339434	0.0759093	0.7196192	0.5520999	1.1245018	0.2858040	0.1903819	0.0344819	1.1436486	0.0258183	0.0256170	1.0704864	0.2868525	0.9042968	0.5210741	0.9642662	1.1413463	0.0281881	0.5773915	0.6853804	1.0333797	0.7029541	0.9752603	0.9426081	1.0163438	1.0099921	0.5602033	0.3577144	1.0507263	0.9953622	1.0275373	0.0788730	0.0542887	0.8950435	0.6072463	0.6899603	0.5109821	0.9021215	0.5065982	0.4308384	0.9785172	0.1444999	0.5714892	0.2408893	0.6127417	0.6911105	0.9834484	0.3764553	1.1283225	1.0015184
