YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.5344918	0.8087103	0.3607870	0.3708728	0.6979693	0.9496142	1.0619020	0.1642690	1.0089857	0.4410634	0.9808562	0.8672723	1.0028940	0.1113718	0.1985872	0.9895584	0.1976323	0.2816310	1.0059766	1.0185556	1.0186828	0.7731284	0.0738523	0.9896816	0.0376317	0.7316899	0.8321646	0.9242207	0.9951243	1.0622045	0.0091654	0.1905146	0.3580994	0.4698491	0.5353900	0.7365687	1.0479006	0.4257355	0.9600063	0.6593833	0.1628808	0.7261300	0.9885987	1.0034030	1.1287671	1.0110060	0.6293828	1.0026563	0.9288379	0.1154085	0.9770172	0.0471688	0.8060771	0.6017284	1.0297465	0.3269300	0.1070434	0.0178253	0.9787068	0.0330095	0.0187526	1.0782004	0.2620874	0.9942323	0.5631078	1.1993406	1.0458471	0.0129488	0.6584103	0.8061663	1.0856225	0.6798494	0.9007852	1.0323133	1.0096326	0.9377570	0.5139137	0.5795207	1.0377918	0.9036604	1.0532212	0.1097514	0.0653602	1.0154859	0.9255556	0.8809944	0.4027120	1.0455881	0.5875912	0.2292736	0.9655945	0.3136539	0.6261315	0.1873291	0.6391971	0.6122605	1.1109458	0.2246530	1.0490676	1.0809971
1.0166448	0.4620808	0.1866035	0.5141800	0.5296283	0.9962881	1.0832491	0.0474558	1.1007992	0.1133407	0.9905561	0.7437495	0.9226953	0.0850691	0.1662340	0.9534410	0.2341427	0.3706413	0.9234803	0.9950599	1.0857411	0.6591547	0.1203625	1.1431185	0.0151498	0.7308796	0.7613772	0.9176879	0.9075792	1.0909020	0.0061365	0.3231242	0.3481134	0.5901617	0.5571908	0.7215853	1.0733693	0.6127524	1.0378970	0.9876817	0.1598962	0.7512426	0.9215943	0.9583263	0.8697344	0.7894028	0.6852077	1.0324690	1.0379894	0.1703704	1.0374565	0.0939545	0.6391328	0.7512047	0.9793252	0.2088694	0.1527681	0.0494945	0.9268382	0.0560983	0.0428646	1.0161637	0.3357511	0.8576664	0.5704632	1.1183019	0.9885470	0.0221389	0.6569533	0.7705837	1.0457679	0.8168551	0.9251797	1.0460992	1.0502373	1.0251945	0.5643010	0.3145832	1.0855330	1.1484168	0.9551183	0.0897134	0.0758525	0.9641205	0.5973897	0.9674540	0.4159457	1.0054071	0.4967178	0.2529514	0.7861364	0.2279471	0.5709210	0.2243375	0.6669853	0.6339617	1.1132430	0.2262768	0.9721576	1.0338584
1.0742906	0.9149592	0.1176960	0.4940672	0.3778407	1.0815284	1.0858637	0.1516212	0.9761219	0.0921268	0.9388940	0.8458818	1.0236236	0.0875653	0.1861400	0.9614508	0.1996723	0.3442678	0.9774864	1.0170657	1.0379343	0.6651892	0.1166515	0.9809779	0.0436474	0.6912583	0.7394483	1.0866832	1.0622872	1.0533233	0.0061943	0.2905527	0.3271262	0.4349450	0.5299949	0.7791025	0.9972763	0.5996404	0.8785170	0.8137179	0.1375361	0.6773075	0.9709642	1.2209599	1.0974101	0.6938030	0.6831473	1.0344686	0.9080313	0.1529036	0.9799201	0.0889781	0.7949376	0.6916951	1.0421513	0.2361763	0.0991399	0.0419325	1.0315288	0.0354169	0.0260778	0.9284644	0.4052310	0.8043658	0.4772288	0.8740519	1.0928957	0.0156464	0.6798357	0.7812916	1.0213765	0.7587845	0.8889837	0.9876761	1.0096012	1.0205908	0.5600232	0.2861822	0.9595625	1.0789679	0.9673048	0.0678110	0.0722704	0.9154230	0.7579606	1.0023487	0.4200864	0.9745904	0.5151072	0.2423597	0.8842229	0.2173669	0.4965302	0.1871029	0.5728812	0.6343975	0.9329702	0.2678765	1.0357925	1.0264615
0.9767011	0.8182263	0.3449627	0.2332952	0.4008109	1.0068041	0.9681471	0.1125689	1.1461494	0.0747091	1.1091464	0.8103116	0.9219185	0.1289094	0.1560850	1.0732437	0.2346251	0.3371150	1.0778570	0.9127355	0.9314480	0.7161398	0.1201458	0.9623880	0.0291516	0.6354627	0.7928714	0.9529509	1.0752328	1.0088910	0.0154447	0.3276893	0.3137127	0.6155727	0.4835614	0.5502785	1.0572517	0.5488392	0.9854157	0.8397279	0.1491445	0.7158021	0.9923033	0.9587868	0.9915839	0.8105894	0.7554838	0.8592485	0.9402275	0.1301915	0.9604807	0.0696006	0.7120016	0.6773849	0.9413595	0.2548821	0.1000057	0.0397503	0.9770144	0.0403553	0.0378686	0.9669996	0.3163887	0.9115451	0.4910789	1.0360589	1.1152285	0.0314511	0.6438307	0.7839778	1.1758966	0.6997483	0.8114495	1.0243472	1.0567891	0.9044384	0.5038024	0.3433877	0.9446183	1.0381172	0.9790124	0.0795781	0.0546432	0.9647516	0.7220663	0.9112061	0.4637319	1.0613907	0.4731321	0.2797906	0.9115055	0.2533257	0.5242932	0.1944076	0.6345981	0.6739897	1.0391769	0.2285172	1.0311079	0.9026473
1.0535235	1.0477950	0.1935573	0.5689055	0.2585061	1.1439804	0.9885846	0.0453737	1.1337549	0.0733401	1.0972631	0.7335218	0.9557405	0.1108684	0.1876632	0.9982367	0.2044781	0.3667814	0.9448002	0.9451820	0.9853095	0.6284314	0.1154578	1.0056446	0.0321614	0.7795418	0.6554539	0.9942036	0.9457254	0.9918533	0.0134826	0.3229197	0.3628833	0.4857885	0.5628541	0.7393688	1.0587693	0.4957894	1.0032852	0.8216344	0.1456782	0.7944861	1.1434922	1.1098404	1.0230362	0.8311899	0.6412606	0.9542440	1.0215830	0.1277914	1.1537270	0.0688218	0.8636639	0.5113030	1.0005056	0.3309409	0.1902313	0.0752899	0.9703241	0.0435497	0.0527554	1.1311161	0.2628130	0.9398068	0.5453395	0.9716849	1.0064658	0.0230469	0.6454485	0.6542261	0.9727207	0.7279689	0.9403663	1.0464116	1.0092535	0.9895042	0.5633757	0.3616298	1.0953440	0.9724425	0.9443446	0.0556058	0.0504846	1.1338878	0.7828370	0.9910212	0.4401493	0.9656566	0.4991532	0.2110291	0.8651419	0.3271783	0.5421717	0.2541157	0.4984152	0.7471630	1.0338578	0.2341918	1.0558479	0.9825897
0.9357685	0.9293528	0.2534011	0.4530087	0.3922311	0.5294974	1.0072435	0.1521179	0.9164494	0.0817136	1.0847691	0.9353029	1.0354211	0.1209235	0.2981857	1.0445102	0.2014627	0.4239429	0.9214342	0.9102576	1.0654387	0.6741990	0.0533921	0.9350869	0.0162066	0.6998949	0.8017198	1.1111392	0.9369975	1.0479618	0.0062158	0.2762415	0.3907218	0.5798464	0.5599189	0.6050980	1.0914128	0.5322182	1.0312588	0.8003935	0.1456646	0.8058699	1.0155505	1.0884623	1.0575086	0.8543132	0.6565251	0.9833511	0.9602088	0.1270342	0.9212444	0.0621788	0.6825475	0.8803974	1.1855406	0.2019285	0.0828812	0.0206503	1.0593741	0.0261522	0.0386238	1.0561681	0.3749172	0.7937835	0.6027161	0.9692423	1.0127760	0.0292822	0.6345860	0.9141104	1.0955693	0.6894577	0.9079838	1.0220470	0.9773993	0.9377354	0.5091881	0.3514788	1.0390450	0.9914949	1.0121375	0.0884286	0.0556227	0.9652561	0.6938045	1.0077062	0.4435589	0.9246668	0.5727493	0.3295701	0.9056806	0.2514886	0.5381931	0.2414787	0.5960773	0.6615017	0.9994221	0.3449882	0.9313703	1.0840363
1.0266448	0.9009459	0.2005939	0.5921743	0.3880538	1.0179873	0.5219260	0.1481681	1.0022918	0.1033794	1.0659648	0.8305653	1.0728061	0.1078225	0.2106203	1.0177317	0.2070367	0.3586633	1.1375857	0.9884918	1.0878309	0.5710897	0.1173614	0.9633785	0.0356394	0.7094301	0.8039701	0.9735490	0.9634771	1.0947967	0.0072261	0.2820172	0.3685159	0.5039561	0.5898583	0.6816667	0.9537281	0.5742880	1.1401537	0.8672214	0.2006090	0.7457476	1.0544641	0.9982357	0.9549867	0.8352087	0.7654602	1.0045314	0.9954508	0.1081691	1.0677975	0.0551693	0.7554149	0.7102330	1.0365728	0.3038226	0.1517933	0.0382620	0.9430189	0.0501758	0.0485423	0.9942084	0.2841114	0.8521975	0.5490145	0.9707123	1.0387415	0.0366304	0.6318689	0.7544605	1.0251905	0.7657852	0.9510496	1.0700246	1.0445361	1.0083216	0.7086227	0.3806318	1.0370229	1.0686625	0.9240586	0.0921304	0.0320678	1.0455799	0.7987388	0.9671235	0.3698555	1.1135391	0.4751078	0.2286702	1.0515802	0.2789274	0.5220161	0.1986154	0.5753506	0.6957481	0.9011523	0.2759670	0.9945891	1.0735840
0.9450628	0.9212591	0.1583030	0.5207600	0.3225651	0.9742356	1.0169547	0.0318993	1.1047750	0.1794699	1.0000370	0.7158397	1.0923854	0.0860090	0.1788516	0.9742893	0.1626016	0.3453487	1.0594123	0.9859154	1.0767089	0.7326232	0.1452515	0.9996313	0.0425342	0.7572451	0.7506320	0.9168549	0.9895920	1.0342333	0.0264240	0.2878331	0.2917739	0.5273133	0.5251908	0.7274553	1.0458099	0.5084646	1.0129624	0.7992053	0.1886166	0.6246232	1.0087320	0.9918641	1.0118240	0.8019012	0.8026782	0.9456437	1.0000298	0.1148619	0.9501801	0.0722028	0.7069743	0.7346477	1.0220860	0.2705417	0.1133600	0.0557088	1.0080639	0.0578794	0.0325535	1.0070663	0.2840497	0.8169916	0.5255756	0.9474363	1.0878220	0.0423060	0.6757279	0.8175488	1.0059014	0.7327356	0.8841556	1.0753578	0.9908453	0.9552006	0.6332389	0.3170767	0.9964325	1.0524403	0.9414566	0.0985668	0.0541567	1.0797482	0.8003277	0.9356501	0.5113603	1.0378945	0.5050916	0.2200849	0.9330642	0.2941498	0.5270796	0.2348786	0.6107302	0.6422936	0.9923028	0.2634546	0.9546248	1.0046844
0.9797469	0.8702638	0.1554982	0.4673641	0.5014114	1.0155406	0.9244766	0.0724925	0.4938569	0.1439768	0.9452711	0.8235417	1.1105505	0.1018804	0.2175101	1.0086025	0.2303776	0.3270560	1.0240154	0.9764085	0.9748102	0.6257042	0.1275650	1.0652297	0.0339219	0.7969252	0.7742350	1.0358434	0.9708540	0.9393597	0.0048145	0.2650818	0.3351918	0.6025318	0.3779657	0.7800344	1.0653680	0.5353357	1.0622518	0.9594509	0.1717720	0.7571148	0.9185753	1.0113591	0.9384252	0.7823186	0.7742155	1.0928308	1.0882481	0.1149980	0.9622093	0.0742535	0.6373620	0.6687381	1.0994276	0.3005505	0.1412813	0.0278799	1.0144172	0.0453076	0.0276259	1.0192497	0.2821973	0.7676592	0.4627604	0.9754068	0.9984766	0.0266386	0.6049865	0.7382214	0.9363923	0.7713361	0.9166258	1.1098390	1.0629188	0.8606370	0.6211537	0.2855926	1.2174906	1.0504633	1.0515780	0.0923988	0.0482686	0.9681150	0.7520061	0.9510080	0.4395746	1.0019974	0.5648701	0.2480796	0.7021660	0.2361447	0.5458813	0.1687516	0.5834251	0.6685190	1.0861234	0.3498154	1.0019918	1.0414722
1.0633306	0.9472087	0.1781205	0.6045395	0.3388495	0.9593220	1.0032715	0.0945673	1.0206228	0.0444049	0.9927735	0.8661078	1.0143769	0.0619322	0.1981930	1.0352271	0.2031671	0.3985492	0.9563237	1.0404349	0.9967579	0.7454001	0.0870192	1.0968970	0.0326510	0.7674952	0.8367257	1.0412805	0.9602773	1.0944095	0.0161684	0.2905663	0.3518206	0.5573731	0.6452191	0.7441952	0.8287712	0.5570305	0.9964659	0.7997010	0.0936586	0.7011287	0.9669740	1.0550116	0.9766037	0.8850940	0.8153028	0.9681385	1.0996253	0.1557400	1.0975697	0.0625793	0.7180677	0.7391345	0.9672167	0.3145420	0.0934666	0.0245445	1.0284670	0.0428976	0.0328451	1.0205828	0.3639857	0.8744427	0.4571681	1.1012300	0.8933417	0.0346933	0.6129165	0.7559711	1.0482743	0.7187862	0.9669841	1.0035167	0.9874319	0.9709554	0.5771931	0.3114284	1.0128757	0.9963679	1.0090749	0.0561454	0.0737410	0.9742238	0.6442136	1.0020040	0.3918905	0.8926354	0.4855074	0.3106516	0.9227466	0.2433378	0.5579974	0.2151250	0.6436911	0.6484786	0.9963301	0.2494556	1.0863941	0.9432777
