YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
0.0000000	0.0124976	0.5061320	0.1684503	0.9918150	1.0680684	1.0901975	0.1568760	1.0974190	1.0051051	0.9602522	0.8056094	1.0888192	0.1006410	0.2980179	1.0807090	0.1452739	0.1427538	0.9479927	0.9457372	1.0109379	0.7837494	0.0947669	0.9754940	0.0268663	0.8153539	0.7135457	0.9465178	0.9854529	1.0383906	0.0107685	0.0765015	0.3127614	0.5876981	0.5507275	0.6913785	0.9937817	0.5637345	0.9418826	0.8419192	0.2097023	0.7385991	1.0271494	1.0215006	1.0566952	0.8750777	0.7119335	0.9679283	1.0260548	0.1206841	1.0534145	0.0451692	0.6643497	0.8340048	1.0889304	0.2250833	0.1047632	0.0305788	1.0739390	0.0359053	0.0381638	1.0093139	0.3954309	0.8370920	0.6185700	1.1143577	1.0412772	0.0290683	0.7132572	0.8203812	1.0176840	0.6776318	0.8173438	1.0039847	1.0696038	1.0237978	0.5543216	1.0206684	1.1092414	0.9531709	0.9033123	0.0970304	0.0578694	0.6903515	0.5687635	0.8527939	0.4304561	0.9725588	0.4600284	0.1901301	1.0063873	0.1721946	0.5923020	0.1964946	0.6925378	0.6459979	1.1001219	0.3165733	1.0962386	0.9623210
1.0745214	0.0000000	0.1616018	0.5502912	0.4279588	1.0158293	1.0045846	0.0965547	0.9227776	0.1200202	1.0421970	0.8785639	1.0229982	0.1045604	0.2097018	0.9077995	0.1942193	0.3648967	1.0754189	1.0476296	0.9948063	0.6791462	0.1374739	1.0171325	0.0212370	0.7487269	0.7461165	1.0860802	1.0112537	1.0844357	0.0065438	0.3168418	0.3298048	0.5414307	0.4584272	0.6186726	1.0271235	0.4888685	0.9907391	0.8273956	0.1613948	0.7337301	0.9012420	1.0687468	1.0103016	0.8647938	0.7047923	1.0167924	0.9504096	0.1447338	1.0168986	0.0519465	0.7869602	0.6400470	1.0589776	0.3053520	0.1465110	0.0134770	1.0298996	0.0271624	0.0345790	0.8753545	0.2804022	0.8484547	0.5111401	1.0633929	0.9718883	0.0375475	0.6328115	0.7332711	1.0572596	0.7007163	0.9570157	1.0469477	0.9986956	0.8900356	0.6053702	0.3321408	1.0142249	1.0015046	1.0287389	0.0599971	0.0521807	0.8015699	0.5581553	0.9311270	0.3431816	1.0313908	0.6037176	0.3040722	0.8398216	0.2823091	0.4577056	0.1901186	0.4990032	0.7072198	0.9133954	0.2613676	0.9853704	1.0242698
1.1136818	0.9368763	0.0000000	0.5927771	0.4199664	1.1729616	1.1077058	0.2041735	0.9982550	0.1377712	0.8655354	0.8556258	1.0640927	0.0994173	0.1959549	0.9580896	0.1855903	0.3866654	0.9215176	0.9329989	1.0586281	0.7265692	0.1328286	1.0201545	0.0187623	0.7644796	0.8211814	0.9684176	1.0243859	0.8877910	0.0417054	0.3180127	0.3525095	0.4407633	0.5776821	0.6891691	0.9981065	0.5280843	0.9597990	0.8377313	0.1897855	0.6971506	0.9865753	1.0701332	1.0338480	0.8711310	0.6721443	1.1328602	0.9175347	0.1184220	1.1253916	0.0904419	0.5302293	0.7937413	0.9581566	0.3273592	0.1104789	0.0257119	1.0029135	0.0483182	0.0283282	1.0374529	0.3367853	0.8481842	0.4956009	1.1528615	1.0765845	0.0221346	0.6950725	0.8218683	1.0260955	0.7613739	0.9938590	0.9744576	0.9367961	0.9938666	0.5167178	0.2682844	0.9370556	1.0322262	1.0704423	0.0761353	0.0415239	1.0578612	0.7268298	0.8774005	0.3957153	0.9782406	0.5161801	0.3011287	0.8654986	0.2332873	0.5632459	0.2561823	0.5312262	0.6386334	1.0173784	0.2103980	0.8893185	1.0225065
1.0666361	0.9133168	0.3013391	0.0000000	0.5151501	1.0279700	0.9407847	0.0718677	0.9878455	0.0822316	1.0304557	0.8268954	1.0511472	0.1080765	0.2428227	1.0520605	0.2233221	0.2914225	1.0359531	0.8720299	0.9568413	0.6972586	0.0706314	1.0587766	0.0402954	0.7139108	0.7430216	1.0019369	1.1160436	1.0761370	0.0115545	0.3565501	0.3854879	0.5469137	0.5049125	0.7388453	1.0332451	0.5534047	1.0183528	0.8334713	0.1327748	0.7396886	1.0649865	0.9884175	0.9859482	0.8535118	0.6752399	0.8677542	0.9443361	0.1158449	1.0206225	0.0694106	0.6505236	0.7698021	0.9620151	0.3295387	0.1278662	0.0676142	1.0361858	0.0321298	0.0354041	1.0507933	0.3027343	0.9535292	0.5254965	0.9184060	0.9539488	0.0206658	0.6048427	0.7743877	1.0377543	0.7236732	0.9871809	0.9741168	1.0798977	0.8981234	0.5603853	0.3746911	1.0057173	1.0975563	1.0150858	0.0569695	0.0459850	0.9539624	0.7327199	0.8019036	0.4215438	0.9430068	0.5542156	0.3106043	0.9721381	0.1574203	0.5774006	0.2020133	0.5775312	0.7015638	0.9475523	0.2766467	0.9674969	0.8708489
1.0114835	0.9982855	0.1849389	0.5688332	0.0000000	0.9399874	0.9452357	0.1139694	1.0014062	0.1141193	1.0520458	0.7437201	0.9199763	0.0907534	0.2591935	1.0066274	0.2146844	0.3339563	0.9976968	0.9711640	0.9631640	0.6802316	0.1003895	1.0407480	0.0391730	0.7459997	0.7838857	0.8797492	0.9603012	0.9981430	0.0104356	0.2765068	0.3560407	0.5319211	0.5571899	0.7747721	1.1108778	0.5649317	1.0598151	0.6926239	0.1644909	0.7271348	1.0868603	1.0910726	0.9354440	0.7655282	0.7686024	1.0906119	1.0752466	0.1024229	1.0310700	0.0896586	0.5880035	0.8595369	1.0138477	0.2775664	0.0813884	0.0274311	1.0632641	0.0297013	0.0415012	0.9806256	0.2847722	0.8975554	0.4953194	1.1250886	1.0663882	0.0230555	0.6052685	0.7569069	1.0143820	0.7250982	0.8940823	1.1327122	1.0898328	0.8636046	0.6238454	0.3242727	0.9473664	0.9475024	1.1010460	0.0771191	0.0369890	1.0427010	0.7620699	0.9028506	0.3900047	0.9603679	0.4762632	0.2336834	0.8355107	0.2024428	0.5912377	0.1866552	0.6207352	0.6743637	1.0623274	0.2390458	0.9428503	0.9953210
0.9883551	0.8625541	0.3934411	0.5764220	0.5121940	0.0000000	1.0489992	0.1615081	1.0145193	0.1079845	1.0574350	0.7719389	0.9553577	0.0793878	0.1975744	1.0627016	0.2439287	0.3662108	1.0877255	0.9139823	1.0242878	0.7031070	0.0984544	0.9843779	0.0275881	0.7058996	0.6201441	1.0536413	1.1236993	1.0781629	0.0082357	0.3117245	0.3591329	0.6043493	0.5743177	0.7111043	0.9922294	0.6795765	1.0716288	0.8233712	0.1769257	0.7459694	0.9679552	1.0488406	0.9968928	0.8359239	0.7257108	0.9808427	0.9822955	0.0956149	0.9689248	0.0724423	0.6432445	0.6523140	0.8921309	0.3962570	0.1864233	0.0397586	0.9445720	0.0324028	0.0348765	1.0921303	0.3244362	0.9096436	0.5060903	1.0873879	1.0714687	0.0239843	0.6209822	0.8042618	1.1101727	0.7054176	0.9367680	1.0286752	0.9712105	0.9439839	0.5233035	0.3678674	0.9731606	1.0378545	1.0284257	0.0703315	0.0608836	1.0907020	0.7255412	0.9115643	0.4305674	0.9883851	0.4523690	0.2817147	0.8488455	0.1863602	0.5178802	0.2133929	0.5428136	0.6993096	1.0596104	0.3382311	1.0400376	1.1106483
1.0142283	0.8285769	0.1839200	0.5485455	0.3752874	0.9503305	0.0000000	1.0250704	0.9380278	0.1132126	1.0907575	0.7751965	1.0187511	0.0998614	0.2103771	0.9989998	0.2118737	0.3489482	0.9368650	1.0658728	1.0508048	0.6434681	0.1290506	1.0310922	0.0468327	0.7739435	0.7973668	0.9796996	1.0777531	1.0548268	0.0119597	0.3183441	0.3477163	0.5145742	0.5792330	0.7190435	0.9960641	0.5801625	1.0577026	0.9263058	0.1929698	0.6496434	0.8664180	1.0303009	0.9110538	0.8035700	0.7387021	0.9523745	0.9702459	0.1600649	1.0843074	0.0538274	0.7844652	0.6429495	1.0391791	0.2910103	0.0987589	0.0161101	1.0830215	0.0401075	0.0530331	1.0676439	0.3235046	0.8824770	0.4896026	0.8837526	1.0201266	0.0258217	0.6183997	0.7430779	1.0138738	0.7591999	0.9021216	1.0486541	0.9551823	0.9191867	0.5576890	0.3812790	0.9273273	0.9911500	0.9988261	0.0896848	0.0650960	1.1162742	0.7862133	0.9836207	0.4554370	0.9558576	0.5306955	0.2737153	1.0274736	0.1295633	0.5095148	0.1830897	0.6189813	0.7484350	0.9992894	0.3142552	0.9484907	1.0696037
0.9922059	0.9376304	0.2468538	0.5509194	0.4364126	1.0944493	1.0749605	0.0000000	0.9590266	0.1257778	1.0216807	0.8447216	0.9588906	0.0960402	0.1638597	1.0291471	0.1634050	0.3619495	1.0116799	0.9351279	1.1210552	0.5847478	0.1092043	0.9606889	0.0207499	0.7283509	0.7381219	1.0326215	0.9213158	1.0504024	0.0033048	0.3373256	0.2972884	0.6113367	0.3924523	0.6338635	0.9416495	0.5819048	1.0332176	0.8532080	0.1993542	0.6561111	1.0983840	1.0737193	1.0155283	0.7658757	0.7834387	0.9584319	0.9987036	0.1173241	0.9444520	0.0816832	0.7884997	0.7939574	0.9709027	0.2653314	0.1427248	0.0286197	1.0269055	0.0333125	0.0457308	0.9911310	0.3643227	0.9310257	0.5065561	0.9482575	0.9978783	0.0209194	0.6368894	0.7950642	1.1362925	0.6388763	0.8516061	1.0966460	1.0206024	0.9886028	0.5608769	0.3224530	1.0345377	1.0407841	1.0685514	0.0667200	0.0741752	0.9852439	0.7430933	0.9519327	0.4591080	0.9632890	0.5633491	0.3028555	0.8792664	0.1213078	0.5929767	0.2183952	0.6370571	0.6143210	0.9976266	0.3008599	0.8814825	0.9978315
0.9929398	0.9139111	0.0667091	0.5375163	0.4792090	1.1364536	0.8866413	0.0584988	0.0000000	0.1205077	1.0658152	0.7625422	0.9581276	0.0995074	0.2767467	0.9913371	0.1757604	0.3748201	0.9874490	0.9671998	1.0144786	0.7084051	0.1141357	0.9772390	0.0322228	0.6917110	0.8762382	0.8985486	0.9552670	1.0920456	0.0020450	0.3310818	0.4191071	0.5995031	0.5147135	0.6281284	0.9788742	0.5681403	1.0047406	0.9628741	0.1733571	0.7195567	0.9495419	0.9431613	0.9892081	0.9168462	0.6954149	0.8964671	0.9832055	0.1394036	1.1848615	0.0963276	0.5932453	0.7977353	1.0346178	0.2064128	0.1047696	0.0377373	0.9430003	0.0249425	0.0315239	0.9916965	0.3550902	0.8920329	0.5383669	1.0385693	1.0505074	0.0301958	0.6800366	0.8571547	1.0877982	0.7155573	0.9419819	0.9773592	1.0093519	0.9740704	0.5872845	0.3263114	1.1361793	0.9994152	1.0008803	0.0733062	0.0321470	0.9938950	0.7967275	0.9599160	0.3854438	0.9846123	0.5213565	0.3205199	0.5983883	0.1510185	0.4627218	0.1594110	0.6088394	0.7328999	0.9685851	0.3482198	1.0401663	1.0492901
0.9138372	0.8764366	0.2154690	0.5673925	0.4400781	1.0700736	1.0390800	0.1639435	1.0311602	0.0000000	1.1048744	0.7967432	0.8751756	0.1015028	0.2018854	0.8917135	0.2488291	0.3518635	1.0279746	1.0059788	0.9881667	0.7188709	0.1013939	0.9720762	0.0371106	0.7994128	0.7487935	1.0284560	1.0771217	1.0120353	0.0155345	0.3459042	0.3231127	0.6148939	0.5499364	0.7226215	1.0241147	0.6824418	0.9349329	0.7940219	0.1789948	0.7117081	1.0345181	0.9443337	1.0838343	0.7704956	0.6212369	0.9230797	0.9424846	0.1243158	0.9645844	0.0412307	0.7256822	0.7128151	1.0670268	0.3092101	0.1090453	0.0385031	0.9895481	0.0368320	0.0376365	1.0973133	0.4411138	0.8158864	0.5761006	0.9869777	0.9975122	0.0312462	0.6388065	0.7723568	1.1290813	0.7162788	0.9299324	0.9471586	0.9872427	1.0084847	0.5771659	0.3301487	0.9690466	1.1222381	1.0060351	0.0791163	0.0477820	0.9854932	0.8680488	0.9046624	0.4018027	1.0418530	0.5632612	0.2866722	0.8409350	0.1333166	0.6036665	0.2343199	0.6233637	0.6842190	0.9764994	0.3382956	0.9995986	0.7914753
