YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0361947	0.9149346	0.2082503	0.4644034	0.3998777	0.9826514	1.0440409	0.7646521	0.9723605	0.0827328	1.0287500	0.7542761	1.0207583	0.9108337	0.3664222	1.1099495	0.0511682	0.3501323	0.8237576	1.0138705	0.9500869	0.6403424	0.3310832	0.8973746	0.0039716	0.9138846	0.3056018	0.7106168	0.9497607	1.0673118	0.0032707	0.4535438	0.0800805	0.5573793	0.0047288	0.4032208	1.0003220	0.8249383	1.0114155	0.8955604	0.4827170	0.6868267	0.9479271	0.8836482	0.9155101	0.7299256	1.0056200	0.8376721	0.9472500	0.1588920	0.9014813	0.0009591	0.7427073	0.8043649	0.9113747	0.2991542	0.0852315	0.0210384	0.3859234	0.3836521	0.5091188	1.0497704	0.4076395	0.8039687	0.5994294	0.6896804	0.9647823	0.0036668	0.6186984	0.4887260	1.1503126	0.5477597	0.6636189	1.0566708	0.9208591	0.8757097	0.5332678	0.2099168	1.0819804	1.2420890	0.7291553	0.0259655	0.0498235	0.7028573	0.7892640	0.8733514	0.2969822	1.0423067	0.1470588	0.1102053	0.5096989	0.3059725	0.5996037	0.1155492	0.6450284	0.6143222	0.6613798	0.8224607	0.6117397	1.0726410
0.9488899	0.8898959	0.3581557	0.7304823	0.3593446	0.9646803	0.9734358	0.1441562	0.9699441	0.0441548	0.9134623	0.4822607	1.0152882	0.6806884	0.0246374	0.9779000	0.2098765	0.3691365	0.9931330	1.0152447	0.9634616	1.0258619	0.2526949	0.9878899	0.0872466	0.3455547	0.8358105	1.0404641	0.9503860	0.9610983	0.2877359	0.0987027	0.1519714	0.5117887	0.4164191	0.9921328	1.0517936	0.4219938	0.9979618	0.8182378	0.5396517	0.7076870	0.9550985	0.9218022	0.9527792	0.7663138	0.7229853	0.9527890	1.0488573	0.1066332	0.3967031	0.0060393	0.8984052	0.6752570	1.0737657	0.2572054	0.0972172	0.0037611	0.9641512	0.0136286	0.0080859	0.8888534	0.3064087	0.6438995	0.7536510	0.8972287	0.9898714	0.0194747	0.8645979	0.9025791	1.0748351	0.8308970	0.6403585	0.9188002	1.0453852	0.7861421	0.8506697	0.3523127	1.0054161	0.7154735	0.9677663	0.2414993	0.3206511	1.0606919	0.9600717	0.4390171	0.1286741	0.7951947	0.2127173	0.2494329	0.9237702	0.4128682	0.5441405	0.3515952	1.0340885	0.4292121	0.9049844	0.1673592	1.0336381	0.9430551
1.0188006	0.8795116	0.2926700	0.5708403	0.4204583	1.0439519	0.9263904	0.1376288	0.7280108	0.0764535	0.9818356	0.7755162	1.0040538	0.1465368	0.4043848	0.8614500	0.2328396	0.3301066	0.9434364	0.8449681	1.0150923	0.7125538	0.0661085	0.5232345	0.3277485	0.1120522	0.6569307	0.9532152	0.9435702	0.6248845	0.4945491	0.2404985	0.3076744	0.7341340	0.5653480	0.8944661	0.6371830	0.5499540	0.6693152	0.4241337	0.0288044	0.8326775	1.0347861	0.9192203	0.8475535	0.6586679	0.6721894	0.8860132	0.9572824	0.0686909	0.9465548	0.1426578	0.4263557	1.0370810	1.1323933	0.2013693	0.0276462	0.0900126	0.6969175	0.1018400	0.0386227	0.9848794	0.7262321	0.6567419	0.3395217	1.0398108	0.9659498	0.0097559	0.5547668	0.5881800	0.9422810	0.6939662	1.0375120	1.1953406	0.9406667	0.8935886	0.6658964	0.2668483	1.0601016	1.0367028	0.9561469	0.0026984	0.5799078	1.0318909	0.3493443	0.9311877	0.0779531	0.9615352	0.4598499	0.3019617	0.4373108	0.4411280	0.5971535	0.3416142	0.5492151	0.8951040	0.6891288	0.1661258	1.0338110	1.1148461
0.8254980	0.8722793	0.0805868	0.6607054	0.5461916	0.8479653	0.9843230	0.0041047	0.8654089	0.1763895	0.8723983	0.5058558	0.8771958	0.3625052	0.1502503	0.8909177	0.0009840	0.3111829	1.0245146	0.9916264	1.0345561	0.2734144	0.0841662	0.9119789	0.0264858	0.5714226	0.6858455	0.6023111	1.0079833	0.7992273	0.3458045	0.3412852	0.1421352	0.8702799	0.0366179	0.6132818	1.0510348	0.5106759	1.0658819	0.8608069	0.5420681	0.3939301	0.5799670	1.0843394	0.9170151	0.8725402	1.0588517	0.9592065	0.9753253	0.0237333	0.7105922	0.0855594	0.9483789	0.6350320	0.4414690	0.5480610	0.7512578	0.5610710	1.1499203	0.0432522	0.0032751	1.0114101	0.3060714	0.7701236	0.3617134	1.1003048	1.0705220	0.0024618	0.6538898	0.6522249	1.0466186	0.6764284	0.4387890	1.0191359	0.9207452	0.7571829	0.6419542	0.3937578	1.0946939	0.8839258	1.0353248	0.0106303	0.4071474	0.8388063	0.9078656	0.9220472	0.4119464	0.8403429	0.6279768	0.3107989	0.9466226	0.4537584	0.9505812	0.4259781	0.2493106	0.5734240	0.8032833	0.3420723	1.1913433	0.9196801
0.9211131	0.9066637	0.2611290	0.5300212	0.4622047	0.9732431	0.7445469	0.0006970	0.9373457	0.0905960	0.8971116	0.7509074	1.0146251	0.0523818	0.3645361	1.0094283	0.2501601	0.2784322	1.1079116	0.9020862	0.8089865	0.3522847	0.0799180	0.9743846	0.4793065	0.1943605	0.5636028	0.8341807	1.1370641	0.8069648	0.0017008	0.4729005	0.3645207	0.5617783	0.4903282	0.7613956	0.9617723	0.5599966	1.0697043	0.8458361	0.2298464	0.6582532	0.8993512	1.0886823	0.9317973	0.7169763	1.1309930	0.6281089	0.9474159	0.1751148	0.7234434	0.0691511	0.7920543	0.2524018	0.5141741	0.7049835	0.4899165	0.2957888	0.4957543	0.2176567	0.1077194	0.9942742	0.3272554	0.4013477	0.7776283	1.0225947	0.8007768	0.0455776	0.4599961	0.6157890	0.8947386	0.4841115	0.8294712	1.0074725	1.0343783	0.8529019	0.5402005	0.2337666	1.0002987	1.0202925	1.0563994	0.1015777	0.2289989	0.9759358	0.7812111	0.9004997	0.9059894	0.9120033	0.0123676	0.4467090	0.7573665	0.3411954	0.7014442	0.6202752	0.5690886	0.7626012	0.9590493	0.3128276	0.7836202	0.9823538
0.7715254	0.9081298	0.5426069	0.6471964	0.5736635	1.0164749	0.9217232	0.2596288	0.8893025	0.1044795	0.2600982	0.8466348	0.8895416	0.2612221	0.7366455	1.0700701	0.1388370	0.2343017	1.0534383	0.9495502	0.7751392	0.6381280	0.1739705	1.0701070	0.0057319	0.8383204	0.6466900	0.8477568	0.9249921	1.0333756	0.2995219	0.1558857	0.1533002	0.4789716	0.2828497	0.2475299	1.0596178	0.5272978	1.1424240	0.8838783	0.4003656	0.6406795	1.0876914	0.8955394	0.9883753	0.7244657	0.7638286	0.7431174	0.9011529	0.1540351	0.9917151	0.0027593	0.9823188	0.3050189	0.9266211	0.2790759	0.1602899	0.0213046	1.0089241	0.0305689	0.0796799	0.9625681	0.1859833	0.9985613	0.4543452	1.0844062	1.0279386	0.0016290	0.6219519	0.6692833	1.0276163	0.6019190	0.6785610	1.1311669	0.3881005	0.2570488	0.2615833	0.4043669	0.8888501	1.0268897	0.6496636	0.0765873	0.3646355	1.1110706	0.9342597	0.8682441	0.6158510	1.0538161	0.0497572	0.1434982	0.6109793	0.1699407	0.5901779	0.1067898	0.2218727	0.5292585	0.9044819	0.4215988	0.9132513	0.9819834
0.6940550	0.8222055	0.4427431	0.5308171	0.3818884	0.9755662	0.9141405	0.5191455	0.8987574	0.2508267	0.9943639	0.7944787	1.0553364	0.2058845	0.1383541	1.0693138	0.2070496	0.3439825	0.9356768	0.9910099	1.0174553	0.6049820	0.0425159	0.8699644	0.0188982	0.7350205	0.7516858	0.9525206	1.0362133	1.0862901	0.4089245	0.1306257	0.3578688	0.7218552	0.7709044	0.8998629	1.0222161	0.5246919	0.9596770	0.7619507	0.3739162	0.8770630	0.6996067	0.9259394	0.9857483	0.9330271	0.6995863	0.8177141	1.0338323	0.1325936	0.8335757	0.0596536	0.7059469	0.7264319	0.9945748	0.1553356	0.0818709	0.0602195	1.3017062	0.0078525	0.1287198	0.9470941	0.4372180	0.8629866	0.6363361	0.9288339	0.6255753	0.0781271	0.3694411	0.8382431	1.0606175	0.7582368	0.7311590	0.9960088	0.9113958	0.8675533	0.6422865	0.4091619	0.5483149	1.0478067	0.7371919	0.4019495	0.0172093	0.8466020	0.8161208	0.8602107	0.5884514	0.8395406	0.1948366	0.3240559	0.9481912	0.0877740	0.6288171	0.1291801	0.9723745	0.5495705	1.0572905	0.7322988	0.9546635	0.5526904
0.9139261	0.9540198	0.0814468	0.4545899	0.4906153	0.9407519	0.7533565	0.0076238	0.9879097	0.1491166	1.0618090	0.8472076	1.0465876	0.0168159	0.8174310	0.8573186	0.2150006	0.1271345	0.8876439	0.7343849	0.7167939	0.3446423	0.0902148	1.0067021	0.0822253	1.2082133	0.0189018	1.0531456	1.1104018	0.8253195	0.1619868	0.7828335	0.4146138	0.5194143	0.5435498	0.8332298	0.5367075	0.5105786	0.9832343	0.8688238	0.1359103	0.9332446	0.9414914	1.0528077	0.9731303	0.9929264	0.7787799	0.8163554	0.9138172	0.1302106	1.1271578	0.0025443	0.9237452	0.4295220	0.7965816	0.5009730	0.2971667	0.3691450	1.0400431	0.0321179	0.0074013	1.0008578	0.2722449	0.7911176	0.5280495	0.9179423	0.6122368	0.0130070	0.3493952	0.1507501	0.5357851	0.7034235	0.7181554	0.9474737	1.1059830	0.9982938	0.4701429	0.2816687	1.0650862	0.9080585	1.0202458	0.0052826	0.0182282	0.9701445	0.9935868	0.9809256	0.9132914	1.0002340	0.5892581	0.0166649	0.8485584	0.0957373	0.6534444	0.0725322	0.0510964	0.8610081	0.9405274	0.7963416	0.6335402	0.8911639
1.0738820	0.9335306	0.6822292	0.4501713	0.4141215	0.7886619	1.0028245	0.4632125	1.0438997	0.0589522	0.7872262	0.8080119	1.0249464	0.0453848	0.0047027	1.0649100	0.1210127	0.3301696	0.9889056	0.8288350	0.2266842	0.1968019	0.1636798	1.1115270	0.0047788	0.9416889	0.4756175	0.9148046	0.7020139	1.0415165	0.8858031	0.1633322	0.2716000	0.5922246	0.7273701	0.8898734	0.7537613	0.5135336	1.1269150	0.9431471	0.3643585	0.4760060	1.0133886	0.7254028	1.1055640	0.8309158	0.6132000	0.7139494	1.0061776	0.0321148	0.9292056	0.0119948	0.8990508	0.5822232	0.9848362	0.2753563	0.0728831	0.4163316	0.8309708	0.0627272	0.0176996	0.9149172	0.2218156	0.8748313	0.2813866	0.9691503	0.9846395	0.0301711	0.7722935	0.2777856	1.0257811	0.3528671	0.7957674	0.8914369	0.8913614	0.8610572	0.5692179	0.3468974	0.9329755	1.0078384	0.9383415	0.0030357	0.0645582	0.9836603	0.4502461	1.0118187	0.8342772	0.8485642	0.6192187	0.1544216	0.8117932	0.1070681	0.5277254	0.1733182	0.3445356	0.6691960	0.7114310	0.4590766	0.8897695	0.6422547
0.5219430	0.8275900	0.6274032	0.5573033	0.6057110	0.9026258	1.0291191	0.0011898	1.0107982	0.2638736	0.9612182	0.6533624	0.7192775	0.1477272	0.1048434	0.8823123	0.1816393	0.3996213	0.8963576	0.9900406	1.0992025	0.6229883	0.1001547	1.0961431	0.1610382	0.5549225	0.8369453	0.9071002	1.0010078	1.0279345	0.1612099	0.0640581	0.2455887	0.5723392	0.2627592	0.8583228	0.9376812	0.7621640	0.9521826	0.8229924	0.1318664	0.6307350	0.9894611	0.7972004	0.9199797	0.7876445	0.8202517	0.9534217	1.0433866	0.0257322	1.0713914	0.0115819	0.8049635	0.6023546	1.0387677	0.2783191	0.1511066	0.1213838	1.0437520	0.0228533	0.3050825	0.8782569	0.3518869	0.8735783	0.4908827	1.0260267	0.9008586	0.0388848	0.5854279	0.8966381	1.0138239	0.7305534	0.8809285	0.9646376	0.9146801	0.9150890	0.4872074	0.5109340	0.6873932	0.9012585	1.0662898	0.3574167	0.3754718	0.7400068	1.0104625	0.9746047	0.5489675	0.9349819	0.4680531	0.1886626	0.6367279	0.3792662	0.4978300	0.0713400	0.9637699	0.7102129	1.0129367	0.8052937	0.9523153	0.9263904
