"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	1.0000000	0.9046667	0.2076135	0.5173732	0.4362909	1.0000000	0.9837832	0.0625893	1.0000000	0.1110869	1.0000000	0.7852642	1.0000000	0.0944447	0.2181252	1.0000000	0.1938460	0.3382153	1.0000000	0.9578160	1.0000000	0.6615139	0.1009159	1.0000000	0.0286194	0.7313596	0.7363907	1.0000000	1.0000000	1.0000000	0.0060989	0.3002682	0.3402445	0.5313410	0.5381918	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579655	0.7274918	1.0000000	1.0000000	1.0000000	0.7949671	0.7264492	0.9552596	0.9858657	0.1192480	1.0000000	0.0558461	0.7213478	0.7286112	1.0000000	0.2769190	0.1152325	0.0285939	1.0000000	0.0367435	0.0328451	0.9948646	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9229708	1.0000000	1.0000000	0.9206735	0.5501273	0.3394890	1.0000000	1.0000000	0.9995574	0.0702782	0.0512759	0.9980395	0.7742935	0.9255902	0.4087139	0.9752585	0.5107249	0.2570910	0.8980432	0.1921372	0.5322060	0.2008277	0.5746159	0.6632379	0.9946727	0.2755270	0.9989787	0.9960033
100	1.0000000	0.9046667	0.2131436	0.6340230	0.4362908	0.4967198	0.9691901	0.0904262	1.0000000	0.1110869	1.0000000	0.7985075	0.7801321	0.6122574	0.0325602	1.0000000	0.1966929	0.1044884	1.0000000	0.7742052	0.5693804	0.8987947	0.0086536	0.9057788	0.0297882	0.7600574	0.9127286	1.0000000	1.0000000	0.9505480	0.0007152	0.2965806	0.3403147	0.5313345	0.5382390	0.4303588	1.0000000	0.5533525	0.9634521	0.8900011	0.2314581	0.9563231	1.0000000	0.4540483	1.0000000	0.8976901	0.7299064	0.6809463	0.3058104	0.1335004	1.0000000	0.0558445	0.7213478	0.7286112	1.0000000	0.2769190	0.0709898	0.3339861	0.5730430	0.0750111	0.0336464	0.9958023	0.3495108	0.8083202	0.8344299	1.0000000	1.0000000	0.0281550	0.6389136	0.6514318	1.0000000	0.6760358	0.9102726	1.0000000	1.0000000	0.9206735	0.5501273	0.3394889	1.0000000	1.0000000	0.9996861	0.2757449	0.2155587	0.9683822	0.7780576	0.8693954	0.4087128	0.9793002	0.5298067	0.2745881	0.8700175	0.2651548	0.9374429	0.2040591	0.8441015	0.6594200	0.9941708	0.4024284	0.9963411	0.9964093
200	1.0000000	0.9046667	0.1819972	0.7601617	0.4362908	0.4768745	0.9687855	0.2743076	1.0000000	0.1110869	1.0000000	0.8019344	0.7793913	0.6414352	0.0222975	1.0000000	0.1994691	0.0891210	1.0000000	0.5699161	0.5308396	0.8455476	0.0013524	0.8941723	0.0310274	0.7906489	0.9118550	1.0000000	1.0000000	0.9464775	0.0003142	0.2841455	0.3403884	0.5313332	0.5384398	0.4033635	1.0000000	0.5533525	0.9582394	0.8881652	0.2828424	0.9790171	1.0000000	0.4358024	1.0000000	0.9137259	0.7517421	0.3234128	0.2021170	0.1627725	1.0000000	0.0558355	0.7213478	0.7286112	1.0000000	0.2769190	0.0646022	0.3600529	0.5242702	0.1588250	0.0447511	0.9955975	0.3739696	0.7927750	0.8438770	1.0000000	1.0000000	0.0281550	0.6389136	0.6477982	1.0000000	0.6561823	0.8652008	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9996480	0.2812587	0.2143788	0.8946187	0.7833660	0.8272078	0.4087114	0.9833058	0.5544988	0.3379134	0.7635054	0.3111568	0.9783414	0.2150208	0.8851169	0.6270364	0.9942541	0.4659605	0.9692008	0.9967448
300	1.0000000	0.9046667	0.1516058	0.7951716	0.4362908	0.4760920	0.9687927	0.3594466	1.0000000	0.1110869	1.0000000	0.8022677	0.7793888	0.6430730	0.0216493	1.0000000	0.2002228	0.0881106	1.0000000	0.5392834	0.5273902	0.8219104	0.0007744	0.8927425	0.0314236	0.8005434	0.9099672	1.0000000	1.0000000	0.9461424	0.0003055	0.2775953	0.3404089	0.5313330	0.5385796	0.4009890	1.0000000	0.5533525	0.9574959	0.8864306	0.2949803	0.9774983	1.0000000	0.4351926	1.0000000	0.9162292	0.7680415	0.2559040	0.1838849	0.1764119	1.0000000	0.0558293	0.7213478	0.7286112	1.0000000	0.2769190	0.0636800	0.3620877	0.5186987	0.1909698	0.0661994	0.9951440	0.3817236	0.7821049	0.8441592	1.0000000	1.0000000	0.0281550	0.6389136	0.6476722	1.0000000	0.6520669	0.8387284	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9996380	0.2815104	0.2139681	0.8831266	0.7940530	0.8209979	0.4087119	0.9844031	0.5618534	0.3565781	0.7196314	0.3168307	0.9825418	0.2208816	0.8912429	0.6113126	0.9961685	0.4689780	0.9207644	0.9968273
400	1.0000000	0.9046667	0.1419987	0.8018455	0.4362908	0.4760612	0.9687949	0.3839133	1.0000000	0.1110869	1.0000000	0.8022996	0.7793888	0.6431633	0.0216198	1.0000000	0.2003640	0.0880442	1.0000000	0.5355877	0.5270815	0.8176421	0.0007286	0.8925664	0.0314942	0.8029168	0.9096566	1.0000000	1.0000000	0.9461148	0.0003129	0.2758085	0.3404128	0.5313330	0.5386272	0.4008527	1.0000000	0.5533525	0.9573898	0.8859957	0.2973227	0.9760396	1.0000000	0.4351723	1.0000000	0.9166200	0.7726602	0.2483721	0.1796590	0.1798538	1.0000000	0.0558273	0.7213478	0.7286112	1.0000000	0.2769190	0.0635468	0.3622191	0.5180622	0.1967458	0.0786070	0.9948547	0.3833742	0.7782067	0.8441676	1.0000000	1.0000000	0.0281550	0.6389136	0.6476678	1.0000000	0.6515293	0.8303389	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9996339	0.2815706	0.2139546	0.8831532	0.8075793	0.8203922	0.4087133	0.9846329	0.5631768	0.3584506	0.7162395	0.3177110	0.9829938	0.2225096	0.8921414	0.6076905	0.9969263	0.4688997	0.8957705	0.9968388
500	1.0000000	0.9046667	0.1397774	0.8029269	0.4362908	0.4760599	0.9687952	0.3902277	1.0000000	0.1110869	1.0000000	0.8023026	0.7793888	0.6431680	0.0216217	1.0000000	0.2003866	0.0880398	1.0000000	0.5351441	0.5270538	0.8170533	0.0007250	0.8925447	0.0315026	0.8034306	0.9096188	1.0000000	1.0000000	0.9461126	0.0003157	0.2754360	0.3404134	0.5313330	0.5386388	0.4008595	1.0000000	0.5533525	0.9573747	0.8859124	0.2977259	0.9755855	1.0000000	0.4351716	1.0000000	0.9166810	0.7734979	0.2473148	0.1785753	0.1805215	1.0000000	0.0558268	0.7213478	0.7286112	1.0000000	0.2769190	0.0635276	0.3622228	0.5179895	0.1975403	0.0823996	0.9947446	0.3836679	0.7771882	0.8441679	1.0000000	1.0000000	0.0281550	0.6389136	0.6476677	1.0000000	0.6514816	0.8283156	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9996320	0.2815824	0.2139606	0.8841188	0.8153626	0.8203693	0.4087142	0.9846766	0.5633314	0.3586048	0.7162691	0.3178594	0.9830468	0.2228538	0.8922718	0.6070839	0.9970546	0.4688665	0.8879904	0.9968382
600	1.0000000	0.9046667	0.1041262	0.6807422	0.4362908	0.9793401	0.9832983	0.1696898	1.0000000	0.1110869	1.0000000	0.8000955	0.9992566	0.1253111	0.2689999	1.0000000	0.1974715	0.3217664	1.0000000	0.7544964	0.9576709	0.6070509	0.0929454	0.9867632	0.0299926	0.7744568	0.6938307	1.0000000	1.0000000	0.9955644	0.0035849	0.2792573	0.3403299	0.5313336	0.5385794	0.6580814	1.0000000	0.5533525	0.9939204	0.8316079	0.2367568	0.7177875	1.0000000	0.9811232	1.0000000	0.8139677	0.7658091	0.5523437	0.8371147	0.1462670	1.0000000	0.0558295	0.7213478	0.7286112	1.0000000	0.2769190	0.1077674	0.0545145	0.9449382	0.0739252	0.0670212	0.9935007	0.3600746	0.8395630	0.5279295	1.0000000	1.0000000	0.0281550	0.6389136	0.7524409	1.0000000	0.6774632	0.8374016	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994760	0.0741362	0.0499275	0.9551728	0.7983224	0.8688044	0.4087164	0.9814888	0.5372542	0.2434837	0.7412301	0.2577042	0.5847432	0.2196660	0.6220765	0.6204095	0.9962832	0.3601917	0.9743571	0.9964733
700	1.0000000	0.9046667	0.1400846	0.5578558	0.4362908	0.9991853	0.9837681	0.0778881	1.0000000	0.1110869	1.0000000	0.7902464	0.9999975	0.0961643	0.2402309	1.0000000	0.1947345	0.3371338	1.0000000	0.9236945	0.9962115	0.6536666	0.1002662	0.9983694	0.0288664	0.7441171	0.7270537	1.0000000	1.0000000	0.9996349	0.0057794	0.2923896	0.3402638	0.5313382	0.5383674	0.6851210	1.0000000	0.5533525	0.9991329	0.8364535	0.1773289	0.7096228	1.0000000	0.9993691	1.0000000	0.7979333	0.7404719	0.8843155	0.9548687	0.1250574	1.0000000	0.0558391	0.7213478	0.7286112	1.0000000	0.2769190	0.1141546	0.0298808	0.9937101	0.0408329	0.0407798	0.9937836	0.3366209	0.8564787	0.5184824	1.0000000	1.0000000	0.0281550	0.6389136	0.7560745	1.0000000	0.6962332	0.8808547	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995313	0.0697244	0.0506318	0.9912617	0.7816778	0.9175070	0.4087184	0.9772018	0.5155459	0.2505893	0.8425478	0.2027194	0.5389055	0.2081909	0.5811456	0.6466208	0.9948564	0.2888274	0.9962959	0.9961096
800	1.0000000	0.9046667	0.1847602	0.5248147	0.4362908	0.9999679	0.9837828	0.0661392	1.0000000	0.1110869	1.0000000	0.7861770	1.0000000	0.0945365	0.2222040	1.0000000	0.1940066	0.3381442	1.0000000	0.9528676	0.9996609	0.6607543	0.1008593	0.9997991	0.0286795	0.7343564	0.7351318	1.0000000	1.0000000	0.9999699	0.0061947	0.2983849	0.3402479	0.5313405	0.5382415	0.6875568	1.0000000	0.5533525	0.9998763	0.8391134	0.1617971	0.7212643	1.0000000	0.9999789	1.0000000	0.7954302	0.7297623	0.9429214	0.9793872	0.1203014	1.0000000	0.0558446	0.7213478	0.7286112	1.0000000	0.2769190	0.1150767	0.0285315	0.9992815	0.0372433	0.0341668	0.9943683	0.3298016	0.8668960	0.5182002	1.0000000	1.0000000	0.0281550	0.6389136	0.7562005	1.0000000	0.6998962	0.9100177	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995452	0.0701652	0.0512229	0.9970121	0.7761359	0.9259034	0.4087175	0.9757107	0.5115504	0.2556543	0.8888759	0.1940097	0.5332231	0.2026453	0.5754363	0.6596827	0.9946908	0.2775368	0.9986310	0.9960121
900	1.0000000	0.9046667	0.2021847	0.5185578	0.4362908	0.9999987	0.9837832	0.0634731	1.0000000	0.1110869	1.0000000	0.7853954	1.0000000	0.0944489	0.2187427	1.0000000	0.1938713	0.3382106	1.0000000	0.9571417	0.9999697	0.6614747	0.1009104	0.9999753	0.0286391	0.7320020	0.7362481	1.0000000	1.0000000	0.9999975	0.0061447	0.2998855	0.3402450	0.5313410	0.5382024	0.6877125	1.0000000	0.5533525	0.9999824	0.8397393	0.1586590	0.7258926	1.0000000	0.9999993	1.0000000	0.7950395	0.7271372	0.9527662	0.9845465	0.1194225	1.0000000	0.0558463	0.7213478	0.7286112	1.0000000	0.2769190	0.1152099	0.0285606	0.9999179	0.0368058	0.0330524	0.9947012	0.3284023	0.8704376	0.5181918	1.0000000	1.0000000	0.0281550	0.6389136	0.7562049	1.0000000	0.7003742	0.9198403	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995526	0.0702612	0.0512807	0.9978870	0.7746804	0.9260911	0.4087157	0.9753517	0.5108641	0.2568468	0.8965710	0.1924662	0.5323849	0.2012028	0.5747047	0.6627148	0.9946752	0.2758220	0.9989211	0.9959994
