YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631134	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.5269695	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314047	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.0000000	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995508	0.3499877	0.0341306	0.8691946	0.9749319	0.8213616	0.4087140	0.9752593	0.5107250	0.2068738	0.8980450	0.2427188	0.5322029	0.2008277	0.5702095	0.5036704	0.9946722	0.1878540	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0617682	1.0000000	0.1110869	1.0000000	0.4280999	1.0000000	0.9901848	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.9977377	1.0000000	0.7254686	0.4712849	1.0000000	0.0293121	0.7312720	0.7363909	1.0000000	1.0000000	1.0000000	0.0038122	0.3002833	0.0014901	0.0000000	0.0640811	0.6372002	1.0000000	0.0000000	1.0000000	0.8398801	0.1578488	0.7275229	1.0000000	1.0000000	1.0000000	0.7949672	0.7264349	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948653	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230432	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995531	0.8279505	0.3953658	0.9999943	0.9852446	0.9958093	0.4881134	0.9845867	0.5107205	0.0608628	0.8980438	0.5928364	0.5283474	0.1218061	0.5711971	0.4986391	0.9903281	0.0452166	0.7760583	0.9966666
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0412681	1.0000000	0.1110869	1.0000000	0.5126889	1.0000000	0.9901852	0.0821090	1.0000000	0.6438811	0.3382153	1.0000000	0.9950517	1.0000000	0.7085587	0.3083594	1.0000000	0.2688866	0.3354222	0.7363909	1.0000000	1.0000000	1.0000000	0.1895737	0.3002834	0.0000000	0.5339247	0.0640811	0.6371994	1.0000000	0.5533525	1.0000000	0.8398801	0.1578485	0.7275234	1.0000000	1.0000000	1.0000000	0.7949672	0.7264347	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948654	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230442	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	0.0000000	1.0000000	0.9995578	0.1433756	0.4292174	0.9999741	0.8101421	0.9897133	0.4881438	0.9693510	0.5107204	0.2331427	0.8676433	0.4407220	0.5283474	0.5670323	0.5711643	0.6507897	0.9999973	0.1507856	0.7650509	0.9966664
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631073	1.0000000	0.1110869	1.0000000	0.8025683	1.0000000	0.9901848	0.2993115	1.0000000	0.1938460	0.3382153	1.0000000	0.5269695	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314047	0.7363909	1.0000000	1.0000000	1.0000000	0.0038122	0.3002833	0.0014901	0.0000000	0.0640811	0.6372002	1.0000000	0.5533525	1.0000000	0.8398801	0.1578488	0.7275229	1.0000000	1.0000000	1.0000000	0.7949672	0.7264349	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948653	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230432	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995566	0.2815475	0.3953658	0.8797682	0.7953062	0.8213336	0.4881134	0.9845867	0.5107205	0.3478728	0.8980438	0.4531813	0.5283474	0.1218061	0.5765149	0.7255421	0.9903281	0.1061794	0.7794405	0.9966666
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	1.0000000	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2993108	1.0000000	0.1938460	0.3382153	1.0000000	0.5270779	1.0000000	0.6945270	0.0000000	1.0000000	0.0289990	0.7313103	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.0000002	0.0159513	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995599	0.1336807	0.0341306	0.8789963	0.7742821	0.7852667	0.4087140	0.9752593	0.5107250	0.4495256	0.8980450	0.1809935	0.5322029	0.2008277	0.5753814	0.5747682	0.9887449	0.2977092	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631133	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.4757808	1.0000000	0.1938460	0.3382153	1.0000000	0.0209479	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314047	0.0000000	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994740	0.0682573	0.0341306	0.8789954	0.7742821	0.8213617	0.4087140	0.9752593	0.5107250	0.4495256	0.8980450	0.2427188	0.5322029	0.2008277	0.5743909	0.6364213	0.9946722	0.5762441	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0785055	1.0000000	0.1110869	1.0000000	0.7852631	1.0000000	0.0944448	0.3414419	1.0000000	0.1938460	0.3382153	1.0000000	0.0191325	0.0000000	0.0072220	0.1009160	1.0000000	0.0202175	0.7320791	0.0000000	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313410	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994740	0.0702783	0.0512760	0.9980397	0.7742918	0.9255931	0.4087140	0.9752591	0.5403049	0.1565355	0.8980450	0.5928370	0.5322029	0.2008277	0.5746156	0.5488143	0.9946722	0.8918624	0.9989788	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0785055	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.5259330	0.0000000	0.0072220	0.0000000	1.0000000	0.0202175	0.7320791	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995574	0.0682573	0.0341306	0.8789954	0.7742821	0.8213617	0.4087140	0.9752593	0.5403049	0.4495255	0.8980450	0.4531820	0.5322029	0.2008277	0.5743909	0.5747682	0.9946722	0.6110065	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0619592	1.0000000	0.1110869	1.0000000	0.4954801	1.0000000	0.9901852	0.0712189	1.0000000	0.1938460	0.3382153	1.0000000	0.9948657	1.0000000	0.7085588	0.3083594	1.0000000	0.0291458	0.7312925	0.7363909	1.0000000	1.0000000	1.0000000	0.1895742	0.3002833	0.0000000	0.5339247	0.0640811	0.6372002	1.0000000	0.5533525	1.0000000	0.8398801	0.1578488	0.7275229	1.0000000	1.0000000	1.0000000	0.7949672	0.7264349	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948653	0.3281116	0.8715593	0.0000000	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230432	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995578	0.1433760	0.3953658	0.9999720	0.7914460	0.9897132	0.4881455	0.9749248	0.5107205	0.2331427	0.8980438	0.4407222	0.5283474	0.1217915	0.5753284	0.6507894	0.9903281	0.1507854	0.7785487	0.9949871
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631100	1.0000000	0.1110869	1.0000000	0.8190304	0.0000000	0.0628810	0.2994525	1.0000000	0.1938460	0.3382153	1.0000000	0.5269820	1.0000000	0.6287127	0.0000000	1.0000000	0.0281949	0.7314038	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9469033	0.0680347	0.0361042	0.8790021	0.7742821	0.8213648	0.4087140	0.9752593	0.5107250	0.4495249	0.8980450	0.1767521	0.5322029	0.2008277	0.5743910	0.6633986	0.9946722	0.2977092	0.9989906	0.9966666
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.7617326	0.0418366	1.0000000	0.1110869	0.0000000	0.8190306	1.0000000	0.0944448	0.2430022	1.0000000	0.6438811	0.3382153	1.0000000	0.9592496	1.0000000	0.6615164	0.1009160	1.0000000	0.2542504	0.3622753	0.7363909	1.0000000	1.0000000	1.0000000	0.6096756	0.3002678	0.3402445	0.5313410	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	0.0000000	1.0000000	0.9995574	0.0702783	0.0512760	0.8359664	0.7742821	0.9255932	0.4086925	0.9697597	0.5107250	0.2570914	0.8676433	0.1921370	0.5283474	0.5670403	0.5704354	0.6632382	0.9999973	0.2755259	0.9987935	0.9960031
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0413247	1.0000000	0.1110869	1.0000000	0.8019116	1.0000000	0.0944448	0.2421034	1.0000000	0.6438811	0.3382153	1.0000000	0.9592496	1.0000000	0.6615164	0.1009160	1.0000000	0.2542504	0.3622753	0.7363909	1.0000000	1.0000000	1.0000000	0.1973673	0.3002678	0.3402445	0.5313410	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.0000000	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	0.0000000	1.0000000	0.9995574	0.0702783	0.0341306	0.9981393	0.7749093	0.9255932	0.4086925	0.9725919	0.5107250	0.2570914	0.8676433	0.1921370	0.5283474	0.5670403	0.5704354	0.6632382	0.9999973	0.2755259	0.9987935	0.9939941
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	1.0000000	1.0000000	0.1110869	1.0000000	0.7852631	1.0000000	0.0944448	0.2181212	1.0000000	0.1938460	0.3382153	1.0000000	0.9578263	1.0000000	0.7234333	0.1009160	1.0000000	0.0292928	0.7312742	0.7363909	1.0000000	1.0000000	1.0000000	0.0057278	0.3108018	0.3402445	0.5313410	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.0000007	0.7485265	1.0000000	1.0000000	1.0000000	0.7949672	0.7217242	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.0000000	0.0159513	1.0000000	0.0367435	0.0328451	0.9957502	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7002943	0.9999999	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995785	0.1376285	0.0512442	0.9980397	0.7742917	0.9099517	0.4087102	0.9752591	0.5044917	0.2570914	0.8676439	0.1962823	0.5322029	0.1903924	0.5753813	0.5993523	0.9887449	0.2755259	0.9989788	0.9960191
1.0000000	0.9046667	0.0657854	0.9227239	0.4362908	1.0000000	0.9837832	0.0625868	1.0000000	0.1110869	1.0000000	0.7852631	1.0000000	0.0944448	0.2136485	1.0000000	0.1938460	0.3382153	1.0000000	0.9578178	1.0000000	0.6615164	0.1009160	1.0000000	0.0286204	0.7313553	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313410	0.5381912	0.6877055	1.0000000	0.0000000	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.3076138	0.0520126	1.0000000	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	0.0000000	1.0000000	0.5983742	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995633	0.6860743	0.3953658	0.9989147	0.9947552	0.9255931	0.4087140	0.9830050	0.5107250	0.1167052	0.6938103	0.2619622	0.5322029	0.2008277	0.5704354	0.5036690	0.9969391	0.1713334	0.7832957	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0619592	1.0000000	0.1110869	1.0000000	0.1174907	1.0000000	0.9901852	0.0693472	1.0000000	0.1938460	0.3382153	1.0000000	0.9948657	1.0000000	0.7085588	0.3083594	1.0000000	0.0291458	0.7312925	0.7363909	1.0000000	0.0000000	1.0000000	0.0038122	0.3002833	0.0000000	0.5339247	0.0640811	0.6372002	1.0000000	0.5533525	1.0000000	0.8398801	0.1578488	0.7275229	1.0000000	1.0000000	1.0000000	0.7949672	0.7264349	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948653	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230432	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995578	0.1433760	0.3953658	1.0000000	0.3976303	0.9897132	0.4881449	0.9749248	0.5107205	0.2331445	0.8980438	0.4407222	0.5283474	0.1217915	0.5753284	0.6507894	0.9903281	0.1507854	0.7794105	0.7362402
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631134	1.0000000	0.1110869	1.0000000	0.7852631	1.0000000	0.0944448	0.3414419	1.0000000	0.1938460	0.3382153	1.0000000	0.9120171	1.0000000	0.6287125	0.1009160	1.0000000	0.0281943	0.7314047	0.0000000	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313410	0.5381912	0.6877055	1.0000000	0.0000000	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994663	0.3525978	0.0341306	0.9978809	0.9749331	0.9255931	0.4087140	0.9752591	0.5107250	0.0695878	0.8980450	0.2619622	0.5322029	0.2008277	0.5704354	0.4738177	0.9946722	0.4190545	0.9989788	0.9960034
