YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0000000	0.9266218	0.1276733	0.4613262	0.3949833	0.9187153	0.9824386	0.8925520	0.9046286	0.0687183	0.9918283	0.8260244	1.0000000	0.8585414	0.3586201	1.0000000	0.0492834	0.4133026	0.8534990	0.9715405	1.0000000	0.6558291	0.2839162	0.8997454	0.0019766	0.9395182	0.2732947	0.6941488	1.0000000	1.0000000	0.0003894	0.4270791	0.0769465	0.5270112	0.0030103	0.4200708	1.0000000	0.7873466	1.0000000	0.8481272	0.4308946	0.6338415	0.9584320	0.9469113	0.8759353	0.7355801	0.9167539	0.7983770	0.9803996	0.1315089	0.8858436	0.0041933	0.7710450	0.5772775	0.8867362	0.3554953	0.1266558	0.0152738	0.3899831	0.3395219	0.4891984	0.9915009	0.3796060	0.8353819	0.6144393	0.7548614	1.0000000	0.0013829	0.6972530	0.4177388	1.0000000	0.5396225	0.7390279	1.0000000	1.0000000	0.9291461	0.5385556	0.2191000	1.0000000	1.0000000	0.6656577	0.0299262	0.0582905	0.7740916	0.8361882	0.8413715	0.3394639	0.9277414	0.1681528	0.1081802	0.4412693	0.2996664	0.5037407	0.0694919	0.6892396	0.5934256	0.6830112	0.8341733	0.6210033	0.9977162
0.9893477	0.9081014	0.2919436	0.7629712	0.3503265	1.0000000	0.9758656	0.0530550	0.9012603	0.0543383	1.0000000	0.5142956	0.9999470	0.6239233	0.0221802	1.0000000	0.1938460	0.3383666	1.0000000	0.9949059	1.0000000	0.9488392	0.2553622	1.0000000	0.0819966	0.2882941	0.8700767	1.0000000	1.0000000	1.0000000	0.2944771	0.1117077	0.1476891	0.4690122	0.5027363	0.9999766	0.9834854	0.4091624	1.0000000	0.8476349	0.5922838	0.7346757	1.0000000	0.7712201	1.0000000	0.7858990	0.7080701	0.9798207	0.9850839	0.1211819	0.4281376	0.0049716	0.7864645	0.6677113	1.0000000	0.2769190	0.1152323	0.0126421	0.9607907	0.0218918	0.0007177	0.9166503	0.3281116	0.7339382	0.7435124	1.0000000	1.0000000	0.0027986	0.8031490	0.8759621	1.0000000	0.7742180	0.6429873	0.9246923	1.0000000	0.8538883	0.7893730	0.3280089	1.0000000	0.7307716	0.9999092	0.2676745	0.2766817	0.9999440	0.9893916	0.4520997	0.1579750	0.7324811	0.1803332	0.3070829	0.9495147	0.4167204	0.5058869	0.3521183	0.9981167	0.4158293	0.7824082	0.1564117	0.9965487	0.9133634
1.0000000	0.9484369	0.2640354	0.5815865	0.4362908	1.0000000	0.9680942	0.1448054	0.6763736	0.1051972	1.0000000	0.7685171	1.0000000	0.1439922	0.4766532	0.8329229	0.2071722	0.3069434	0.8653131	0.7796708	1.0000000	0.6751429	0.0510147	0.5309257	0.3015984	0.1510513	0.5297845	1.0000000	0.8341743	0.6825904	0.5208680	0.2116388	0.3411107	0.8273022	0.5629875	0.8440984	0.6224612	0.5221016	0.6197054	0.4288061	0.0402137	0.7216264	1.0000000	1.0000000	0.8644280	0.7323819	0.6729524	0.9538420	0.9615855	0.0665391	0.8845579	0.1196429	0.5148617	0.8822963	0.9971931	0.2169131	0.0420858	0.0864719	0.6044615	0.1285420	0.0231821	0.9234835	0.6708387	0.6512411	0.2797673	0.9781459	1.0000000	0.0033036	0.6145802	0.5416937	0.9358211	0.6667462	0.9885832	1.0000000	1.0000000	0.9175411	0.6368513	0.2946841	1.0000000	0.9876924	0.9999801	0.0005247	0.6202594	0.9954398	0.3271771	0.8922806	0.0966177	0.9968393	0.4332167	0.2431783	0.4312210	0.4268926	0.5490080	0.3527113	0.5690421	0.8525924	0.6108689	0.2151365	0.9989313	0.9694894
0.7685477	0.8733382	0.0489005	0.6489612	0.5081773	0.9019999	0.8801131	0.0000865	0.7975159	0.2055826	0.8441800	0.5337955	0.7705021	0.4089782	0.0898563	1.0000000	0.0028746	0.3368012	1.0000000	0.9557613	0.9960139	0.2863043	0.1467872	0.9045858	0.0132814	0.5630240	0.6647362	0.5846841	1.0000000	0.8086325	0.4705211	0.2994023	0.1320369	0.7390202	0.0238697	0.3340312	0.9087135	0.5192256	1.0000000	0.8410070	0.5568142	0.4515093	0.5264607	1.0000000	1.0000000	0.8690600	0.9874936	0.9666073	0.9999600	0.0211323	0.7175010	0.0640537	0.8931493	0.5706319	0.5145090	0.5306595	0.6520604	0.4816219	1.0000000	0.0367435	0.0019947	0.9797578	0.2568198	0.9136383	0.3045769	1.0000000	1.0000000	0.0031153	0.6392145	0.7355177	1.0000000	0.7225483	0.4859233	0.9667555	0.9172081	0.8999378	0.6399599	0.4041470	1.0000000	0.9801557	0.9998747	0.0050378	0.4280571	0.8658370	0.8754545	0.8648943	0.4070813	0.7869191	0.5782348	0.2381570	0.9141354	0.4746352	0.9886443	0.4136213	0.2658696	0.6077251	0.6539353	0.3149282	0.9961188	0.9103019
1.0000000	0.9015425	0.2817212	0.5311752	0.4362908	1.0000000	0.7627413	0.0000004	1.0000000	0.0763058	0.9172153	0.6996031	1.0000000	0.0314673	0.2925818	1.0000000	0.2164457	0.3385780	1.0000000	0.8298389	0.7838759	0.3199886	0.0680911	0.9731167	0.4760790	0.1857763	0.4974825	0.8382992	1.0000000	0.8267512	0.0005707	0.4416434	0.3405721	0.5253185	0.4749826	0.6774974	1.0000000	0.5267460	1.0000000	0.8432575	0.2187601	0.8039419	1.0000000	1.0000000	1.0000000	0.7659876	0.9517111	0.5488071	0.9365356	0.1883274	0.6084653	0.0536850	0.7516425	0.2424748	0.5659475	0.7014472	0.4940523	0.2976627	0.4946961	0.1895368	0.0486002	0.9217591	0.3409028	0.4105616	0.7574858	0.9199683	0.7900030	0.0373136	0.4822187	0.5732361	0.9256264	0.4691136	0.8137467	1.0000000	1.0000000	0.8538883	0.5385556	0.3080832	1.0000000	1.0000000	0.9999127	0.0913249	0.2528209	0.9972715	0.7199933	0.9990061	0.9208964	0.9419285	0.0163685	0.4286331	0.8647510	0.3668928	0.7279513	0.6233694	0.5665906	0.7498671	0.9986445	0.3094974	0.9196943	0.9993674
0.7626280	0.8949592	0.4735717	0.6074055	0.5102985	0.9351109	0.9799445	0.7501597	0.9393247	0.0898221	0.2920291	0.8176428	0.8652400	0.3215596	0.7100215	1.0000000	0.1509880	0.2007353	1.0000000	0.9727961	0.7409620	0.6152293	0.1529733	0.9787944	0.0022357	0.7302205	0.7242269	0.9139815	0.9056905	1.0000000	0.2784788	0.1627596	0.1492250	0.5253866	0.2131628	0.2699311	1.0000000	0.5267460	1.0000000	0.8114977	0.3725906	0.7113491	1.0000000	1.0000000	0.9611879	0.7572124	0.6952251	0.7046603	0.9858664	0.1192480	1.0000000	0.0015059	0.9724423	0.3646716	1.0000000	0.2769190	0.0767368	0.0055787	1.0000000	0.0367435	0.0856191	0.9475314	0.2274031	0.9295370	0.4548157	1.0000000	1.0000000	0.0032212	0.6502585	0.7596527	1.0000000	0.6209384	0.7682953	1.0000000	0.3638466	0.2407654	0.2291627	0.4061102	0.9516794	1.0000000	0.6620314	0.1061471	0.4505380	0.9997614	0.9909596	0.8657507	0.6579634	0.9934733	0.0597884	0.1593746	0.6128806	0.1657163	0.5926142	0.0747577	0.2686418	0.5509155	0.8222239	0.5144114	0.9924060	0.9968215
0.7488315	0.9166673	0.4365450	0.5631554	0.3534983	1.0000000	0.9935580	0.9175587	1.0000000	0.2176978	1.0000000	0.8433123	1.0000000	0.2326795	0.2080794	1.0000000	0.2212574	0.2925394	0.8669116	0.8819513	0.9477604	0.6621636	0.0577913	0.7960779	0.0091442	0.7628475	0.6337027	0.8883953	1.0000000	1.0000000	0.4508774	0.1346999	0.3405627	0.6678774	0.7179185	0.8038012	1.0000000	0.5267460	1.0000000	0.8158492	0.4558083	0.8754636	0.6892482	1.0000000	1.0000000	0.8523173	0.7005255	0.7911002	0.9774145	0.1192480	0.7641503	0.0567030	0.7108895	0.7365660	1.0000000	0.1949297	0.0623402	0.0432783	1.0000000	0.0132344	0.1169466	0.9928505	0.4447989	0.7964725	0.6297895	1.0000000	0.5429753	0.1130580	0.2808872	0.7102933	1.0000000	0.6951627	0.7232708	1.0000000	1.0000000	0.9427870	0.7110888	0.3584050	0.5585082	1.0000000	0.7877566	0.4049991	0.0143167	0.8557625	0.8631918	0.7656468	0.5949282	0.7920081	0.2085711	0.2573448	0.8949843	0.0697448	0.6080129	0.1399405	0.9346836	0.4982676	0.9946871	0.7665246	0.9993073	0.5864583
0.9015887	0.8912036	0.0732672	0.4671228	0.4644204	1.0000000	0.7318640	0.0138155	0.9745420	0.1424345	1.0000000	0.7928178	1.0000000	0.0302264	0.7431754	0.7862833	0.2125430	0.1622873	0.8787078	0.8229204	0.7851597	0.4819180	0.1006497	0.9723614	0.0427918	0.9870000	0.0123627	0.9696210	1.0000000	0.8542330	0.1825599	0.7098571	0.3448983	0.5253254	0.4864224	0.8367257	0.5613870	0.5267460	1.0000000	0.8114977	0.1128853	0.8466012	1.0000000	1.0000000	1.0000000	0.8437852	0.7102819	0.8158224	0.9262571	0.1192480	1.0000000	0.0009799	0.9443542	0.4930395	0.8528934	0.3836881	0.2160143	0.3332245	1.0000000	0.0367435	0.0019947	0.9767126	0.2194480	0.7433466	0.5586955	1.0000000	0.6142217	0.0177632	0.3422842	0.2217377	0.6016268	0.7446536	0.7240906	1.0000000	1.0000000	0.8538883	0.5385556	0.2667829	1.0000000	1.0000000	0.9999931	0.0003163	0.0087045	0.9973983	0.9746704	0.9090130	0.9205649	0.9636600	0.5021840	0.0083602	0.7704545	0.0689448	0.6654313	0.0585125	0.0437325	0.8036841	0.9336425	0.7452697	0.7855478	0.8568418
0.9897438	0.9005556	0.7024872	0.4038719	0.4390741	0.7201146	0.9872674	0.5254834	1.0000000	0.0739199	0.6498836	0.8216872	1.0000000	0.0505897	0.0001467	1.0000000	0.0867783	0.3381800	1.0000000	0.6847570	0.2052932	0.1587912	0.1201404	1.0000000	0.0054272	0.9286231	0.4389427	1.0000000	0.6548388	0.9730302	0.8958204	0.1280042	0.2929737	0.5253373	0.7156799	0.9021758	0.7702015	0.5267460	1.0000000	0.9540688	0.3860823	0.5539813	1.0000000	0.7696254	1.0000000	0.8713078	0.6865612	0.7068194	0.9999608	0.0210170	1.0000000	0.0022318	0.8640162	0.6039925	1.0000000	0.2769190	0.0691485	0.3892893	0.7469103	0.0623702	0.0056545	0.9207551	0.2894830	0.7893148	0.2775404	1.0000000	1.0000000	0.0281550	0.7261421	0.2441740	1.0000000	0.3268903	0.7681617	1.0000000	0.8594157	0.7992191	0.4876550	0.3419278	0.7808657	1.0000000	0.9995211	0.0028731	0.0431308	0.9997434	0.4310875	0.9512420	0.7648728	0.7536143	0.5768566	0.1377263	0.8998436	0.1172073	0.5497722	0.1534180	0.3707849	0.6524342	0.7453776	0.4319297	0.8428323	0.6178946
0.5464071	0.8264370	0.6052467	0.5536606	0.6000141	0.8586333	0.9995073	0.0005918	1.0000000	0.2805354	0.8595513	0.5876015	0.7504240	0.1509927	0.0897427	0.8323121	0.1984481	0.3693645	0.9198181	0.9940560	1.0000000	0.6455907	0.1199370	1.0000000	0.1514409	0.5452810	0.7716901	1.0000000	0.9931984	0.9418959	0.0796897	0.0466376	0.2225324	0.5129735	0.1842749	0.8260010	0.9374548	0.7259160	1.0000000	0.8114977	0.1448561	0.6611449	1.0000000	0.8357575	0.9376456	0.8475989	0.6764306	0.9578902	0.9999661	0.0201403	1.0000000	0.0017640	0.9293100	0.5196838	0.9696581	0.2957218	0.1338190	0.1333945	1.0000000	0.0367435	0.2562904	0.9216883	0.3281116	0.8715593	0.4694988	1.0000000	1.0000000	0.0281550	0.6145802	0.8483626	1.0000000	0.7729567	0.8367634	0.9482480	0.9333758	0.8320861	0.5154431	0.4649280	0.7630677	0.9301692	0.9998085	0.3604644	0.3915726	0.7638910	0.8763364	0.9210074	0.5850487	0.9926001	0.4762211	0.1897161	0.5680949	0.3607784	0.5149253	0.0843473	0.8736612	0.7457594	0.9894197	0.7823786	0.9973193	0.9453120
