"Time"	YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C

0	1.0000000	0.9046667	0.2076135	0.5173732	0.4362914	1.0000000	0.9837832	0.0625896	1.0000000	0.1110871	1.0000000	0.7852655	1.0000000	0.0944444	0.2181407	1.0000000	0.1938461	0.3382152	1.0000000	0.9578128	1.0000000	0.6615030	0.1009156	1.0000000	0.0286182	0.7313660	0.7363883	1.0000000	1.0000000	1.0000000	0.0060989	0.3002686	0.3402446	0.5313410	0.5381930	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579647	0.7274943	1.0000000	1.0000000	1.0000000	0.7949671	0.7264482	0.9552555	0.9858592	0.1192481	1.0000000	0.0558457	0.7213521	0.7286112	1.0000000	0.2769190	0.1152329	0.0285959	1.0000000	0.0367435	0.0328452	0.9948647	0.3281117	0.8715590	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562050	1.0000000	0.7004171	0.9229746	1.0000000	1.0000000	0.9206735	0.5501273	0.3394894	1.0000000	1.0000000	0.9995573	0.0702780	0.0512755	0.9980390	0.7743013	0.9255869	0.4087139	0.9752539	0.5107248	0.2570903	0.8980319	0.1921377	0.5322108	0.2008278	0.5746162	0.6632375	0.9946742	0.2755302	0.9989786	0.9960033
100	1.0000000	0.9046667	0.2109663	0.5759384	0.4362909	0.5836330	0.9712967	0.0576500	1.0000000	0.1110869	1.0000000	0.7946459	0.8077179	0.4945093	0.0766715	1.0000000	0.1952609	0.1635944	1.0000000	0.8711228	0.6443692	0.8478488	0.0253790	0.9258852	0.0292738	0.7462393	0.8720236	1.0000000	1.0000000	0.9595878	0.0016311	0.2987443	0.3402782	0.5313357	0.5382116	0.5049215	1.0000000	0.5533525	0.9728828	0.8787863	0.2020753	0.8963127	1.0000000	0.5090739	1.0000000	0.8762995	0.7276289	0.7794158	0.5314731	0.1262019	1.0000000	0.0558452	0.7213484	0.7286112	1.0000000	0.2769190	0.0800753	0.2623105	0.6672965	0.0528780	0.0331041	0.9956420	0.3381126	0.8194259	0.7692250	1.0000000	1.0000000	0.0281550	0.6389136	0.6726993	1.0000000	0.6898333	0.9177589	1.0000000	1.0000000	0.9206735	0.5501273	0.3394889	1.0000000	1.0000000	0.9996708	0.2375350	0.1839544	0.9873418	0.7760855	0.8940438	0.4087134	0.9769140	0.5219598	0.2653813	0.8870027	0.2324370	0.8603727	0.2022529	0.7983152	0.6626779	0.9944286	0.3436760	0.9978938	0.9962656
200	1.0000000	0.9046667	0.1964433	0.7155182	0.4362908	0.4859819	0.9689391	0.2015867	1.0000000	0.1110869	1.0000000	0.8012288	0.7814153	0.6234494	0.0296200	1.0000000	0.1984056	0.0996225	1.0000000	0.6273907	0.5410411	0.8616825	0.0035804	0.8979030	0.0306460	0.7799402	0.9083652	1.0000000	1.0000000	0.9477099	0.0004124	0.2884801	0.3403591	0.5313333	0.5383704	0.4202438	1.0000000	0.5533525	0.9604219	0.8880278	0.2691177	0.9682264	1.0000000	0.4389831	1.0000000	0.9092768	0.7422820	0.4131405	0.2700977	0.1526786	1.0000000	0.0558369	0.7213479	0.7286112	1.0000000	0.2769190	0.0663905	0.3476987	0.5416049	0.1241853	0.0391367	0.9956914	0.3638173	0.7988909	0.8356080	1.0000000	1.0000000	0.0281550	0.6389136	0.6504659	1.0000000	0.6664059	0.8810942	1.0000000	1.0000000	0.9206735	0.5501273	0.3394889	1.0000000	1.0000000	0.9996586	0.2771883	0.2118881	0.9149410	0.7808459	0.8380542	0.4087119	0.9812301	0.5490553	0.3217072	0.8188500	0.2998614	0.9664355	0.2115537	0.8767470	0.6344740	0.9940669	0.4470095	0.9817370	0.9966741
300	1.0000000	0.9046667	0.1626225	0.7812968	0.4362908	0.4768224	0.9687981	0.3244776	1.0000000	0.1110869	1.0000000	0.8021871	0.7795308	0.6409672	0.0226016	1.0000000	0.1998859	0.0895415	1.0000000	0.5502760	0.5284657	0.8308653	0.0009997	0.8932803	0.0313039	0.7968118	0.9101513	1.0000000	1.0000000	0.9462702	0.0003088	0.2796784	0.3403992	0.5313330	0.5385381	0.4037251	1.0000000	0.5533525	0.9578815	0.8869676	0.2915644	0.9772221	1.0000000	0.4353317	1.0000000	0.9154771	0.7617982	0.2723071	0.2002658	0.1719925	1.0000000	0.0558300	0.7213478	0.7286112	1.0000000	0.2769190	0.0639632	0.3605380	0.5211365	0.1768526	0.0574456	0.9952919	0.3779729	0.7856220	0.8432994	1.0000000	1.0000000	0.0281550	0.6389136	0.6479399	1.0000000	0.6553435	0.8472371	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9996423	0.2811134	0.2138186	0.8870440	0.7887877	0.8228541	0.4087117	0.9836040	0.5603955	0.3531215	0.7435018	0.3150044	0.9810999	0.2192678	0.8899507	0.6140004	0.9954473	0.4669004	0.9377209	0.9968111
400	1.0000000	0.9046667	0.1458208	0.7987859	0.4362908	0.4761142	0.9687948	0.3725857	1.0000000	0.1110869	1.0000000	0.8022914	0.7793987	0.6429399	0.0217290	1.0000000	0.2002880	0.0882211	1.0000000	0.5371985	0.5271853	0.8198340	0.0007491	0.8926375	0.0314714	0.8019417	0.9097661	1.0000000	1.0000000	0.9461268	0.0003112	0.2764018	0.3404105	0.5313330	0.5386133	0.4012233	1.0000000	0.5533525	0.9574514	0.8861803	0.2966392	0.9764829	1.0000000	0.4351777	1.0000000	0.9164996	0.7706882	0.2505352	0.1835948	0.1786739	1.0000000	0.0558275	0.7213478	0.7286112	1.0000000	0.2769190	0.0635890	0.3620545	0.5183726	0.1934084	0.0736977	0.9949409	0.3824041	0.7794762	0.8440825	1.0000000	1.0000000	0.0281550	0.6389136	0.6476930	1.0000000	0.6522879	0.8330962	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9996358	0.2815222	0.2139412	0.8832251	0.8015720	0.8206063	0.4087127	0.9844015	0.5629268	0.3580704	0.7211829	0.3174148	0.9828286	0.2220614	0.8919504	0.6082567	0.9966467	0.4687589	0.9039980	0.9968368
500	1.0000000	0.9046667	0.1407551	0.8023635	0.4362908	0.4760636	0.9687951	0.3870966	1.0000000	0.1110869	1.0000000	0.8023018	0.7793894	0.6431454	0.0216328	1.0000000	0.2003722	0.0880607	1.0000000	0.5353583	0.5270635	0.8174550	0.0007268	0.8925538	0.0314995	0.8032067	0.9096418	1.0000000	1.0000000	0.9461136	0.0003150	0.2755671	0.3404130	0.5313330	0.5386354	0.4009022	1.0000000	0.5533525	0.9573841	0.8859556	0.2976052	0.9757646	1.0000000	0.4351718	1.0000000	0.9166621	0.7730708	0.2476294	0.1795438	0.1802756	1.0000000	0.0558268	0.7213478	0.7286112	1.0000000	0.2769190	0.0635338	0.3622079	0.5180272	0.1969243	0.0807691	0.9947766	0.3834605	0.7775301	0.8441596	1.0000000	1.0000000	0.0281550	0.6389136	0.6476700	1.0000000	0.6516296	0.8290072	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9996328	0.2815754	0.2139571	0.8838131	0.8118595	0.8203827	0.4087139	0.9846184	0.5633038	0.3585710	0.7170513	0.3178106	0.9830273	0.2227569	0.8922440	0.6071743	0.9969945	0.4688635	0.8906534	0.9968384
600	1.0000000	0.9046667	0.1158222	0.7409111	0.4362908	0.8924271	0.9812076	0.2877313	1.0000000	0.1110869	1.0000000	0.8014188	0.9716709	0.2430497	0.2084157	1.0000000	0.1989270	0.2626628	1.0000000	0.6468152	0.8826830	0.6226288	0.0762253	0.9666579	0.0306613	0.7883528	0.7299382	1.0000000	1.0000000	0.9865247	0.0027857	0.2769511	0.3403711	0.5313333	0.5386135	0.5835796	1.0000000	0.5533525	0.9844912	0.8428808	0.2636989	0.7837617	1.0000000	0.9260977	1.0000000	0.8353553	0.7707304	0.4164413	0.6164134	0.1603579	1.0000000	0.0558286	0.7213478	0.7286112	1.0000000	0.2769190	0.0986829	0.1265205	0.8506891	0.1255580	0.0761158	0.9937181	0.3723598	0.8282953	0.5931336	1.0000000	1.0000000	0.0281550	0.6389136	0.7311736	1.0000000	0.6630424	0.8317391	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994778	0.1128998	0.0813568	0.9232685	0.8070289	0.8458191	0.4087154	0.9834038	0.5475581	0.2593008	0.7260103	0.2872470	0.6623224	0.2215122	0.6681457	0.6159395	0.9967549	0.4126472	0.9444890	0.9966083
700	1.0000000	0.9046667	0.1238151	0.6012643	0.4362908	0.9900780	0.9835956	0.1145344	1.0000000	0.1110869	1.0000000	0.7929890	0.9979734	0.1141395	0.2475745	1.0000000	0.1957827	0.3266326	1.0000000	0.8739071	0.9860101	0.6414134	0.0980315	0.9946388	0.0291740	0.7547302	0.7196703	1.0000000	1.0000000	0.9984025	0.0052044	0.2879362	0.3402902	0.5313372	0.5384378	0.6682205	1.0000000	0.5533525	0.9969506	0.8355772	0.1933791	0.7148816	1.0000000	0.9961885	1.0000000	0.8023820	0.7502184	0.8069280	0.8814203	0.1316337	1.0000000	0.0558377	0.7213478	0.7286112	1.0000000	0.2769190	0.1123664	0.0417369	0.9763759	0.0560384	0.0501835	0.9936531	0.3463447	0.8500131	0.5267513	1.0000000	1.0000000	0.0281550	0.6389136	0.7534068	1.0000000	0.6864233	0.8650183	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995152	0.0733943	0.0531922	0.9802725	0.7885616	0.9045199	0.4087178	0.9793887	0.5196710	0.2485945	0.7908657	0.2165068	0.5521017	0.2117490	0.5894203	0.6405937	0.9952953	0.3116229	0.9893995	0.9961887
800	1.0000000	0.9046667	0.1682095	0.5380067	0.4362908	0.9992375	0.9837720	0.0734552	1.0000000	0.1110869	1.0000000	0.7871026	0.9998580	0.0966383	0.2285411	1.0000000	0.1943338	0.3367133	1.0000000	0.9424465	0.9985855	0.6574861	0.1006296	0.9992614	0.0287416	0.7380435	0.7319226	1.0000000	1.0000000	0.9998421	0.0061148	0.2964894	0.3402557	0.5313402	0.5382784	0.6847961	1.0000000	0.5533525	0.9994907	0.8381924	0.1661287	0.7177529	1.0000000	0.9998399	1.0000000	0.7961823	0.7340237	0.9277403	0.9599970	0.1219474	1.0000000	0.0558441	0.7213478	0.7286112	1.0000000	0.2769190	0.1147936	0.0298372	0.9968437	0.0400276	0.0369824	0.9941823	0.3331776	0.8634891	0.5190600	1.0000000	1.0000000	0.0281550	0.6389136	0.7559328	1.0000000	0.6968595	0.9006157	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995388	0.0703339	0.0513181	0.9948586	0.7788204	0.9235689	0.4087180	0.9766960	0.5123353	0.2545737	0.8635694	0.1966864	0.5350870	0.2041554	0.5766276	0.6574316	0.9947713	0.2822812	0.9976267	0.9960310
