YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631133	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.5269695	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314047	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.0000000	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995508	0.3499820	0.0341306	0.8691946	0.9749319	0.8213616	0.4087140	0.9752593	0.5107250	0.2068738	0.8980450	0.2427188	0.5322029	0.2008277	0.5702095	0.5036704	0.9946722	0.1878540	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0617697	1.0000000	0.1110869	1.0000000	0.4281009	1.0000000	0.9901839	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.9977376	1.0000000	0.7254673	0.4712847	1.0000000	0.0293119	0.7312723	0.7363909	1.0000000	1.0000000	1.0000000	0.0038122	0.3002832	0.0014906	0.0000000	0.0640811	0.6372084	1.0000000	0.0000000	1.0000000	0.8398801	0.1578491	0.7275224	1.0000000	1.0000000	1.0000000	0.7949672	0.7264351	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948653	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230423	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995531	0.8279420	0.3953655	0.9999943	0.9852446	0.9958090	0.4881120	0.9845867	0.5107205	0.0608628	0.8980438	0.5928364	0.5283474	0.1218062	0.5711971	0.4986393	0.9903281	0.0452166	0.7760596	0.9966666
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0412681	1.0000000	0.1110869	1.0000000	0.5126889	1.0000000	0.9901852	0.0821090	1.0000000	0.6438811	0.3382153	1.0000000	0.9950517	1.0000000	0.7085587	0.3083594	1.0000000	0.2688863	0.3354403	0.7363909	1.0000000	1.0000000	1.0000000	0.1895737	0.3002834	0.0000000	0.5339247	0.0640811	0.6371995	1.0000000	0.5533525	1.0000000	0.8398801	0.1578485	0.7275234	1.0000000	1.0000000	1.0000000	0.7949672	0.7264347	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948654	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230442	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	0.0000000	1.0000000	0.9995578	0.1433756	0.4292174	0.9999741	0.8101421	0.9897133	0.4881438	0.9693510	0.5107204	0.2331427	0.8676433	0.4407220	0.5283474	0.5670323	0.5711643	0.6507897	0.9999973	0.1507856	0.7650509	0.9966664
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631075	1.0000000	0.1110869	1.0000000	0.8025683	1.0000000	0.9901839	0.2993115	1.0000000	0.1938460	0.3382153	1.0000000	0.5269695	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314047	0.7363909	1.0000000	1.0000000	1.0000000	0.0038122	0.3002832	0.0014906	0.0000000	0.0640811	0.6372084	1.0000000	0.5533525	1.0000000	0.8398801	0.1578491	0.7275224	1.0000000	1.0000000	1.0000000	0.7949672	0.7264351	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948653	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230423	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995566	0.2815475	0.3953655	0.8797683	0.7953062	0.8213340	0.4881120	0.9845867	0.5107205	0.3478728	0.8980438	0.4531813	0.5283474	0.1218062	0.5765148	0.7255419	0.9903281	0.1061794	0.7794416	0.9966666
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.9999981	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2993107	1.0000000	0.1938460	0.3382153	1.0000000	0.5270838	1.0000000	0.6945265	0.0000000	1.0000000	0.0289989	0.7313105	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.0000004	0.0159513	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995599	0.1336805	0.0341306	0.8789989	0.7742821	0.7852682	0.4087140	0.9752593	0.5107250	0.4495254	0.8980450	0.1809935	0.5322029	0.2008277	0.5753814	0.5747683	0.9887449	0.2977092	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631130	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.4757808	1.0000000	0.1938460	0.3382153	1.0000000	0.0209500	1.0000000	0.6287125	0.0000000	1.0000000	0.0281943	0.7314046	0.0000001	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994740	0.0682573	0.0341306	0.8789958	0.7742821	0.8213618	0.4087140	0.9752593	0.5107250	0.4495256	0.8980450	0.2427188	0.5322029	0.2008277	0.5743909	0.6364213	0.9946722	0.5762440	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0785031	1.0000000	0.1110869	1.0000000	0.7852631	1.0000000	0.0944448	0.3414418	1.0000000	0.1938460	0.3382153	1.0000000	0.0191341	0.0000000	0.0072226	0.1009160	1.0000000	0.0202176	0.7320788	0.0000001	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313410	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9994741	0.0702783	0.0512760	0.9980397	0.7742918	0.9255931	0.4087140	0.9752591	0.5403049	0.1565355	0.8980450	0.5928370	0.5322029	0.2008277	0.5746156	0.5488143	0.9946722	0.8918624	0.9989788	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0785033	1.0000000	0.1110869	1.0000000	0.8024937	1.0000000	0.0944448	0.2946612	1.0000000	0.1938460	0.3382153	1.0000000	0.5259332	0.0000000	0.0072225	0.0000000	1.0000000	0.0202176	0.7320789	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995574	0.0682573	0.0341306	0.8789958	0.7742821	0.8213618	0.4087140	0.9752593	0.5403049	0.4495255	0.8980450	0.4531820	0.5322029	0.2008277	0.5743909	0.5747682	0.9946722	0.6110065	0.9989906	0.9960034
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0619607	1.0000000	0.1110869	1.0000000	0.4954800	1.0000000	0.9901846	0.0712194	1.0000000	0.1938460	0.3382153	1.0000000	0.9948656	1.0000000	0.7085584	0.3083595	1.0000000	0.0291456	0.7312928	0.7363909	1.0000000	1.0000000	1.0000000	0.1895745	0.3002832	0.0000003	0.5339247	0.0640811	0.6372081	1.0000000	0.5533525	1.0000000	0.8398801	0.1578491	0.7275224	1.0000000	1.0000000	1.0000000	0.7949672	0.7264351	0.9552629	0.9858664	0.1192480	1.0000000	0.0732965	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948653	0.3281116	0.8715593	0.0000000	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004218	0.9230423	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9995578	0.1433766	0.3953656	0.9999720	0.7914460	0.9897128	0.4881449	0.9749249	0.5107205	0.2331427	0.8980438	0.4407224	0.5283474	0.1217916	0.5753284	0.6507892	0.9903281	0.1507851	0.7785491	0.9949871
1.0000000	0.9046667	0.2076135	0.5173732	0.4362908	1.0000000	0.9837832	0.0631042	1.0000000	0.1110869	1.0000000	0.8190298	0.0000002	0.0628834	0.2994512	1.0000000	0.1938460	0.3382153	1.0000000	0.5270308	1.0000000	0.6287163	0.0000002	1.0000000	0.0281959	0.7314029	0.7363909	1.0000000	1.0000000	1.0000000	0.0060989	0.3002678	0.3402445	0.5313330	0.5381912	0.6877055	1.0000000	0.5533525	1.0000000	0.8398801	0.1579662	0.7274901	1.0000000	1.0000000	1.0000000	0.7949672	0.7264498	0.9552629	0.9858664	0.1192480	1.0000000	0.0558468	0.7213478	0.7286112	1.0000000	0.2769190	0.1152323	0.0285933	1.0000000	0.0367435	0.0328451	0.9948644	0.3281116	0.8715593	0.5181915	1.0000000	1.0000000	0.0281550	0.6389136	0.7562051	1.0000000	0.7004219	0.9229677	1.0000000	1.0000000	0.9206735	0.5501273	0.3394888	1.0000000	1.0000000	0.9469147	0.0680347	0.0361038	0.8790200	0.7742821	0.8213717	0.4087140	0.9752593	0.5107250	0.4495224	0.8980450	0.1767521	0.5322029	0.2008277	0.5743910	0.6633986	0.9946722	0.2977091	0.9989906	0.9966665
