YJR060W	YFL031W	YIR017C	YNL103W	YOR162C	YPL038W	YGL254W	YOR140W	YDR253C	YCR106W	YOL067C	YCR096C	YML113W	YDR520C	YCR040W	YPR199C	YCR097W	YHR006W	YOR032C	YCL066W	YJL056C	YCL067C	YJL110C	YLR098C	YGR044C	YCR018C	YLR013W	YDR421W	YKL020C	YOL089C	YMR019W	YJR147W	YFL021W	YKR034W	YML099C	YPL177C	YMR042W	YDL170W	YMR021C	YBR297W	YIL101C	YER045C	YOR113W	YOR363C	YGL162W	YPL230W	YGR249W	YMR070W	YNL167C	YGL181W	YDR123C	YKR099W	YJL089W	YMR280C	YGL209W	YGL035C	YPL248C	YML051W	YLR451W	YKL038W	YER028C	YHL027W	YDR310C	YPL075W	YDR463W	YDR081C	YBR083W	YMR164C	YLR403W	YDR146C	YOL108C	YKL185W	YBR182C	YLR131C	YDL106C	YNL027W	YPR196W	YOR344C	YBL103C	YER040W	YER189W	YER190W	YGL001C	YCR019W	YCR018CA	YCR107W	YDR084C	YDR042C	YNL337W	YCR039C	YDR077W	YDR545W	YDR522C	YDR317W	YCR105W	YNL339C	YLR397C	YCR041W	YDR040C	YJR011C
1.0000000	0.9266218	0.1276742	0.4613260	0.3949833	0.9187153	0.9824386	0.8926132	0.9046286	0.0687184	0.9918283	0.8260249	1.0000000	0.8585405	0.3586178	1.0000000	0.0492834	0.4133025	0.8534990	0.9715410	1.0000000	0.6558399	0.2839163	0.8997454	0.0019766	0.9395121	0.2732997	0.6941488	1.0000000	1.0000000	0.0003894	0.4270786	0.0769465	0.5270112	0.0030103	0.4200753	1.0000000	0.7873466	1.0000000	0.8481272	0.4308953	0.6338395	0.9584320	0.9469113	0.8759353	0.7355802	0.9167548	0.7983811	0.9804110	0.1315085	0.8858436	0.0041935	0.7710376	0.5772777	0.8867362	0.3554953	0.1266552	0.0152717	0.3899832	0.3395212	0.4891931	0.9915008	0.3796059	0.8353824	0.6144393	0.7548614	1.0000000	0.0013829	0.6972530	0.4177390	1.0000000	0.5396296	0.7390260	1.0000000	1.0000000	0.9291461	0.5385556	0.2191001	1.0000000	1.0000000	0.6656577	0.0299269	0.0582904	0.7740917	0.8361781	0.8413711	0.3394637	0.9277415	0.1681528	0.1081813	0.4412724	0.2996613	0.5037366	0.0694901	0.6892396	0.5934252	0.6830112	0.8341661	0.6210070	0.9977163
0.9893477	0.9081014	0.2919441	0.7629711	0.3503268	1.0000000	0.9758657	0.0530508	0.9012603	0.0543384	1.0000000	0.5143268	0.9999470	0.6239159	0.0221825	1.0000000	0.1938460	0.3383666	1.0000000	0.9949042	1.0000000	0.9488372	0.2553592	1.0000000	0.0819965	0.2883101	0.8700738	1.0000000	1.0000000	1.0000000	0.2944771	0.1117092	0.1476893	0.4690123	0.5027368	0.9999764	0.9834854	0.4091669	1.0000000	0.8476349	0.5922812	0.7346972	1.0000000	0.7712201	1.0000000	0.7858990	0.7080798	0.9798208	0.9850843	0.1211819	0.4281376	0.0049716	0.7864643	0.6677113	1.0000000	0.2769190	0.1152323	0.0126421	0.9607907	0.0218918	0.0007177	0.9166526	0.3281116	0.7339382	0.7435124	1.0000000	1.0000000	0.0027986	0.8031490	0.8759620	1.0000000	0.7742117	0.6429987	0.9246923	1.0000000	0.8538883	0.7893730	0.3280089	1.0000000	0.7307721	0.9999092	0.2676597	0.2766813	0.9999440	0.9893905	0.4520970	0.1579747	0.7324834	0.1803336	0.3070848	0.9495149	0.4167035	0.5058868	0.3521163	0.9981158	0.4158332	0.7824082	0.1564261	0.9965489	0.9133637
1.0000000	0.9484369	0.2640369	0.5815862	0.4362908	1.0000000	0.9680942	0.1448180	0.6763736	0.1051972	1.0000000	0.7685171	1.0000000	0.1439922	0.4766530	0.8329229	0.2071721	0.3069433	0.8653131	0.7796715	1.0000000	0.6751427	0.0510147	0.5309257	0.3015981	0.1510608	0.5297846	1.0000000	0.8341743	0.6825904	0.5208692	0.2116386	0.3411107	0.8273022	0.5629875	0.8440978	0.6224612	0.5221016	0.6197055	0.4288076	0.0402169	0.7216246	1.0000000	1.0000000	0.8644280	0.7323820	0.6729524	0.9538422	0.9615860	0.0665390	0.8845579	0.1196427	0.5148619	0.8822963	0.9971931	0.2169131	0.0420858	0.0864719	0.6044615	0.1285419	0.0231813	0.9234832	0.6708373	0.6512445	0.2797673	0.9781459	1.0000000	0.0033036	0.6145802	0.5416937	0.9358211	0.6667465	0.9885756	1.0000000	1.0000000	0.9175411	0.6368513	0.2946841	1.0000000	0.9876924	0.9999801	0.0005247	0.6202594	0.9954398	0.3271795	0.8922831	0.0966176	0.9968392	0.4332170	0.2431783	0.4312323	0.4268926	0.5490093	0.3527115	0.5690422	0.8525930	0.6108726	0.2151365	0.9989313	0.9694894
0.7685477	0.8733382	0.0489005	0.6489612	0.5081767	0.9019999	0.8801131	0.0000866	0.7975159	0.2055821	0.8441800	0.5337966	0.7705021	0.4089767	0.0898531	1.0000000	0.0028746	0.3368013	1.0000000	0.9557609	0.9960139	0.2863328	0.1467871	0.9045858	0.0132814	0.5630055	0.6647464	0.5846841	1.0000000	0.8086325	0.4705292	0.2993968	0.1320369	0.7390202	0.0238697	0.3340905	0.9087135	0.5192256	1.0000000	0.8410070	0.5568245	0.4514828	0.5264607	1.0000000	1.0000000	0.8690600	0.9874953	0.9666073	0.9999600	0.0211323	0.7175010	0.0640540	0.8931260	0.5706324	0.5145090	0.5306595	0.6520563	0.4815930	1.0000000	0.0367435	0.0019947	0.9797555	0.2568197	0.9136386	0.3045769	1.0000000	1.0000000	0.0031153	0.6392145	0.7355181	1.0000000	0.7225584	0.4859076	0.9667555	0.9172081	0.8999378	0.6399599	0.4041466	1.0000000	0.9801557	0.9998748	0.0050376	0.4280569	0.8658369	0.8754422	0.8648940	0.4070812	0.7869224	0.5782347	0.2381604	0.9141352	0.4746349	0.9886387	0.4136194	0.2658674	0.6077223	0.6539343	0.3149219	0.9961188	0.9103019
1.0000000	0.9015425	0.2817232	0.5311750	0.4362908	1.0000000	0.7627413	0.0000004	1.0000000	0.0763058	0.9172153	0.6996031	1.0000000	0.0314674	0.2925542	1.0000000	0.2164457	0.3385780	1.0000000	0.8298465	0.7838759	0.3200151	0.0680911	0.9731167	0.4760833	0.1857604	0.4974949	0.8382992	1.0000000	0.8267512	0.0005707	0.4416435	0.3405720	0.5253185	0.4749822	0.6774974	1.0000000	0.5267460	1.0000000	0.8432575	0.2187600	0.8039422	1.0000000	1.0000000	1.0000000	0.7659876	0.9517109	0.5488103	0.9365494	0.1883272	0.6084653	0.0536851	0.7516412	0.2424752	0.5659475	0.7014471	0.4940495	0.2976395	0.4946962	0.1895365	0.0485974	0.9217591	0.3409028	0.4105617	0.7574858	0.9199683	0.7900030	0.0373136	0.4822188	0.5732365	0.9256264	0.4691264	0.8137470	1.0000000	1.0000000	0.8538883	0.5385556	0.3080832	1.0000000	1.0000000	0.9999127	0.0913251	0.2528210	0.9972714	0.7199729	0.9990060	0.9208964	0.9419285	0.0163685	0.4286357	0.8647294	0.3668917	0.7279502	0.6233693	0.5665909	0.7498680	0.9986444	0.3094811	0.9196944	0.9993674
0.7626280	0.8949595	0.4735709	0.6074056	0.5102952	0.9351109	0.9799449	0.7501508	0.9393247	0.0898210	0.2920297	0.8176450	0.8652400	0.3215489	0.7100298	1.0000000	0.1509880	0.2007357	1.0000000	0.9727908	0.7409620	0.6152237	0.1529722	0.9787944	0.0022356	0.7302206	0.7242269	0.9139815	0.9056905	1.0000000	0.2784788	0.1627599	0.1492252	0.5253866	0.2131636	0.2699316	1.0000000	0.5267460	1.0000000	0.8114977	0.3725902	0.7113518	1.0000000	1.0000000	0.9611879	0.7572125	0.6952267	0.7046603	0.9858664	0.1192480	1.0000000	0.0015059	0.9724421	0.3646716	1.0000000	0.2769190	0.0767368	0.0055788	1.0000000	0.0367435	0.0856191	0.9475318	0.2274030	0.9295371	0.4548157	1.0000000	1.0000000	0.0032212	0.6502585	0.7596527	1.0000000	0.6209384	0.7682981	1.0000000	0.3638477	0.2407685	0.2291647	0.4061079	0.9516794	1.0000000	0.6620316	0.1061457	0.4505362	0.9997612	0.9909593	0.8657435	0.6579626	0.9934754	0.0597886	0.1593750	0.6128817	0.1657133	0.5926141	0.0747573	0.2686413	0.5509156	0.8222239	0.5144176	0.9924062	0.9968214
0.7488315	0.9166675	0.4365435	0.5631556	0.3534966	1.0000000	0.9935580	0.9176173	1.0000000	0.2176947	1.0000000	0.8433122	1.0000000	0.2326795	0.2080835	1.0000000	0.2212566	0.2925392	0.8669116	0.8819521	0.9477604	0.6621617	0.0577913	0.7960779	0.0091428	0.7628530	0.6336999	0.8883953	1.0000000	1.0000000	0.4508768	0.1347013	0.3405627	0.6678774	0.7179185	0.8038011	1.0000000	0.5267460	1.0000000	0.8158492	0.4558061	0.8754773	0.6892482	1.0000000	1.0000000	0.8523173	0.7005302	0.7911003	0.9774145	0.1192480	0.7641504	0.0567028	0.7108916	0.7365660	1.0000000	0.1949297	0.0623403	0.0432786	1.0000000	0.0132344	0.1169465	0.9928516	0.4447963	0.7964792	0.6297893	1.0000000	0.5429754	0.1130578	0.2808873	0.7102933	1.0000000	0.6951587	0.7232817	1.0000000	1.0000000	0.9427870	0.7110888	0.3584030	0.5585082	1.0000000	0.7877567	0.4049990	0.0143166	0.8557632	0.8631952	0.7656492	0.5949282	0.7920183	0.2085711	0.2573439	0.8949854	0.0697453	0.6080151	0.1399400	0.9346830	0.4982668	0.9946879	0.7665259	0.9993073	0.5864585
0.9015887	0.8912036	0.0732672	0.4671228	0.4644203	1.0000000	0.7318640	0.0138167	0.9745420	0.1424345	1.0000000	0.7928175	1.0000000	0.0302265	0.7431743	0.7862833	0.2125430	0.1622873	0.8787078	0.8229226	0.7851597	0.4819218	0.1006498	0.9723614	0.0427920	0.9870015	0.0123629	0.9696210	1.0000000	0.8542330	0.1825599	0.7098571	0.3448983	0.5253254	0.4864217	0.8367257	0.5613870	0.5267460	1.0000000	0.8114977	0.1128853	0.8466012	1.0000000	1.0000000	1.0000000	0.8437852	0.7102822	0.8158224	0.9262571	0.1192480	1.0000000	0.0009799	0.9443531	0.4930396	0.8528934	0.3836881	0.2160141	0.3332235	1.0000000	0.0367435	0.0019947	0.9767126	0.2194480	0.7433466	0.5586955	1.0000000	0.6142217	0.0177632	0.3422842	0.2217377	0.6016268	0.7446543	0.7240905	1.0000000	1.0000000	0.8538883	0.5385556	0.2667829	1.0000000	1.0000000	0.9999931	0.0003163	0.0087045	0.9973984	0.9746699	0.9090127	0.9205649	0.9636600	0.5021840	0.0083601	0.7704544	0.0689449	0.6654310	0.0585124	0.0437324	0.8036841	0.9336425	0.7452693	0.7855478	0.8568418
0.9897438	0.9005556	0.7024907	0.4038709	0.4390740	0.7201146	0.9872674	0.5254833	1.0000000	0.0739199	0.6498839	0.8216872	1.0000000	0.0505900	0.0001467	1.0000000	0.0867783	0.3381800	1.0000000	0.6847611	0.2052932	0.1587922	0.1201405	1.0000000	0.0054271	0.9286187	0.4389431	1.0000000	0.6548389	0.9730302	0.8958181	0.1280055	0.2929737	0.5253373	0.7156796	0.9021756	0.7702015	0.5267460	1.0000000	0.9540688	0.3860798	0.5540004	1.0000000	0.7696254	1.0000000	0.8713078	0.6865619	0.7068193	0.9999607	0.0210169	1.0000000	0.0022318	0.8640160	0.6039925	1.0000000	0.2769190	0.0691485	0.3892893	0.7469104	0.0623699	0.0056537	0.9207564	0.2894830	0.7893148	0.2775404	1.0000000	1.0000000	0.0281550	0.7261421	0.2441740	1.0000000	0.3268940	0.7681742	1.0000000	0.8594160	0.7992194	0.4876553	0.3419277	0.7808658	1.0000000	0.9995211	0.0028731	0.0431306	0.9997434	0.4310874	0.9512413	0.7648734	0.7536170	0.5768572	0.1377264	0.8998315	0.1172067	0.5497720	0.1534154	0.3707851	0.6524341	0.7453776	0.4319278	0.8428323	0.6178954
0.5464072	0.8264379	0.6052428	0.5536612	0.6000061	0.8586333	0.9995073	0.0005920	1.0000000	0.2805280	0.8595514	0.5876052	0.7504240	0.1509906	0.0897549	0.8323121	0.1984479	0.3693671	0.9198181	0.9940551	1.0000000	0.6455970	0.1199362	1.0000000	0.1514408	0.5452995	0.7716931	1.0000000	0.9931984	0.9418959	0.0796896	0.0466377	0.2225325	0.5129736	0.1842761	0.8260017	0.9374548	0.7259165	1.0000000	0.8114977	0.1448560	0.6611454	1.0000000	0.8357575	0.9376456	0.8475990	0.6764307	0.9578901	0.9999659	0.0201404	1.0000000	0.0017640	0.9293039	0.5196840	0.9696581	0.2957218	0.1338180	0.1333921	1.0000000	0.0367435	0.2562904	0.9216883	0.3281116	0.8715593	0.4694988	1.0000000	1.0000000	0.0281550	0.6145802	0.8483629	1.0000000	0.7729591	0.8367640	0.9482480	0.9333759	0.8320862	0.5154432	0.4649224	0.7630677	0.9301694	0.9998085	0.3604639	0.3915716	0.7638908	0.8763368	0.9209971	0.5850485	0.9926058	0.4762211	0.1897179	0.5680955	0.3607726	0.5149240	0.0843471	0.8736572	0.7457597	0.9894197	0.7823820	0.9973193	0.9453121
